!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
LIC10626	272.7768490361
LIC10625	141.501521157
LIC10629	45.4241149374
LIC20015	67.9368776074
LIC11510	27.1993816315
LIC20016	52.2230026138
LIC11511	505.7475431753
LIC20017	9.581181023
LIC11515	6.8172240235
LIC20012	3.8310844722
LIC11514	325.0430792761
LIC20011	374.4817469129
LIC20013	176.2974522294
LIC11518	227.6411045959
LIC11517	1270.3043378312
LIC20010	297.6071381586
LIC11516	135.6766397339
LIC11122	125.2618679556
LIC10620	162.6042834636
LIC11123	177.9973656958
LIC10633	140.4541441534
LIC10632	50.2200822385
LIC10635	30.8175616863
LIC10634	219.9063425308
LIC10637	24.9033772863
LIC10636	99.0532999337
LIC20009	107.6522969535
LIC20006	6.4056372964
LIC11520	50.9952144335
LIC20005	111.6818870518
LIC11522	227.8173116516
LIC11524	102.6154691965
LIC11523	343.3541941081
LIC20002	539.5840030427
LIC20001	397.4428381896
LIC11526	662.8604715557
LIC11528	41.5067006249
LIC11527	166.1225294651
LIC11529	932.0570551145
LIC11111	133.985939774
LIC11110	374.0741634483
LIC11113	95.9161406594
LIC11112	243.9900369196
LIC11115	1256.3455049927
LIC10631	254.2634533101
LIC11532	1015.7784293642
LIC11531	3993.6210952243
LIC12660	18.1281994928
LIC11149	38.1345054012
LIC11147	458.2285565702
LIC11148	159.7978564853
LIC11143	7.964009516
LIC11141	727.8256224622
LIC11142	86.2873718012
LIC11140	151.0120536136
LIC11538	246.9741868192
LIC11539	101.864133254
LIC11536	177.9177707259
LIC12667	18.3393384954
LIC11534	164.4355195849
LIC12669	11.1690018014
LIC12676	33.9228449431
LIC11541	960.2155835067
LIC11544	348.6927429318
LIC11543	56.0781334462
LIC12675	52.5175684043
LIC11540	258.8966888808
LIC11134	59.3457062369
LIC11135	4.9484713704
LIC11136	72.7274439751
LIC11137	59.4162555459
LIC11132	192.7877922894
LIC11549	49.9255031516
LIC11545	16.592440503
LIC11546	211.285943305
LIC11547	47.6476679476
LIC12679	168.7097366249
LIC11548	16.1301933271
LIC12681	231.8217600564
LIC12682	29.4388507318
LIC11550	131.7148988363
LIC12683	15.6286976341
LIC12684	393.7915178988
LIC11555	2076.4527223496
LIC12685	2.6300807099
LIC11554	86.1303801161
LIC11553	148.9132016136
LIC11552	106.0867770795
LIC11163	106.5989858528
LIC11167	13.0880965927
LIC11558	112.7830167253
LIC11559	1313.0284090356
LIC12689	15.9543877641
LIC11556	693.8041082667
LIC11557	36.5181997401
LIC11162	886.235690224
LIC12694	339.6797218844
LIC12695	181.4595775379
LIC12692	2.8848550783
LIC12693	502.6656498355
LIC11563	536.0282769122
LIC11565	76.0066508442
LIC12691	418.0104940632
LIC11152	7.4999371508
LIC11154	699.6477377388
LIC11155	87.9343686626
