K02040	PstS
K00134	GapA
K00133	Usg
K00133	Asd
K00139	-
K00138	AldB
K10652	-
K10651	-
K10650	-
K10654	-
K00420	-
K00423	-
K00425	CydA
K00425	AppC
K00426	CydB
K00426	AppB
K14291	-
K14376	-
K15979	-
K15978	-
K14085	-
SPAP8A3.08	-
K04704	-
K04705	-
K04706	-
K04707	-
K01556	-
K01557	-
K01555	-
K04708	-
K04709	-
K05077	-
K05076	-
K05070	-
B4DUI8	-
K13356	-
K13355	-
K13354	-
K13353	-
K13352	-
K13351	-
K03954	-
K03955	-
K03956	-
K03957	-
K03950	-
K03951	-
K03952	-
K03953	-
K02399	FlgN
K02398	FlgM
K02397	FlgL
K02396	FlgK
K02393	FlgH
K13536	-
K13535	-
K06193	YjdM
K01551	-
K05658	-
AnxA2	-
AnxA5	-
K04703	-
K05655	-
K05654	-
K02977	-
K08818	-
K02607	-
K02606	-
K12330	-
K12331	-
K05653	-
K12338	-
K12339	CysM
K11687	-
K11685	StpA
K08810	-
K13823	-
K13822	-
K03043	RpoB
K03040	RpoA
K03046	RpoC
K03105	-
K06672	-
K06670	-
K06671	-
K06676	-
K06677	-
K06674	-
K06675	-
K08814	-
K06678	-
K12488	-
YBR078W	-
K12484	-
K12486	-
K03100	LepB
K12480	-
K12481	-
K12482	-
K12483	-
K11469	-
K11468	-
K11467	-
K11465	-
K11463	-
K11462	-
K11461	-
K11460	-
K00639	Kbl
K00341	NuoL
K00637	-
K00631	PlsB
K00632	FadI
K00632	FadA
NotMapped	-
K06499	-
MPN_EutD	-
K06497	-
K06495	-
K06492	-
K06493	-
K06490	-
K06491	-
Paa1	-
K07810	CusF
K00090	GhrB
K00094	GatD
K00040	UxuB
K10226	-
K10224	-
K03959	-
K04138	-
K01948	-
K01945	PurD
K01940	ArgG
K01942	-
K07722	NikR
K00898	-
K00899	-
K08504	-
K00891	AroK
K00891	AroL
K00893	-
K00894	-
K00895	-
K04397	-
K04396	-
K04395	-
K04394	-
K04393	-
K04392	-
K04391	-
K04390	-
K13358	-
K04399	-
K04398	-
Q05DQ7	-
K14408	-
K14409	-
K05470	-
K02948	RpsK
K04663	-
K02940	-
K05661	-
K02942	-
K02943	-
K05664	-
F5H3I4	-
K02946	RpsJ
K05667	-
K01831	-
K09574	-
K09575	-
K09576	-
K09577	-
K09570	-
K09571	-
K09573	-
K01760	MetC
K01763	-
K09578	-
K09579	-
K02496	HemX
K14416	-
K14411	-
K07208	-
K07209	-
K12817	-
K12816	-
K12815	-
K12813	-
K12812	-
K12811	-
K09412	-
b4376	OsmY
K12819	-
K12818	-
K12189	-
K03545	Tig
K03544	ClpX
K03540	-
K11499	-
K03723	Mfd
K03721	TyrR
K03720	TrpR
K03729	-
Mtm1	-
YIL011W	-
K13144	-
K06808	-
K12670	-
K06802	-
K08890	-
K08891	-
K08892	-
K08898	-
K11096	-
K11097	-
K11094	-
K11095	-
K11092	-
K11093	-
K11090	-
K11091	-
K11098	-
K11099	-
K08762	-
K08766	-
K08764	-
K08765	-
K10411	-
K10413	-
K10415	-
K10414	-
K10417	-
K10416	-
K10419	-
K10418	-
K11320	-
K11321	-
K11322	-
K08425	-
B4DVQ0	-
K00157	-
K00156	PoxB
K09381	-
K09380	-
K09387	-
K14312	-
K14313	-
K14310	-
K14311	-
K14316	-
K14317	-
K14314	-
K14315	-
K14318	-
K14319	-
K04095	Fic
K01348	-
B4DXW1	-
K07685	NarP
K07931	-
K01578	-
Q8TDG2	-
K02008	-
K05058	-
K05057	-
K02002	ProX
K13333	-
K13335	-
K13337	-
K13336	-
K13339	-
K13338	-
K15405	-
K15404	-
K15406	-
K15401	-
K15400	-
K15403	-
YJR150C	-
K02916	RpmI
K12319	-
K12314	-
K12315	-
K12316	-
K12317	-
K12310	-
K12311	-
K12312	-
K03064	-
K03065	-
K03066	-
K03060	RpoZ
K03061	-
K03062	-
K08956	-
K11665	-
K11664	-
K11667	-
K11666	-
K03068	-
K11660	-
K11663	-
Q562S7	-
K13809	-
K13806	-
K13800	-
K09608	-
K06129	-
K06126	-
K06127	-
K09604	-
K09605	-
K09602	-
K09603	-
K01120	-
K04447	-
K04446	-
K11408	-
K01125	-
K11405	-
K11404	-
K11407	-
K11406	-
K04876	-
K04448	-
K00797	SpeE
K02470	GyrB
K07839	-
K07838	-
K07529	-
K07528	-
K07299	-
K07298	-
K07297	-
K07524	-
K07830	-
K07293	-
K07836	-
K07835	-
K07834	-
K10756	-
K10757	-
K10754	-
K10755	-
K10752	-
K10753	-
K10750	-
K10751	-
K10758	-
K01966	-
K01965	-
K01963	AccD
K01962	AccA
K01961	AccC
K01969	-
K01968	-
K08025	-
K07748	-
B4E3A4	-
K12489	-
K01294	-
K01297	LdcA
K01296	-
K02922	-
K02923	-
K02920	-
K02921	-
K05606	-
K05607	-
K02924	-
K05605	-
K05609	-
K00214	-
K00215	DapB
K00213	-
K00219	FadH
K04515	-
K04514	-
K01740	-
K04511	-
K04510	-
K04513	-
K04512	-
K01749	HemC
K12666	-
K06819	-
K09598	-
K09596	-
K09597	-
K09594	-
K09595	-
K09592	-
K09593	-
K14432	-
K14431	-
K08180	-
K08181	-
K06816	-
K00261	-
K06817	-
K12871	-
K12870	-
K12873	-
K12872	-
K12875	-
K12874	-
K12877	-
K12876	-
K12879	-
K12878	-
K03521	-
K03522	-
K03527	IspH
K03526	IspG
K03528	ZipA
K02210	-
K02211	-
K02212	-
K02213	-
K02214	-
K02216	-
K02217	FtnA
K02218	-
K02219	-
K16174	-
K16175	-
K07198	-
K07199	-
K07194	-
K07195	-
K07196	-
K07190	-
K07192	-
K07995	-
K07990	-
K08744	-
K08745	-
K08746	-
K06823	-
K06822	-
K06821	-
