K00657	b1584
K00654	-
K00653	-
K00651	b4013
K05106	-
K01351	-
K09169	-
K00671	-
K05856	-
K08574	-
b3336	b3336
K01303	-
K01301	-
K06095	-
K01307	-
K01304	-
K05689	-
K09556	-
K05681	-
K05687	-
K00878	b2104
K00872	b0003
K00873	b1676
K00873	b1854
K00871	-
K00876	b2066
K00877	-
K00874	b3526
K04487	b2530
K04482	-
K08790	-
K04378	-
K04371	-
K04370	-
K04373	-
K04372	-
K04375	-
K04377	-
K05462	-
K05463	-
K13708	-
K13709	-
K13700	-
K13702	-
K13703	-
K13704	-
K13706	-
K14168	-
K08144	-
K01824	-
K04677	-
YER150W	-
K04673	-
K09516	-
K09517	-
K09514	-
K09515	-
K09512	-
K09510	-
K09511	-
K09518	-
K02434	-
K08107	-
K08105	-
K08102	-
K02432	-
K02433	-
C9JZR7	-
K05359	-
K08109	-
K03213	-
K03211	-
K03210	b0407
K03217	b3705
K03214	b2581
K09479	-
K09478	-
K09475	b2215
K09476	b0929
K13960	-
K13963	-
K09848	-
K09849	-
Aim36	-
C9JFL5	-
YOR257W	-
K04979	-
K04973	-
K04971	-
K11703	-
K12615	-
K12614	-
K12617	-
K12616	-
K12611	-
K12610	-
K12613	-
K12619	-
K12618	-
K07442	-
K07441	-
K11830	-
K11831	-
K11832	-
K11835	-
K11836	-
K11837	-
K11838	-
K11839	-
K10615	-
K10614	-
K10613	-
K10612	-
K10611	-
K10610	-
K01845	b0154
K01847	b2917
K01840	b2048
F5H3P5	-
K15397	-
K15399	-
K15398	-
K08483	b3947
K08483	b2383
K08483	b2416
K08486	-
K08484	b2829
K08489	-
K08488	-
K00461	-
K04742	-
K04743	-
K01518	-
K01519	-
K01516	b2954
K01514	b2502
K01515	b3034
K01512	b0968
K01513	-
K01510	-
K01511	-
K05169	-
K05164	-
K03910	-
K03911	-
K03912	-
K03913	-
K03914	-
K03916	-
K03917	-
K12372	b3540
K12373	-
K12371	b3541
K02358	b3339
K02358	b3980
K02353	-
K02355	b3340
K02357	b0170
K02356	b4147
K02356	b2171
K13578	-
K13577	-
K13576	-
K13575	-
K13574	b0801
P68032	-
K08548	-
K07320	b2330
K03006	-
K03007	-
K03004	-
K03005	-
K03002	-
K03000	-
K03008	-
K03009	-
K01135	-
K04456	-
K06180	b2594
K06183	b2183
K06638	-
K06636	-
K04450	-
K06634	-
K06635	-
K06632	-
K06633	-
K06630	-
K06631	-
K07859	-
K07589	b2303
K07588	b2918
K07857	-
K07856	-
K11139	b1182
K05105	-
K05104	-
K11131	-
K11130	-
K11135	-
K11137	-
K11136	-
K10842	-
K00679	-
K10840	-
K10841	-
K10846	-
K10847	-
K10844	-
K10845	-
K00670	-
K05101	-
K10848	-
K10849	-
K00674	b0166
K00677	b0181
K05103	-
K06452	-
K06453	-
K06450	-
K06451	-
K06457	-
K06454	-
K06455	-
K02444	b3423
K00586	-
K00587	-
K00588	-
K00589	-
K10735	-
K03032	-
b2665	b2665
K10264	-
K10265	-
K10262	-
K10263	-
K10261	-
K10268	-
K10269	-
K04171	-
K10739	-
K01988	-
K00854	b3564
K00855	b3355
K00856	-
K00857	b1238
K00850	b1723
K00850	b3916
K00851	b4268
K00851	b3437
K00852	b3752
K00858	b2615
K00859	b0103
K04353	-
K04352	-
K01183	-
K04350	-
K01184	-
K01187	b0403
K04354	-
K01189	-
K01188	-
K04358	-
K15728	-
K13762	-
K03868	-
K02984	-
K02985	-
K02986	b3296
K02987	-
K02980	-
K02981	-
K02982	b3314
K08291	-
K02639	-
K02988	b3303
K02989	-
K03580	b0059
K03585	b0463
K03585	b3265
K01724	-
K01720	b0334
K01728	-
K09530	-
K09531	-
K09532	-
K09533	-
K09534	-
K09535	-
K09536	-
K09537	-
K09539	-
K05400	-
C9JTX5	-
K05402	-
K02184	-
K02186	-
K02187	-
K02180	-
K02183	-
K13186	-
K13187	-
K13184	-
K13185	-
K13182	-
K13183	-
K03769	b3775
K03768	b0525
K03767	b3363
K03766	-
K03764	b3938
K13188	-
K13189	-
K09455	-
K09454	-
K09453	-
K09451	-
K09458	b1095
K00602	b4006
K13988	-
YER016W	-
K13987	-
K13984	-
K13982	-
K13980	-
K13981	-
P0CG39	-
P0CG38	-
K12585	-
K12584	-
K12587	-
K12586	-
K12581	-
K12580	-
K12589	-
K04912	-
K11728	-
K11725	-
K11727	-
K11720	b4262
K11721	-
K11722	-
K11723	-
K10459	-
K06840	-
K10455	-
K10454	-
K10456	-
K10451	-
K06848	-
K10453	-
K10980	-
K00414	-
K07466	-
K11588	-
K11589	-
K11858	-
K11859	-
YNL322C	-
K11580	-
K11581	-
K11850	-
K11583	-
K11584	-
K11585	-
K11586	-
K11855	-
K10679	b0578
K10678	b0851
K08726	-
F8WB63	-
K08722	b2291
K08729	-
K08468	-
B7ZAP6	-
K08463	-
K00117	b0124
K00444	-
K00111	b3426
K00111	b2241
K00441	-
K01538	-
K01539	-
K04728	-
K04729	-
K01530	-
K04723	-
K01533	b0484
K04726	-
K04727	-
K04725	-
K14609	-
K14358	-
YHR172W	-
K15919	-
K15918	-
K15917	-
B4DWQ5	-
b1004	b1004
K06642	-
YOR009W	-
Q8IY98	-
K13378	b2286
K13375	-
K13376	-
K13370	-
K13373	-
K02373	-
K02372	b0180
YHR126C	-
K02376	-
K12350	-
K12351	-
K12353	-
K12356	-
K12357	-
K13519	-
K13511	-
K13510	-
K13513	-
K13512	-
K13515	-
K13514	-
K13517	-
K13516	-
AT1G18590	-
K03020	-
K03021	-
K03022	-
K03023	-
K03024	-
K03025	-
K03026	-
K03027	-
K03028	-
K03029	-
K06618	-
K06619	-
Q562Y8	-
K06611	-
Q562Y4	-
Q562Y3	-
K06617	-
K11113	-
K11112	-
K11111	-
K11446	-
K11114	-
