KO number	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
K15542	NaN	NaN	NaN	NaN
K15544	NaN	NaN	NaN	NaN
K06965	NaN	NaN	NaN	NaN
K14376	1697.5035	2057.475	8038821.4	13010572
K14408	NaN	NaN	NaN	NaN
K14409	NaN	NaN	NaN	NaN
K14406	NaN	NaN	NaN	NaN
K14407	NaN	NaN	NaN	NaN
K14404	NaN	NaN	NaN	NaN
K14405	NaN	NaN	NaN	NaN
K14402	NaN	NaN	NaN	NaN
K14403	NaN	NaN	NaN	NaN
K14400	NaN	NaN	NaN	NaN
K14401	NaN	NaN	NaN	NaN
K14962	NaN	NaN	NaN	NaN
K14398	NaN	NaN	NaN	NaN
K14396	NaN	NaN	NaN	NaN
K14397	NaN	NaN	NaN	NaN
K14416	NaN	NaN	NaN	NaN
K14411	NaN	NaN	NaN	NaN
K14399	NaN	NaN	NaN	NaN
K13917	5419.6973	2577.452	38072998	38918940
K00565	10335.483	4580.8146	1.9790566e+08	2.3609129e+08
K06100	35715.571	21888.084	1.1559282e+09	1.4351065e+09
K08873	96780.365	68815.085	1.7921063e+08	2.3229153e+08
K11125	26486.002	20069.353	16603850	25610536
K11124	20105.243	9518.9642	34595169	23654080
K04382	NaN	NaN	NaN	NaN
K03456	36034.667	36377.522	2.8831274e+09	2.9076349e+09
K04354	7436.4411	5771.0417	4.2964615e+08	2.8907501e+08
K11583	NaN	NaN	NaN	NaN
K11584	19297.064	13508.213	4.625404e+08	4.228491e+08
K14549	NaN	NaN	NaN	NaN
K14548	7313.74	4042.255	1.519108e+08	82070023
K14546	NaN	NaN	NaN	NaN
K14545	NaN	NaN	NaN	NaN
K14544	NaN	NaN	NaN	NaN
K14538	NaN	NaN	NaN	NaN
K14539	NaN	NaN	NaN	NaN
K14537	NaN	NaN	NaN	NaN
K06943	NaN	NaN	NaN	NaN
K14572	NaN	NaN	NaN	NaN
K14573	NaN	NaN	NaN	NaN
K14571	NaN	NaN	NaN	NaN
K14574	NaN	NaN	NaN	NaN
K14575	NaN	NaN	NaN	NaN
K14570	NaN	NaN	NaN	NaN
K14521	NaN	NaN	NaN	NaN
K14523	NaN	NaN	NaN	NaN
K14525	4879.525	5419.855	91931956	84306106
K14561	NaN	NaN	NaN	NaN
K14560	NaN	NaN	NaN	NaN
K14563	NaN	NaN	NaN	NaN
K14562	NaN	NaN	NaN	NaN
K14565	NaN	NaN	NaN	NaN
K14564	NaN	NaN	NaN	NaN
K14567	NaN	NaN	NaN	NaN
K14569	NaN	NaN	NaN	NaN
K14568	NaN	NaN	NaN	NaN
K11108	NaN	NaN	NaN	NaN
K14558	NaN	NaN	NaN	NaN
K14559	NaN	NaN	NaN	NaN
K14554	NaN	NaN	NaN	NaN
K14555	NaN	NaN	NaN	NaN
K14556	NaN	NaN	NaN	NaN
K14557	NaN	NaN	NaN	NaN
K14550	NaN	NaN	NaN	NaN
K14552	NaN	NaN	NaN	NaN
K14553	NaN	NaN	NaN	NaN
K14566	8477.175	8701.945	1.4221592e+08	1.2984448e+08
K13288	NaN	NaN	NaN	NaN
K03115	10596.035	13740.48	4.7665671e+08	2.9296999e+08
K03097	7091.49	10178.98	2.6749214e+08	1.3633309e+08
K14547	NaN	NaN	NaN	NaN
K14551	NaN	NaN	NaN	NaN
K11131	17074.052	15207.872	7.2770964e+08	9.3306358e+08
K11129	4499.3781	3914.8875	1.0757575e+08	1.1447692e+08
K11128	917.56714	563.56419	1.6470866e+08	1.4033375e+08
K11130	NaN	NaN	NaN	NaN
K03685	NaN	NaN	NaN	NaN
K12618	16294.688	13354.432	2.670706e+08	1.9221637e+08
K12619	33908.16	21366.45	6.1453934e+08	6.1879552e+08
K11883	NaN	NaN	NaN	NaN
K14536	NaN	NaN	NaN	NaN
K07178	NaN	NaN	NaN	NaN
K07179	4849.5684	3794.5805	35592554	33797444
K13179	6359.6735	5807.1647	6.4226065e+08	1.0814605e+09
K11806	5033.5285	2681.4765	48342468	52790982
K14191	5242.8439	5752.6583	89246041	1.3144964e+08
K13181	13168.308	15803.306	4.1347443e+08	4.1815232e+08
K12598	24148.35	19754.132	7.8424206e+08	9.0786726e+08
K14817	NaN	NaN	NaN	NaN
K08300	NaN	NaN	NaN	NaN
K13963	124930.46	30002.94	1.1594165e+10	4.4077117e+09
K03283	259900.66	148959.85	3.7333173e+10	3.7464286e+10
K09485	41981.238	36509.565	1.4678917e+09	2.1393506e+09
K09486	61183.555	19017.963	6.1221438e+09	3.9640603e+09
K03695	8764.679	4487.4351	65837308	1.2621151e+08
K03544	14668.636	11999.338	2.5131015e+08	3.4640937e+08
K04079	199035.19	127660.07	4.4237817e+09	5.0427443e+09
K09487	101851.72	130044.24	7.2661142e+09	6.4723139e+09
K09488	42262.81	43393.997	1.948845e+09	3.6522105e+09
K09489	45107.748	33537.756	2.6249292e+09	2.6419814e+09
K09490	74981.754	55099.304	1.1220756e+10	7.3536604e+09
K09491	8549.9688	6838.92	53573292	63778614
K04043	38695.442	34482.026	7.871933e+09	8.7981264e+09
K09493	26951.433	25634.825	3.881626e+09	4.509518e+09
K09494	30029.39	24956.466	7.2657146e+09	9.94231e+09
K09495	59935.83	56893.64	5.8338015e+09	7.2868031e+09
K09496	71869.721	60608.933	5.4363556e+09	7.258886e+09
K09497	23243.145	24517.417	5.0733955e+09	5.826273e+09
K09498	36541.774	48104.193	4.0500203e+09	4.2478963e+09
K09500	51045.597	51561.978	8.7714392e+09	1.1612889e+10
K04077	65276.16	55306.132	9.3431546e+09	1.7748327e+10
K09502	8278.0058	6894.4608	7.5458882e+08	7.5104377e+08
K09503	22172.645	17300.498	7.7335539e+08	7.6509632e+08
K09504	8223.12	6627.216	1.0448051e+08	1.0121299e+08
K09507	NaN	NaN	NaN	NaN
K09508	NaN	NaN	NaN	NaN
K09517	4463.4366	4630.0856	3.9769414e+08	3.1824086e+08
K09518	NaN	NaN	NaN	NaN
K09521	NaN	NaN	NaN	NaN
K09522	7298.3646	6033.1951	1.5916601e+08	80176167
K09523	10898.546	3797.645	2.8460447e+08	1.5729955e+08
K09525	NaN	NaN	NaN	NaN
K09526	NaN	NaN	NaN	NaN
K09528	549.29083	630.91875	4.5943115e+08	5.5687208e+08
K09530	10337.151	10064.835	5.6983847e+08	85678781
K09531	6349.681	4457.6449	4.2993345e+08	4.9397545e+08
K09533	29641.021	19856.09	1.1412667e+09	6.9333005e+08
K09537	2256.1907	2224.6173	20983288	65912949
K09539	330.75428	526.5414	1.2268737e+08	84932655
K09540	10635.516	7547.1116	2.4762467e+08	4.0309439e+08
K09541	NaN	NaN	NaN	NaN
K09542	NaN	NaN	NaN	NaN
K04455	6339.4815	8955.9785	3.9494078e+08	7.7987508e+08
K13993	NaN	NaN	NaN	NaN
K03687	5964.1148	3495.3275	3.9435338e+08	2.2685087e+08
K04078	3401.8428	3892.0038	6.4925257e+08	1.466968e+09
K09548	1248.4748	1225.6852	1.588435e+08	2.330479e+08
K09549	11992.735	14014.154	2.9386423e+08	4.1147503e+08
K09550	2544.5328	2947.8272	1.1554861e+08	1.4249701e+08
K04797	8670.9238	15447.894	1.665579e+08	3.4039278e+08
K04798	5081.0649	6640.5975	1.0515393e+08	1.1947757e+08
K08054	82856.32	86807.328	2.5590273e+09	3.1507539e+09
K08057	140101.58	106740.74	2.356845e+09	1.8453578e+09
K08669	8055.991	9796.0246	1.5906141e+08	2.3816342e+08
K08956	16145.865	17820.203	5.7159579e+08	1.0311423e+09
K02108	NaN	NaN	NaN	NaN
K09553	25154.473	21029.429	2.2466852e+09	3.1634032e+09
K09554	32884.11	26542.026	2.0720945e+09	1.9788457e+09
K09555	NaN	NaN	NaN	NaN
K09556	3278.0749	3491.5225	2.4786136e+08	1.9044406e+08
K09558	NaN	NaN	NaN	NaN
K09561	6001.1271	5201.9646	57336920	65638090
K09562	2166.2044	3262.3078	82438778	46030747
K01349	NaN	NaN	NaN	NaN
K01279	17673.542	15937.293	4.716933e+08	3.1706719e+08
K01280	35448.949	34777.817	1.8263407e+09	1.8922217e+09
K01363	NaN	NaN	NaN	NaN
K01275	18212.012	22036.948	1.9377897e+08	3.4304162e+08
K01371	NaN	NaN	NaN	NaN
K01365	NaN	NaN	NaN	NaN
K01368	12305.521	17804.06	62829963	1.0638698e+08
K08779	NaN	NaN	NaN	NaN
K13289	3436.7856	3975.5232	63597264	40370092
K12373	17253.979	20042.436	4.6679929e+08	3.4005915e+08
K02582	NaN	NaN	NaN	NaN
K01229	NaN	NaN	NaN	NaN
K03900	NaN	NaN	NaN	NaN
K03767	31069.83	28205.76	1.2651743e+10	1.577798e+10
K03768	35265.672	44661.24	3.8193671e+09	2.8745049e+09
K09565	10703.97	9478.0332	1.5049224e+08	2.7098556e+08
K09566	12632.968	12562.394	1.8061375e+08	1.558688e+08
K10598	NaN	NaN	NaN	NaN
K12734	1371.3706	1363.0163	79944383	20115169
K12736	11236.136	10158.285	2.0651269e+08	1.0865296e+08
K12737	5699.7776	6924.7592	61179970	32331547
K09568	12565.729	1134.5206	3.3837906e+09	2.621851e+09
K09569	1309.4118	1313.402	1.8896541e+08	1.7440703e+08
K09570	6299.7312	7382.5248	8.754756e+08	9.2750715e+08
K09571	12244.622	15977.314	2.0796528e+09	3.9811887e+09
K09574	36483.754	41410.944	4.5274565e+08	6.1307269e+08
K09576	1051.1315	1526.2432	1.6924923e+08	1.144857e+08
K09578	4517.3657	2795.2055	3.3541565e+08	1.8739284e+08
K03671	10718.085	11840.745	1.2263516e+09	1.1793457e+09
K03676	6609.8632	7570.1702	2.8457891e+08	1.5858242e+08
K07390	4394.9481	5486.522	42393603	1.0533364e+08
K09580	79044.8	62272.164	8.9482361e+09	7.8049374e+09
K08056	7295.129	5923.448	1.9573754e+09	1.9470419e+09
K09582	34885.018	36464.882	3.9389302e+09	3.63686e+09
K09583	2859.197	1802.8659	1.1228235e+08	1.4146969e+08
K09584	51856.832	37385.534	1.4665178e+09	2.2055164e+09
K13996	NaN	NaN	NaN	NaN
K13984	NaN	NaN	NaN	NaN
K09585	8372.1232	8070.6672	4.5777819e+08	2.9654593e+08
K09586	19668.516	34764.678	1.527548e+09	1.6902514e+09
K12257	NaN	NaN	NaN	NaN
K03217	34807.891	37792.918	2.3981549e+08	1.5961389e+08
K03070	NaN	NaN	NaN	NaN
K03106	14842.951	13144.37	7.7778273e+08	7.8954306e+08
K03110	NaN	NaN	NaN	NaN
K10956	41741.778	31275.004	96617647	48753693
K09481	3920.3232	2325.504	3.8998657e+08	1.4314603e+08
K07342	NaN	NaN	NaN	NaN
K12275	14841.084	25972.985	1.1657184e+08	1.657017e+08
K03109	NaN	NaN	NaN	NaN
K03104	22569.336	22334.6	1.1423829e+09	1.2253986e+09
K03108	18562.812	18943.605	2.0874266e+09	4.9130272e+08
K03107	34766.272	21297.999	8.3947513e+08	8.0377883e+08
K03105	1542.96	1271.5632	3.6356737e+08	6.1894871e+08
K13431	33616.858	16593.551	8.1651891e+08	6.8700121e+08
K12272	2604.6379	2336.7571	1.9223167e+08	2.8329841e+08
K03116	NaN	NaN	NaN	NaN
K03100	NaN	NaN	NaN	NaN
K12946	NaN	NaN	NaN	NaN
K12947	NaN	NaN	NaN	NaN
K12948	7353.828	7630.236	5.5281472e+08	3.8172938e+08
K13280	29418.394	31858.852	5.1303019e+08	4.2692117e+08
K09647	NaN	NaN	NaN	NaN
K09648	NaN	NaN	NaN	NaN
K12666	55217.576	34687.926	1.619352e+09	1.5521066e+09
K12667	43451.102	37806.554	6.6976302e+08	7.3872489e+08
K12668	21815.893	17631.842	77388108	68276328
K12669	NaN	NaN	NaN	NaN
K12670	34939.45	26252.011	9.8603023e+08	7.9969554e+08
K07151	60877.354	49073.71	96917001	1.6520977e+08
K01228	23816.416	19727.839	6.7061504e+08	7.5590168e+08
K13999	4449.5987	13251.284	3.3155719e+08	7.4177934e+08
K14000	19784.534	18968.334	9.5475899e+08	7.9634952e+08
K14001	NaN	NaN	NaN	NaN
K14002	NaN	NaN	NaN	NaN
K05546	54869.434	41482.098	3.4254157e+09	3.0278682e+09
K08288	44092.721	38184.073	2.6077403e+09	2.2988053e+09
K01230	5146.0762	3575.7224	46888418	51967742
K10082	17376.823	20141.163	6.4611679e+08	7.1591579e+08
K10080	27106.602	21158.88	7.2991307e+08	2.0357331e+09
K10081	NaN	NaN	NaN	NaN
K14003	7017.8181	4508.1453	2.0639648e+08	1.0663743e+08
K07953	6896.5598	5289.0948	3.046742e+08	3.7333579e+08
K14005	46659.673	28541.815	1.9557223e+09	1.8076907e+09
K14006	35307.306	21403.792	2.8891291e+09	1.8981812e+09
K14007	116472.62	81777.87	2.467991e+09	2.6218393e+09
K11718	15179.926	7694.2644	1.539949e+09	1.6113215e+09
K10084	NaN	NaN	NaN	NaN
K10085	NaN	NaN	NaN	NaN
K10086	NaN	NaN	NaN	NaN
K10950	20167.243	10078.146	1.2052903e+09	1.332441e+09
K10976	NaN	NaN	NaN	NaN
K10088	NaN	NaN	NaN	NaN
K14008	NaN	NaN	NaN	NaN
K13249	20068.065	15933.702	3.1319603e+08	1.9233246e+08
K13250	NaN	NaN	NaN	NaN
K13251	13118.886	13040.379	53538392	46755793
K04571	5133.0484	9158.8103	1.1431853e+08	3.703925e+08
K14009	7583.7083	7605.6496	1.0755375e+09	1.7287011e+09
K14010	61450.157	40702.192	62019491	34281769
K11519	7500.4322	5675.612	33924487	20719562
K13989	NaN	NaN	NaN	NaN
K14011	18065.874	14498.184	83006136	58820809
K14012	2901.688	2195.5282	7.4216679e+08	3.6311452e+08
K13525	62079.49	48243.775	8.2473088e+09	6.9704324e+09
K14015	11029.789	6777.4368	2.6026995e+08	2.5077661e+08
K14016	4523.6555	3511.0509	7.6452326e+08	4.9071851e+08
K13719	NaN	NaN	NaN	NaN
K14018	15191.894	10717.713	2.9713967e+08	3.8591648e+08
K10839	42261.664	45489.618	2.0400624e+09	2.421694e+09
K04523	8018.2493	6089.3893	3.4492152e+08	7.4561098e+08
K01456	17870.812	11859.374	3.116449e+08	64588831
K11863	NaN	NaN	NaN	NaN
K10597	14875.288	11318.481	1.2140401e+08	30642598
K08860	21263.943	30883.039	1.0576766e+09	1.379897e+09
K14020	NaN	NaN	NaN	NaN
K08852	NaN	NaN	NaN	NaN
K03173	NaN	NaN	NaN	NaN
K04426	NaN	NaN	NaN	NaN
K04431	NaN	NaN	NaN	NaN
K04440	NaN	NaN	NaN	NaN
K02159	10187.232	9835.872	1.4856425e+09	1.292215e+09
K01367	19294.708	14532.113	3.005653e+09	2.1612594e+09
K03853	2647.295	5329.478	80303118	60213106
K04741	NaN	NaN	NaN	NaN
K10661	NaN	NaN	NaN	NaN
K10578	22869.924	28887.311	78525855	1.0064207e+08
K04554	NaN	NaN	NaN	NaN
K10575	5034.788	5303.116	40145138	70591574
K04555	1949.4585	1899.0345	80893024	1.181141e+08
K14022	NaN	NaN	NaN	NaN
K10601	14735.143	9562.1838	67774763	32226078
K10666	NaN	NaN	NaN	NaN
K14026	24129.025	13846.645	1.3458001e+08	94450381
K14027	NaN	NaN	NaN	NaN
K10636	NaN	NaN	NaN	NaN
K06689	10273.874	10861.404	1.3191243e+08	73314387
K03868	NaN	NaN	NaN	NaN
K03347	12611.086	15369.999	2.1018829e+08	3.9541023e+08
K03094	8616.3593	6214.538	1.1017315e+08	96132935
K10099	NaN	NaN	NaN	NaN
K10100	2134.5929	3767.9507	45698592	49808139
K08504	2189.2133	2140.7755	40181845	29406958
K04560	NaN	NaN	NaN	NaN
K08486	NaN	NaN	NaN	NaN
K13502	3865.1877	5825.5065	1.2572388e+08	1.6088739e+08
K08488	4234.4379	9152.5131	2.2161151e+08	5.4777631e+08
K08490	8383.041	6135.8555	46404191	47152460
K08491	3964.354	2092.0657	53315394	80157894
K08492	480.99635	648.0508	28258082	43843259
K08493	6217.2254	3862.3687	1.2426273e+08	61665199
K08495	1900.1625	2272.6975	1.4325225e+08	1.9070973e+08
K08496	2637.1672	1093.1121	1.0220947e+08	40523983
K08497	2886.5028	1953.6066	94332006	66897505
K08498	3811.4085	2502.4246	61474222	70841267
K08501	5363.1708	5808.9748	3.357931e+08	5.5147734e+08
K08502	NaN	NaN	NaN	NaN
K08505	NaN	NaN	NaN	NaN
K08507	3853.0653	4325.3259	52028223	52192248
K08508	11983.534	13267.174	2.951818e+08	4.101929e+08
K08509	2733.0198	2510.2755	1.3877244e+08	98014006
K08510	NaN	NaN	NaN	NaN
K13505	NaN	NaN	NaN	NaN
K08512	14098.3	8253.26	7.365254e+08	5.3870324e+08
K08513	NaN	NaN	NaN	NaN
K08515	NaN	NaN	NaN	NaN
K08516	6238.188	3896.0658	1.2307173e+08	1.7700656e+08
K08517	NaN	NaN	NaN	NaN
K13813	3462.0014	4052.5264	1.1902348e+08	1.7747875e+08
K03178	98496.52	103179.44	2.4811646e+09	3.3909264e+09
K10684	16704.949	17812.253	4.9912746e+08	7.4016926e+08
K10685	11129.152	10127.04	7.0639027e+08	1.1504873e+09
K10686	12106.709	9947.555	3.9217464e+08	2.8852008e+08
K10698	11499.963	24746.132	2.4577431e+08	5.2846235e+08
K10699	9474.2173	7580.9014	6.2251848e+08	1.342207e+09
K06688	NaN	NaN	NaN	NaN
K10576	4655.3919	4439.3238	47041497	1.0931984e+08
K04552	3052.8212	5444.266	3.1441076e+08	3.9186347e+08
K10579	NaN	NaN	NaN	NaN
K10580	4209.7312	7650.1904	1.5472278e+08	3.1303149e+08
K10581	12107.668	7494.4398	4.6822736e+08	7.0213762e+08
K10582	10168.596	9517.0706	2.2035318e+08	1.0978125e+08
K02207	20209.251	18856.66	1.0605232e+08	89446421
K10583	NaN	NaN	NaN	NaN
K10688	NaN	NaN	NaN	NaN
K10585	7496.6934	4125.9408	2.3198135e+08	2.3493344e+08
K04649	4336.98	5433.1	6.2223832e+08	1.2838422e+09
K10586	61575.589	51201.037	2.1383014e+08	2.0855143e+08
K10587	21020.475	19578.213	2.2158328e+08	2.4560615e+08
K10588	NaN	NaN	NaN	NaN
K10589	21863.712	16147.097	2.6395135e+08	3.244859e+08
K05632	NaN	NaN	NaN	NaN
K05630	NaN	NaN	NaN	NaN
K10590	81591.228	56176.704	3.5404386e+08	3.3512543e+08
K10591	NaN	NaN	NaN	NaN
K13305	NaN	NaN	NaN	NaN
K10592	167850.23	95525.892	1.9114586e+09	1.987814e+09
K10593	52180.078	65866.628	2.0982604e+08	2.0958104e+08
K10594	NaN	NaN	NaN	NaN
K10595	46785.289	24435.725	8.9283714e+08	1.9436204e+08
K10615	8954.5023	11128.836	78849375	1.6301158e+08
K10596	17207.372	6073.0127	1.9106339e+08	1.8175344e+08
K04707	NaN	NaN	NaN	NaN
K04506	NaN	NaN	NaN	NaN
K10054	12545.392	12709.355	49055430	1.618538e+08
K10144	NaN	NaN	NaN	NaN
K04706	NaN	NaN	NaN	NaN
K10604	NaN	NaN	NaN	NaN
K10607	NaN	NaN	NaN	NaN
K03875	NaN	NaN	NaN	NaN
K03870	10119.791	8058.4428	4.5472146e+08	6.0769753e+08
K03872	464.00592	2546.8016	2.476016e+08	1.3944839e+08
K03873	NaN	NaN	NaN	NaN
K03869	11300.352	9316.3776	5.3293696e+08	8.3379948e+08
K10456	13451.318	9318.8784	49067765	18733302
K10609	37759.031	32602.115	1.6087434e+08	2.1722513e+08
K10610	33971.43	16439.598	3.6727071e+09	4.5471573e+09
K10140	35973.725	20397.278	1.6033778e+08	1.1852238e+08
K10570	NaN	NaN	NaN	NaN
K10612	8126.586	5595.3066	1.1291005e+08	1.0252113e+08
K10613	NaN	NaN	NaN	NaN
K10264	NaN	NaN	NaN	NaN
K03349	NaN	NaN	NaN	NaN
K03363	NaN	NaN	NaN	NaN
K03364	6142.1168	4340.2034	1.4930676e+08	1.1678802e+08
K03348	19617.487	8116.6082	95801533	80758892
K03350	23221.408	16992.341	1.0876759e+08	1.7188624e+08
K03351	4730.5871	4493.9141	38338027	60093218
K03352	15010.835	14431.749	1.242741e+08	81938021
K03353	NaN	NaN	NaN	NaN
K03354	6196.1758	7639.4663	1.1146722e+08	1.1365223e+08
K03355	7042.9284	4407.9435	1.2261855e+08	1.7775988e+08
K03357	NaN	NaN	NaN	NaN
K03359	NaN	NaN	NaN	NaN
K12456	NaN	NaN	NaN	NaN
K12159	NaN	NaN	NaN	NaN
K08341	20263.394	22020.02	1.8024343e+08	2.4472328e+08
K12161	NaN	NaN	NaN	NaN
K12162	2153.0245	2742.372	52120704	51495957
K04532	11899.598	12055.006	7.8997818e+08	6.7684409e+08
K11996	NaN	NaN	NaN	NaN
K12164	4331.2032	3750.9865	4.7620353e+08	4.5121798e+08
K08337	3474.7111	2373.4545	99618959	55775582
K08343	2579.9622	3334.9312	1.823016e+08	1.0183684e+08
K12165	9005.6754	11532.302	1.1767394e+08	1.5842488e+08
K12231	43981.893	28728.792	1.4877654e+08	58166906
K12233	7528.5926	4193.7502	61725893	1.046381e+08
K10696	35182.541	28088.375	4.259467e+08	6.3843944e+08
K10657	920.94282	872.2299	37576822	44441964
K10660	5107.2214	4049.2646	10739444	10878341
K11968	7335.5229	2784.6045	58035780	72685336
K11969	8118.0831	3078.4596	64975724	32348836
K11974	14825.331	18634.683	54418891	42781421
K11998	6686.7	6594	9.7019985e+09	5.549412e+09
K10651	11782.85	16212.415	2.2966855e+08	2.0860642e+08
K10652	22156.407	11096.064	5.5299454e+08	6.5847304e+08
K08882	97692.495	79981.56	2.4823181e+09	3.0796751e+09
K08883	9392.0912	9078.5034	90393651	1.0324273e+08
K12014	9063.966	13104.258	13467650	40234603
K10625	16073.642	9580.7247	2.7690196e+08	1.5020416e+09
K10626	12673.873	11599.392	1.5388382e+08	1.0692227e+08
K10691	62379.478	57691.455	2.1742128e+09	2.4186422e+09
K10632	NaN	NaN	NaN	NaN
K10643	NaN	NaN	NaN	NaN
K10641	3939.4824	5043.1708	9891423	47961583
K10693	55356.128	50958.8	1.4095598e+08	4.1641057e+09
K10695	8858.5952	9552.8552	32798285	37670341
K12169	4461.1088	3458.5137	9164157.5	30015245
K10276	39542.581	22982.838	67129856	68224405
K10293	25805.853	22969.931	54333299	3.827867e+08
K06084	NaN	NaN	NaN	NaN
K10522	2099.8468	2019.0672	1.9497783e+08	2.2905263e+08
K11789	20696.837	12230.978	2.3447751e+08	3.7662658e+08
K11792	983.73288	851.7204	46034194	17430626
K11797	22623.011	11344.684	1.2983892e+08	1.6856754e+08
K11805	9127.5354	9515.979	1.2315138e+08	57660475
K08775	NaN	NaN	NaN	NaN
K11864	2243.2093	762.80661	1.1785942e+08	1.1191782e+08
K12173	5080.0354	3577.4613	1.6577705e+08	2.1638808e+08
K05611	493.94878	1579.0609	68927285	3.4914783e+08
K05609	6851.5721	6028.6435	6.2848229e+08	5.0878814e+08
K05610	6238.704	6261.2256	5.7579742e+08	5.6482322e+08
K08601	16569.583	18370.496	1.0471509e+08	50985374
K11835	52089.511	47778.691	2.9591087e+08	4.5601049e+08
K11836	21619.97	17302.857	7.9519534e+08	7.5837719e+08
K11838	53546.621	51991.809	7.791326e+08	1.1247884e+09
K11839	7491.3379	3858.1286	73227407	52438984
K11840	118955.18	59877.624	1.4094662e+09	1.1389433e+09
K11841	32501.531	23504.214	8.0606548e+08	1.2259827e+09
K11843	17510.077	11422.811	1.482165e+09	2.1741762e+09
K11844	23197.16	19390.621	10541595	19424402
K11847	18549.518	15081.772	79521994	49506276
K11849	21394.216	19515.664	70996786	1.3171927e+08
K11853	41406.287	26095.44	86624131	59679620
K11857	20068.263	13365.22	4.9890101e+08	5.1169775e+08
K11858	13584.72	17560.389	3.2020637e+08	5.9200941e+08
K09602	13816.946	12624.555	7.4420337e+08	6.4433435e+08
K11859	105881.33	78331.344	2.0916194e+08	1.5411202e+08
K11861	10292.393	7614.8197	69594325	35217595
K03030	3472.806	3646.871	1.5214073e+09	1.4482779e+09
K11866	9268.3856	7734.0992	1.4877317e+08	3.2342177e+08
K11867	3277.5602	3642.9326	84984736	2986985.3
K12175	8550.795	4699.2495	7.301607e+08	6.5772404e+08
K12177	12057.488	11588.846	2.8177438e+08	2.8496514e+08
K12178	8597.064	7251.1776	7.9898147e+08	6.0975272e+08
K09613	1144.3875	2389.446	4.5120447e+08	3.9807262e+08
K12180	7483.2593	7500.5766	2.0520993e+08	2.311563e+08
K12181	4498.8922	4422.2937	1.3796514e+08	2.119107e+08
K04487	3080.1663	2561.6221	2.449457e+08	2.1410605e+08
K01011	7097.6115	7562.0358	2.8764499e+08	1.6661476e+08
K14168	NaN	NaN	NaN	NaN
K14169	NaN	NaN	NaN	NaN
K00566	NaN	NaN	NaN	NaN
K03635	NaN	NaN	NaN	NaN
K03639	NaN	NaN	NaN	NaN
K03151	NaN	NaN	NaN	NaN
K03033	26219.24	23460.596	2.4431647e+09	2.3032618e+09
K03035	9582.9312	8434.9512	1.7699252e+09	1.6683439e+09
K03036	9311.0924	7999.1366	1.4511411e+09	8.0112598e+09
K03037	13166.34	12028.146	7.2932679e+08	7.5460004e+08
K03038	25382.128	15229.879	7.5576464e+08	7.6587677e+08
K03039	21656.171	20947.261	1.0568044e+09	1.4181493e+09
K03031	NaN	NaN	NaN	NaN
K10881	NaN	NaN	NaN	NaN
K03029	8881.398	7852.396	9.567936e+08	9.6509546e+08
K03028	34364.713	17068.039	3.318112e+09	2.6414167e+09
K03032	27387.79	12874.363	2.4016638e+09	2.7231361e+09
K03061	8193.7889	6497.0784	1.4731351e+09	1.1104125e+09
K03062	7157.612	642.9544	1.5314894e+09	1.3132055e+09
K03066	24974.603	26355.043	1.593975e+09	1.2636641e+09
K03064	1465.8881	2396.5668	1.3734668e+09	8.6345311e+08
K03065	8090.8578	8135.8992	1.8743642e+09	1.6320869e+09
K03063	18961.943	17022.966	1.6038536e+09	1.8664903e+09
K06696	39257.5	43209.25	2.9248942e+09	3.3656162e+09
K06697	NaN	NaN	NaN	NaN
K06698	6135.37	4632.9092	7.5654096e+08	9.3756277e+08
K06699	34293.438	21674.233	2.7708985e+08	2.2532625e+08
K02730	6073.326	6092.7552	1.2784368e+09	1.1710384e+09
K02726	13065.367	13603.59	1.6611866e+09	1.4455635e+09
K02728	32055.237	35470.422	1.6117506e+09	1.9011392e+09
K02731	24215.96	23800.014	1.0329224e+09	1.1058981e+09
K02729	25415.86	19868.209	4.4005561e+09	4.0175057e+09
K02725	9160.027	8732.6783	3.604684e+09	4.0976407e+09
K02727	6685.6665	7519.695	3.0454622e+09	2.5946706e+09
K02738	16480.054	13189.812	58057524	83509956
K02739	20377.782	22162.881	3.0723929e+08	4.3834472e+08
K02735	14122.183	11969.642	2.9063756e+09	2.5689542e+09
K02734	22772.094	16348.255	1.8828529e+09	2.2395802e+09
K02737	NaN	NaN	NaN	NaN
K02732	14578.235	14277.081	2.9134524e+09	3.0826349e+09
K02736	17038.19	20182.985	2.9642915e+09	2.6691023e+09
K02741	29097.216	26390.376	1.5594469e+09	1.3527835e+09
K02733	20792.226	36804.768	6.0787111e+08	7.7222609e+08
K02740	43882.62	28517.148	1.2113465e+09	1.4634764e+09
K11598	NaN	NaN	NaN	NaN
K06700	6011.1052	6090.7521	88316393	1.1735882e+08
K11599	NaN	NaN	NaN	NaN
K01380	NaN	NaN	NaN	NaN
K01379	3222.6887	1396.095	3.7526159e+08	1.9217745e+08
K08565	NaN	NaN	NaN	NaN
K09595	5806.3278	6514.8616	42906871	78311839
K01373	NaN	NaN	NaN	NaN
K01366	50033.925	32992.107	9.737044e+08	6.1297998e+08
K08568	16357.546	15179.27	1.5508511e+08	2.1324339e+08
K01372	19967.174	14450.3	2.720084e+08	3.6483459e+08
K08576	10351.197	4062.5041	22504703	21795314
