Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Immune System	-Folding, Sorting and Degradation	0.3931	0.5286	0.1618	0.186
-Endocrine System	-Folding, Sorting and Degradation	0.08997	0.09268	0.0693	0.05639
-Circulatory System	-Folding, Sorting and Degradation	0.01869	0.01999	0.02186	0.02014
-Digestive System	-Folding, Sorting and Degradation	0.05612	0.05617	0.02117	0.02369
-Excretory System	-Folding, Sorting and Degradation	0.07124	0.0644	0.04514	0.03937
-Nervous System	-Folding, Sorting and Degradation	0.07371	0.07515	0.06296	0.05666
-Sensory System	-Folding, Sorting and Degradation	0.009279	0.008118	0.003082	0.001378
-Development	-Folding, Sorting and Degradation	0.06085	0.05454	0.01882	0.0156
-Environmental Adaptation	-Folding, Sorting and Degradation	0.0205	0.031	0.02295	0.01896
Human Diseases	-Folding, Sorting and Degradation	0.7361	0.9052	0.6609	0.6791
-Cancers	-Folding, Sorting and Degradation	0.1389	0.1369	0.07068	0.06926
-Immune System Diseases	-Folding, Sorting and Degradation	0.0546	0.0599	0.0267	0.02431
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.2779	0.4042	0.4063	0.4181
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.06885	0.0611	0.1144	0.09739
-Metabolic Diseases	-Folding, Sorting and Degradation	0.013	0.01366	0.06364	0.09796
-Infectious Diseases	-Folding, Sorting and Degradation	0.3035	0.3552	0.1635	0.1899
Not Mapped	-Folding, Sorting and Degradation	2.249	2.736	1.259	1.239
-Not Mapped	-Folding, Sorting and Degradation	2.249	2.736	1.259	1.239
TOTAL	-DNA Maintenance	17.19	18.66	21.91	21.73
MAPPED	-DNA Maintenance	13.4	14.34	18.12	18.09
Genetic Information Processing	-DNA Maintenance	5.298	5.833	7.241	6.768
-Transcription	-DNA Maintenance	0.6809	0.7396	0.9082	0.8488
-Translation	-DNA Maintenance	1.872	2.482	2.109	1.979
-Folding, Sorting and Degradation	-DNA Maintenance	1.752	1.685	3.292	3.057
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.7745	0.7764	0.4581	0.4481
-Signal Transduction	-DNA Maintenance	0.2358	0.2189	0.1541	0.1709
-Signaling Molecules and Interaction	-DNA Maintenance	0.616	0.6374	0.2945	0.2659
Cellular Processes	-DNA Maintenance	1.792	1.777	2.138	1.843
-Cell structure	-DNA Maintenance	0	0	0	0
-Crystallins	-DNA Maintenance	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0.6292	0.7599	0.4352	0.4655
-Cytoskeleton	-DNA Maintenance	0.8366	0.7566	1.176	1.018
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.203	0.1916	0.2918	0.3161
