Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Development	MAPPED	0.003009	0.003634	0.00485	0.002315	0.002761	0.003239	0.0008193	0.001017	0.001868	0.0007096	0.001149	0.00129
-Environmental Adaptation	MAPPED	0	0.0007307	0.001605	0	0.0005283	0.001934	0	0.0004891	0.00264	0	0.000425	0.002205
Human Diseases	MAPPED	0.05927	0.09984	0.1139	0.05566	0.09374	0.121	0.06845	0.09203	0.1312	0.06598	0.0944	0.1283
-Cancers	MAPPED	0.01075	0.01262	0.0155	0.007863	0.009898	0.01303	0.006291	0.007542	0.00972	0.004812	0.008607	0.009756
-Immune System Diseases	MAPPED	0.001736	0.002687	0.003747	0.001797	0.002418	0.004141	0.002565	0.003461	0.004953	0.002096	0.003344	0.004835
-Neurodegenerative Diseases	MAPPED	0.01588	0.02634	0.03871	0.01354	0.02425	0.04888	0.02589	0.04355	0.07894	0.0244	0.04115	0.07875
-Cardiovascular Diseases	MAPPED	0.001539	0.002065	0.003355	0.0006942	0.0009764	0.002204	0.004437	0.00453	0.006933	0.002103	0.002193	0.004894
-Metabolic Diseases	MAPPED	0	0.0005131	0.001346	0	0.0004743	0.001096	0	2.029e-05	0.009369	0	1.923e-05	0.01429
-Infectious Diseases	MAPPED	0.02173	0.04148	0.04909	0.02281	0.04768	0.05183	0.01879	0.02356	0.05169	0.01725	0.0254	0.04981
Not Mapped	MAPPED	0.3842	0.3842	0.3842	0.3643	0.3643	0.3643	0.262	0.262	0.262	0.256	0.256	0.256
-Not Mapped	MAPPED	0.3842	0.3842	0.3842	0.3643	0.3643	0.3643	0.262	0.262	0.262	0.256	0.256	0.256
TOTAL	Genetic Information Processing	3.386	3.468	3.529	3.079	3.126	3.16	3.018	3.181	3.302	2.976	3.147	3.317
MAPPED	Genetic Information Processing	2.446	2.506	2.549	2.257	2.291	2.316	2.391	2.52	2.616	2.369	2.506	2.641
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.108	0.1153	0.1223	0.09278	0.1015	0.1052	0.0874	0.1161	0.1281	0.08049	0.1088	0.1184
-Translation	Genetic Information Processing	0.4573	0.4648	0.4746	0.5633	0.5677	0.577	0.3365	0.3507	0.3691	0.3458	0.3564	0.3789
-Folding, Sorting and Degradation	Genetic Information Processing	0.2862	0.3004	0.3113	0.2173	0.2311	0.2408	0.3736	0.3986	0.4287	0.3679	0.3952	0.4301
-DNA Maintenance	Genetic Information Processing	0.1084	0.1163	0.1224	0.09039	0.09604	0.1014	0.1107	0.1266	0.1451	0.11	0.1291	0.1392
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.1451	0.2218	0.2732	0.1181	0.168	0.2347	0.06239	0.07445	0.08529	0.05878	0.0715	0.08322
-Signal Transduction	Genetic Information Processing	0.0222	0.03005	0.04177	0.01563	0.02585	0.03121	0.01226	0.01715	0.01917	0.01435	0.01939	0.02247
-Signaling Molecules and Interaction	Genetic Information Processing	0.1178	0.1929	0.24	0.09166	0.1431	0.2035	0.04757	0.05755	0.06814	0.04099	0.05179	0.06156
Cellular Processes	Genetic Information Processing	0.2392	0.2742	0.2884	0.1939	0.233	0.243	0.198	0.2608	0.2828	0.185	0.2312	0.2438
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.08723	0.1026	0.1056	0.08627	0.1005	0.1052	0.04035	0.05678	0.06322	0.04077	0.06862	0.07327
-Cytoskeleton	Genetic Information Processing	0.07871	0.133	0.1424	0.05511	0.103	0.1119	0.08417	0.1567	0.1743	0.06203	0.1221	0.1365
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.01657	0.03227	0.04479	0.01241	0.02183	0.03155	0.01502	0.04338	0.05544	0.0146	0.04244	0.05491
-Cell Communication	Genetic Information Processing	0.01071	0.01544	0.02208	0.007459	0.01231	0.01635	0.01101	0.01402	0.02013	0.01072	0.01466	0.0204
Metabolism	Genetic Information Processing	0.4923	0.5787	0.596	0.4064	0.4744	0.5114	0.6109	0.7483	0.8576	0.6704	0.7965	0.937
-Membrane Transport	Genetic Information Processing	0.005946	0.01257	0.01726	0.0042	0.009964	0.01375	0.00392	0.006952	0.01109	0.002558	0.00617	0.01192
-Central Carbon Metabolism	Genetic Information Processing	0.0463	0.06475	0.09225	0.03633	0.0479	0.07007	0.07521	0.1449	0.1697	0.09384	0.1643	0.2056
-Energy Metabolism	Genetic Information Processing	0.01932	0.03115	0.04763	0.01579	0.02637	0.03894	0.02391	0.04601	0.1157	0.03072	0.06152	0.119
-Biosynthesis	Genetic Information Processing	0.1118	0.1223	0.1721	0.08961	0.09806	0.1528	0.1208	0.1369	0.1867	0.1179	0.1394	0.2146
-Other Enzymes	Genetic Information Processing	0.2679	0.307	0.3681	0.2232	0.2436	0.3252	0.2514	0.376	0.5331	0.2693	0.3922	0.5484
Organismal Systems	Genetic Information Processing	0.1965	0.2132	0.2485	0.1607	0.1861	0.2199	0.1351	0.1529	0.182	0.1033	0.1246	0.1539
-Immune System	Genetic Information Processing	0.1136	0.1215	0.1599	0.1111	0.1221	0.1609	0.0429	0.0488	0.06051	0.04028	0.04451	0.0577
-Endocrine System	Genetic Information Processing	0.01268	0.01973	0.02279	0.01003	0.01544	0.01758	0.03712	0.04476	0.04753	0.01478	0.02052	0.02458
-Circulatory System	Genetic Information Processing	0.001919	0.003964	0.01168	0.0009572	0.002748	0.01043	0.005634	0.009487	0.02731	0.004865	0.008419	0.02574
-Digestive System	Genetic Information Processing	0.007369	0.01052	0.01732	0.003587	0.006933	0.009245	0.001417	0.003207	0.00878	0.001237	0.002278	0.009112
-Excretory System	Genetic Information Processing	0.007011	0.02085	0.02508	0.005891	0.01576	0.01983	0.004382	0.02055	0.02391	0.004704	0.02028	0.02261
-Nervous System	Genetic Information Processing	0.004152	0.02277	0.02614	0.003026	0.01608	0.01791	0.002011	0.01588	0.03647	0.002098	0.01622	0.03612
-Sensory System	Genetic Information Processing	0	0	0.0003523	0	0	0.0002663	0	0	0.001234	0	0	0.0004439
-Development	Genetic Information Processing	0.007495	0.009105	0.01234	0.005283	0.006356	0.007494	0.002005	0.002493	0.004887	0.001778	0.002775	0.003332
-Environmental Adaptation	Genetic Information Processing	0	0.001788	0.004091	0	0.001192	0.004479	0	0.001233	0.00677	0	0.00108	0.005606
Human Diseases	Genetic Information Processing	0.1506	0.2545	0.2853	0.1288	0.217	0.2769	0.1637	0.236	0.3309	0.1563	0.24	0.3184
-Cancers	Genetic Information Processing	0.0274	0.03134	0.03963	0.0182	0.02234	0.03018	0.01586	0.01845	0.02399	0.01206	0.02086	0.02338
-Immune System Diseases	Genetic Information Processing	0.004324	0.006731	0.009543	0.004158	0.005599	0.00945	0.006762	0.009037	0.01208	0.005558	0.008225	0.01173
-Neurodegenerative Diseases	Genetic Information Processing	0.03955	0.0671	0.09469	0.03085	0.05613	0.1111	0.06312	0.1098	0.1894	0.05897	0.1031	0.1887
-Cardiovascular Diseases	Genetic Information Processing	0.003765	0.005245	0.008405	0.001567	0.002259	0.00503	0.01068	0.0117	0.01747	0.005038	0.005523	0.01226
-Metabolic Diseases	Genetic Information Processing	0	0.001278	0.003442	0	0.001081	0.002539	0	4.851e-05	0.02451	0	4.556e-05	0.03775
-Infectious Diseases	Genetic Information Processing	0.0552	0.1037	0.1252	0.05278	0.1076	0.1201	0.04818	0.06086	0.1265	0.04386	0.064	0.1217
Not Mapped	Genetic Information Processing	0.94	0.9627	0.9795	0.8222	0.8348	0.8438	0.6266	0.6604	0.6856	0.6065	0.6415	0.6761
-Not Mapped	Genetic Information Processing	0.94	0.9627	0.9795	0.8222	0.8348	0.8438	0.6266	0.6604	0.6856	0.6065	0.6415	0.6761
TOTAL	-Transcription	27.73	30.06	31.94	28.8	30.5	33.01	24.83	26.3	33.31	26.75	28.46	34.8
MAPPED	-Transcription	20.03	21.72	23.07	21.11	22.36	24.19	19.67	20.84	26.4	21.29	22.66	27.7
Genetic Information Processing	-Transcription	8.052	8.594	9.097	9.125	9.68	10.6	7.733	8.124	10.79	8.377	8.986	11.34
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	3.745	3.995	4.286	5.265	5.512	6.091	2.76	2.905	3.674	2.985	3.293	3.984
-Folding, Sorting and Degradation	-Transcription	2.304	2.582	2.813	1.983	2.281	2.503	2.932	3.179	4.577	3.158	3.457	4.785
-DNA Maintenance	-Transcription	0.8942	0.9955	1.066	0.8763	0.9388	1.04	0.8642	0.9915	1.538	0.9421	1.101	1.569
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	1.188	1.993	2.346	1.134	1.782	2.269	0.5118	0.6572	0.7496	0.5186	0.6749	0.7567
-Signal Transduction	-Transcription	0.2007	0.2605	0.3415	0.162	0.2538	0.3157	0.1092	0.145	0.1779	0.1319	0.1837	0.2227
-Signaling Molecules and Interaction	-Transcription	0.9642	1.684	2.005	0.8803	1.449	1.968	0.3836	0.5122	0.6029	0.3562	0.4874	0.5786
Cellular Processes	-Transcription	2.09	2.31	2.572	1.95	2.218	2.511	1.608	2.103	2.52	1.607	2.078	2.449
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0.7319	0.862	0.933	0.8201	0.9702	1.072	0.3595	0.4827	0.5623	0.3748	0.5963	0.7215
-Cytoskeleton	-Transcription	0.714	1.138	1.228	0.5724	1.015	1.102	0.6664	1.295	1.676	0.5352	1.069	1.37
-Cell Motility	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	0.1357	0.272	0.3886	0.1192	0.2113	0.3263	0.1211	0.3724	0.5049	0.1312	0.3789	0.5261
-Cell Communication	-Transcription	0.08983	0.1377	0.1778	0.0709	0.1322	0.1573	0.09072	0.1153	0.1641	0.09317	0.1438	0.2006
Metabolism	-Transcription	4.218	5.001	5.252	3.934	4.793	5.236	5.507	6.632	7.641	6.616	7.828	8.614
-Membrane Transport	-Transcription	0.05409	0.1164	0.139	0.04453	0.1074	0.1255	0.03031	0.05822	0.08943	0.02161	0.05684	0.1071
-Central Carbon Metabolism	-Transcription	0.4014	0.5595	0.8367	0.3516	0.4684	0.7277	0.5816	1.221	1.368	0.7928	1.515	1.848
-Energy Metabolism	-Transcription	0.1556	0.2685	0.3996	0.1441	0.2553	0.3837	0.1928	0.3717	1.031	0.276	0.539	1.094
-Biosynthesis	-Transcription	0.9342	1.064	1.386	0.9045	1.005	1.394	0.9425	1.234	1.516	1.01	1.338	1.865
-Other Enzymes	-Transcription	2.322	2.608	3.039	2.211	2.471	3.203	2.796	3.203	4.233	3.268	3.703	4.928
Organismal Systems	-Transcription	1.689	1.824	2.154	1.669	1.881	2.128	1.126	1.458	1.61	0.9641	1.249	1.412
-Immune System	-Transcription	0.9533	1.095	1.387	1.104	1.178	1.557	0.3604	0.4424	0.53	0.3761	0.4459	0.5296
-Endocrine System	-Transcription	0.1038	0.173	0.2073	0.09632	0.1504	0.1713	0.3392	0.3575	0.5128	0.1401	0.1733	0.2787
-Circulatory System	-Transcription	0.01736	0.03595	0.09406	0.009917	0.02854	0.09914	0.04854	0.0874	0.2433	0.0456	0.07963	0.2367
-Digestive System	-Transcription	0.06703	0.08602	0.1495	0.03726	0.07214	0.08721	0.01106	0.02778	0.07082	0.0106	0.02108	0.08188
-Excretory System	-Transcription	0.06493	0.1704	0.2111	0.0607	0.1524	0.1809	0.05014	0.1589	0.2075	0.05844	0.1743	0.2107
-Nervous System	-Transcription	0.03568	0.1833	0.2186	0.02982	0.1544	0.1855	0.01569	0.1485	0.3234	0.01797	0.1491	0.3386
-Sensory System	-Transcription	0	0	0.003129	0	0	0.002735	0	0	0.01024	0	0	0.004081
-Development	-Transcription	0.06696	0.07586	0.1053	0.05601	0.06268	0.06838	0.01707	0.02163	0.03779	0.01523	0.02446	0.03117
-Environmental Adaptation	-Transcription	0	0.01464	0.03702	0	0.01145	0.0475	0	0.01027	0.05567	0	0.00963	0.05444
Human Diseases	-Transcription	1.212	2.188	2.392	1.175	2.253	2.785	1.468	1.873	3.337	1.507	2.01	3.43
-Cancers	-Transcription	0.2355	0.2761	0.3331	0.189	0.216	0.2869	0.1238	0.1904	0.2246	0.1033	0.195	0.2514
-Immune System Diseases	-Transcription	0.04005	0.05835	0.08656	0.03794	0.05636	0.1002	0.05942	0.06988	0.1295	0.05109	0.07178	0.133
-Neurodegenerative Diseases	-Transcription	0.3663	0.6086	0.7917	0.3325	0.5829	1.131	0.5438	0.8567	1.807	0.5528	0.8835	1.913
-Cardiovascular Diseases	-Transcription	0.03083	0.04291	0.07647	0.01504	0.02265	0.05333	0.08955	0.1042	0.142	0.04477	0.0543	0.1051
-Metabolic Diseases	-Transcription	0	0.0117	0.02923	0	0.01147	0.02427	0	0.0005355	0.1896	0	0.0005329	0.3189
-Infectious Diseases	-Transcription	0.4445	0.9204	1.099	0.4816	1.033	1.23	0.3792	0.5677	1.137	0.3674	0.6064	1.11
Not Mapped	-Transcription	7.696	8.344	8.864	7.691	8.145	8.814	5.155	5.46	6.917	5.452	5.801	7.093
-Not Mapped	-Transcription	7.696	8.344	8.864	7.691	8.145	8.814	5.155	5.46	6.917	5.452	5.801	7.093
TOTAL	-Translation	7.27	7.457	7.551	5.384	5.501	5.534	8.587	9.013	9.127	8.425	8.704	8.802
MAPPED	-Translation	5.252	5.387	5.455	3.946	4.032	4.056	6.804	7.142	7.232	6.708	6.929	7.008
Genetic Information Processing	-Translation	2.062	2.151	2.177	1.705	1.754	1.774	2.7	2.826	2.966	2.604	2.754	2.89
-Transcription	-Translation	0.2273	0.2481	0.2617	0.1635	0.178	0.1847	0.2593	0.3323	0.3622	0.2326	0.302	0.3214
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.603	0.6463	0.6807	0.3767	0.4055	0.4271	1.012	1.137	1.274	0.9581	1.109	1.244
-DNA Maintenance	-Translation	0.2234	0.2515	0.262	0.1541	0.1685	0.178	0.313	0.3527	0.4187	0.3028	0.3622	0.3939
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.3173	0.4769	0.5634	0.2095	0.295	0.4069	0.1854	0.2072	0.2411	0.17	0.199	0.2292
-Signal Transduction	-Translation	0.04805	0.06463	0.08939	0.02756	0.04589	0.05475	0.0332	0.0482	0.05687	0.03736	0.05578	0.06098
-Signaling Molecules and Interaction	-Translation	0.2575	0.4089	0.4947	0.1626	0.248	0.3551	0.139	0.1641	0.1907	0.1185	0.1452	0.163
Cellular Processes	-Translation	0.4931	0.5865	0.6168	0.3307	0.4059	0.4272	0.5344	0.7258	0.8192	0.4882	0.6276	0.6937
-Hemoglobin	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Translation	0.1849	0.2179	0.2279	0.1503	0.1771	0.1855	0.1093	0.1547	0.176	0.1062	0.1811	0.2013
-Cytoskeleton	-Translation	0.1623	0.2862	0.304	0.09397	0.1806	0.197	0.2272	0.4565	0.5095	0.1637	0.3476	0.388
-Cell Motility	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Translation	0.03624	0.06871	0.09234	0.02202	0.03846	0.05379	0.0418	0.1175	0.1581	0.03964	0.1108	0.1516
-Cell Communication	-Translation	0.0227	0.03321	0.04652	0.01299	0.02168	0.02901	0.02983	0.04158	0.0554	0.0283	0.04234	0.05401
Metabolism	-Translation	1.059	1.245	1.277	0.716	0.8422	0.901	1.816	2.176	2.36	1.938	2.243	2.453
