Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Infectious Diseases	TOTAL	0	0.0004614	0.05086	0.0002535	0.002191	0.008454	0.001581	0.004359	0.007594	0.001537	0.006127	0.0139	0.002146	0.004156	0.006808	0.001973	0.003769	0.006334	0.01539	0.02202	0.02912	0.01553	0.02306	0.03083	0.00922	0.01494	0.02083	0.01096	0.01565	0.02103	0.01007	0.01824	0.03122	0.007013	0.01612	0.02721
Not Mapped	TOTAL	0.1798	0.1798	0.1798	0.09211	0.09211	0.09211	0.1253	0.1253	0.1253	0.07939	0.07939	0.07939	0.1459	0.1459	0.1459	0.1442	0.1442	0.1442	0.1768	0.1768	0.1768	0.1717	0.1717	0.1717	0.1893	0.1893	0.1893	0.1908	0.1908	0.1908	0.1312	0.1312	0.1312	0.1037	0.1037	0.1037
-Not Mapped	TOTAL	0.1798	0.1798	0.1798	0.09211	0.09211	0.09211	0.1253	0.1253	0.1253	0.07939	0.07939	0.07939	0.1459	0.1459	0.1459	0.1442	0.1442	0.1442	0.1768	0.1768	0.1768	0.1717	0.1717	0.1717	0.1893	0.1893	0.1893	0.1908	0.1908	0.1908	0.1312	0.1312	0.1312	0.1037	0.1037	0.1037
TOTAL	MAPPED	1.219	1.219	1.219	1.101	1.101	1.101	1.143	1.143	1.143	1.086	1.086	1.086	1.171	1.171	1.171	1.169	1.169	1.169	1.215	1.215	1.215	1.207	1.207	1.207	1.234	1.234	1.234	1.236	1.236	1.236	1.151	1.151	1.151	1.116	1.116	1.116
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2581	0.3209	0.3801	0.3349	0.3442	0.355	0.4141	0.4227	0.4331	0.355	0.3639	0.3732	0.4002	0.4085	0.4191	0.3453	0.3532	0.3668	0.4065	0.4184	0.427	0.3966	0.4078	0.4192	0.4427	0.4541	0.4662	0.4193	0.4285	0.4407	0.2919	0.3126	0.3343	0.3712	0.3837	0.3946
-Transcription	MAPPED	0.004673	0.01271	0.02915	0.01736	0.02068	0.02712	0.003526	0.005522	0.01066	0.002243	0.003406	0.004946	0.005257	0.007599	0.01043	0.004415	0.00666	0.008986	0.04654	0.04943	0.05227	0.04339	0.04623	0.04939	0.04932	0.05136	0.05412	0.03986	0.04183	0.04454	0.03517	0.03821	0.04205	0.03909	0.04049	0.04304
-Translation	MAPPED	0.1482	0.1494	0.1517	0.2447	0.2463	0.2486	0.2692	0.272	0.2751	0.2181	0.2217	0.2262	0.2623	0.2652	0.2683	0.2249	0.2276	0.23	0.1308	0.1333	0.1358	0.1276	0.1299	0.1327	0.1845	0.1899	0.1938	0.1677	0.1722	0.1759	0.08211	0.08609	0.09352	0.152	0.154	0.1561
-Folding, Sorting and Degradation	MAPPED	0.04796	0.09601	0.1589	0.05151	0.05823	0.06485	0.1195	0.1275	0.1335	0.1211	0.1306	0.1381	0.1095	0.1173	0.1239	0.09405	0.1017	0.1103	0.1651	0.1751	0.1853	0.1608	0.1711	0.1819	0.1394	0.1476	0.1549	0.1441	0.1515	0.159	0.1129	0.1274	0.1436	0.1373	0.1505	0.1604
-DNA Maintenance	MAPPED	0.03362	0.04654	0.0705	0.01378	0.0162	0.02464	0.01582	0.01769	0.0197	0.00729	0.00823	0.009448	0.01292	0.0185	0.02509	0.01208	0.01735	0.02517	0.05473	0.06022	0.06471	0.05482	0.06116	0.06624	0.05631	0.06636	0.07588	0.05597	0.06393	0.07039	0.04545	0.0601	0.07557	0.03501	0.04015	0.04433
-RNA Family	MAPPED	0	0	0	2.604e-10	3.472e-10	4.339e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.00704	0.00704	0.008292	0.005102	0.005931	0.00681	0.007982	0.009066	0.01057	0.005798	0.006919	0.008213	0.005582	0.006138	0.007464	0.004682	0.005304	0.006444	0.01921	0.02287	0.02761	0.01851	0.022	0.02719	0.02534	0.03034	0.03648	0.02716	0.03115	0.03679	0.01714	0.02037	0.02483	0.02244	0.0282	0.03298
-Signal Transduction	MAPPED	0	0	0.001252	0.005073	0.005931	0.00681	0.001361	0.002314	0.003687	0.000998	0.002014	0.003229	0.00241	0.003091	0.004409	0.00205	0.002738	0.003843	0.004413	0.006765	0.009987	0.004942	0.007455	0.01151	0.005101	0.00821	0.01241	0.005675	0.008912	0.01203	0.004584	0.006763	0.009025	0.002588	0.00917	0.01169
-Signaling Molecules and Interaction	MAPPED	0.00704	0.00704	0.00704	1.157e-10	1.157e-10	0.0001974	0.006242	0.006387	0.007637	0.004752	0.004828	0.005503	0.002855	0.003049	0.003439	0.002429	0.002617	0.002797	0.01367	0.01622	0.01947	0.01248	0.0142	0.01706	0.01814	0.02182	0.02609	0.01934	0.02258	0.02559	0.01082	0.0136	0.0163	0.01868	0.02069	0.0226
Cellular Processes	MAPPED	0.04761	0.05193	0.05318	0.006061	0.007587	0.01193	0.01489	0.01729	0.02045	0.0144	0.01593	0.02007	0.02953	0.03593	0.04114	0.02855	0.03371	0.03893	0.104	0.1173	0.1285	0.09494	0.1063	0.1173	0.1511	0.1586	0.1664	0.1852	0.2019	0.2111	0.2761	0.3261	0.3492	0.1994	0.2121	0.2323
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.619e-07	9.619e-07	2.038e-06	3.219e-06	3.219e-06	3.259e-06	0	0	0	6.444e-06	6.444e-06	1.717e-05
-Vesicular Transport	MAPPED	0	0	0	0	0	2.893e-11	0.002059	0.003435	0.006236	0.001457	0.002848	0.006791	0.002808	0.005489	0.008171	0.002858	0.005158	0.008092	0.0189	0.0227	0.02674	0.0191	0.02368	0.0275	0.01152	0.01682	0.0208	0.01386	0.01872	0.02375	0.007623	0.0151	0.0283	0.006112	0.01746	0.02348
-Cytoskeleton	MAPPED	0.02081	0.02513	0.02513	0.003603	0.003603	0.003603	0.003344	0.00346	0.003563	0.005476	0.005876	0.006189	0.001467	0.001916	0.002837	0.001568	0.002037	0.002917	0.04875	0.0591	0.07109	0.03933	0.04842	0.05988	0.108	0.1118	0.1182	0.1303	0.1364	0.1509	0.2239	0.2366	0.2857	0.1619	0.1722	0.1851
-Cell Motility	MAPPED	0	0	0	1.446e-09	0.001525	0.005874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.0268	0.0268	0.02805	0.002235	0.002481	0.003367	0.008486	0.009621	0.01095	0.006645	0.007077	0.007559	0.02354	0.03032	0.03132	0.02233	0.02776	0.0289	0.01531	0.01814	0.0209	0.01489	0.01793	0.02152	0.01237	0.01473	0.01884	0.01459	0.01708	0.02022	0.01061	0.01254	0.02705	0.01128	0.0131	0.0163
-Cell Communication	MAPPED	0	0	0	0	0	0	0	0.0001218	0.0005547	0	0.0001286	0.0004118	0	0.0001197	0.0007473	0	0.0001438	0.000775	0.01021	0.01219	0.02227	0.009784	0.01212	0.02284	0.01188	0.0136	0.0181	0.01787	0.02027	0.035	0.02008	0.02277	0.07289	0.009559	0.01114	0.01913
Metabolism	MAPPED	0.5445	0.5708	0.5904	0.6247	0.6347	0.6435	0.5238	0.5313	0.5389	0.5848	0.5917	0.5981	0.5219	0.5298	0.5374	0.5752	0.5863	0.5939	0.3003	0.3133	0.3343	0.3291	0.3416	0.3607	0.2416	0.2496	0.2575	0.2271	0.2349	0.2416	0.2237	0.2385	0.2527	0.2855	0.2971	0.3088
-Membrane Transport	MAPPED	0.03039	0.05374	0.05842	0.06388	0.06911	0.07367	0.009609	0.01003	0.01049	0.004024	0.004379	0.004851	0.009079	0.01386	0.01669	0.005487	0.008666	0.01163	0.001928	0.002972	0.003983	0.001763	0.002313	0.003042	0.003016	0.003691	0.004401	0.001862	0.002459	0.0031	0.001292	0.001596	0.001799	0.0004208	0.0007521	0.0009927
-Central Carbon Metabolism	MAPPED	0.1582	0.1895	0.2292	0.1176	0.1349	0.1493	0.1345	0.1578	0.1813	0.1267	0.1566	0.1893	0.1474	0.1834	0.2193	0.1266	0.1653	0.2041	0.08833	0.09936	0.1147	0.1033	0.114	0.1323	0.04959	0.05837	0.06692	0.05327	0.06043	0.06894	0.07093	0.07721	0.08379	0.1193	0.1401	0.1553
-Energy Metabolism	MAPPED	0.007752	0.0466	0.0737	0.02062	0.03318	0.0447	0.01399	0.02784	0.05353	0.02053	0.03892	0.06039	0.01416	0.02553	0.05444	0.01439	0.0254	0.05327	0.009057	0.01654	0.04154	0.009357	0.01778	0.04033	0.00857	0.01336	0.02205	0.006702	0.01037	0.01737	0.00337	0.006198	0.01391	0.002155	0.009731	0.02873
-Biosynthesis	MAPPED	0.07906	0.1035	0.1318	0.1826	0.2077	0.2344	0.1282	0.1491	0.1737	0.1544	0.1871	0.2201	0.129	0.144	0.1592	0.1675	0.1869	0.2107	0.04773	0.0549	0.06579	0.05003	0.05935	0.06968	0.05358	0.06298	0.07275	0.04584	0.05544	0.06428	0.04588	0.06251	0.073	0.02807	0.04941	0.05695
