Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Membrane Transport	MAPPED	0.02791	0.04345	0.05086	0.02264	0.0455	0.04728	0.02236	0.04357	0.04471	0.01877	0.03622	0.0373	0.01532	0.02812	0.02989
-Central Carbon Metabolism	MAPPED	0.1369	0.1533	0.1697	0.1494	0.172	0.1898	0.1417	0.1606	0.1691	0.1351	0.148	0.1566	0.1281	0.1378	0.1467
-Energy Metabolism	MAPPED	0.009591	0.0193	0.03696	0.009757	0.02183	0.04225	0.009622	0.02357	0.04	0.01104	0.02171	0.03457	0.01149	0.02027	0.0329
-Biosynthesis	MAPPED	0.09666	0.1045	0.1266	0.1121	0.1249	0.1502	0.1173	0.1379	0.1626	0.1315	0.1643	0.1896	0.1458	0.1735	0.2013
-Other Enzymes	MAPPED	0.06384	0.07917	0.09568	0.07743	0.09282	0.1115	0.06713	0.09263	0.1015	0.06131	0.08833	0.1123	0.05795	0.08487	0.1125
Organismal Systems	MAPPED	0	0	0.008198	0	0	1.102e-07	0	0	8.341e-08	0	0	7.343e-08	0	0	6.675e-08
-Immune System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0.008198	0	0	1.102e-07	0	0	8.341e-08	0	0	7.343e-08	0	0	6.675e-08
Human Diseases	MAPPED	0	0.0009619	0.003325	0	1.102e-07	0.0008573	0	8.341e-08	0.0009467	0	7.343e-08	0.001041	0	6.675e-08	0.001232
-Cancers	MAPPED	0	0	0.002363	0	0	1.102e-07	0	0	8.341e-08	0	0	7.343e-08	0	0	6.675e-08
-Immune System Diseases	MAPPED	0	0	1.328e-07	0	0	1.102e-07	0	0	8.341e-08	0	0	7.343e-08	0	0	6.675e-08
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0.0009619	0	0	0.0008572	0	0	0.0009466	0	0	0.001041	0	0	0.001232
Not Mapped	MAPPED	0.1353	0.1353	0.1353	0.1171	0.1171	0.1171	0.1079	0.1079	0.1079	0.1014	0.1014	0.1014	0.1014	0.1014	0.1014
-Not Mapped	MAPPED	0.1353	0.1353	0.1353	0.1171	0.1171	0.1171	0.1079	0.1079	0.1079	0.1014	0.1014	0.1014	0.1014	0.1014	0.1014
TOTAL	Genetic Information Processing	5.309	5.422	5.504	4.836	4.924	5.007	4.338	4.418	4.5	4.069	4.143	4.21	3.709	3.777	3.839
MAPPED	Genetic Information Processing	4.676	4.776	4.848	4.329	4.408	4.482	3.915	3.988	4.062	3.694	3.761	3.822	3.368	3.429	3.485
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
