KO number	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
K14537	NaN	NaN	NaN	NaN
K14538	NaN	NaN	NaN	NaN
K14571	NaN	NaN	NaN	NaN
K14572	NaN	NaN	NaN	NaN
K14573	NaN	NaN	NaN	NaN
K11883	NaN	NaN	NaN	NaN
K14574	NaN	NaN	NaN	NaN
K14536	NaN	NaN	NaN	NaN
K14539	NaN	NaN	NaN	NaN
K14575	NaN	NaN	NaN	NaN
K07178	NaN	NaN	NaN	NaN
K07179	NaN	NaN	NaN	NaN
K03685	8583028	766818	152776	324310
K12598	NaN	NaN	NaN	NaN
K14817	NaN	NaN	NaN	NaN
K14840	NaN	NaN	NaN	NaN
K06183	4943400	574035	174174	343497
K02528	12167400	NaN	NaN	NaN
K03500	9708699	603174	90519	310596
K00564	11276125	759402	137543	309043
K08316	1251954	147510	35244	61578
K09761	2426112	245430	60993	105705
K11392	3546413	215007	40885	69264
K03501	4348863	457470	55476	147177
K02427	4388164	340461	67925	386859
K06970	4702600	324800	75250	102200
K11391	5939514	418068	44604	114156
K06969	20176992	1212552	190080	554796
K12297	31047354	1234818	219024	706212
K06941	17644550	1360450	190400	481950
K00563	4056150	NaN	NaN	NaN
K03215	3818627	NaN	NaN	NaN
K03212	1718250	NaN	NaN	NaN
K03214	22181430	1362405	345345	671025
K03218	5990922	548694	97929	303750
K06177	1501245	128115	16206	47523
K06178	24331383	2022159	261609	938184
K06179	10896402	778041	123134	350581
K06180	11578868	776858	233416	388266
K06181	801815	78988	37324	37758
K06182	1809310	150510	49880	90770
K03789	638472	92500	23088	25900
K03790	647766	70228	59364	86524
K03817	272438	31146	38843	15752
K05592	1.1852262e+08	5947545	553410	1806645
K05591	2022682	117906	27420	42044
K05590	16916844	1031856	248196	373848
K06949	5911850	451150	115850	310450
K01139	8172032	332288	111232	229504
eco_b3509	361200	66850	1913450	49350
K03545	3.5453635e+08	24373650	4594800	14033950
K04079	1.3473595e+08	7725744	1510704	7121088
K07400	39749850	5568850	1515150	4036900
K06142	44456300	NaN	NaN	NaN
K03704	88354926	23364773	5856123	11813283
K09485	NaN	NaN	NaN	NaN
K09486	NaN	NaN	NaN	NaN
K03694	21602242	749662	1834360	703424
K03695	79109229	2725776	1169483	3021233
K03544	44322840	2483368	1049400	1640880
K03667	56137846	4132747	631718	2852034
K09487	NaN	NaN	NaN	NaN
K09489	NaN	NaN	NaN	NaN
K09490	NaN	NaN	NaN	NaN
K04043	5.7566676e+08	28442678	6741746	29316738
K04044	34371568	1389696	333872	1387232
K04045	51450	1750	350	8.9
K04046	3026700	144450	31500	49500
K04077	5.8310926e+08	28586420	6139792	31726460
K09502	NaN	NaN	NaN	NaN
K09503	NaN	NaN	NaN	NaN
K09504	NaN	NaN	NaN	NaN
K09507	NaN	NaN	NaN	NaN
K09508	NaN	NaN	NaN	NaN
K09517	NaN	NaN	NaN	NaN
K09518	NaN	NaN	NaN	NaN
K09521	NaN	NaN	NaN	NaN
K09523	NaN	NaN	NaN	NaN
K09525	NaN	NaN	NaN	NaN
K09526	NaN	NaN	NaN	NaN
K09530	NaN	NaN	NaN	NaN
K09540	NaN	NaN	NaN	NaN
K03686	35304144	2138688	352688	1861576
K05516	1707786	155448	178398	114138
K05801	3378015	206502	37127	92411
K04082	1554732	249831	71136	196821
K04083	21222390	1883070	279888	1252734
K09541	NaN	NaN	NaN	NaN
K09542	NaN	NaN	NaN	NaN
K04455	NaN	NaN	NaN	NaN
K13993	NaN	NaN	NaN	NaN
K04080	1864022	388258	91242	278384
K04081	429976	88040	19596	83070
K03687	39174238	4565278	932007	4152760
K04762	491435	89908	23142	55195
K04078	31921002	8614146	2005018	6939526
K08054	NaN	NaN	NaN	NaN
K08057	NaN	NaN	NaN	NaN
K08669	NaN	NaN	NaN	NaN
K04771	20244540	1013886	758874	1060812
K03798	39228700	1592500	393400	731850
K07346	353306	35909	13255	1205
K03071	25938940	3286775	804915	2765200
K09553	NaN	NaN	NaN	NaN
K09554	NaN	NaN	NaN	NaN
K09555	NaN	NaN	NaN	NaN
