KO number	eco Li complete	eco Li minimal	eco Li without methionine
K09888	2275	738	2008
K18657	155	280	243
K18778	1983	373	538
K06916	255	214	262
K01448	1429	531	784
K03585	3861	1295	2397
K13053	334	373	377
K03570	738	176	333
K03571	367	71	148
K05837	435	103	156
K03733	393	212	361
K04763	199	73	103
K04095	28	173	0.1
K10563	684	86	511
K05522	248	93	253
K10773	542	188	327
K01247	32	37	14
K01246	285	213	287
K03648	1058	439	718
K03649	455	517	354
K03575	501	93	233
K01142	3914	1111	2245
K01151	1041	436	695
K07462	504	118	259
K03723	588	353	525
K03701	621	206	308
K03702	370	197	292
K03703	269	156	205
K03657	551	126	322
K03555	1049	150	484
K03572	160	77	118
K03573	119	37	61
K01141	401	159	280
K03601	559	267	612
K03602	1871	557	787
K10857	377	223	225
K03629	149	41	68
K03584	85	34	29
K06187	1342	226	485
K03553	10377	2926	5850
K03550	657	249	384
K03551	452	196	218
K01159	462	61	109
K03655	112	56	85
K03582	93	36	33
K03583	118	41	88
K03581	113	46	47
K04066	105	59	76
K02686	1148	245	488
K04067	161	100	110
K02317	605	92	151
K00567	163	94	144
K01669	21	37	5
K03574	623	77	213
K01520	6571	1435	1948
K03919	22	17	2
K05982	169	229	204
K05984	110	53	74
K07458	79	39	28
K01160	0.1	0.1	0.1
K03546	135	59	66
K03547	245	90	88
K04485	428	148	347
K03631	407	131	331
K03554	2964	681	1686
K15342	5	13	0.1
K10906	15	8	0.1
K07455	28	33	14
K02346	47	20	13
K03502	30	12	16
K02336	32	16	9
K03656	453	102	224
K03658	251	165	166
K03722	61	15	23
K03724	5	16	0.1
K00525	6729	934	2790
K00526	4502	996	1809
K14752	NaN	NaN	NaN
mtu_Rv0020c	NaN	NaN	NaN
K07636	69	34	31
K07657	212	212	163
K01077	89	190	174
K02040	1011	2121	1360
K07637	130	70	69
K07660	1508	1331	2285
K07638	159	43	82
K07659	2248	865	1338
K07639	101	53	91
K07661	389	221	413
K07640	328	106	144
K07662	2893	1543	2347
K07641	35	17	25
K07663	149	64	105
K07642	26	23	8
K07664	555	226	323
K07799	93	40	56
K07788	39	20	23
K07789	24	11	4
K18326	10	7	0.1
K18324	56	10	8
K07643	238	120	37
K07771	663	542	111
K07806	105	389	12
K07644	62	28	14
K07665	176	109	124
K07796	0.1	5	0.1
K07810	48	44	9
K07798	4	6	0.1
K07787	3	3	0.1
K07645	94	29	40
K07666	138	74	150
K02403	317	122	126
K02402	230	72	93
K02556	1	2	0.1
K07646	68	40	17
K07667	127	52	41
K01546	1	0.1	0.1
K01547	3	3	0.1
K01548	9	8	0.1
K01545	0.1	1	0.1
K07647	3	4	0.1
K07772	254	101	189
K03532	0.1	1	0.1
K07811	2	3	0.1
K03533	0.1	1	0.1
K07648	226	97	131
K07773	8000	3622	4068
K07700	4	2	0.1
K07702	229	60	59
K01646	0.1	1	0.1
K01644	0.1	0.1	0.1
K01643	1	0.1	0.1
K05964	0.1	0.1	0.1
K05966	0.1	0.1	0.1
K09477	2	0.1	0.1
K07701	79	21	43
K07703	296	167	173
K07792	3	0.1	0.1
K07673	64	47	34
K07684	1667	1224	799
K07674	38	12	8
K07685	1731	356	537
K00370	7	39	0.1
K00371	11	42	0.1
K00373	6	22	0.1
K00374	27	42	6
K08348	2	0.1	0.1
K08349	2	1	0.1
K08350	2	2	0.1
K00244	420	141	285
K00245	404	144	318
K00246	267	119	123
K00247	411	141	249
K07783	32	14	12
K07675	32	14	4
K07686	194	156	153
K07784	2	4	0.1
K06080	3116	1180	1050
K07677	102	70	60
K07676	287	179	187
K07687	5968	2820	3526
K07678	141	56	59
K07689	880	412	722
K07679	35	69	20
K07690	478	420	672
K07797	7	3	0.1
K07786	3	2	0.1
K07688	5	4	0.1
K01467	587	132	177
K04751	5206	2073	2872
K07708	54	82	24
K07712	137	274	80
K07709	8	4	0.1
K07713	98	30	50
K07803	18	10	8
K07710	5	3	0.1
K07714	42	32	15
K01034	0.1	0.1	0.1
K01035	0.1	0.1	0.1
K02106	0.1	0.1	0.1
K11103	459	107	105
K07711	46	23	32
K07715	118	60	66
K00575	0.1	1	0.1
K05874	17	4	0.1
K05875	1	2	0.1
K05876	1	1	0.1
K05877	0.1	2	0.1
K03776	10	6	2
K03408	89	48	22
K03407	20	13	0.1
K03413	66	46	25
K03412	1	1	0.1
K10004	665	357	492
K10002	173	75	76
K10003	160	80	80
K10001	1254	3332	1111
K00425	1981	650	1405
K00426	1745	471	1092
K02484	54	43	30
K02483	166	80	110
K02478	118	31	29
K02477	300	155	158
K02485	170	116	121
K04371	NaN	NaN	NaN
K00901	1701	665	1043
K01092	11711	1591	1767
mmu_12653	NaN	NaN	NaN
mmu_12652	NaN	NaN	NaN
K01130	7	5	0.1
K14753	NaN	NaN	NaN
K11934	125295	22947	62569
K11068	53	40	43
K11139	4	11	0.1
K06078	1191641	619492	669430
K03640	64020	17960	20182
mmu_12957	NaN	NaN	NaN
mmu_12958	NaN	NaN	NaN
mmu_12962	NaN	NaN	NaN
mmu_12961	NaN	NaN	NaN
mmu_12970	NaN	NaN	NaN
K02218	NaN	NaN	NaN
K00927	25539	12205	18098
K01810	9385	3613	6130
K00088	25233	5538	18437
K14347	407	105	119
K00939	20646	7177	11998
K00759	15434	2029	4592
K01755	337	1878	232
K01940	1296	8231	497
K01464	1	2	0.1
K00849	313	258	163
K00700	117	448	239
K01920	2739	1288	2477
K01698	3626	1093	1897
K00602	1919	2560	606
K00382	44872	9566	20771
K00036	5185	1928	3262
K01803	11959	7847	6171
K01834	29287	11670	21706
K03098	28	378	3
K01195	9	5	0.1
mmu_17996	NaN	NaN	NaN
hsa_P07355	NaN	NaN	NaN
hsa_B3KPP5	NaN	NaN	NaN
hsa_P63267	NaN	NaN	NaN
K03531	6750	3335	5290
hsa_B7Z9W3	NaN	NaN	NaN
K05692	NaN	NaN	NaN
hsa_I3L3I0	NaN	NaN	NaN
hsa_I3L4N8	NaN	NaN	NaN
hsa_A1E282	NaN	NaN	NaN
mpn_MPN141	NaN	NaN	NaN
hsa_B7Z6I1	NaN	NaN	NaN
hsa_B8ZZJ2	NaN	NaN	NaN
hsa_B4DVQ0	NaN	NaN	NaN
hsa_G8FSY7	NaN	NaN	NaN
sce_YNL126W	NaN	NaN	NaN
hsa_Q9C0K3	NaN	NaN	NaN
hsa_P63313	NaN	NaN	NaN
sce_YPL124W	NaN	NaN	NaN
hsa_Q96FU6	NaN	NaN	NaN
hsa_K7EM38	NaN	NaN	NaN
hsa_B4DTI0	NaN	NaN	NaN
hsa_Q6PJ43	NaN	NaN	NaN
hsa_B4DMT4	NaN	NaN	NaN
hsa_Q8TDY3	NaN	NaN	NaN
hsa_B3KUP6	NaN	NaN	NaN
hsa_Q9BYD9	NaN	NaN	NaN
sce_YMR294W	NaN	NaN	NaN
hsa_Q13707	NaN	NaN	NaN
hsa_Q9NZ32	NaN	NaN	NaN
hsa_Q53H79	NaN	NaN	NaN
P68032	NaN	NaN	NaN
mpn_MPN452	NaN	NaN	NaN
sce_YOR257W	NaN	NaN	NaN
hsa_B7ZAP6	NaN	NaN	NaN
sce_YGL061C	NaN	NaN	NaN
hsa_Q05DQ7	NaN	NaN	NaN
hsa_Q6YL44	NaN	NaN	NaN
hsa_B3KW67	NaN	NaN	NaN
hsa_F6QUT6	NaN	NaN	NaN
sce_YJL042W	NaN	NaN	NaN
hsa_Q53HF6	NaN	NaN	NaN
hsa_C9JTX5	NaN	NaN	NaN
hsa_D2JYH4	NaN	NaN	NaN
sce_YLR212C	NaN	NaN	NaN
sce_YDR356W	NaN	NaN	NaN
hsa_P42025	NaN	NaN	NaN
sce_YDR201W	NaN	NaN	NaN
sce_YHR129C	NaN	NaN	NaN
K03608	3597	1970	2680
K03609	5358	2444	3324
hsa_F8VSD1	NaN	NaN	NaN
hsa_Q53GH2	NaN	NaN	NaN
hsa_B3KWQ3	NaN	NaN	NaN
hsa_Q9P1U1	NaN	NaN	NaN
hsa_Q6S8J3	NaN	NaN	NaN
hsa_Q8TDG2	NaN	NaN	NaN
hsa_Q13841	NaN	NaN	NaN
eco_b2516	1309	576	669
hsa_Q59FV6	NaN	NaN	NaN
K03610	857	364	575
sce_YKL052C	NaN	NaN	NaN
sce_YBL034C	NaN	NaN	NaN
hsa_Q53FS0	NaN	NaN	NaN
hsa_A5GZ75	NaN	NaN	NaN
hsa_Q1KLZ0	NaN	NaN	NaN
hsa_B4DXP9	NaN	NaN	NaN
hsa_C9JUM1	NaN	NaN	NaN
hsa_A5A3E0	NaN	NaN	NaN
sce_YBL063W	NaN	NaN	NaN
hsa_F6UVQ4	NaN	NaN	NaN
