Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	-Transcription	56.19	64.37	90.86	54.42	65	76.22	58.61	63.05	85.59
MAPPED	-Transcription	49.48	56.68	80.01	46.39	55.41	64.97	52.13	56.07	76.12
Genetic Information Processing	-Transcription	23.9	26.73	37.55	12.28	14.69	17.25	19.91	22.53	28.93
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	18.74	21.64	30.28	8.513	10.24	11.89	15.3	16.65	22.42
-Folding, Sorting and Degradation	-Transcription	2.435	3.438	4.508	1.725	2.52	3.188	2.377	3.922	4.696
-DNA Maintenance	-Transcription	0.8285	1.367	2.001	0.7285	0.9586	1.259	0.6872	1.103	1.509
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	0.7493	0.8834	1.159	0.462	0.5551	0.6857	0.6062	0.6687	0.896
-Signal Transduction	-Transcription	0.1701	0.2346	0.2727	0.1926	0.2548	0.335	0.1503	0.1905	0.2682
-Signaling Molecules and Interaction	-Transcription	0.5661	0.6486	0.9158	0.2686	0.329	0.3761	0.4523	0.4865	0.6605
Cellular Processes	-Transcription	5.99	6.905	9.67	7.892	9.432	11.09	5.251	5.687	7.701
-Cell structure	-Transcription	5.669	6.494	9.167	7.442	8.888	10.42	4.982	5.359	7.276
-Crystallins	-Transcription	0	0	0	0	0	0	0	0	0
-Stress Response	-Transcription	0.003224	0.003693	0.005213	0.2219	0.265	0.3107	0.004616	0.004966	0.006742
-Vesicular Transport	-Transcription	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Transcription	0.1152	0.1319	0.1862	0.1076	0.1285	0.1507	0.1127	0.1212	0.1646
-Cell Motility	-Transcription	0.005684	0.01292	0.05631	0.009322	0.01658	0.05482	0.001044	0.006854	0.009005
-Cell Growth and Death	-Transcription	0.1726	0.1968	0.3015	0.1036	0.1221	0.1614	0.1401	0.178	0.2408
-Cell Communication	-Transcription	0	0	0	0	0	0	0	0	0
Metabolism	-Transcription	18.69	21.4	30.26	25.12	29.96	35.4	25.03	27.15	36.01
-Membrane Transport	-Transcription	3.269	3.863	5.461	4.537	5.572	6.454	4.446	4.878	6.535
-Central Carbon Metabolism	-Transcription	3.287	4.334	5.375	3.819	4.9	5.168	3.309	4.068	4.414
-Energy Metabolism	-Transcription	1.075	1.4	1.749	0.8792	1.312	1.682	0.9947	1.284	1.521
-Biosynthesis	-Transcription	5.218	5.907	8.484	6.816	9.048	12.37	5.781	10.87	14.42
-Other Enzymes	-Transcription	5.398	6.33	9.03	6.03	8.773	10.6	4.819	8.643	12.39
Organismal Systems	-Transcription	0	0.002797	0.007206	0	0.004018	0.01678	0	0.001917	0.004423
-Immune System	-Transcription	0	0	0	0	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0.003455	0	0	0.003025	0	0	0.002474
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	0.0002312	0	0	0.00836	0	0	1.969e-07
-Excretory System	-Transcription	0	0	0.002097	0	0	0.005115	0	0	0.001486
-Nervous System	-Transcription	0	0	0	0	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0.003948	0	0	0.00275	0	0	0.002603
Human Diseases	-Transcription	0.1414	0.5529	2.046	0.1747	0.5208	1.495	0.114	0.7397	2.705
-Cancers	-Transcription	0	0.003354	0.004851	0	0.007925	0.009359	0	0.003369	0.004599
-Immune System Diseases	-Transcription	0	0	0.003624	0	0	0.004279	0	0	0.004069
-Neurodegenerative Diseases	-Transcription	0	6.884e-05	0.7274	0	0.002787	0.8339	0	4.285e-05	0.7767
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Transcription	0	0	0.5218	0	0	0.2607	0	0	0.9091
-Infectious Diseases	-Transcription	0.02669	0.1404	0.887	0.1123	0.3391	0.6435	0.03721	0.1387	1.419
Not Mapped	-Transcription	6.709	7.685	10.85	8.033	9.594	11.25	6.482	6.973	9.466
-Not Mapped	-Transcription	6.709	7.685	10.85	8.033	9.594	11.25	6.482	6.973	9.466
TOTAL	-Translation	2.974	2.991	3.009	6.301	6.359	6.393	3.786	3.813	3.831
MAPPED	-Translation	2.619	2.634	2.65	5.371	5.421	5.449	3.367	3.392	3.408
Genetic Information Processing	-Translation	1.204	1.249	1.275	1.389	1.449	1.486	1.25	1.315	1.366
-Transcription	-Translation	0.03258	0.04591	0.04907	0.08038	0.09452	0.1168	0.04451	0.05426	0.06464
-Translation	-Translation	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.1181	0.1497	0.1774	0.2026	0.2486	0.2943	0.1544	0.2033	0.2567
-DNA Maintenance	-Translation	0.04258	0.04979	0.06833	0.08166	0.09283	0.1156	0.04322	0.0504	0.07088
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.03776	0.03997	0.04239	0.05177	0.0562	0.06148	0.03837	0.04016	0.0423
-Signal Transduction	-Translation	0.007656	0.009769	0.01214	0.02047	0.02415	0.02994	0.008975	0.01083	0.01272
-Signaling Molecules and Interaction	-Translation	0.02996	0.03014	0.03033	0.03109	0.03147	0.03222	0.02922	0.02943	0.02957
Cellular Processes	-Translation	0.3162	0.3189	0.32	0.9167	0.9247	0.928	0.3398	0.3421	0.3438
-Cell structure	-Translation	0.3	0.3018	0.3036	0.8615	0.8696	0.8742	0.3218	0.3242	0.3257
-Crystallins	-Translation	0	0	0	0	0	0	0	0	0
-Stress Response	-Translation	0.0001706	0.0001716	0.0001726	0.02569	0.02593	0.02606	0.0002982	0.0003004	0.0003018
-Vesicular Transport	-Translation	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Translation	0.006095	0.00613	0.006167	0.01246	0.01258	0.01264	0.007279	0.007332	0.007367
-Cell Motility	-Translation	0.000287	0.0006269	0.002136	0.001089	0.001948	0.00461	6.452e-05	0.0003773	0.0004969
-Cell Growth and Death	-Translation	0.008269	0.008845	0.01027	0.01069	0.01222	0.01576	0.008535	0.009444	0.01134
-Cell Communication	-Translation	0	0	0	0	0	0	0	0	0
Metabolism	-Translation	0.9724	0.9972	1.005	2.849	2.93	2.96	1.604	1.636	1.641
-Membrane Transport	-Translation	0.1723	0.1775	0.1849	0.519	0.5367	0.5439	0.2861	0.2904	0.2945
-Central Carbon Metabolism	-Translation	0.1693	0.1883	0.2029	0.4154	0.4553	0.5203	0.1894	0.2175	0.2305
-Energy Metabolism	-Translation	0.04937	0.06116	0.06468	0.07966	0.1224	0.158	0.05398	0.06912	0.07923
-Biosynthesis	-Translation	0.2531	0.2712	0.2949	0.7787	0.926	1.04	0.3737	0.662	0.6811
-Other Enzymes	-Translation	0.2618	0.2942	0.3149	0.7083	0.8355	0.9736	0.315	0.395	0.6817
Organismal Systems	-Translation	0	0.0001292	0.0002387	0	0.0004694	0.001547	0	0.0001151	0.0001974
-Immune System	-Translation	0	0	0	0	0	0	0	0	0
-Endocrine System	-Translation	0	0	0.0001311	0	0	0.0002544	0	0	0.0001168
-Circulatory System	-Translation	0	0	0	0	0	0	0	0	0
-Digestive System	-Translation	0	0	1.105e-05	0	0	0.0008186	0	0	1.199e-08
-Excretory System	-Translation	0	0	9.663e-05	0	0	0.0004717	0	0	8.096e-05
-Nervous System	-Translation	0	0	0	0	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0
-Development	-Translation	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Translation	0	0	0.0001298	0	0	0.0002524	0	0	0.0001158
Human Diseases	-Translation	0.006776	0.02298	0.06758	0.0204	0.04379	0.1374	0.00737	0.04518	0.1206
-Cancers	-Translation	0	0.0001595	0.0001611	0	0.0007789	0.0007869	0	0.0002045	0.0002059
-Immune System Diseases	-Translation	0	0	0.0001664	0	0	0.0003456	0	0	0.0002448
-Neurodegenerative Diseases	-Translation	0	3.339e-06	0.02406	0	0.0003272	0.07654	0	2.799e-06	0.0353
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Translation	0	0	0.0197	0	0	0.02395	0	0	0.04274
-Infectious Diseases	-Translation	0.001013	0.006896	0.04098	0.01242	0.02725	0.06082	0.002019	0.007659	0.08487
Not Mapped	-Translation	0.3551	0.3571	0.3593	0.93	0.9386	0.9436	0.4187	0.4218	0.4238
-Not Mapped	-Translation	0.3551	0.3571	0.3593	0.93	0.9386	0.9436	0.4187	0.4218	0.4238
TOTAL	-Folding, Sorting and Degradation	16.34	18.95	24.55	21.3	24.94	31.12	14.48	17.33	24.65
MAPPED	-Folding, Sorting and Degradation	14.39	16.69	21.62	18.16	21.26	26.53	12.88	15.41	21.93
Genetic Information Processing	-Folding, Sorting and Degradation	6.952	8.023	9.899	4.953	5.74	6.814	5.194	5.989	8.096
-Transcription	-Folding, Sorting and Degradation	0.1872	0.2715	0.3547	0.2962	0.3801	0.4637	0.1788	0.2518	0.3603
-Translation	-Folding, Sorting and Degradation	5.429	6.335	8.219	3.334	3.939	4.906	3.784	4.511	6.434
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.2492	0.3365	0.4914	0.2891	0.3666	0.4784	0.173	0.2653	0.4052
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.2089	0.2582	0.3134	0.1819	0.2242	0.2606	0.1491	0.1908	0.2497
-Signal Transduction	-Folding, Sorting and Degradation	0.04399	0.06089	0.09169	0.07407	0.1004	0.1273	0.03605	0.05468	0.07748
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.1647	0.1909	0.2473	0.1069	0.1262	0.1536	0.1118	0.1337	0.1902
Cellular Processes	-Folding, Sorting and Degradation	1.731	2.009	2.599	3.084	3.61	4.503	1.294	1.552	2.205
-Cell structure	-Folding, Sorting and Degradation	1.648	1.912	2.477	2.913	3.41	4.256	1.231	1.473	2.096
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0.0009373	0.001087	0.001408	0.08684	0.1017	0.1269	0.001141	0.001365	0.001942
-Vesicular Transport	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Folding, Sorting and Degradation	0.03348	0.03883	0.05031	0.04212	0.04932	0.06154	0.02785	0.03331	0.0474
-Cell Motility	-Folding, Sorting and Degradation	0.00171	0.003809	0.01249	0.003699	0.007048	0.0172	0.0003174	0.001576	0.002883
-Cell Growth and Death	-Folding, Sorting and Degradation	0.04489	0.05803	0.07489	0.03563	0.05283	0.06099	0.0323	0.04379	0.0614
-Cell Communication	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	5.456	6.224	8.214	9.816	11.54	14.21	6.211	7.473	10.53
-Membrane Transport	-Folding, Sorting and Degradation	0.9566	1.091	1.482	1.756	2.116	2.633	1.083	1.31	1.903
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.9886	1.218	1.547	1.531	1.768	2.188	0.7893	0.9491	1.409
-Energy Metabolism	-Folding, Sorting and Degradation	0.3065	0.3667	0.4966	0.3204	0.4396	0.6443	0.2321	0.3275	0.4529
-Biosynthesis	-Folding, Sorting and Degradation	1.381	1.718	2.143	2.705	3.774	4.543	1.456	2.736	4.211
-Other Enzymes	-Folding, Sorting and Degradation	1.69	1.841	2.217	2.875	3.246	4.186	1.492	2.027	2.89
Organismal Systems	-Folding, Sorting and Degradation	0	0.0007664	0.001712	0	0.001888	0.006377	0	0.0005215	0.001128
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0.0009921	0	0	0.001086	0	0	0.0006907
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	7.342e-05	0	0	0.003207	0	0	5.864e-08
-Excretory System	-Folding, Sorting and Degradation	0	0	0.0006945	0	0	0.001944	0	0	0.0004626
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0.000746	0	0	0.0009302	0	0	0.0004654
Human Diseases	-Folding, Sorting and Degradation	0.03678	0.1535	0.486	0.06932	0.1634	0.5684	0.02871	0.2038	0.6897
-Cancers	-Folding, Sorting and Degradation	0	0.0009023	0.001311	0	0.002661	0.003821	0	0.0007974	0.001324
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0.001054	0	0	0.001349	0	0	0.0009835
