Rv3570c	hsaA	K16047
Rv3151	nuoG	K00336
Rv2397c	cysA1	K02045
Rv2579	dhaA	K01563
Rv3449	mycP4	K14743
Rv0382c	pyrE	K00762
Rv2903c	lepB	K03100
Rv2906c	trmD	K00554
Rvnt15	alaV	K14218
Rv0704	rplB	K02886
Rv0242c	fabG4	K00059
Rv0156	pntAb	K00324
Rv0157	pntB	K00325
Rv0099	fadD10	K12422
Rv1380	pyrB	K00609
Rv0620	galK	K00849
Rv2753c	dapA	K01714
Rvnt13	pheU	K14231
Rv0706	rplV	K02890
Rv0091	mtn	K01243
Rv1731	gabD2	K00135
Rv3313c	add	K01488
Rv1099c	glpX	K02446
Rv1527c	pks5	K12433
Rv2343c	dnaG	K02316
Rvnt25	asnT	K14220
Rv2055c	rpsR2	K02963
Rvnt11	gluT	K14224
Rv2590	fadD9	K12421
Rv2458	mmuM	K00547
Rv1472	echA12	K01692
Rv3598c	lysS	K04567
Rvnt10	lysT	K14229
Rv0838	lpqR	K08641
Rvnt23	valV	K14237
Rv2697c	dut	K01520
Rvnt35	gluU	K14224
Rv1483	fabG1	K11610
Rv2847c	cysG	K02302
Rv1485	hemZ	K01772
Rv1484	inhA	K11611
Rv0869c	moaA2	K03639
Rv1017c	prsA	K00948
Rvnt21	proT	K14232
Rv3423c	alr	K01775
Rv1710	scpB	K06024
Rv1713	engA	K03977
Rv1712	cmk	K00945
Rv3764c	tcrY	K02484
Rv0131c	fadE1	K00249
Rv3499c	mce4A	K02067
Rv3648c	cspA	K03704
Rv1658	argG	K01940
Rv0014c	pknB	K08884
Rv0993	galU	K00963
Rv1650	pheT	K01890
Rv0994	moeA1	K03750
Rv1652	argC	K00145
Rv1653	argJ	K00620
Rv1654	argB	K00930
Rv1655	argD	K00818
Rv1656	argF	K00611
Rv2924c	fpg	K10563
Rv3578	arsB2	K03893
Rv3379c	dxs2	K01662
Rv3628	ppa	K01507
Rv1620c	cydC	K16012
Rv2606c	snzP	K06215
Rv1970	lprM	K02067
Rv1131	prpC	K01647
Rv1130	prpD	K01720
Rv3581c	ispF	K01770
Rv0182c	sigG	K03088
Rv0629c	recD	K03581
Rv2881c	cdsA	K00981
Rv1745c	idi	K01823
Rv1538c	ansA	K01424
Rv1796	mycP5	K14743
