Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	MAPPED	1.148	1.304	1.192	1.15	1.243	1.224	1.104	1.222	1.221	1.123	1.119	1.227	1.223	1.223	1.193	1.13	1.249	1.224	1.127	1.24	1.224	1.216	1.22	1.211	1.251	1.217	1.278	1.191
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2604	0.2062	0.1767	0.1229	0.1952	0.272	0.05557	0.2741	0.4592	0.1072	0.07749	0.2799	0.2944	0.1772	0.1776	0.1755	0.1833	0.1898	0.05422	0.2004	0.2883	0.4972	0.3275	0.2646	0.2258	0.3347	0.292	0.1581
-Transcription	MAPPED	0.01555	0.01648	0.008503	0.004164	0.01537	0.0192	0.002075	0.01729	0.05436	0.007072	0.005777	0.01505	0.01588	0.01127	0.01092	0.005938	0.01259	0.0153	0.001665	0.01384	0.02619	0.009281	0.01638	0.02606	0.01617	0.04126	0.03785	0.007324
-Translation	MAPPED	0.05292	0.04506	0.03858	0.03665	0.04537	0.07655	0.01629	0.08268	0.1404	0.02825	0.01822	0.0846	0.09148	0.04568	0.03795	0.0595	0.04045	0.0422	0.02007	0.05187	0.06604	0.2501	0.1119	0.06548	0.0656	0.08567	0.0804	0.04139
-Folding, Sorting and Degradation	MAPPED	0.1811	0.132	0.1213	0.07778	0.1239	0.1619	0.03343	0.1622	0.2137	0.0637	0.04985	0.1648	0.1681	0.1097	0.1161	0.1039	0.1207	0.1207	0.02825	0.1249	0.1769	0.2225	0.1791	0.1506	0.1227	0.1741	0.1452	0.1002
-DNA Maintenance	MAPPED	0.0123	0.01275	0.00779	0.005793	0.01088	0.01456	0.004602	0.01181	0.04946	0.008683	0.003818	0.01695	0.01956	0.009988	0.009763	0.007647	0.01188	0.01331	0.00421	0.009943	0.02148	0.01553	0.01772	0.02374	0.01955	0.03918	0.02914	0.0104
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.06394	0.06133	0.05139	0.03117	0.06425	0.06306	0.034	0.062	0.05026	0.03342	0.04166	0.06443	0.06793	0.04823	0.03532	0.02159	0.06454	0.05476	0.02195	0.07639	0.06687	0.02526	0.04139	0.06208	0.0523	0.05527	0.05096	0.04814
-Signal Transduction	MAPPED	0.02805	0.05711	0.04361	0.02716	0.05282	0.04446	0.03253	0.05198	0.04236	0.02907	0.03849	0.03962	0.04373	0.04064	0.0299	0.01669	0.04763	0.04839	0.01939	0.06458	0.05207	0.0179	0.03547	0.05028	0.0393	0.04519	0.03966	0.03912
-Signaling Molecules and Interaction	MAPPED	0.03588	0.004214	0.007785	0.004	0.01141	0.0186	0.001471	0.01	0.007864	0.004294	0.003172	0.02478	0.02421	0.007588	0.005348	0.004896	0.01683	0.006368	0.002561	0.0118	0.0148	0.007262	0.005867	0.01157	0.013	0.01007	0.01126	0.009004
Cellular Processes	MAPPED	0.09793	0.2867	0.2322	0.08429	0.2488	0.1845	0.3511	0.2484	0.1337	0.4705	0.09072	0.1409	0.1659	0.12	0.1039	0.06199	0.1964	0.2917	0.3821	0.2159	0.1579	0.06006	0.1296	0.1612	0.1691	0.1629	0.1571	0.1117
-Crystallins	MAPPED	0.001465	0.003251	0.001562	0.0004262	0.001158	0.0007676	0.006359	0.0005368	0.000437	0.3131	0.02503	0.0009614	0.0004458	0.0005396	0.004105	0.0004012	0.00351	0.003299	0.003039	0.001246	0.0006843	0.0006451	0.0006391	0.000386	0.01447	0.0007916	0.001213	0.001702
-Stress Response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0.02472	0.04642	0.04142	0.02654	0.05374	0.02767	0.007818	0.02054	0.02473	0.0151	0.01158	0.03083	0.03391	0.04501	0.03853	0.02637	0.03672	0.04771	0.004695	0.05602	0.0336	0.01254	0.02606	0.03959	0.02267	0.04179	0.02672	0.03472
-Cytoskeleton	MAPPED	0.03499	0.1669	0.1544	0.02714	0.1441	0.09398	0.09841	0.0696	0.07165	0.0877	0.02809	0.06475	0.08583	0.04172	0.03674	0.01933	0.08228	0.1866	0.1512	0.1216	0.06142	0.03696	0.05772	0.066	0.09255	0.08336	0.07092	0.04197
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.01899	0.05856	0.02413	0.01177	0.03408	0.01935	0.004824	0.0196	0.01682	0.01229	0.008109	0.01445	0.01393	0.01197	0.0135	0.006488	0.02074	0.043	0.002063	0.02577	0.01702	0.005879	0.01165	0.0129	0.01734	0.01892	0.02347	0.01248
-Cell Communication	MAPPED	0.01775	0.01141	0.01072	0.01812	0.01576	0.04275	0.2337	0.1382	0.01999	0.04223	0.01788	0.02998	0.03183	0.02076	0.01098	0.009364	0.05315	0.01073	0.2211	0.01124	0.04508	0.004061	0.03342	0.04147	0.02196	0.01788	0.03475	0.02086
Metabolism	MAPPED	0.4428	0.3281	0.3798	0.6618	0.377	0.3804	0.3462	0.2506	0.2069	0.2546	0.3575	0.4311	0.3824	0.5714	0.5716	0.6891	0.2537	0.3175	0.2401	0.3981	0.2816	0.3098	0.3121	0.218	0.3131	0.2633	0.2035	0.4519
-Membrane Transport	MAPPED	0.004209	0.0004715	0.00295	0.003116	0.001587	0.001782	0.00186	0.002197	0.006728	0.001627	0.000996	0.002	0.001922	0.00175	0.001513	0.003085	0.008055	0.0007247	0.0009044	0.0009519	0.02088	0.001203	0.005838	0.003622	0.00152	0.009087	0.01692	0.03275
-Central Carbon Metabolism	MAPPED	0.197	0.1229	0.1675	0.2499	0.1603	0.1447	0.1358	0.08056	0.08199	0.1279	0.1039	0.1509	0.1454	0.1894	0.197	0.173	0.07129	0.133	0.1096	0.1947	0.1028	0.05745	0.1237	0.09091	0.0896	0.1089	0.068	0.1554
-Energy Metabolism	MAPPED	0.03506	0.1009	0.06878	0.0866	0.07415	0.04767	0.07612	0.02725	0.01619	0.02888	0.1316	0.04592	0.04011	0.09328	0.1189	0.03654	0.01512	0.08326	0.01512	0.06216	0.02017	0.03761	0.03871	0.01642	0.07018	0.02139	0.02629	0.02713
-Biosynthesis	MAPPED	0.1623	0.0774	0.1036	0.2751	0.1074	0.1419	0.1182	0.1024	0.0677	0.08046	0.1019	0.184	0.1547	0.2309	0.2013	0.411	0.129	0.07382	0.1079	0.107	0.1073	0.1227	0.111	0.08026	0.1055	0.09346	0.06472	0.2004
