KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K11430	NaN	NaN	NaN	1443000	NaN	2460500	14100000	NaN	8944499.7	NaN	NaN	12600000	NaN	560380	NaN	NaN	NaN	NaN	NaN	NaN	439590	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11644	1939000	NaN	1673100	1021800	10000000	8509699.9	114500	1509400	60000000	677630	319569.99	56000000	88300000	8135900.1	2074000	8806899.9	4246800	99916.001	106100	5489500	2329399.9	282040.01	3265400	49200000	128469.99	3901500	786450	1256800
K09033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	745270	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09036	1436000	571860	5498000.1	2410400	85499999	3793300	2308300	27000000	7903400.1	7343800	7858999.9	91499999	1.11e+08	5867299.8	1608900	23700000	NaN	144340	NaN	NaN	1225000	1579800	529780.01	NaN	NaN	2660200	213830	728390
K09052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09058	NaN	4665000	526750	NaN	NaN	213980	NaN	NaN	NaN	NaN	NaN	1482100	NaN	NaN	NaN	453189.99	1147400	NaN	NaN	5567299.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09078	NaN	NaN	NaN	NaN	262110	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28084600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09106	4799099.9	1130800	1101300	2594900	22500000	2730200	NaN	NaN	NaN	1054000	808679.99	12700000	10700000	3483500	2194800	3156600	NaN	492840.01	632010	12500000	1685700	4777199.9	NaN	27500000	NaN	17500000	3652299.9	1539300
K04377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09113	323950	NaN	NaN	3122700	NaN	580460	NaN	NaN	NaN	NaN	35943	5414500	6514600	NaN	NaN	26000000	160710	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
