Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-DNA Maintenance	2.739	3.722	4.405	3.301	4.123	4.381	4.811	5.25	6.343	3.455	4.479	5.756	3.728	4.224	4.902	2.354	3.032	4.148	6.337	7.839	10.53	1.989	2.474	3.199	0.6777	0.7697	0.9946	3.076	3.829	4.883	9.574	11.71	13.5	2.129	3.022	4.004	1.978	2.665	3.469	2.724	3.345	4.276	1.968	2.447	3.352	1.638	2.381	3.502	2.743	3.351	4.321	2.875	3.278	4.174	3.86	5.269	6.093	4.884	6.161	7.466	1.367	1.564	2.422	0.9294	1.348	1.806	1.061	1.256	1.889	1.498	1.746	2.542	1.47	1.951	2.747	1.139	1.348	1.652	0.9141	1.067	1.474	3.431	4.098	5.544
-Signal Transduction	-DNA Maintenance	1.263	1.717	2.033	3.099	3.898	4.11	4.251	4.652	5.531	2.959	3.787	4.893	3.125	3.5	4.117	1.524	1.959	2.643	6.045	7.461	10.04	1.355	1.655	2.14	0.5471	0.6107	0.8054	2.759	3.354	4.277	8.901	10.82	12.49	1.276	1.811	2.4	1.212	1.632	2.125	2.217	2.693	3.356	1.65	1.999	2.814	1.316	1.912	2.812	1.701	2.079	2.686	2.623	3.001	3.835	3.163	4.297	4.991	4.322	5.452	6.564	0.9496	1.056	1.69	0.6127	0.8762	1.179	0.9154	1.058	1.631	1.111	1.277	1.892	0.9262	1.213	1.702	0.9122	1.067	1.308	0.6178	0.7054	1.003	2.446	2.866	3.893
-Signaling Molecules and Interaction	-DNA Maintenance	1.475	2.005	2.373	0.1789	0.2238	0.2703	0.5595	0.6557	0.8117	0.4955	0.6449	0.9187	0.6036	0.6819	0.8428	0.83	1.081	1.505	0.2922	0.3948	0.4889	0.6334	0.7978	1.059	0.1306	0.159	0.1893	0.3167	0.4066	0.5735	0.6735	0.8334	1.015	0.8524	1.211	1.604	0.7659	1.033	1.344	0.5065	0.6833	0.9192	0.318	0.424	0.5535	0.3222	0.4689	0.6899	1.041	1.314	1.668	0.252	0.2918	0.4056	0.6964	0.9714	1.101	0.5618	0.7182	0.9013	0.4171	0.4991	0.7323	0.3167	0.467	0.6274	0.1456	0.1971	0.2576	0.3867	0.4694	0.6499	0.5441	0.7478	1.046	0.2263	0.2804	0.3437	0.2963	0.3613	0.4706	0.9853	1.215	1.651
Cellular Processes	-DNA Maintenance	3.699	4.772	5.659	10.21	12.83	13.52	13.51	14.71	17.03	6.902	8.452	10.43	10.49	11.31	13.31	5.128	6.298	8.421	34.49	42.59	55.21	5.648	6.68	8.623	1.465	1.567	2.081	39.59	47.59	60.73	16.41	17.77	21.15	3.161	4.166	5.557	3.204	4.124	5.249	5.499	6.159	7.493	5.068	5.86	8.027	3.979	5.369	7.864	5.157	6.245	8.021	9.928	11.17	14.06	55.05	73.86	86.05	10.5	12.97	14.93	3.111	3.355	5.374	1.661	2.236	2.854	2.73	3.095	4.713	3.423	3.812	5.721	3.592	4.662	6.285	2.395	2.744	3.318	2.634	2.911	4.116	7.841	9.002	11.7
-Crystallins	-DNA Maintenance	0.104	0.1412	0.1674	0.2558	0.3217	0.3392	0.2195	0.2362	0.2766	0.06404	0.08191	0.1059	0.1174	0.1294	0.1522	0.04793	0.06111	0.08241	1.973	2.435	3.277	0.03853	0.04673	0.06042	0.009631	0.01061	0.014	31.84	38.51	49.14	6.502	7.906	9.095	0.04619	0.0654	0.08687	0.01874	0.02526	0.03287	0.05051	0.06135	0.07612	0.3591	0.4318	0.6079	0.04392	0.06385	0.09387	0.2621	0.3202	0.4115	0.2492	0.2851	0.3602	0.7681	1.04	1.212	0.1277	0.1611	0.1903	0.03	0.03337	0.05272	0.02843	0.04066	0.05411	0.02694	0.03094	0.04766	0.0149	0.01672	0.02505	0.5652	0.7399	1.027	0.02049	0.02354	0.02885	0.0363	0.04121	0.05765	0.204	0.2391	0.3206
-Stress Response	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-DNA Maintenance	1.224	1.613	1.913	2.096	2.623	2.766	2.861	3.165	3.61	2.711	3.415	4.229	2.255	2.464	2.914	1.073	1.309	1.695	1.405	1.734	2.23	0.856	0.9878	1.261	0.2666	0.2839	0.3838	1.121	1.314	1.674	2.244	2.591	3.036	0.9302	1.21	1.612	0.9312	1.192	1.496	2.627	3.053	3.675	2.309	2.699	3.777	2.186	2.943	4.309	1.346	1.572	2.122	1.97	2.248	2.841	0.8444	1.103	1.285	2.637	3.327	3.832	0.9541	1.022	1.662	0.397	0.5636	0.715	0.7004	0.7928	1.218	0.9027	0.9977	1.519	0.6656	0.8521	1.142	0.6395	0.7276	0.881	0.5545	0.6025	0.8722	3.074	3.516	4.703
-Cytoskeleton	-DNA Maintenance	1.082	1.47	1.742	4.336	5.457	5.751	7.431	7.997	9.365	1.763	2.472	3.141	5.012	5.529	6.501	2.606	3.323	4.479	12.51	15.44	20.78	2.404	2.916	3.771	0.8117	0.8952	1.18	4.206	5.089	6.493	3.03	3.684	4.239	1.273	1.802	2.396	1.445	1.947	2.535	1.423	1.729	2.145	1.312	1.578	2.221	0.9616	1.398	2.058	1.938	2.37	3.043	4.989	5.711	7.212	24.27	32.88	38.3	4.996	6.304	7.45	1.344	1.496	2.362	0.857	1.226	1.631	1.236	1.421	2.188	1.725	1.943	2.9	1.708	2.236	3.104	1.254	1.444	1.77	1.381	1.568	2.193	2.644	3.102	4.16
-Cell Motility	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.9882	1.208	1.464	3.26	4.101	4.323	2.653	3.193	3.365	1.359	1.711	2.314	2.627	2.897	3.318	0.9247	1.066	1.419	0.82	1.023	1.958	1.077	1.232	1.535	0.2779	0.2976	0.3704	1.179	1.326	1.6	1.473	1.598	3.594	0.5866	0.7232	0.9651	0.4787	0.579	0.7562	0.7509	0.9318	1.108	0.7013	0.8856	1.21	0.4968	0.7027	1.096	0.883	1.014	1.302	2.507	2.718	3.339	0.3298	0.4144	0.7848	2.224	2.623	3.137	0.4621	0.5033	0.7459	0.2062	0.2886	0.3906	0.2924	0.3402	0.4878	0.3637	0.3971	0.5759	0.3986	0.5179	0.6884	0.365	0.4149	0.4866	0.4619	0.4832	0.6745	1.205	1.416	1.732
-Cell Communication	-DNA Maintenance	0.2502	0.3396	0.4024	0.2589	0.3258	0.3507	0.3466	0.3734	0.4368	0.6326	0.8094	1.046	0.3305	0.3644	0.4286	0.4331	0.5521	0.7446	16.65	20.55	27.66	1.273	1.544	1.996	0.09164	0.101	0.1332	1.18	1.427	1.821	1.661	2.02	2.324	0.2645	0.3744	0.4975	0.2555	0.3444	0.4481	0.3733	0.454	0.5625	0.1912	0.2299	0.3236	0.2015	0.2931	0.4306	0.7285	0.9061	1.144	0.2126	0.2438	0.3073	28.38	38.43	44.77	0.2972	0.3749	0.4428	0.3138	0.349	0.5515	0.05714	0.08172	0.1088	0.4367	0.5016	0.7727	0.4172	0.4743	0.7014	0.1802	0.236	0.3275	0.1157	0.1329	0.1629	0.2009	0.2281	0.3191	0.5025	0.5889	0.7898
Metabolism	-DNA Maintenance	17.73	22.48	28.27	16.92	21.09	24.1	31.92	33.76	40.41	58.42	74.72	96.92	22.23	24.9	29.01	15.94	19.99	26.75	59.64	73.43	98.51	11.83	13.98	18.49	2.727	3.158	3.786	18.32	22.12	28.07	70.36	84.73	98.3	12.8	17.7	24.07	9.724	12.99	17.02	32.66	39.22	49.2	28.24	33.99	46.54	39.95	57.2	85.27	11.62	13.47	16.69	16.71	18.72	22.73	37.42	49.95	58.32	25.74	32.45	37.34	7.484	8.671	11.76	8.458	12.59	18.32	8.019	9.604	13.4	5.469	6.089	8.258	8.209	11.13	15.41	4.325	5.04	6.063	4.34	5.048	6.009	32.45	37.52	45.89
-Membrane Transport	-DNA Maintenance	0.003064	0.2242	0.3117	0.002636	0.02321	0.02897	0.005954	0.3267	0.3789	0.02335	0.3768	0.5217	0.00129	0.116	0.1346	0.009153	0.08547	0.1102	0.006894	0.3795	0.5087	0.003445	0.1249	0.1572	0.001019	0.1187	0.1373	0.009744	0.1407	0.1799	0.004493	0.1979	0.2449	0.01735	0.06746	0.09459	0.01158	0.05819	0.08008	0.009698	0.1167	0.1354	0.002346	0.08716	0.1069	0.02031	0.2443	0.3766	0.0009888	0.4299	0.5359	0.0007505	0.03829	0.04511	0.003213	0.1531	0.2193	0.004995	0.07148	0.09358	0.004299	0.7149	0.8489	0.0003029	0.04262	0.06751	0.00481	0.1862	0.229	0.003496	0.1091	0.1228	0.002095	0.04218	0.05679	0.00239	0.1853	0.2128	0.002299	0.4153	0.475	0.007977	3.269	4.011
-Central Carbon Metabolism	-DNA Maintenance	6.685	9.038	10.9	4.878	6.105	6.444	11.91	12.58	14.79	17.83	22.77	30.42	7.734	8.469	10.02	5.034	6.118	8.324	18.24	22.51	30.8	3.007	3.641	4.732	0.9768	1.066	1.412	7.596	9.154	11.71	14.76	17.86	20.79	3.91	5.517	7.581	3.321	4.446	5.991	8.877	10.72	13.92	7.805	9.286	13.76	9.739	13.57	21.28	2.458	2.988	3.893	4.983	5.692	7.211	14.92	20.19	23.61	10.29	12.94	15.27	2.372	2.61	4.169	1.374	1.941	2.608	2.695	3.078	4.774	1.895	2.123	3.211	1.765	2.303	3.238	1.469	1.686	2.078	1.154	1.309	1.845	8.872	10.27	13.96
-Energy Metabolism	-DNA Maintenance	2.245	2.853	3.503	6.996	8.17	8.8	7.881	8.822	9.932	15.94	20.74	25.92	5.755	6.379	8.019	3.083	3.692	4.995	20.56	23.49	29.61	1.931	2.196	2.771	0.3668	0.3965	0.5378	3.178	3.646	4.558	35.89	42.58	48.18	2.284	3.141	4.117	1.729	2.244	2.836	8.398	9.851	12.17	8.392	9.552	14.42	3.981	5.381	7.857	0.9574	1.106	1.523	5.434	6.092	7.938	4.113	5.433	6.206	5.695	7.177	8.367	0.9244	1.006	1.641	1.803	2.558	3.43	1.652	1.87	2.945	0.5574	0.615	0.9508	2.741	3.55	4.795	0.5796	0.6591	0.8151	0.9288	1.024	1.488	3.64	4.165	5.453
-Biosynthesis	-DNA Maintenance	6.168	7.178	8.582	3.81	4.493	5.063	7.492	9.036	10.89	20.07	25.53	31.03	5.965	6.659	7.941	5.224	6.859	8.254	17.96	21.79	28.48	4.774	5.827	7.643	0.7994	0.8923	1.178	5.817	7.097	9.129	16.12	18.6	22.89	4.795	6.731	8.921	3.397	4.681	5.897	11.69	14.47	18.36	8.828	10.87	15.18	21.59	30.6	43.97	6.025	7.245	9.471	3.462	3.943	5.022	16.77	21.13	24.57	6.213	7.494	9.142	2.704	3.012	4.84	3.279	4.666	6.152	2.671	3.094	4.739	1.812	2.142	3.111	2.616	3.358	4.939	1.38	1.578	1.923	1.25	1.447	1.993	10.21	14.6	18.66
-Other Enzymes	-DNA Maintenance	1.508	3.65	4.634	0.9345	2.622	4.438	2.575	4.19	5.191	3.923	5.955	8.603	1.65	2.927	3.749	1.203	2.697	5.659	2.222	3.299	8.732	1.053	2.074	3.739	0.3771	0.7302	0.943	1.067	1.616	2.571	3.064	4.819	6.668	1.218	1.96	3.438	0.8664	1.386	2.289	2.79	3.614	5.304	2.003	3.171	5.145	3.702	6.346	8.627	1.223	1.746	2.764	1.009	2.296	3.675	1.029	2.422	3.818	1.888	3.397	4.748	0.725	1.165	2.103	1.319	3.364	6.226	0.5258	1.111	2.459	0.5419	1.015	1.78	0.7895	1.657	3.57	0.3988	0.8408	1.174	0.5294	0.8558	1.3	2.143	3.57	11.97
Organismal Systems	-DNA Maintenance	7.443	10.1	12	5.097	6.412	6.758	14.96	16.02	18.75	12.45	15.93	20.7	6.76	7.455	8.769	3.445	4.393	5.924	36.29	44.79	60.33	8.088	9.809	12.68	1.955	2.153	2.842	10.59	12.76	16.29	91.45	111.2	127.9	2.506	3.548	4.826	2.4	3.238	4.329	4.36	5.294	6.57	5.591	6.724	9.465	4.663	6.78	10.01	15.71	19.19	24.66	6.465	7.396	9.346	44.66	60.49	70.5	5.661	7.144	8.435	5.727	6.369	10.07	3.021	4.32	5.75	5.654	6.493	10	9.737	10.93	16.37	6.19	8.104	11.25	3.56	4.089	5.013	6.08	6.901	9.654	22.64	26.52	35.57
-Immune System	-DNA Maintenance	0.3728	0.5047	0.5997	0.4599	0.5785	0.6081	0.4476	0.4816	0.564	0.4634	0.5921	0.7661	0.4273	0.4712	0.5548	0.32	0.406	0.5507	0.4442	0.548	0.7379	0.2783	0.3371	0.4364	0.09164	0.09944	0.1338	0.363	0.439	0.5603	1.204	1.461	1.681	0.2685	0.3803	0.5058	0.2692	0.3618	0.4721	0.4686	0.5683	0.7067	0.5122	0.6157	0.8676	0.2756	0.4005	0.5891	1.198	1.461	1.883	0.2436	0.2775	0.3528	0.1804	0.2443	0.2846	0.2527	0.3164	0.3765	0.3176	0.3511	0.5591	0.07474	0.1067	0.1424	0.1315	0.1506	0.2326	0.376	0.4124	0.6323	0.2061	0.2697	0.3746	0.2506	0.2868	0.3529	0.5377	0.6094	0.8539	0.9192	1.074	1.445
-Endocrine System	-DNA Maintenance	2.541	3.449	4.087	0.853	1.073	1.131	0.8726	0.939	1.1	6.169	7.891	10.2	0.8167	0.9006	1.059	0.2501	0.3188	0.43	3.96	4.888	6.579	0.3703	0.4491	0.5807	0.1438	0.1584	0.2091	3.204	3.876	4.945	8.806	10.71	12.32	0.8686	1.23	1.635	1.09	1.468	1.911	0.8035	0.976	1.211	1.047	1.258	1.772	2.76	4.012	5.899	0.7196	0.8792	1.13	0.942	1.078	1.362	1.86	2.52	2.935	0.6594	0.8317	0.9825	0.6771	0.7532	1.19	0.3201	0.4578	0.6093	0.2992	0.3436	0.5293	0.174	0.1953	0.2925	1.004	1.314	1.824	0.5849	0.6719	0.8236	0.8526	0.9679	1.354	8.548	10.02	13.43
-Circulatory System	-DNA Maintenance	4.351	5.906	7	2.38	2.994	3.157	10.56	11.36	13.3	5.641	7.216	9.326	4.384	4.835	5.686	2.595	3.308	4.461	31.68	39.1	52.62	6.81	8.259	10.68	1.658	1.826	2.41	6.544	7.916	10.1	81.06	98.56	113.4	0.8842	1.252	1.663	0.756	1.019	1.326	2.621	3.184	3.951	3.778	4.543	6.395	1.509	2.194	3.225	13.51	16.51	21.21	3.42	3.913	4.944	42.43	57.47	66.95	2.961	3.735	4.412	4.652	5.175	8.176	1.228	1.756	2.337	3.873	4.449	6.853	8.954	10.05	15.05	4.871	6.376	8.85	2.563	2.945	3.61	4.576	5.195	7.267	12.93	15.15	20.31
-Digestive System	-DNA Maintenance	0.04821	0.06552	0.07755	0.05621	0.07073	0.0745	0.06375	0.07432	0.08165	0.02252	0.02879	0.03722	0.03295	0.03647	0.04291	0.02127	0.02721	0.03665	0.02278	0.03003	0.03779	0.4546	0.5514	0.7149	0.006128	0.007497	0.009054	0.04002	0.04932	0.06372	0.0439	0.0534	0.06144	0.3607	0.5112	0.6789	0.1793	0.244	0.3144	0.262	0.3177	0.3938	0.1294	0.1561	0.219	0.03829	0.05499	0.08205	0.01747	0.02179	0.02814	0.04623	0.05285	0.06683	0.04442	0.06017	0.06969	0.124	0.1573	0.1851	0.01647	0.01894	0.02948	1.212	1.733	2.306	0.0199	0.02356	0.03489	0.02081	0.02361	0.03506	0.01355	0.01808	0.02504	0.01293	0.01491	0.01816	0.007204	0.008142	0.01137	0.03818	0.04455	0.06048
-Excretory System	-DNA Maintenance	0.02705	0.03671	0.04782	0.1672	0.2103	0.2218	0.08457	0.09539	0.1043	0.03553	0.04544	0.06615	0.08179	0.09019	0.1256	0.0577	0.07371	0.1006	0.02476	0.03056	0.04567	0.04665	0.05657	0.08397	0.004967	0.005472	0.008516	0.03326	0.04023	0.05468	0.07823	0.09511	0.1228	0.04157	0.05886	0.09559	0.02645	0.03565	0.05463	0.07059	0.08575	0.1151	0.04725	0.05682	0.1057	0.03256	0.04734	0.07992	0.04466	0.05456	0.08373	0.1498	0.1714	0.2414	0.03116	0.0422	0.05334	0.03496	0.0441	0.05424	0.007369	0.008211	0.01726	0.1454	0.208	0.2904	1.269	1.458	2.245	0.01036	0.01172	0.02005	0.01115	0.0146	0.02551	0.01759	0.02024	0.02824	0.01959	0.02224	0.0368	0.03886	0.04554	0.07038
-Nervous System	-DNA Maintenance	0.08927	0.1212	0.1436	1.063	1.338	1.41	2.507	2.698	3.16	0.09171	0.1178	0.1516	0.7331	0.8084	0.9508	0.07844	0.1	0.1349	0.06683	0.08249	0.111	0.1008	0.1222	0.158	0.033	0.03635	0.04797	0.1201	0.1453	0.1854	0.2175	0.2645	0.3043	0.05911	0.08368	0.1112	0.05404	0.07401	0.09476	0.1128	0.137	0.1699	0.06594	0.07929	0.1116	0.03693	0.05405	0.07892	0.1228	0.15	0.1927	1.546	1.769	2.235	0.1079	0.1461	0.1702	1.315	1.662	1.96	0.04716	0.05246	0.08288	0.03753	0.05367	0.07143	0.05203	0.05976	0.09205	0.1862	0.2131	0.3131	0.08017	0.1053	0.1457	0.1227	0.143	0.1727	0.08019	0.09103	0.1273	0.127	0.1488	0.1995
-Sensory System	-DNA Maintenance	0.0005135	0.0006851	0.0008119	0.0003506	0.000441	0.000465	0.003497	0.003763	0.004407	0.0004945	0.0006325	0.0008175	0.003222	0.003625	0.004288	0.1078	0.1374	0.1853	0.001522	0.004294	0.006139	0.0112	0.01358	0.01756	1.543e-05	1.7e-05	2.244e-05	0.1945	0.2478	0.2986	0.001506	0.001831	0.002107	0.01602	0.02268	0.03012	0.0178	0.02399	0.03122	0.0001881	0.0002285	0.0002835	0.0003627	0.0004361	0.0006139	0.0005004	0.0007274	0.001069	0.000385	0.0004704	0.0006044	0.000272	0.0003112	0.0003932	0.001621	0.002196	0.002558	0.002098	0.002646	0.003125	0.0001168	0.00013	0.0002053	0.0001953	0.0002792	0.0003716	0.0007223	0.0008296	0.001278	0.0001278	0.0001434	0.0002149	0.000682	0.0008929	0.001239	0.001504	0.001727	0.002118	0.001121	0.001273	0.001781	0.0007678	0.0008998	0.001207
-Development	-DNA Maintenance	0.01276	0.01732	0.02053	0.1168	0.1471	0.1555	0.3448	0.3711	0.4346	0.02881	0.03743	0.04763	0.2809	0.3098	0.3644	0.01521	0.02007	0.02615	0.0904	0.1118	0.1502	0.01593	0.01968	0.02498	0.01743	0.02017	0.02534	0.07144	0.0866	0.1103	0.04082	0.04964	0.06101	0.007252	0.01027	0.01364	0.007842	0.01083	0.01375	0.02061	0.02503	0.03106	0.01168	0.01436	0.01978	0.009721	0.01423	0.02078	0.09189	0.1123	0.1443	0.1167	0.1335	0.1687	0.006711	0.00909	0.01059	0.3113	0.395	0.4638	0.009939	0.01279	0.01747	0.003745	0.005476	0.007128	0.008137	0.009771	0.0144	0.01539	0.01974	0.02693	0.003821	0.005161	0.006943	0.006171	0.008056	0.00869	0.004996	0.006379	0.007933	0.03768	0.04658	0.05922
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-DNA Maintenance	0.3922	0.919	1.409	0.7268	1.084	1.306	0.8543	1.541	1.962	1.182	2.918	3.351	0.629	1.059	1.469	0.3362	0.8593	1.414	0.8954	2.854	3.803	0.3857	0.7979	1.324	0.1063	0.2488	0.5997	0.7112	1.324	1.952	1.901	4.454	6.304	0.2708	0.876	1.589	0.226	0.7738	1.35	0.6015	1.336	1.818	0.6424	1.463	2.223	0.4851	1.408	2.698	0.4057	0.77	1.211	0.7588	1.294	1.793	1.024	2.081	2.94	0.6291	1.554	2.078	0.3182	0.5055	1.3	0.3867	1.22	1.908	0.229	0.4702	1.213	0.2049	0.3576	0.9326	0.3834	0.9991	1.778	0.1491	0.3389	0.5857	0.307	0.508	1.04	0.7584	1.452	2.247
-Cancers	-DNA Maintenance	0.06608	0.1439	0.3679	0.08131	0.1769	0.2346	0.05755	0.2125	0.7717	0.157	0.9001	2.162	0.08212	0.1794	0.4202	0.07213	0.1211	0.299	0.1872	0.5115	1.982	0.1459	0.1885	0.2988	0.03554	0.04264	0.07507	0.1629	0.2369	0.4702	0.159	1.101	3.924	0.07624	0.1405	0.3425	0.05811	0.09266	0.2811	0.07812	0.3041	0.7165	0.05238	0.205	0.7026	0.0453	0.1678	0.5998	0.1246	0.1524	0.222	0.07075	0.138	0.3801	0.1254	0.1878	0.8575	0.04316	0.09845	0.6121	0.1121	0.1378	0.2437	0.04321	0.07252	0.3054	0.04729	0.07175	0.1273	0.03849	0.04987	0.07835	0.1462	0.2467	0.4133	0.0429	0.05412	0.07969	0.146	0.1753	0.258	0.3761	0.523	0.8273
-Immune System Diseases	-DNA Maintenance	0.004753	0.3659	0.6184	0.006239	0.239	0.3242	0.005302	0.1566	0.3234	0.005006	0.2793	0.6503	0.002935	0.1053	0.303	0.008505	0.2846	0.6716	0.0003088	0.2372	0.6684	0.00456	0.2182	0.5216	0.006336	0.1051	0.4137	0.001242	0.2112	0.4949	0.001743	0.2307	0.3999	0.003998	0.3968	0.8751	0.004793	0.3549	0.7328	0.00629	0.2265	0.4801	0.003302	0.2069	0.6766	0.006688	0.4639	1.14	0.002535	0.2269	0.5345	0.005459	0.1843	0.4472	0.0007842	0.3474	0.5799	0.004019	0.274	0.4907	0.002345	0.09566	0.6826	0.003772	0.4298	0.8915	0.005719	0.1541	0.7448	0.0005269	0.1141	0.5859	0.003678	0.3177	0.8207	0.000878	0.1476	0.3219	0.002712	0.124	0.5096	0.003915	0.1605	0.5021
-Neurodegenerative Diseases	-DNA Maintenance	0.2221	0.3302	0.6266	0.4824	0.6082	0.6895	0.5548	0.6775	1.272	0.3268	0.5121	2.334	0.382	0.4952	0.7594	0.1231	0.1798	0.4518	0.4347	0.5834	2.766	0.1525	0.2157	0.3818	0.03689	0.06193	0.1096	0.448	0.5967	0.9192	0.6399	0.8784	4.05	0.08668	0.1463	0.4458	0.08527	0.1347	0.4137	0.2724	0.3724	0.892	0.3954	0.6716	1.121	0.29	0.4884	1.332	0.2092	0.2954	0.3948	0.5759	0.8328	1.004	0.8061	1.172	2.053	0.4243	0.5983	1.154	0.1299	0.1919	0.2695	0.1767	0.2816	0.635	0.08497	0.142	0.2139	0.09482	0.1297	0.1757	0.1335	0.2136	0.4853	0.06992	0.09775	0.1393	0.1102	0.1631	0.2069	0.2712	0.3767	0.9254
-Cardiovascular Diseases	-DNA Maintenance	0.0003407	0.0004624	0.000548	0.003012	0.003789	0.003995	0.0002914	0.0003136	0.0003672	0.001011	0.001293	0.001671	0.001034	0.00114	0.00134	0.01501	0.01913	0.0258	0.005652	0.006976	0.009389	0.005521	0.006696	0.008657	0.003062	0.003373	0.004451	0.03383	0.04092	0.05222	0.1735	0.2109	0.2427	0.007376	0.01044	0.01387	0.01249	0.01682	0.02189	0.000937	0.001138	0.001412	0.0004179	0.0005025	0.0007073	0.006201	0.009016	0.01325	0.002097	0.002561	0.003291	0.0002189	0.0002504	0.0003164	0.001233	0.00167	0.001946	0.0005658	0.0007137	0.000843	0.0005951	0.0006619	0.001046	0.0004135	0.0005914	0.0007871	0.006929	0.007959	0.01226	0.0005102	0.0005727	0.0008578	0.00153	0.002003	0.00278	0.0015	0.001722	0.002112	0.0005174	0.0005874	0.0008216	0.003035	0.003557	0.00477
-Metabolic Diseases	-DNA Maintenance	0.00167	0.002267	0.002686	0.007946	0.009996	0.01054	0.01192	0.01283	0.01502	6.584e-05	8.422e-05	0.0001089	0.009413	0.01038	0.01221	0.001241	0.001583	0.002134	8.728e-05	0.0001077	0.000145	0.00162	0.001964	0.00254	0.0003012	0.0003318	0.0004379	0.004336	0.005245	0.006692	0.00252	0.003064	0.003525	0.001291	0.001827	0.002427	0.0007662	0.001032	0.001343	0.0008645	0.00105	0.001303	0.0006699	0.0008055	0.001134	0.0004483	0.0006517	0.0009581	0.0002052	0.0002506	0.0003221	0.003618	0.004139	0.00523	0.0002096	0.0002838	0.0003307	0.008425	0.01063	0.01255	0.0004425	0.0004922	0.0007777	0.006916	0.009891	0.01316	0.00185	0.002125	0.003273	0.0001238	0.0001389	0.0002081	0.0005381	0.0007044	0.0009777	0.0003333	0.0003829	0.0004693	6.591e-05	7.483e-05	0.0001047	0.0007693	0.0009015	0.001209
