Synpcc7942_1882	PsbU	K02719
Synpcc7942_2010	PsbV	K02720
Synpcc7942_2245	PsbZ	K02724
Synpcc7942_2049	PsaA	K02689
Synpcc7942_2048	PsaB	K02690
Synpcc7942_2343	PsaI	K02696
Synpcc7942_1912a	PsaM	K02700
Synpcc7942_1479	PetG	K02640
Synpcc7942_2426	PetM	K02643
Synpcc7942_0475	PetN	K03689
Synpcc7942_2316	AtpC	K02114
Synpcc7942_1653	GldA	K00005
Synpcc7942_1519	HisD	K00013
Synpcc7942_2467	AroE	K00014
Synpcc7942_1740	MurB	K00075
Synpcc7942_0804	PdxA	K00097
Synpcc7942_1433	ArgC	K00145
Synpcc7942_2265	ProA	K00147
Synpcc7942_0504	HemA	K02492
Synpcc7942_1433	ArgC	K00145
Synpcc7942_0641	SdhA	K00239
Synpcc7942_1240	NirA	K00366
Synpcc7942_2235	TrmD	K00554
Synpcc7942_0311	KsgA	K02528
Synpcc7942_1500	PrmA	K02687
Synpcc7942_1099	UbiE	K03183
Synpcc7942_0975	MraW	K03438
Synpcc7942_0282	GlyA	K00600
Synpcc7942_0588	PurT	K08289
Synpcc7942_0958	PurN	K11175
Synpcc7942_0396	PurH	K00602
Synpcc7942_2110	Fmt	K00604
Synpcc7942_2308	GcvT	K00605
Synpcc7942_2381	PanB	K00606
Synpcc7942_0670	PyrB	K00609
Synpcc7942_2434	IlvH	K01653
Synpcc7942_1896	ArgJ	K00620
Synpcc7942_1896	ArgJ	K00620
Synpcc7942_0288	GlmU	K04042
Synpcc7942_2353	LipB	K03801
Synpcc7942_1449	LpxD	K02536
Synpcc7942_1172	Lnt	K03820
Synpcc7942_0606	Aat	K00684
Synpcc7942_2518	GlgA	K00703
Synpcc7942_0932	LpxB	K00748
Synpcc7942_1715	Upp	K00761
Synpcc7942_2592	PyrE	K00762
Synpcc7942_0783	HisG	K00765
Synpcc7942_2123	TrpD	K00766
Synpcc7942_0455	Tgt	K00773
Synpcc7942_1481	HisH	K02501
Synpcc7942_0967	HemC	K01749
Synpcc7942_2490	MiaA	K00791
Synpcc7942_2244	RibH	K00794
Synpcc7942_1964	UbiA	K03179
Synpcc7942_0892	CofG	K11780
Synpcc7942_2258	AvtA	K00835
Synpcc7942_0221	Glk	K00845
Synpcc7942_1865	PpnK	K00858
Synpcc7942_2304	PpnK	K00858
Synpcc7942_0273	CoaE	K00859
Synpcc7942_0894	AroK	K00891
Synpcc7942_0990	CobU	K02231
Synpcc7942_1116	Pgk	K00927
Synpcc7942_2213	Adk	K00939
Synpcc7942_2497	Ndk	K00940
Synpcc7942_1191	Gmk	K00942
Synpcc7942_0506	PyrH	K09903
Synpcc7942_2007	CoaD	K00954
Synpcc7942_0295	Sat	K00958
Synpcc7942_1522	RpoB	K03043
Synpcc7942_0106	NadD	K00969
Synpcc7942_0288	GlmU	K04042
Synpcc7942_0603	GlgC	K00975
Synpcc7942_1073	Rph	K00989
Synpcc7942_0681	IspD	K00991
Synpcc7942_0990	CobU	K02231
Synpcc7942_1292	DnaG	K02316
Synpcc7942_0152	MraY	K01000
Synpcc7942_0454	CobS	K02233
Synpcc7942_2063	SurE	K03787
Synpcc7942_0505	GlpX	K11532
Synpcc7942_0505	GlpX	K11532
Synpcc7942_0368	XseA	K03601
Synpcc7942_0798	RuvC	K01159
Synpcc7942_0879	RnhB	K03470
Synpcc7942_1615	RnpA	K03536
Synpcc7942_2537	ClpP	K01358
Synpcc7942_1726	LspA	K03101
Synpcc7942_1251	Gcp	K01409
Synpcc7942_1008	PurU	K01433
Synpcc7942_1340	Def	K01462
Synpcc7942_0929	LpxC	K02535
Synpcc7942_0396	PurH	K00602
Synpcc7942_1900	Dcd	K01494
Synpcc7942_1597	FolE	K01495
Synpcc7942_1493	MazG	K02428
Synpcc7942_2316	AtpC	K02114
Synpcc7942_0885	FusA	K02355
Synpcc7942_2082	FusA	K02355
Synpcc7942_0884	Tuf	K02358
Synpcc7942_1086	HemE	K01599
Synpcc7942_1426	RbcL	K01601
Synpcc7942_1197	TrpC	K01609
Synpcc7942_1007	FumC	K01679
Synpcc7942_0639	Eno	K01689
Synpcc7942_0125	HisB	K01693
Synpcc7942_0411	TrpA	K01695
Synpcc7942_2548	LeuD	K01704
Synpcc7942_2548	LeuD	K01704
Synpcc7942_1636	PhhB	K01724
Synpcc7942_0930	FabZ	K02372
Synpcc7942_0525	AroB	K01735
Synpcc7942_1170	IspF	K01770
Synpcc7942_0137	HemH	K01772
Synpcc7942_2201	Alr	K01775
Synpcc7942_1927	DapF	K01778
Synpcc7942_1261	TpiA	K01803
Synpcc7942_2029	Pgi	K01810
Synpcc7942_1852	CobH	K06042
Synpcc7942_2132	GlmM	K03431
Synpcc7942_1222	TruB	K03177
Synpcc7942_2491	GyrB	K02470
Synpcc7942_2348	QueA	K07568
Synpcc7942_2606	ThrS	K01868
Synpcc7942_1920	LeuS	K01869
Synpcc7942_2437	IleS	K01870
Synpcc7942_2415	LysS	K04567
Synpcc7942_0876	AlaS	K01872
Synpcc7942_0587	ValS	K01873
Synpcc7942_1313	AspS	K01876
Synpcc7942_2457	GlyQ	K01878
Synpcc7942_0018	GlyS	K01879
Synpcc7942_1662	CysS	K01883
Synpcc7942_2393	GltX	K01885
Synpcc7942_1577	ArgS	K01887
Synpcc7942_2064	PheS	K01889
Synpcc7942_1293	PheT	K01890
Synpcc7942_2263	HisS	K01892
Synpcc7942_0830	AsnC	K01893
Synpcc7942_0105	NadE	K01916
Synpcc7942_1441	CobD	K02227
Synpcc7942_2375	Ddl	K01921
Synpcc7942_1741	MurC	K01924
Synpcc7942_1667	MurD	K01925
Synpcc7942_1484	MurE	K01928
Synpcc7942_1954	PyrG	K01937
Synpcc7942_0189	GuaA	K01951
Synpcc7942_0711	CarB	K01955
Synpcc7942_2117	GatA	K02433
Synpcc7942_0118	GatB	K02434
Synpcc7942_2117	GatA	K02433
Synpcc7942_0118	GatB	K02434
Synpcc7942_0277	LigA	K01972
Synpcc7942_0097	CobN	K02230
Synpcc7942_0277	LigA	K01972
Synpcc7942_0848	UvrA	K03701
Synpcc7942_1945	UvrC	K03703
Synpcc7942_0277	LigA	K01972
Synpcc7942_1522	RpoB	K03043
Synpcc7942_1780	MutL	K03572
Synpcc7942_0368	XseA	K03601
Synpcc7942_0277	LigA	K01972
Synpcc7942_0348	RecA	K03553
Synpcc7942_2298	RuvA	K03550
Synpcc7942_0835	RuvB	K03551
Synpcc7942_0798	RuvC	K01159
Synpcc7942_0348	RecA	K03553
Synpcc7942_2250	RecF	K03629
Synpcc7942_0984	RecO	K03584
Synpcc7942_1369	RecR	K06187
Synpcc7942_2298	RuvA	K03550
Synpcc7942_0835	RuvB	K03551
Synpcc7942_0798	RuvC	K01159
Synpcc7942_2491	GyrB	K02470
Synpcc7942_0984	RecO	K03584
Synpcc7942_1369	RecR	K06187
Synpcc7942_0848	UvrA	K03701
Synpcc7942_0348	RecA	K03553
Synpcc7942_1100	DnaA	K02313
Synpcc7942_2001	MinC	K03610
Synpcc7942_2423	GidA	K03495
Synpcc7942_0267	GidB	K03501
Synpcc7942_1315	Gid	K04094
Synpcc7942_1726	LspA	K03101
Synpcc7942_0189	GuaA	K01951
Synpcc7942_1251	Gcp	K01409
Synpcc7942_2537	ClpP	K01358
Synpcc7942_2490	MiaA	K00791
Synpcc7942_1964	UbiA	K03179
Synpcc7942_0930	FabZ	K02372
