ssr1720	TyrS	K01866
slr1884	TrpS	K01867
sll1814	SecY	K03076
ssl3335	SecE	K03073
ssr3307	SecG	K03075
slr0774	SecD	K03072
slr0775	SecF	K03074
sll0616	SecA	K03070
slr1531	Ffh	K03106
slr2102	FtsY	K03110
sll0194	Ycf43	K03118
sll0716	LepB	K03100
slr1377	LepB	K03100
slr1366	LspA	K03101
sll0704	NifS	K04487
slr0387	NifS	K04487
sll1536	MoeB	K11996
sll0844	MnmA	K00566
slr0903	MoaE	K03635
slr0901	MoaA	K03639
slr0902	MoaC	K03637
ssr0102	Ycf40	K03154
slr1129	Rne	K08300
slr0752	Eno	K01689
sll1043	Pnp	K00962
sll1910	Zam	K12573
slr0083	DeaD	K05592
slr1536	RecQ	K03654
sll0058	DnaK	K04043
sll0170	DnaK	K04043
sll1932	DnaK	K04043
sll0416	GroEl-2	K04077
slr2076	GroEl	K04077
sll0290	Ppk	K00937
sll0825	PcnB	K00970
sll1253	PcnB	K00970
sll1572	DnaE	K02337
slr0603	DnaE	K02337
sll1360	DnaX	K02343
slr0446	DnaX	K02341
slr0965	DnaN	K02338
slr0833	DnaB	K02314
sll1868	DnaG	K02316
slr0925	Ssb	K03111
slr0080	RnhA	K03469
slr1130	RhnB	K03470
slr0707	PolA	K02335
sll1209	LigA	K01972
slr1689	MutM	K10563
slr1822	Nth	K10773
sll1854	XthA	K01142
slr0707	PolA	K02335
sll1354	RecJ	K07462
sll1209	LigA	K01972
sll0377	Mfd	K03723
slr1844	UvrA	K03701
sll0459	UvrB	K03702
sll0865	UvrC	K03703
sll1143	UvrD	K03657
slr0707	PolA	K02335
sll1209	LigA	K01972
sll1165	MutS	K03555
sll1772	MutS	K07456
slr1199	MutL	K03572
sll1143	UvrD	K03657
sll1354	RecJ	K07462
slr0925	Ssb	K03111
