Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Folding, Sorting and Degradation	-Translation	1.921	1.741	2.079	1.849
-DNA Maintenance	-Translation	1.734	1.92	1.434	1.961
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	0.574	0.5386	0.7075	0.5368
-Signal Transduction	-Translation	0.1915	0.1253	0.2895	0.09811
-Signaling Molecules and Interaction	-Translation	0.489	0.4783	0.5428	0.4657
Cellular Processes	-Translation	6.213	4.23	7.391	3.5
-Crystallins	-Translation	0	0	0	0
-Stress Response	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.2069	0.156	0.2451	0.1486
-Cytoskeleton	-Translation	5.596	3.706	6.662	3.039
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.259	0.2353	0.3116	0.2349
-Cell Communication	-Translation	0.2561	0.2658	0.2615	0.2366
Metabolism	-Translation	2.053	1.867	2.215	1.609
-Membrane Transport	-Translation	0.006262	0.005826	0.006489	0.004565
-Central Carbon Metabolism	-Translation	0.717	0.6744	0.7598	0.5535
-Energy Metabolism	-Translation	0.2336	0.1793	0.2565	0.1562
-Biosynthesis	-Translation	0.3573	0.279	0.3908	0.2346
-Other Enzymes	-Translation	1.316	1.185	1.451	1.118
Organismal Systems	-Translation	0.9829	0.8495	1.017	0.8115
-Immune System	-Translation	0.2419	0.2184	0.2572	0.2221
-Endocrine System	-Translation	0.1426	0.1567	0.1244	0.1306
-Circulatory System	-Translation	0.3293	0.2845	0.281	0.2862
-Digestive System	-Translation	0.01543	0.01472	0.01107	0.01052
-Excretory System	-Translation	0.06132	0.04345	0.08147	0.03957
-Nervous System	-Translation	0.2715	0.2356	0.3215	0.2171
-Sensory System	-Translation	0.001945	0.001678	0.002131	0.001572
-Development	-Translation	0.1375	0.1344	0.1385	0.1433
-Environmental Adaptation	-Translation	0.07529	0.06188	0.08124	0.05349
Human Diseases	-Translation	2.572	2.523	2.183	2.488
-Cancers	-Translation	0.2111	0.2204	0.1957	0.2071
-Immune System Diseases	-Translation	0.3055	0.3232	0.2169	0.3143
-Neurodegenerative Diseases	-Translation	0.6216	0.5292	0.7398	0.4673
-Cardiovascular Diseases	-Translation	0.3868	0.382	0.302	0.3885
-Metabolic Diseases	-Translation	0.09403	0.1043	0.08188	0.09879
-Infectious Diseases	-Translation	1.664	1.794	1.381	1.827
Not Mapped	-Translation	2.869	2.451	3.261	2.472
-Not Mapped	-Translation	2.869	2.451	3.261	2.472
TOTAL	-Folding, Sorting and Degradation	11.44	10.57	11.17	9.501
MAPPED	-Folding, Sorting and Degradation	9.495	8.729	9.237	7.8
Genetic Information Processing	-Folding, Sorting and Degradation	2.667	3.018	2.392	3.226
-Transcription	-Folding, Sorting and Degradation	0.141	0.1639	0.1143	0.155
-Translation	-Folding, Sorting and Degradation	0.6897	0.7603	0.6076	0.7718
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.9544	1.201	0.7371	1.333
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.3548	0.3971	0.3482	0.4116
-Signal Transduction	-Folding, Sorting and Degradation	0.09968	0.07219	0.1403	0.06373
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.3386	0.3898	0.3298	0.3904
Cellular Processes	-Folding, Sorting and Degradation	4.421	3.447	4.54	2.972
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.1427	0.1186	0.1478	0.1041
-Cytoskeleton	-Folding, Sorting and Degradation	3.985	3.02	4.148	2.629
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.1786	0.1789	0.1881	0.1645
-Cell Communication	-Folding, Sorting and Degradation	0.1555	0.1712	0.1531	0.1562
Metabolism	-Folding, Sorting and Degradation	1.416	1.434	1.346	1.245
-Membrane Transport	-Folding, Sorting and Degradation	0.003632	0.003753	0.003489	0.003257
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.4269	0.4589	0.4225	0.4172
-Energy Metabolism	-Folding, Sorting and Degradation	0.1475	0.136	0.1463	0.1271
-Biosynthesis	-Folding, Sorting and Degradation	0.2154	0.1841	0.2167	0.1672
-Other Enzymes	-Folding, Sorting and Degradation	0.9061	0.8688	0.9857	0.8342
Organismal Systems	-Folding, Sorting and Degradation	0.5931	0.5758	0.5817	0.6159
-Immune System	-Folding, Sorting and Degradation	0.1519	0.1486	0.156	0.1546
-Endocrine System	-Folding, Sorting and Degradation	0.07725	0.09471	0.06185	0.08325
-Circulatory System	-Folding, Sorting and Degradation	0.1682	0.1592	0.1361	0.167
-Digestive System	-Folding, Sorting and Degradation	0.009314	0.009975	0.006333	0.007986
-Excretory System	-Folding, Sorting and Degradation	0.03651	0.02957	0.0453	0.02868
