Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
-Cancers	-Signal Transduction	0.6628	0.8749	3.327	0.4712	0.6414	2.762	0.6016	0.8063	3.738	0.4254	0.6182	3.183	0.5386	0.6827	2.481	0.389	0.5745	1.726	0.7925	0.9986	3.451	0.5948	1.201	3.754	0.7615	0.9373	4.172	0.59	1.12	2.434	0.456	0.6971	2.928
-Immune System Diseases	-Signal Transduction	0.1568	1.388	2.117	0.3387	1.629	2.677	0.1722	0.8407	1.614	0.09432	0.9429	1.557	0.114	1.188	1.833	0.1214	0.7536	1.322	0.3378	1.052	1.868	0.3675	1.61	2.456	0.4142	1.15	2.122	0.2251	1.208	2.149	0.2629	1.784	3.002
-Neurodegenerative Diseases	-Signal Transduction	2.302	3.177	3.892	1.823	2.22	3.197	2.037	2.538	3.478	1.661	2.168	3.476	1.91	2.858	3.615	1.734	2.419	3.004	2.401	3.276	3.928	3.104	4.099	5.815	1.992	2.687	3.394	3.081	4.243	7.481	2.715	3.58	4.126
-Cardiovascular Diseases	-Signal Transduction	0.1162	0.9326	1.483	0.05394	0.3015	1.109	0.1026	0.7309	2.343	0.07308	0.4767	0.908	0.1382	0.721	1.377	0.2056	0.7402	2.258	0.133	0.6484	0.7813	0.0599	0.5359	0.7789	0.05236	0.3748	0.5205	0.06747	0.6106	0.8391	0.07397	0.5629	0.7475
-Metabolic Diseases	-Signal Transduction	0.0002031	0.004892	1.007	3.904e-05	0.003891	0.735	2.266e-05	0.003482	0.9621	3.116e-05	0.006092	0.9637	0.001139	0.003599	1.255	0.0004589	0.002922	0.8654	0.0004768	0.03445	1.113	0.0007991	0.009706	1.787	5.546e-05	0.009233	0.5389	0.0006101	0.003588	1.632	0.0003789	0.004033	1.53
-Infectious Diseases	-Signal Transduction	0.9316	1.404	3.406	1.093	1.642	2.572	1.088	2.022	3.022	0.7682	1.242	2.467	1.151	1.747	2.746	1.302	1.934	2.264	1.085	1.524	2.357	1.412	2.122	3.734	0.9161	1.528	2.464	0.9332	1.848	3.5	0.7733	1.871	3.22
Not Mapped	-Signal Transduction	15.17	23.85	29.57	10.81	16.99	20.3	15.23	21.23	32.17	11.1	16.72	27.01	15.17	24.14	28.07	12.04	17.07	21.37	16.38	23.51	29.63	18.84	25.9	34.78	14.89	22.99	25.9	17.17	23.83	35.07	17.48	24.65	29.77
-Not Mapped	-Signal Transduction	15.17	23.85	29.57	10.81	16.99	20.3	15.23	21.23	32.17	11.1	16.72	27.01	15.17	24.14	28.07	12.04	17.07	21.37	16.38	23.51	29.63	18.84	25.9	34.78	14.89	22.99	25.9	17.17	23.83	35.07	17.48	24.65	29.77
TOTAL	-Signaling Molecules and Interaction	46.98	62.88	76.07	54.87	67.12	86.71	45.21	56.47	65.89	47.77	61.28	72.79	44.47	56.8	63.84	30.81	37.96	45.92	64.93	90.74	115.4	42.92	53.2	59.29	56.41	74.41	88.34	42.52	61.08	69.8	56.47	73.51	84.17
MAPPED	-Signaling Molecules and Interaction	38.57	51.62	62.45	45.71	55.93	72.25	37.16	46.41	54.15	39.27	50.38	59.85	36.04	46.03	51.74	25.36	31.24	37.79	53.34	74.53	94.79	35.45	43.94	48.96	45.99	60.67	72.02	34.22	49.16	56.18	45.43	59.15	67.72
Genetic Information Processing	-Signaling Molecules and Interaction	16.51	21.35	26.69	18.32	23.05	29.37	14.89	18.47	21.67	16.92	20.9	25.51	12.71	15.97	18.09	8.271	10.05	12.3	25.34	34.83	44.37	13.33	16.84	19.5	21.55	27.93	33.72	12.86	18.8	21.3	20.24	25.2	30.23
-Transcription	-Signaling Molecules and Interaction	1.88	2.845	3.299	2.353	3.106	3.929	1.473	2.033	2.317	1.667	2.46	2.795	1.418	2.084	2.209	0.7451	1.007	1.191	2.886	4.396	5.464	1.099	1.431	1.606	2.362	3.328	3.982	1.47	2.233	2.471	1.896	2.675	2.94
-Translation	-Signaling Molecules and Interaction	6.968	9.217	11.64	5.944	7.473	9.672	6.021	7.488	9.125	7.076	8.903	10.96	5.369	6.849	7.909	3.193	3.926	4.682	9.946	13.6	18.2	5.181	6.433	7.541	8.798	11.34	14.19	4.91	7.294	8.241	8.708	11.22	13.62
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	4.529	5.919	7.952	5.295	6.928	8.274	4.764	5.712	6.968	4.932	6.113	8.634	3.482	4.357	5.716	2.888	3.59	4.204	7.911	10.95	13.4	4.878	6.063	8.031	6.557	8.503	11.11	3.989	5.559	7.373	5.982	7.551	9.721
-DNA Maintenance	-Signaling Molecules and Interaction	2.505	3.371	4.283	4.254	5.682	6.957	2.287	2.989	3.8	2.765	3.422	4.387	1.875	2.544	3.106	1.111	1.57	1.827	4.12	6.168	7.302	1.758	2.618	2.753	3.502	4.76	5.511	2.463	3.481	4.258	3.312	4.351	5.302
-RNA Family	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signaling Molecules and Interaction	1.315	1.42	1.55	1.484	1.69	1.818	1.299	1.428	1.54	1.345	1.575	1.757	1.249	1.402	1.519	1.233	1.376	1.449	1.523	1.578	1.827	1.202	1.344	1.466	1.493	1.598	1.741	1.265	1.495	1.657	1.399	1.549	1.699
-Signal Transduction	-Signaling Molecules and Interaction	0.3151	0.4201	0.5504	0.4839	0.6898	0.8175	0.2993	0.428	0.5404	0.3452	0.575	0.757	0.2487	0.4022	0.5189	0.2325	0.3764	0.4486	0.5234	0.5779	0.8271	0.2019	0.3439	0.4659	0.493	0.5977	0.741	0.2647	0.4947	0.6575	0.3993	0.5486	0.6987
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	5.953	7.715	9.986	7.451	9.457	11.33	7.481	8.69	10.58	5.233	7.088	8.649	6.832	8.531	10.33	6.146	7.624	8.908	6.809	9.448	11.98	4.315	4.951	6.161	5.452	7.066	8.686	3.801	4.992	6.191	4.676	6.091	7.534
-Hemoglobin	-Signaling Molecules and Interaction	3.672e-05	5.507e-05	0.0001117	0.0001145	0.0001652	0.0002072	0.0001181	0.0001476	0.0001722	1.981e-09	2.719e-09	0.0001011	2.683e-05	3.827e-05	7.346e-05	1.178e-05	1.641e-05	2.55e-05	1.852e-09	2.834e-09	0.0001084	6.946e-05	8.61e-05	9.777e-05	0.002151	0.003054	0.004803	1.474e-09	2.15e-09	1.227e-05	0.0002225	0.0002965	0.0003316
-Vesicular Transport	-Signaling Molecules and Interaction	0.4708	0.7871	1.176	0.9931	1.24	1.491	0.5377	0.8192	1.222	0.5635	0.8024	1.201	0.4798	0.7122	1.045	0.6674	0.8318	1.154	0.8558	1.333	2.025	0.8394	1.034	1.286	0.5727	0.9096	1.492	0.8569	1.053	1.265	0.5662	0.913	1.393
-Cytoskeleton	-Signaling Molecules and Interaction	4.53	5.933	6.867	5.326	6.551	7.427	5.584	6.503	7.366	3.879	5.031	5.762	5.215	6.542	7.075	4.607	5.382	6.346	4.326	6.019	7.286	2.682	3.168	3.654	3.384	4.397	5.016	2.228	3.073	3.404	3.261	4.105	4.456
-Cell Motility	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Signaling Molecules and Interaction	0.3719	0.8075	1.085	0.5013	1.103	1.494	0.3675	0.8278	1.019	0.3674	0.7738	1.131	0.2747	0.7614	0.9454	0.1669	0.4827	0.561	0.6659	1.489	1.956	0.1532	0.4527	0.6116	0.5019	1.129	1.45	0.3134	0.5782	0.9324	0.349	0.9188	1.124
-Cell Communication	-Signaling Molecules and Interaction	0.4657	0.6115	0.9594	0.4047	0.6054	1.036	0.6556	0.8627	1.615	0.4187	0.5002	0.7265	0.7795	1.045	1.524	0.5024	0.7144	1.3	0.4559	0.622	1.116	0.3616	0.482	0.6099	0.5175	0.6681	0.9371	0.2017	0.3119	0.677	0.3931	0.539	0.8041
Metabolism	-Signaling Molecules and Interaction	8.332	12.87	14.44	10.52	14.44	17.68	7.523	10.83	12.16	9.712	13.39	15.45	9.232	13.22	14.5	5.34	7.828	8.917	12.13	19.41	23.45	10.15	14.21	16.14	10.45	15.14	17.02	10.78	16.38	18.92	11.29	16.42	18.05
-Membrane Transport	-Signaling Molecules and Interaction	0.09476	0.1698	0.2262	0.04497	0.1181	0.1817	0.04321	0.0973	0.1439	0.05832	0.1272	0.1698	0.06415	0.1195	0.1649	0.04495	0.07612	0.1164	0.0693	0.1619	0.2492	0.06847	0.1198	0.165	0.07813	0.155	0.2241	0.0748	0.1644	0.208	0.03916	0.1173	0.1616
-Central Carbon Metabolism	-Signaling Molecules and Interaction	1.117	1.429	2.527	1.525	2.172	3.392	1.059	1.35	2.292	1.322	2.165	2.685	1.227	2.135	2.851	0.9194	1.112	1.788	1.739	2.561	4.043	1.33	1.872	2.998	1.386	2.039	2.901	1.541	2.557	3.576	1.491	2.062	3.546
-Energy Metabolism	-Signaling Molecules and Interaction	0.4068	0.6666	1.006	0.596	0.987	1.246	0.3696	0.6816	0.8285	0.4293	0.6457	1.055	0.33	0.708	0.9779	0.3282	0.451	0.6198	0.5607	1.06	1.45	0.4117	0.6244	0.8979	0.5338	0.7339	1.09	0.7167	0.9846	1.283	0.5146	0.8735	1.349
-Biosynthesis	-Signaling Molecules and Interaction	2.045	3.37	3.87	2.379	3.66	4.426	1.773	2.707	3.369	2.154	3.251	4.329	1.755	3.472	4.441	1.171	2.015	2.326	2.518	5.155	5.776	2.719	3.909	4.48	2.329	3.788	4.585	2.983	4.564	5.496	2.936	3.962	4.933
-Other Enzymes	-Signaling Molecules and Interaction	4.351	6.252	7.444	5.476	7.83	9.29	3.932	5.155	6.532	4.794	6.296	8.214	4.512	6.321	7.467	2.754	3.865	4.345	6.748	9.851	13.01	5.236	6.82	8.596	5.669	8.001	9.1	5.151	7.894	9.584	5.775	7.931	10.08
Organismal Systems	-Signaling Molecules and Interaction	2.065	2.562	3.506	2.435	3.445	4.373	2.062	2.443	3.36	2.082	2.498	3.563	1.902	2.383	3.084	1.713	2.063	2.347	2.481	3.507	4.494	2.387	2.989	3.446	2.263	2.951	4.371	1.979	2.289	3.065	2.318	2.897	3.796
-Immune System	-Signaling Molecules and Interaction	0.2496	0.776	1.325	0.5389	0.9859	2.118	0.2327	0.6306	1.248	0.2425	0.6818	1.486	0.197	0.6048	0.9475	0.3241	0.6012	0.9118	0.3446	0.8862	2.008	0.3981	0.8133	1.291	0.2645	0.8113	2.457	0.3656	0.7168	1.138	0.3478	0.8665	1.751
-Endocrine System	-Signaling Molecules and Interaction	0.1764	0.4811	0.8173	0.2254	0.3083	0.5271	0.1992	0.4684	0.7108	0.1752	0.6708	1.132	0.156	0.3384	0.5828	0.1502	0.4251	0.6421	0.3311	0.6332	1.218	0.3086	0.7207	1.062	0.1887	0.5095	0.7979	0.259	0.4104	0.5827	0.2596	0.4276	0.8122
-Circulatory System	-Signaling Molecules and Interaction	0.1723	0.2443	0.3596	0.1549	0.2653	0.3904	0.2296	0.321	0.3748	0.1267	0.1394	0.2488	0.2043	0.2795	0.3737	0.177	0.2028	0.2782	0.1957	0.2473	0.447	0.09502	0.1262	0.1758	0.1311	0.1977	0.3675	0.08576	0.1603	0.2641	0.1475	0.2233	0.3763
-Digestive System	-Signaling Molecules and Interaction	0.1869	0.4501	0.5666	0.2192	0.2941	0.3838	0.2175	0.3224	0.42	0.1518	0.4642	0.5717	0.1997	0.4888	0.5495	0.17	0.2306	0.3673	0.299	0.4321	0.6149	0.2688	0.431	0.6679	0.3365	0.4253	0.5393	0.217	0.3417	0.5122	0.1948	0.344	0.3959
-Excretory System	-Signaling Molecules and Interaction	0.1104	0.1932	0.3054	0.1851	0.3926	0.614	0.1411	0.2229	0.3876	0.1035	0.2027	0.3811	0.1041	0.1628	0.3272	0.09303	0.1549	0.2977	0.1365	0.3434	0.5413	0.09247	0.2629	0.4847	0.1484	0.2256	0.3996	0.1	0.1933	0.4907	0.1233	0.1695	0.416
-Nervous System	-Signaling Molecules and Interaction	0.08719	0.2385	0.3716	0.1062	0.4209	0.6716	0.07012	0.198	0.4108	0.0859	0.184	0.404	0.05756	0.1523	0.3562	0.0574	0.1699	0.3109	0.1149	0.3176	0.6425	0.05346	0.137	0.2933	0.0975	0.2731	0.4996	0.09196	0.1718	0.3328	0.09067	0.2624	0.4705
-Sensory System	-Signaling Molecules and Interaction	0.002516	0.02243	0.03566	0.007395	0.06905	0.08814	0.004382	0.03204	0.04707	0.002671	0.02952	0.03937	0.003101	0.02714	0.041	0.002289	0.03616	0.0605	0.006492	0.04257	0.06776	0.003158	0.02037	0.02835	0.002797	0.01908	0.02948	0.00278	0.01451	0.0238	0.002911	0.03675	0.04718
-Development	-Signaling Molecules and Interaction	0.04142	0.0529	0.08274	0.08475	0.1478	0.288	0.04961	0.07252	0.1015	0.0295	0.04578	0.09211	0.0668	0.09806	0.1145	0.06831	0.0875	0.1125	0.05445	0.09616	0.1335	0.05972	0.07894	0.08713	0.0163	0.0364	0.06305	0.02763	0.03991	0.05724	0.04424	0.07781	0.1067
-Environmental Adaptation	-Signaling Molecules and Interaction	0.004186	0.02467	0.2491	0.004147	0.03714	0.177	0.00518	0.02582	0.2107	0.006311	0.02282	0.1611	0.003363	0.02049	0.1813	0.002883	0.01134	0.1562	0.005421	0.04966	0.2971	0.002118	0.02098	0.291	0.006914	0.05456	0.2601	0.003684	0.01179	0.3507	0.00596	0.03766	0.2912
Human Diseases	-Signaling Molecules and Interaction	2.934	4.39	5.801	4.284	5.514	7.25	2.739	3.803	5.298	2.899	4.493	5.474	2.493	4.003	5.059	2.152	2.915	3.789	3.835	5.637	7.407	3.131	3.764	4.748	3.348	5.395	6.743	3.381	4.8	6.709	3.986	5.345	7.533
-Cancers	-Signaling Molecules and Interaction	0.3048	0.3698	1.421	0.3852	0.4371	1.919	0.3012	0.3368	1.254	0.3012	0.3555	1.737	0.218	0.3133	0.9979	0.1499	0.221	0.5818	0.4659	0.6045	2.037	0.2136	0.2894	1.147	0.4796	0.598	2.651	0.3389	0.4379	1.204	0.289	0.3515	1.664
-Immune System Diseases	-Signaling Molecules and Interaction	0.06587	0.5296	1.145	0.1639	1.23	2.031	0.06908	0.3992	0.7052	0.05752	0.5741	1.051	0.04079	0.4149	0.8727	0.04541	0.2615	0.503	0.1768	0.6946	1.402	0.1014	0.5538	0.9543	0.2125	0.7305	1.35	0.1126	0.5696	1.253	0.1236	0.9198	1.736
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	1.121	1.485	1.735	1.328	1.629	2.242	0.872	1.121	1.364	1.2	1.595	1.728	0.9436	1.337	1.513	0.6779	0.903	1.13	1.311	2.147	2.831	1.067	1.466	1.92	1.151	1.829	2.168	1.313	2.332	2.55	1.314	1.99	2.421
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0.06394	0.3682	0.8665	0.03721	0.1782	0.9617	0.04505	0.2369	1.079	0.04202	0.2499	0.5557	0.06511	0.2579	0.6799	0.06895	0.2768	0.9944	0.1004	0.3546	0.8235	0.02744	0.1601	0.3164	0.03608	0.224	0.4689	0.04436	0.1938	0.4822	0.05169	0.2507	0.5496
-Metabolic Diseases	-Signaling Molecules and Interaction	0.0001824	0.002678	0.4298	5.223e-05	0.001883	0.4545	8.884e-06	0.001397	0.5199	1.694e-05	0.002615	0.3927	0.0005022	0.001724	0.5761	0.0001727	0.001372	0.3494	0.0004558	0.02849	0.6084	0.0004026	0.004445	0.5016	3.315e-05	0.006362	0.2657	0.0004023	0.002091	0.5829	0.0003096	0.002683	0.6109
-Infectious Diseases	-Signaling Molecules and Interaction	0.4944	0.8346	1.345	0.8657	1.13	2.063	0.5676	0.8353	1.32	0.5544	0.9667	1.684	0.5246	0.8229	1.199	0.5061	0.7234	1.012	0.6733	1.121	1.939	0.5216	0.7468	1.454	0.6346	1.107	1.564	0.4712	0.8165	1.67	0.5206	1.004	2.007
Not Mapped	-Signaling Molecules and Interaction	8.412	11.26	13.62	9.152	11.2	14.46	8.055	10.06	11.74	8.496	10.9	12.95	8.429	10.77	12.1	5.457	6.722	8.132	11.6	16.21	20.61	7.472	9.262	10.32	10.42	13.74	16.32	8.296	11.92	13.62	11.03	14.36	16.44
-Not Mapped	-Signaling Molecules and Interaction	8.412	11.26	13.62	9.152	11.2	14.46	8.055	10.06	11.74	8.496	10.9	12.95	8.429	10.77	12.1	5.457	6.722	8.132	11.6	16.21	20.61	7.472	9.262	10.32	10.42	13.74	16.32	8.296	11.92	13.62	11.03	14.36	16.44
TOTAL	Cellular Processes	7.158	7.456	8.149	6.682	7.217	7.986	5.692	5.902	6.626	8.072	8.339	9.198	5.886	6.125	6.655	4.774	4.94	5.552	8.845	9.536	10.61	9.35	9.977	10.73	9.681	10.3	11.34	10.51	11.92	13.15	10.41	11.17	12.51
MAPPED	Cellular Processes	5.876	6.121	6.69	5.567	6.013	6.654	4.678	4.85	5.446	6.636	6.856	7.562	4.77	4.964	5.394	3.928	4.065	4.569	7.265	7.833	8.716	7.723	8.24	8.862	7.893	8.401	9.242	8.459	9.592	10.58	8.373	8.989	10.06
Genetic Information Processing	Cellular Processes	2.361	2.608	2.86	2.072	2.424	2.665	1.76	1.955	2.193	2.683	2.938	3.233	1.566	1.751	1.883	1.171	1.32	1.47	3.26	3.682	4.134	2.708	3.165	3.397	3.454	3.882	4.362	2.999	3.711	4.069	3.553	4.042	4.538
-Transcription	Cellular Processes	0.2995	0.3173	0.3451	0.2926	0.3273	0.3469	0.193	0.2015	0.219	0.2968	0.315	0.3458	0.1975	0.2062	0.223	0.1208	0.1239	0.1371	0.408	0.4477	0.4781	0.2419	0.2692	0.2907	0.4249	0.4584	0.4844	0.3689	0.433	0.4777	0.3492	0.3964	0.4257
-Translation	Cellular Processes	1.043	1.101	1.223	0.7087	0.7859	0.8793	0.7401	0.7864	0.8787	1.171	1.204	1.349	0.7005	0.738	0.8029	0.4868	0.5095	0.5742	1.322	1.431	1.616	1.118	1.201	1.334	1.474	1.581	1.765	1.179	1.349	1.526	1.585	1.729	1.949
-Folding, Sorting and Degradation	Cellular Processes	0.6722	0.7608	0.8133	0.6048	0.7106	0.7545	0.5564	0.6313	0.6907	0.8217	0.8997	1.025	0.4425	0.5165	0.5344	0.4047	0.4719	0.5097	1.021	1.162	1.25	0.9907	1.18	1.264	1.022	1.203	1.303	0.9585	1.156	1.228	1.063	1.267	1.332
-DNA Maintenance	Cellular Processes	0.3461	0.4289	0.4998	0.4663	0.6252	0.7018	0.2632	0.3219	0.3876	0.3918	0.5015	0.5718	0.2258	0.296	0.3359	0.1557	0.2014	0.2397	0.5096	0.621	0.7537	0.3571	0.4756	0.5468	0.5342	0.6345	0.7569	0.4929	0.6846	0.8419	0.5554	0.6661	0.8359
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.1401	0.179	0.2137	0.1413	0.1725	0.2064	0.1136	0.1608	0.1873	0.1707	0.2285	0.2504	0.1184	0.1644	0.1859	0.1435	0.1895	0.1984	0.1332	0.1655	0.2005	0.1913	0.26	0.2918	0.1677	0.2213	0.2773	0.2313	0.2817	0.3416	0.1875	0.2487	0.29
-Signal Transduction	Cellular Processes	0.0382	0.05473	0.07341	0.06289	0.07013	0.0893	0.03043	0.04536	0.06004	0.04853	0.08745	0.1166	0.02637	0.0481	0.0549	0.02777	0.04932	0.06269	0.05764	0.06862	0.08492	0.04102	0.06313	0.0797	0.07005	0.08521	0.106	0.04869	0.09396	0.1168	0.06153	0.09334	0.1129
-Signaling Molecules and Interaction	Cellular Processes	0.09052	0.1212	0.158	0.07843	0.1052	0.1308	0.07907	0.1044	0.1313	0.1015	0.1406	0.1609	0.07795	0.106	0.1378	0.104	0.1283	0.1463	0.07288	0.1054	0.1311	0.1305	0.2017	0.2287	0.09632	0.1409	0.1833	0.1461	0.2001	0.2156	0.1126	0.1541	0.1954
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Hemoglobin	Cellular Processes	5.619e-06	6.37e-06	1.263e-05	1.394e-05	1.666e-05	2.21e-05	1.492e-05	1.551e-05	1.732e-05	3.084e-10	3.514e-10	1.272e-05	3.552e-06	4.016e-06	7.393e-06	1.839e-06	2.122e-06	3.046e-06	2.523e-10	3e-10	1.038e-05	1.513e-05	1.645e-05	1.756e-05	0.0003691	0.0004276	0.000612	3.644e-10	4.559e-10	2.169e-06	4.1e-05	4.485e-05	4.928e-05
-Vesicular Transport	Cellular Processes	0.07909	0.09843	0.1253	0.117	0.1299	0.1562	0.07187	0.08631	0.1155	0.09642	0.1064	0.1388	0.06924	0.0788	0.1033	0.09762	0.1067	0.1296	0.1122	0.1394	0.169	0.1703	0.196	0.2171	0.105	0.1269	0.1717	0.1771	0.2043	0.2189	0.1211	0.144	0.1849
-Cytoskeleton	Cellular Processes	0.6768	0.7152	0.7687	0.6131	0.6839	0.7466	0.653	0.7251	0.7631	0.6606	0.6852	0.7413	0.6742	0.7223	0.7634	0.664	0.7359	0.7726	0.576	0.6342	0.7053	0.5738	0.6278	0.645	0.5671	0.6091	0.6881	0.5278	0.5965	0.645	0.5725	0.6249	0.6872
-Cell Motility	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Cellular Processes	0.06248	0.09819	0.1181	0.06728	0.1166	0.134	0.04912	0.08682	0.09801	0.06635	0.1148	0.1385	0.0402	0.07937	0.09149	0.0241	0.05777	0.06733	0.0966	0.1562	0.1812	0.03504	0.08463	0.09926	0.09206	0.1599	0.1779	0.06517	0.1143	0.1585	0.07463	0.1322	0.1595
-Cell Communication	Cellular Processes	0.07355	0.08015	0.1018	0.05295	0.06182	0.1089	0.08608	0.0946	0.1561	0.06557	0.07088	0.08626	0.1074	0.1148	0.1425	0.08173	0.09532	0.1514	0.06173	0.06696	0.1034	0.08379	0.09553	0.1043	0.08344	0.09582	0.1159	0.05275	0.0645	0.1061	0.07683	0.08709	0.1141
Metabolism	Cellular Processes	1.316	1.489	1.632	1.412	1.524	1.644	0.9877	1.119	1.27	1.535	1.755	1.957	1.272	1.399	1.511	0.8688	1.001	1.127	1.782	1.99	2.236	2.352	2.619	2.868	1.916	2.096	2.3	2.803	3.294	3.519	2.206	2.427	2.701
-Membrane Transport	Cellular Processes	0.01405	0.02096	0.02656	0.005853	0.01228	0.01797	0.005674	0.01016	0.01463	0.009134	0.01654	0.02197	0.00752	0.01303	0.01596	0.006139	0.01023	0.01343	0.00965	0.01729	0.02348	0.01455	0.0248	0.03135	0.01336	0.02171	0.02844	0.01483	0.03168	0.03975	0.007653	0.0183	0.02392
-Central Carbon Metabolism	Cellular Processes	0.1728	0.1877	0.3064	0.187	0.2449	0.3221	0.1299	0.1706	0.2196	0.1874	0.2854	0.347	0.1603	0.2444	0.2851	0.1298	0.1627	0.2136	0.2315	0.3039	0.38	0.2702	0.3776	0.42	0.2432	0.2825	0.4122	0.3504	0.5225	0.57	0.2804	0.3712	0.4974
-Energy Metabolism	Cellular Processes	0.05621	0.07729	0.1178	0.06533	0.08779	0.136	0.04032	0.06824	0.09723	0.05905	0.08205	0.1371	0.03794	0.07836	0.1019	0.04485	0.06213	0.08547	0.06936	0.09353	0.161	0.07852	0.1137	0.1811	0.06146	0.1017	0.1804	0.1359	0.2048	0.2766	0.0863	0.1198	0.2215
-Biosynthesis	Cellular Processes	0.289	0.4029	0.4431	0.2846	0.3703	0.4102	0.2122	0.2842	0.3184	0.3051	0.4475	0.5047	0.2114	0.3619	0.4391	0.1905	0.2423	0.2698	0.3547	0.4776	0.5718	0.5825	0.748	0.8523	0.4112	0.5278	0.5651	0.6611	0.9367	1.072	0.5071	0.6389	0.7371
-Other Enzymes	Cellular Processes	0.6872	0.756	0.8639	0.6592	0.82	0.8646	0.5075	0.5737	0.6566	0.7508	0.9198	0.9752	0.5955	0.7227	0.7958	0.4376	0.4959	0.5514	0.9625	1.078	1.125	1.213	1.342	1.433	1.016	1.132	1.21	1.355	1.554	1.701	1.098	1.24	1.429
Organismal Systems	Cellular Processes	0.2102	0.3469	0.4077	0.2464	0.3861	0.4623	0.1659	0.3014	0.3508	0.23	0.4194	0.5054	0.1857	0.2839	0.3215	0.1781	0.2939	0.3265	0.2392	0.4243	0.4736	0.3874	0.6067	0.6767	0.2349	0.4722	0.6055	0.3344	0.5202	0.5686	0.2744	0.518	0.5908
-Immune System	Cellular Processes	0.04194	0.0975	0.1899	0.04952	0.1042	0.2155	0.0311	0.07048	0.1503	0.04634	0.09274	0.2364	0.02884	0.06724	0.1269	0.03866	0.08182	0.117	0.04216	0.08908	0.2171	0.08053	0.164	0.2831	0.04459	0.1106	0.3426	0.0537	0.1436	0.2249	0.05235	0.1453	0.2936
-Endocrine System	Cellular Processes	0.01872	0.06895	0.08234	0.02189	0.03293	0.04654	0.01617	0.05445	0.06717	0.0208	0.1137	0.1309	0.01509	0.0427	0.05763	0.01638	0.05957	0.07669	0.02774	0.07832	0.1033	0.05009	0.1464	0.1889	0.01948	0.08412	0.1057	0.03784	0.08115	0.1167	0.03682	0.07171	0.1078
-Circulatory System	Cellular Processes	0.02612	0.03101	0.03255	0.02027	0.02908	0.03465	0.02891	0.03239	0.03777	0.01465	0.02183	0.02766	0.02855	0.0299	0.03851	0.02372	0.02686	0.03453	0.01975	0.02748	0.03779	0.01681	0.02501	0.03175	0.018	0.02935	0.03635	0.01718	0.03209	0.04485	0.02476	0.04103	0.0451
-Digestive System	Cellular Processes	0.02678	0.05307	0.06573	0.02215	0.03282	0.04074	0.02642	0.03277	0.04929	0.02442	0.06194	0.07372	0.02923	0.04834	0.06233	0.02024	0.0277	0.04486	0.03308	0.04532	0.06029	0.04972	0.07568	0.1182	0.0468	0.06185	0.06912	0.0505	0.06954	0.1024	0.03313	0.04877	0.06702
-Excretory System	Cellular Processes	0.01369	0.02273	0.04319	0.01973	0.03967	0.0515	0.01623	0.02243	0.04483	0.01346	0.02879	0.06131	0.01172	0.01712	0.04276	0.0122	0.02492	0.03544	0.01444	0.03369	0.04618	0.01868	0.06092	0.09684	0.02091	0.02791	0.05535	0.01978	0.05084	0.08319	0.01844	0.02783	0.07072
