Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
-Immune System Diseases	-Transcription	0.01032	0.01352	0.01938	0.01262	0.01135	0.01773	0.02289	0.03187	0.0413	0.02802	0.02791
-Neurodegenerative Diseases	-Transcription	0.02479	0.0224	0.02095	0.01768	0.02504	0.02252	0.02334	0.03954	0.03646	0.02841	0.02984
-Cardiovascular Diseases	-Transcription	0.009177	0.001973	0.007012	0.004596	0.007982	0.03329	0.005828	0.002565	0.004824	0.007622	0.002658
-Infectious Diseases	-Transcription	0.009813	0.01116	0.01451	0.01707	0.01565	0.01725	0.01329	0.02872	0.01851	0.02225	0.01816
Not Mapped	-Transcription	4.059	3.343	4.705	4.508	5.432	6.704	3.676	5.859	3.79	5.249	4.961
-Not Mapped	-Transcription	4.059	3.343	4.705	4.508	5.432	6.704	3.676	5.859	3.79	5.249	4.961
TOTAL	-Translation	4.726	6.668	5.042	4.884	5.451	6.44	4.529	5.716	4.606	6.113	4.815
MAPPED	-Translation	3.793	5.475	4.004	3.911	4.286	5.084	3.636	4.617	3.695	4.81	3.816
Genetic Information Processing	-Translation	2.342	3.223	2.401	2.449	2.312	2.591	2.328	2.619	2.406	2.686	2.442
-Transcription	-Translation	0.2298	0.3569	0.2206	0.216	0.2146	0.2022	0.243	0.1876	0.2404	0.2482	0.2014
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.6266	0.8436	0.7326	0.7191	0.6159	0.8878	0.6467	0.9035	0.704	0.8183	0.6864
-DNA Maintenance	-Translation	0.486	1.023	0.448	0.5135	0.4817	0.5005	0.4381	0.5274	0.4613	0.6193	0.554
Environmental Information Processing	-Translation	0.2118	0.3321	0.2413	0.2171	0.2546	0.4409	0.1522	0.2537	0.178	0.273	0.1797
-Signal Transduction	-Translation	0.09006	0.1779	0.09435	0.0881	0.1063	0.1538	0.08374	0.1075	0.08896	0.1361	0.08068
-Signaling Molecules and Interaction	-Translation	0.1217	0.1542	0.1469	0.129	0.1483	0.2871	0.06846	0.1462	0.089	0.137	0.099
Cellular Processes	-Translation	0.5	0.8147	0.6024	0.4756	0.6534	0.9651	0.4051	0.5223	0.3912	0.4802	0.3709
-Hemoglobin	-Translation	1.971e-05	5.058e-05	3.533e-05	1.803e-05	1.692e-05	1.06e-05	1.222e-05	2.424e-05	0.0006753	2.746e-06	4.746e-05
-Vesicular Transport	-Translation	0.08454	0.1619	0.1024	0.08463	0.1037	0.1926	0.09587	0.1682	0.08315	0.153	0.07868
-Cytoskeleton	-Translation	0.3435	0.5634	0.4033	0.3249	0.4474	0.649	0.2461	0.2828	0.2394	0.2549	0.2296
-Cell Motility	-Translation	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Translation	0.05232	0.07335	0.06666	0.04786	0.061	0.07815	0.05162	0.05054	0.05222	0.05817	0.04766
-Cell Communication	-Translation	0.01971	0.01609	0.02992	0.01819	0.0412	0.04532	0.01145	0.02071	0.01575	0.0142	0.01495
Metabolism	-Translation	0.6835	0.9812	0.6816	0.7242	0.9947	0.9862	0.6906	1.128	0.657	1.316	0.7636
-Membrane Transport	-Translation	0.005925	0.003115	0.003234	0.0024	0.004411	0.007197	0.001852	0.007437	0.0041	0.004621	0.002934
-Central Carbon Metabolism	-Translation	0.2694	0.415	0.2911	0.2938	0.409	0.4418	0.2652	0.3548	0.239	0.4485	0.2854
-Energy Metabolism	-Translation	0.1201	0.1571	0.09923	0.1226	0.1382	0.1404	0.1256	0.1966	0.1271	0.3148	0.1362
-Biosynthesis	-Translation	0.2067	0.2985	0.2093	0.2297	0.3556	0.2951	0.2155	0.4059	0.209	0.412	0.2511
-Other Enzymes	-Translation	0.08135	0.1075	0.07869	0.0757	0.08751	0.1017	0.08233	0.1629	0.07775	0.1356	0.08808
Organismal Systems	-Translation	0.03494	0.0938	0.05525	0.02561	0.05195	0.07614	0.03812	0.06584	0.02973	0.02324	0.03736
-Immune System	-Translation	0.006563	0.01391	0.004876	0.005701	0.006933	0.02062	0.004557	0.01082	0.004534	0.003999	0.005102
-Endocrine System	-Translation	0.006622	0.02437	0.01932	0.007069	0.01227	0.01752	0.0168	0.03175	0.007399	0.00835	0.01634
-Circulatory System	-Translation	0.01112	0.01234	0.01902	0.004797	0.01934	0.0187	0.005306	0.004427	0.005878	0.002074	0.00537
-Digestive System	-Translation	0.003753	0.002195	0.002957	0.002856	0.00498	0.003643	0.004872	0.01121	0.006763	0.002903	0.002435
-Excretory System	-Translation	0.004685	0.03591	0.005958	0.003617	0.003378	0.007314	0.004493	0.003408	0.004588	0.004604	0.005629
-Nervous System	-Translation	7.682e-05	0.000104	0.0001414	0.0003654	9.242e-05	0.0001273	0.0002185	9.1e-05	0.0001485	9.432e-05	5.349e-05
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0	0	0
-Development	-Translation	0.00212	0.004976	0.002986	0.001205	0.004961	0.008225	0.001875	0.004141	0.0004234	0.001213	0.00243
