KO number	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
K03139	1.9183947e+09	1.1630951e+09	2.5444518e+09	2.2929784e+09	1.3936861e+09	2.3194191e+09	2.2675889e+09	1.0237541e+09	6.2679383e+08	3.1803463e+09	1.2625686e+09
K03141	1.5036554e+08	1.9865903e+08	6.088246e+08	6.3028691e+08	2.0473795e+08	5.220898e+08	7.9822453e+08	1.2724014e+08	3.9475283e+08	3.5375477e+08	6.499645e+08
K03143	1.6620892e+08	1.325475e+08	3.9298071e+08	1.6649115e+08	1.1841773e+08	1.7604794e+08	5.9986637e+08	1.0544497e+08	1.9950407e+08	2.5623545e+08	2.2910643e+08
K03144	2.5031829e+08	4.8343417e+08	7.0361015e+08	7.9987622e+08	1.7090542e+08	6.248483e+08	1.0466428e+09	2.6242384e+08	1.8132011e+08	6.7340196e+08	4.7327483e+08
K10843	4.5175643e+08	5.3277596e+08	1.0886769e+09	9.3163844e+08	3.0846913e+08	9.5528682e+08	2.964095e+09	3.2043036e+08	9.3670431e+08	9.021066e+08	1.0834391e+09
K10844	8.1715565e+08	8.0672153e+08	8.0261791e+09	1.4485098e+09	5.2992467e+09	4.9526605e+09	2.9575664e+09	4.8003896e+09	8.8664594e+08	2.8507391e+09	1.1451913e+09
K10845	33316118	55192947	96822586	25095473	51620453	18702588	1.8822128e+08	28216832	84394526	13529415	1.7077684e+08
K02202	4.7603939e+08	3.1350278e+08	2.4766346e+09	1.6504886e+09	7.5003444e+08	6.3468271e+08	8.5523325e+08	3.3283562e+08	2.5869424e+08	6.6639475e+08	6.1764654e+08
K10842	3.235099e+08	4.6842713e+08	1.2018858e+09	1.1558765e+09	4.8522462e+08	5.1814134e+08	1.2262066e+09	1.3687862e+08	6.7357872e+08	3.7284984e+08	6.4029667e+08
K06634	5.6398022e+08	3.8266679e+08	1.1609477e+09	1.8351771e+09	7.1764221e+08	1.2282862e+09	9.8643134e+08	4.4388911e+08	4.4598293e+08	6.4388794e+08	6.5877585e+08
K03121	1.1788998e+10	6.1519368e+09	8.2830251e+09	3.859127e+10	1.4294523e+10	1.4933711e+10	3.6974948e+10	7.3945682e+09	5.5335946e+09	2.2550976e+10	3.9600496e+09
K04448	81952091	78814393	7.5659738e+08	2438373	84428203	2.484917e+08	1.3787145e+09	1.4184389e+08	87503259	1857.6034	2.843194e+09
K09028	3.6102237e+08	1857.6034	23526062	3.6449484e+08	2.0911128e+08	42854573	27962696	5952778.8	17566449	23282326	69381213
K04449	2.1349774e+08	1.5096134e+08	7.5693383e+08	3.3429206e+08	3.4859259e+08	2.5939132e+08	2.7581182e+08	34435166	1.3397273e+08	2.0055694e+08	4.8155602e+08
K04379	6550463.6	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034
K09029	65924155	5731810.4	1857.6034	12529621	12549612	6876959.5	14351128	5843121.9	1857.6034	1857.6034	5.8286444e+08
K04502	10742442	12972193	17678090	1857.6034	1857.6034	1.3481248e+08	1857.6034	2169166	21164217	1857.6034	1.1037009e+09
K09030	3.4117634e+08	20135202	8.4858211e+08	92967467	5.0109154e+08	3.4533252e+08	29336280	15984116	4402278.9	18577764	37172124
K09032	1184669.5	82128466	4075653	3539018.6	18576.034	1857.6034	606295.83	1857.6034	465791.61	34150885	12419092
K09033	9540068.2	27413687	73405045	16841160	15517567	44494022	17000905	1857.6034	330726.28	9660318.9	1382876.1
K09034	12699992	40604343	39724052	1.0922017e+08	4002252	17989810	54793004	994446.54	1857.6034	35213720	3339429.4
K09035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09037	88890961	2.5504068e+08	3.8527248e+08	1.2577352e+08	2.0617836e+08	1.8106936e+08	1.5229971e+08	1.0621829e+08	1.6647568e+08	69798357	1.7956835e+08
K09039	41191005	90795802	60665619	1.1103879e+08	2.7878261e+08	1.2194479e+09	78393559	13826114	1.3508893e+08	51062290	24603406
