Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
-Cancers	-Translation	0	0	0.0165	0	0	0.0001257	2.497e-05	0.0007519	0.001562	1.705e-05	0.00166	0.003258	0	0.001242	0.00159	0	0.0009312	0.002065	0.02258	0.05097	0.06125	0.02662	0.04355	0.05766	0.0164	0.02483	0.03547	0.01641	0.02699	0.03928	0.02096	0.03211	0.06209	0.00853	0.01625	0.02106
-Immune System Diseases	-Translation	0	0	0	0	0	0.0001696	0	0.001303	0.002579	1.87e-05	0.004416	0.006684	0.0001522	0.02934	0.05271	0.0003578	0.03834	0.06761	0.01309	0.02276	0.04741	0.0112	0.02094	0.04287	0.0094	0.1254	0.2504	0.00815	0.0992	0.2018	0.003576	0.02688	0.0396	0.006017	0.08637	0.131
-Neurodegenerative Diseases	-Translation	0	0	0	0	0	0	0.01045	0.01762	0.02399	0.009089	0.02213	0.03205	0.009224	0.01804	0.02218	0.01932	0.02596	0.03217	0.1491	0.2399	0.2963	0.1503	0.2225	0.2721	0.07295	0.08964	0.1031	0.06434	0.08087	0.09225	0.1108	0.2107	0.2513	0.03052	0.03845	0.0639
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0	0	6.806e-05	0	0	0.0002651	0	0	7.488e-05	0	0	0.0001024	0.02846	0.02965	0.04543	0.01308	0.01384	0.03006	0.01521	0.01902	0.02544	0.01062	0.01414	0.02616	0.05254	0.06083	0.1764	0.009946	0.01119	0.01873
-Metabolic Diseases	-Translation	0	0	0.2417	0	0	0.006578	0	0	0.004447	0	0	0.01379	0	0	0	0	0	0	0	0	0.02545	0	0	0.04446	1.475e-05	5.317e-05	0.01541	4.613e-08	2.76e-05	0.0162	0	3.783e-05	0.1406	0	4.36e-05	0.03327
-Infectious Diseases	-Translation	0	0	0.417	0.0001415	0.005981	0.0143	0.003129	0.01223	0.01725	0.004898	0.01838	0.04832	0.00908	0.02085	0.02665	0.007884	0.01997	0.02634	0.07298	0.2266	0.3657	0.0643	0.2392	0.3394	0.03842	0.07022	0.08862	0.04463	0.08394	0.1165	0.08847	0.2045	0.2692	0.01955	0.09192	0.2106
Not Mapped	-Translation	1.336	1.354	1.368	0.2044	0.2056	0.2061	0.4409	0.4439	0.4474	0.3821	0.3857	0.3896	0.5801	0.5868	0.5928	0.6521	0.6585	0.6645	1.717	1.731	1.76	1.653	1.665	1.695	0.9408	0.9513	0.9707	1.051	1.067	1.081	1.858	1.922	1.983	0.5911	0.5967	0.6018
-Not Mapped	-Translation	1.336	1.354	1.368	0.2044	0.2056	0.2061	0.4409	0.4439	0.4474	0.3821	0.3857	0.3896	0.5801	0.5868	0.5928	0.6521	0.6585	0.6645	1.717	1.731	1.76	1.653	1.665	1.695	0.9408	0.9513	0.9707	1.051	1.067	1.081	1.858	1.922	1.983	0.5911	0.5967	0.6018
TOTAL	-Folding, Sorting and Degradation	8.894	11.83	19.37	14.11	15.26	16.11	11.47	11.76	12.4	8.724	9.186	9.886	11.25	11.89	13.11	12.36	13.3	14.97	6.767	7.119	8.171	6.757	6.996	8.104	9.522	10.36	10.96	8.841	9.544	10	8.062	8.545	9.777	7.401	8.146	9.518
MAPPED	-Folding, Sorting and Degradation	7.137	9.495	15.54	13.06	14.12	14.9	9.737	9.986	10.53	7.788	8.2	8.825	9.316	9.85	10.86	10.21	10.98	12.37	5.362	5.641	6.475	5.379	5.57	6.452	7.643	8.312	8.799	7.022	7.58	7.943	6.346	6.726	7.695	6.621	7.288	8.516
Genetic Information Processing	-Folding, Sorting and Degradation	2.611	3.203	4.398	6.828	7.255	7.576	5.066	5.204	5.403	3.48	3.618	3.827	4.471	4.774	5.223	4.444	4.847	5.394	2.33	2.399	2.604	2.32	2.412	2.624	3.792	4.18	4.694	3.413	3.689	3.966	2.447	2.563	2.819	2.85	3.074	3.299
-Transcription	-Folding, Sorting and Degradation	0.0302	0.05379	0.1881	0.3462	0.4041	0.4398	0.02982	0.03629	0.05459	0.01458	0.02166	0.03223	0.05362	0.07269	0.08951	0.05379	0.07311	0.09029	0.1972	0.2755	0.3212	0.1865	0.2488	0.3077	0.3471	0.3747	0.4097	0.2784	0.299	0.3216	0.2343	0.2553	0.3081	0.2629	0.3083	0.3231
-Translation	-Folding, Sorting and Degradation	1.311	1.711	2.817	5.125	5.522	5.882	3.901	4.016	4.217	2.425	2.534	2.737	3.272	3.519	3.813	3.266	3.548	3.932	0.8096	0.8591	0.9802	0.8216	0.86	0.992	1.962	2.093	2.295	1.694	1.834	1.927	0.8547	0.9373	1.114	1.308	1.439	1.671
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.2307	0.3843	0.5169	0.2712	0.311	0.3714	0.1171	0.1423	0.1593	0.0361	0.046	0.06027	0.101	0.1544	0.3007	0.1074	0.1879	0.369	0.2488	0.3038	0.3484	0.2688	0.3062	0.3686	0.3947	0.7388	0.9019	0.3773	0.5976	0.7314	0.3218	0.395	0.4629	0.2016	0.3098	0.4148
-RNA Family	-Folding, Sorting and Degradation	0	0	0	6.067e-09	7.691e-09	1.032e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0	0	0.01814	0.0998	0.1162	0.1268	0.04962	0.05706	0.07801	0.01866	0.02416	0.03876	0.07816	0.08873	0.1102	0.06435	0.07561	0.1001	0.1272	0.1525	0.1733	0.1151	0.1475	0.1718	0.2246	0.2537	0.3253	0.2444	0.2709	0.3481	0.1534	0.1963	0.2358	0.281	0.3074	0.4519
-Signal Transduction	-Folding, Sorting and Degradation	0	0	0.01814	0.0998	0.1162	0.1262	0.01214	0.01638	0.02064	0.004202	0.009537	0.01211	0.03022	0.03654	0.05083	0.01877	0.02548	0.0426	0.0236	0.03191	0.05221	0.02883	0.03859	0.06074	0.03692	0.05143	0.1211	0.04109	0.05155	0.1269	0.04431	0.05473	0.1019	0.02112	0.03026	0.157
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0	0	0	2.696e-09	2.915e-09	0.001347	0.0366	0.03799	0.059	0.01341	0.01485	0.0278	0.04765	0.0533	0.05765	0.04408	0.04927	0.05618	0.09685	0.1181	0.1365	0.08626	0.1088	0.1256	0.1576	0.1922	0.2384	0.18	0.2125	0.2541	0.09755	0.1325	0.1551	0.2554	0.2771	0.3147
Cellular Processes	-Folding, Sorting and Degradation	0.4457	0.6283	0.997	0.1363	0.1498	0.1557	0.1294	0.1587	0.1708	0.1335	0.1528	0.1671	0.3206	0.3333	0.3643	0.3613	0.3816	0.4225	0.4394	0.5883	0.7243	0.3878	0.5054	0.6874	0.8101	0.8909	1.024	0.8605	0.9581	1.049	1.156	1.262	1.508	0.9973	1.179	1.758
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.908e-05	2.132e-05	4.066e-05	6.122e-05	6.609e-05	6.925e-05	0	0	0	0.000107	0.0001177	0.0003077
-Vesicular Transport	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.02193	0.03364	0.03625	0.01288	0.02389	0.03511	0.02702	0.04348	0.05356	0.03286	0.04768	0.06351	0.07796	0.1101	0.1437	0.08067	0.109	0.1712	0.08634	0.0946	0.158	0.09531	0.1047	0.1604	0.07024	0.1083	0.1573	0.03621	0.04704	0.2245
-Cytoskeleton	-Folding, Sorting and Degradation	0.1666	0.2417	0.3795	0.04446	0.04807	0.05073	0.03807	0.04124	0.04484	0.05484	0.06249	0.06871	0.01457	0.02603	0.03551	0.01863	0.03293	0.04213	0.1674	0.3468	0.4239	0.1204	0.2668	0.337	0.5394	0.6207	0.6912	0.5435	0.6054	0.6669	0.7761	0.8565	1.066	0.8178	0.9662	1.342
-Cell Motility	-Folding, Sorting and Degradation	0.0564	0.07503	0.1228	0.06276	0.06754	0.08162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.2209	0.2915	0.4676	0.02472	0.02722	0.03622	0.0624	0.07806	0.08748	0.05817	0.0636	0.06614	0.245	0.2565	0.2813	0.2665	0.2936	0.3258	0.09009	0.1052	0.1209	0.08543	0.1012	0.1196	0.09334	0.121	0.141	0.1129	0.1503	0.1616	0.1064	0.1296	0.1646	0.08443	0.1178	0.1336
-Cell Communication	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.001021	0.003405	0	0.000868	0.003025	0	0.002194	0.01001	0	0.002663	0.01075	0.02932	0.03855	0.0475	0.02798	0.03711	0.05409	0.04367	0.05934	0.06197	0.05625	0.08493	0.09809	0.08314	0.1171	0.2102	0.02215	0.04457	0.04799
Metabolism	-Folding, Sorting and Degradation	4.08	5.383	8.928	5.933	6.553	7.017	4.325	4.443	4.658	4.025	4.226	4.589	4.135	4.399	4.955	4.905	5.376	6.186	1.618	1.693	2.061	1.763	1.863	2.256	1.608	1.769	1.92	1.469	1.634	1.68	1.739	1.818	2.182	1.81	1.968	2.437
-Membrane Transport	-Folding, Sorting and Degradation	0.263	0.3827	0.5546	0.6728	0.8216	0.8992	0.1802	0.1866	0.1909	0.09416	0.1001	0.1065	0.12	0.133	0.1484	0.1122	0.1232	0.1396	0.007405	0.01463	0.02562	0.006594	0.0127	0.01906	0.01728	0.02848	0.03887	0.00932	0.01787	0.0245	0.00907	0.01112	0.01238	0.003191	0.005371	0.00642
-Central Carbon Metabolism	-Folding, Sorting and Degradation	1.047	1.808	2.983	1.012	1.16	1.41	1.264	1.51	1.944	1.054	1.424	1.857	1.177	1.617	2.222	1.058	1.505	2.407	0.425	0.533	0.6316	0.4977	0.6306	0.7399	0.2862	0.3676	0.4643	0.3017	0.3637	0.4474	0.5527	0.6433	0.8529	0.6615	0.773	1.155
-Energy Metabolism	-Folding, Sorting and Degradation	0.04196	0.4477	0.7013	0.2194	0.3274	0.5032	0.0733	0.1562	0.3976	0.1064	0.1827	0.4162	0.1112	0.1301	0.416	0.1382	0.1863	0.552	0.07328	0.1222	0.1951	0.07467	0.1275	0.2013	0.08082	0.141	0.1832	0.06179	0.1026	0.1384	0.03414	0.06733	0.1108	0.01503	0.1317	0.3032
-Biosynthesis	-Folding, Sorting and Degradation	0.615	0.8992	1.473	1.631	2.087	2.308	0.764	1.009	1.155	0.8023	1.085	1.147	0.877	1.005	1.219	1.322	1.593	1.864	0.2269	0.2787	0.3639	0.2504	0.295	0.3936	0.3365	0.3872	0.4472	0.3046	0.3504	0.4056	0.3247	0.4078	0.44	0.1888	0.2964	0.3497
-Other Enzymes	-Folding, Sorting and Degradation	1.014	1.782	2.414	1.841	2.08	2.351	1.08	1.534	1.622	1.126	1.404	1.609	1.04	1.309	1.586	1.304	1.78	2.241	0.5641	0.7557	0.8449	0.602	0.7933	0.9228	0.7219	0.8073	0.8881	0.67	0.7208	0.798	0.6527	0.7327	0.8609	0.5339	0.7549	0.897
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	7.123e-10	0.0005247	0.01829	0.02313	0.03108	0.01106	0.02499	0.03322	0.01836	0.03841	0.05283	0.02321	0.04331	0.06226	0.2639	0.3106	0.3597	0.2096	0.2471	0.2951	0.1894	0.2704	0.3139	0.2328	0.3065	0.3436	0.1997	0.2563	0.2982	0.1653	0.3275	0.4092
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.001505	0.009342	0.01912	0.001008	0.01061	0.01567	0.005422	0.01003	0.01891	0.005754	0.01325	0.02362	0.08205	0.1183	0.1662	0.08296	0.1153	0.1705	0.03541	0.0763	0.1046	0.03308	0.06305	0.08962	0.02278	0.07654	0.1198	0.02132	0.04243	0.08605
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0	0	9.111e-05	0.0004373	0.003777	3.335e-05	0.0001963	0.003443	0	0.0006677	0.01059	0	0.0006451	0.01326	0.08138	0.09417	0.1004	0.02935	0.03926	0.04598	0.02018	0.02863	0.05008	0.0418	0.05226	0.07671	0.006243	0.01568	0.05186	0.04835	0.05354	0.08785
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0.0006857	0	0	0.0004381	0	0	0.009716	0	0	0.0109	0.01187	0.01347	0.01988	0.01037	0.01166	0.0174	0.02406	0.0296	0.05307	0.03536	0.04194	0.06118	0.01109	0.01455	0.02467	0.004172	0.004855	0.05855
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0	0.0005247	0	0.002677	0.003551	0	0.0006735	0.00306	0	0.001611	0.008878	0	0.002049	0.01101	0.00235	0.01509	0.02182	0.002057	0.0109	0.02083	0.01636	0.0394	0.04914	0.01599	0.0298	0.04726	0.02172	0.03029	0.04692	0.008732	0.0129	0.04676
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.002495	0.01561	9.527e-06	0.003049	0.01436	0	0.006624	0.01647	0	0.007297	0.01852	0.007173	0.01998	0.0587	0.006343	0.01942	0.05487	0.004478	0.02456	0.03452	0.005834	0.02723	0.05057	0.009923	0.02237	0.04833	0.003629	0.007323	0.04739
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0	7.288e-10	0	0.000489	0.003659	0	0.0003728	0.003358	0	0.001781	0.01071	0	0.002408	0.01235	0.001935	0.03549	0.04319	0.002638	0.03356	0.04167	0.006708	0.01933	0.04484	0.008705	0.01933	0.0532	0.006497	0.0262	0.03392	0.004228	0.02148	0.05503
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.0003923	0.004682	0	5.597e-05	0.0003961	0	0.0007097	0.001213	0	0.0003223	0.00207	0	0.001101	0.002302	0	0.001261	0.002092	1.791e-05	0.005332	0.006638	0.0001347	0.007414	0.008558	1.276e-16	0.001195	0.002645	0	4.737e-05	0.0001539
-Development	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0.002996	0	0	0.0119	0	0	0	0	0	0	0.00418	0.008694	0.01274	0.004132	0.006375	0.01196	0.005456	0.009341	0.0507	0.006289	0.009291	0.05361	0.01356	0.01829	0.08121	0.00576	0.01015	0.1967
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0.002661	0	0	0.001491	0	0	0.001855	0	0	0.002089	0	0.002771	0.0119	0	0.002361	0.009816	1.596e-05	0.002739	0.01594	1.601e-05	0.00269	0.01406	0.0002973	0.001093	0.01887	5.788e-05	0.0008234	0.005498
Human Diseases	-Folding, Sorting and Degradation	0	0.3212	1.188	0.03167	0.04102	0.0831	0.08117	0.1378	0.1708	0.05826	0.1541	0.2065	0.147	0.2238	0.3193	0.1926	0.277	0.4029	0.3304	0.5071	0.6682	0.3225	0.4541	0.6508	0.5975	0.835	0.9682	0.4734	0.6023	0.7513	0.4119	0.5441	0.7564	0.2264	0.4445	0.5525
-Cancers	-Folding, Sorting and Degradation	0	0	0.02835	0	0	0.0006839	0.0001046	0.002933	0.006271	4.515e-05	0.004135	0.008328	0	0.004473	0.006223	0	0.003661	0.008371	0.01884	0.04378	0.05666	0.02242	0.04013	0.05847	0.03549	0.05534	0.08354	0.03075	0.04949	0.07616	0.02348	0.03286	0.06303	0.01189	0.02443	0.03032
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0.0009415	0	0.0052	0.01043	4.949e-05	0.01209	0.01862	0.0004982	0.116	0.1773	0.001213	0.1566	0.2249	0.01084	0.01939	0.04097	0.009378	0.01832	0.03852	0.02093	0.2664	0.5581	0.0157	0.1923	0.3709	0.004005	0.02949	0.04247	0.009211	0.1198	0.219
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.04222	0.06989	0.1006	0.02204	0.05436	0.08484	0.03246	0.05904	0.07689	0.0676	0.09726	0.1207	0.1207	0.2144	0.2748	0.1235	0.1986	0.2562	0.1487	0.1958	0.2215	0.1136	0.1525	0.1696	0.09973	0.1911	0.2814	0.04875	0.06427	0.09441
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0.0002732	0	0	0.0006712	0	0	0.0002467	0	0	0.0003422	0.02351	0.02907	0.04067	0.01095	0.01373	0.02733	0.03291	0.04184	0.05262	0.01948	0.02497	0.04561	0.04636	0.06166	0.1621	0.01423	0.018	0.02645
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0.4733	0	0	0.03702	0	0	0.01786	0	0	0.0354	0	0	0	0	0	0	0	0	0.02186	0	0	0.03901	3.087e-05	0.000122	0.03093	8.142e-08	4.811e-05	0.02824	0	3.234e-05	0.1318	0	6.08e-05	0.04744
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	1.188	0.0007883	0.03196	0.0831	0.01256	0.05125	0.07335	0.0124	0.04865	0.1323	0.02978	0.07337	0.08721	0.02636	0.07436	0.08926	0.0631	0.205	0.3027	0.0553	0.2069	0.2842	0.07747	0.1426	0.1917	0.07781	0.1539	0.2065	0.08997	0.1928	0.2952	0.02558	0.1511	0.3032
Not Mapped	-Folding, Sorting and Degradation	1.756	2.336	3.825	1.054	1.139	1.202	1.732	1.776	1.872	0.9363	0.9859	1.061	1.931	2.041	2.25	2.151	2.313	2.605	1.405	1.478	1.697	1.377	1.426	1.652	1.879	2.044	2.164	1.82	1.964	2.058	1.716	1.819	2.081	0.7792	0.8576	1.002
-Not Mapped	-Folding, Sorting and Degradation	1.756	2.336	3.825	1.054	1.139	1.202	1.732	1.776	1.872	0.9363	0.9859	1.061	1.931	2.041	2.25	2.151	2.313	2.605	1.405	1.478	1.697	1.377	1.426	1.652	1.879	2.044	2.164	1.82	1.964	2.058	1.716	1.819	2.081	0.7792	0.8576	1.002
TOTAL	-DNA Maintenance	25.79	34.05	39.65	39.85	47.69	54.36	75.81	81.41	90.57	144.3	173.2	241.6	37.69	72.69	106.9	34.67	70.64	113	19.51	25.15	27	18.9	23.7	25.45	9.735	13.11	20.27	11.16	15.14	21.18	18.87	23.13	24.64	20.23	25.64	37.07
MAPPED	-DNA Maintenance	20.7	27.32	31.82	36.88	44.13	50.3	64.36	69.12	76.9	128.8	154.6	215.7	31.22	60.21	88.51	28.64	58.35	93.36	15.46	19.93	21.39	15.05	18.87	20.26	7.814	10.52	16.27	8.866	12.03	16.82	14.85	18.2	19.39	18.1	22.94	33.16
Genetic Information Processing	-DNA Maintenance	7.096	8.424	11.32	19.13	22.87	25.88	33.14	35.9	39.86	56.02	67.02	93.56	15.52	28.32	42.24	12.98	24.74	40.27	6.675	8.216	9.099	6.568	7.968	8.608	4.264	5.594	8.075	4.598	6.033	8.179	5.736	6.705	7.31	7.302	9.575	13.57
-Transcription	-DNA Maintenance	0.09528	0.1309	0.3532	1.024	1.291	1.49	0.2196	0.2369	0.3712	0.2632	0.4579	0.5725	0.2574	0.4001	0.5673	0.2257	0.3637	0.522	0.5659	0.9893	1.063	0.5297	0.8658	0.9113	0.3396	0.4968	0.7711	0.3311	0.4745	0.7225	0.5505	0.7069	0.7283	0.6536	0.8343	1.467
-Translation	-DNA Maintenance	3.724	4.967	5.859	14.44	17.32	19.71	25.59	27.88	30.93	39.75	47.94	67.18	10.91	21.41	31.26	9.077	18.74	30.15	2.36	2.964	3.254	2.33	2.851	3.133	2.018	2.751	4.176	2.151	2.966	4.06	2.025	2.57	2.797	3.58	4.567	6.561
-Folding, Sorting and Degradation	-DNA Maintenance	1.681	2.41	4.049	2.672	3.106	3.451	6.137	6.652	7.7	14.97	18.05	24.31	3.267	5.416	9.294	2.678	4.587	8.617	2.729	3.235	3.793	2.709	3.23	3.652	0.9064	1.328	2.128	1.116	1.586	2.396	1.995	2.52	2.987	2.069	3.173	4.54
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	1.992e-08	2.541e-08	3.634e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0	0	0.03061	0.3046	0.3668	0.4181	0.328	0.4255	0.4898	0.3995	0.4529	0.6438	0.2665	0.5211	0.8246	0.1804	0.3746	0.6515	0.3472	0.5349	0.6236	0.3117	0.496	0.5916	0.2157	0.4305	0.5242	0.3024	0.526	0.6424	0.4009	0.4676	0.5784	0.741	1.105	1.497
-Signal Transduction	-DNA Maintenance	0	0	0.03061	0.3046	0.3628	0.4181	0.07943	0.111	0.145	0.09268	0.1648	0.2156	0.1076	0.2196	0.3237	0.05762	0.134	0.2205	0.06581	0.106	0.2079	0.07808	0.1246	0.2141	0.04148	0.07936	0.1759	0.0568	0.07731	0.2174	0.09674	0.1481	0.258	0.05687	0.09958	0.4084
-Signaling Molecules and Interaction	-DNA Maintenance	0	0	0	7.613e-09	9.373e-09	0.004002	0.2486	0.2818	0.3853	0.2361	0.3286	0.441	0.1589	0.3122	0.4572	0.1228	0.2577	0.4106	0.2814	0.3889	0.5054	0.2336	0.3244	0.4255	0.1742	0.2891	0.3993	0.2456	0.3475	0.477	0.2794	0.3252	0.3621	0.651	0.8185	1.181
Cellular Processes	-DNA Maintenance	1.293	1.676	1.997	0.404	0.4652	0.5367	0.8881	0.9965	1.315	2.218	2.961	3.758	1.069	2.088	3.098	0.9911	2.03	3.353	1.589	1.76	2.406	1.375	1.604	2.027	0.9034	1.182	1.803	1.155	1.555	2.137	2.726	3.402	3.677	3.016	3.742	5.709
-Hemoglobin	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95e-05	2.627e-05	6.638e-05	7.73e-05	0.0001048	0.0001467	0	0	0	0.0003023	0.0004207	0.0007627
-Vesicular Transport	-DNA Maintenance	0	0	0	0	0	0	0.1576	0.2225	0.2873	0.214	0.4413	0.7744	0.08986	0.2734	0.4157	0.0923	0.2694	0.4374	0.2786	0.3413	0.5018	0.2733	0.3334	0.568	0.1047	0.1432	0.2156	0.1303	0.1812	0.2685	0.1778	0.3067	0.4355	0.1049	0.2064	0.7097
-Cytoskeleton	-DNA Maintenance	0.4831	0.6377	0.8475	0.1255	0.1502	0.1712	0.2486	0.2928	0.3178	0.9353	1.238	1.548	0.08062	0.1386	0.2855	0.08038	0.14	0.3393	0.5871	1.006	1.38	0.4479	0.7998	0.9741	0.5721	0.8199	1.239	0.6932	1.019	1.395	1.994	2.272	2.558	2.475	2.777	4.408
-Cell Motility	-DNA Maintenance	0.1636	0.2159	0.2515	0.1861	0.2066	0.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.6459	0.8219	1.003	0.06605	0.08752	0.1145	0.4587	0.5192	0.6408	0.9899	1.157	1.694	0.8285	1.652	2.303	0.7622	1.609	2.482	0.2459	0.3659	0.4135	0.2314	0.3349	0.3807	0.1195	0.1563	0.2476	0.1692	0.2324	0.3485	0.2859	0.3323	0.4107	0.2723	0.332	0.5704
-Cell Communication	-DNA Maintenance	0	0	0	0	0	0	0	0.006267	0.0252	0	0.01962	0.05756	0	0.02172	0.06907	0	0.02295	0.0696	0.08335	0.1332	0.1758	0.09037	0.1243	0.1833	0.05589	0.0759	0.1227	0.08436	0.1435	0.1754	0.2077	0.2886	0.5777	0.05962	0.1292	0.1893
Metabolism	-DNA Maintenance	11.6	15.58	18.48	16.91	20.05	23.31	28.72	30.33	34.11	67.04	80.37	112.1	13.79	27.61	39.21	13.88	29.23	45.62	4.622	6.022	6.6	4.936	6.417	6.745	1.633	2.237	3.446	1.833	2.507	3.521	4.201	5.026	5.439	4.805	5.794	9.368
-Membrane Transport	-DNA Maintenance	0.8309	1.207	1.37	2.195	2.481	2.835	1.172	1.27	1.441	1.517	1.865	2.643	0.4001	0.8037	1.227	0.3006	0.6401	1.045	0.02021	0.05616	0.09486	0.01786	0.04147	0.06773	0.01566	0.04136	0.07923	0.0104	0.02991	0.05919	0.02282	0.02945	0.03422	0.01129	0.015	0.0226
-Central Carbon Metabolism	-DNA Maintenance	3.972	4.537	6.85	2.889	3.77	4.47	8.443	10.42	12.9	17.49	27.01	39.93	3.924	9.786	17.56	2.834	7.59	15.6	1.413	1.791	2.075	1.649	1.931	2.39	0.3715	0.4705	0.7694	0.4693	0.5453	0.8276	1.486	1.701	1.861	1.867	2.39	3.639
-Energy Metabolism	-DNA Maintenance	0.159	1.141	1.715	0.6504	0.9218	1.773	0.4602	1.041	2.518	1.687	3.881	9.049	0.3822	1.246	2.579	0.4702	1.391	2.532	0.2779	0.4023	0.6311	0.2654	0.3785	0.6902	0.09116	0.2031	0.225	0.08591	0.1775	0.215	0.09785	0.1604	0.2818	0.0717	0.2724	0.9621
-Biosynthesis	-DNA Maintenance	1.868	2.666	3.18	5.509	6.279	7.016	5.419	6.614	8.684	14.16	19.03	27.19	3.196	6.511	8.648	3.972	8.255	14.33	0.7469	0.9497	1.129	0.837	0.9996	1.168	0.305	0.564	0.7724	0.34	0.64	0.7479	0.8135	0.9744	1.189	0.4552	0.9383	1.379
-Other Enzymes	-DNA Maintenance	3.158	5.144	6.466	4.919	6.858	7.669	6.631	9.946	12.15	19.73	28.41	35.49	4.277	6.886	10.95	4.984	8.165	13.79	1.619	2.47	3.111	1.787	2.517	3.28	0.8007	1.056	1.734	0.8971	1.143	1.756	1.505	1.842	2.253	1.562	2.22	3.667
Organismal Systems	-DNA Maintenance	0	0	0	0	1.903e-09	0.00183	0.1123	0.1725	0.2285	0.1937	0.4774	0.7614	0.08007	0.1833	0.3908	0.08663	0.2034	0.4036	0.8243	1.046	1.153	0.6543	0.8007	0.9632	0.2556	0.3667	0.5443	0.3536	0.5223	0.6329	0.5113	0.6358	0.7903	0.4299	0.8294	1.609
-Immune System	-DNA Maintenance	0	0	0	0	0	0	0.01114	0.06113	0.1405	0.0182	0.1762	0.3541	0.02883	0.06288	0.104	0.03384	0.06635	0.1151	0.2566	0.3854	0.531	0.2462	0.3649	0.5512	0.04793	0.1013	0.1899	0.05536	0.1124	0.185	0.06306	0.1995	0.2959	0.06764	0.125	0.2049
-Endocrine System	-DNA Maintenance	0	0	0	0	0	0	0.0007016	0.002881	0.02318	0.0007251	0.004773	0.0603	0	0.00382	0.03538	0	0.003165	0.03709	0.2611	0.3096	0.3379	0.09944	0.1228	0.1525	0.02849	0.03917	0.06857	0.07141	0.08149	0.1217	0.01487	0.04067	0.1236	0.1244	0.2106	0.2677
