K07307	DmsB:b0895
K02421	FliR:b1950
K07781	RcsA:b1951
K08156	AraJ:b0396
K01902	SucD:b0729
K01246	Tag:b3549
K07796	CusC:b0572
K01685	UxaA:b3091
K12370	DppC:b3542
K12371	DppD:b3541
K01812	UxaC:b3092
K08177	YhjX:b3547
K12975	EptB:b3546
K14232	ProK:b3545
K12368	Dppa:b3544
K07644	CusS:b0570
K12961	DiaA:b3149
K07347	YraJ:b3144
K02080	AgaI:b3141
K10986	AgaD:b3140
K00799	YfcG:b2302
K07406	MelA:b4119
K10017	HisP:b2306
K10015	HisM:b2307
K10016	HisQ:b2308
K10014	HisJ:b2309
K00133	Asd:b3433
K01150	EndA:b2945
K09761	RsmE:b2946
K00975	GlgC:b3430
K00851	GntK:b3437
K00789	MetK:b2942
K08137	GalP:b2943
K06145	GntR:b3438
K07735	YqgE:b2948
K02058	YphF:b2548
K02454	GspE:b3326
K00124	FdoH:b3893
K00127	FdoI:b3892
K02450	GspA:b3323
K00123	FdoG:b3894
K02946	RpsJ:b3321
K01126	GlpQ:b2239
K11202	FrvB:b3899
K05711	HcaB:b2541
K00525	NrdA:b2234
K00526	NrdB:b2235
K00568	UbiG:b2232
K02057	YphD:b2546
K02056	YphE:b2547
K13684	WcaC:b2057
K03818	WcaF:b2054
K13683	WcaE:b2055
K02377	Fcl:b2052
K01711	Gmd:b2053
K03207	Gmm:b2051
K03819	WcaB:b2058
K01448	AmiA:b2435
K00228	HemF:b2436
K04033	EutR:b2437
K02773	SgcA:b4302
K02775	SgcC:b4304
K10038	GlnQ:b0809
K06970	RlmF:b0807
K07336	YbiX:b0804
K13574	YbiC:b0801
K02066	MlaE:b3194
K08169	YebQ:b1828
K03799	HtpX:b1829
K04333	CsgD:b1040
K04335	CsgB:b1041
K04334	CsgA:b1042
K02065	MlaF:b3195
K00563	RlmA:b1822
K03704	CspC:b1823
K03669	OpgH:b1049
K11927	RhlE:b0797
K02850	RfaY:b3625
K09686	YbhS:b0793
K09686	YbhR:b0792
K04844	YcjT:b1316
K01838	YcjU:b1317
K02027	YcjN:b1310
K02025	YcjO:b1311
K03722	DinG:b0799
K02067	MlaD:b3193
K03531	FtsZ:b0095
K07684	NarL:b1221
K07673	NarX:b1222
K07026	YedP:b1955
K00370	NarG:b1224
K00371	NarH:b1225
K00373	NarJ:b1226
K00374	NarI:b1227
K10549	AlsB:b4088
K07810	CusF:b0573
K00344	QorA:b4051
K02314	DnaB:b4052
K01775	Alr:b4053
K00832	TyrB:b4054
K03788	AphA:b4055
K07787	CusA:b0575
K07798	CusB:b0574
K03701	UvrA:b4058
K03111	Ssb:b4059
K10679	NfsB:b0578
