K01719	Hem4:YOR278W
K12624	Lsm5:YER146W
sce_YNL066W	Sun4:YNL066W
K09481	Sbh2:YER019C-A
K03063	Rpt3:YDR394W
K03108	Srp72:YPL210C
K02332	Mip1:YOR330C
K09885	Aqy2:YLL052C
K02258	Cox11:YPL132W
K11788	Ade5:YGL234W
K00877	Thi20:YOL055C
K08054	Cne1:YAL058W
K10863	Hnt3:YOR258W
K05755	Arc19:YKL013C
K00844	Hxk1:YFR053C
K00413	Cyt1:YOR065W
K12345	Dfg10:YIL049W
K05663	Atm1:YMR301C
K01634	Dpl1:YDR294C
K01529	Slh1:YGR271W
K14309	Nic96:YFR002W
K00924	Yck1:YHR135C
K10866	Rad50:YNL250W
K08139	Hxt2:YMR011W
K14218	Ta(Agc)j:tA_AGC_J
K06678	Ycg1:YDR325W
K02991	Rps6b:YBR181C
K14234	Trt2:tT_CGU_K
K03283	Ssb1:YDL229W
K07432	Alg13:YGL047W
K15728	Pah1:YMR165C
K00850	Pfk2:YMR205C
K14233	Ts(Aga)e:tS_AGA_E
K14233	Ts(Aga)b:tS_AGA_B
K01647	Cit2:YCR005C
K00002	Adh7:YCR105W
K14233	Ts(Aga)a:tS_AGA_A
K11367	Chd1:YER164W
K14233	Ts(Aga)l:tS_AGA_L
K02976	Rps26b:YER131W
K14233	Ts(Aga)j:tS_AGA_J
K14233	Ts(Aga)h:tS_AGA_H
K14017	Snl1:YIL016W
K01529	Rad5:YLR032W
K03687	Mge1:YOR232W
K00814	Alt1:YLR089C
K11679	Ies5:YER092W
K10415	Pac11:YDR488C
K00033	Gnd2:YGR256W
K01526	Gda1:YEL042W
K04441	Hog1:YLR113W
K02885	Rpl19b:YBL027W
K00100	Aad4:YDL243C
sce_YOR382W	Fit2:YOR382W
K07573	Csl4:YNL232W
K08333	Vps15:YBR097W
K09503	Ydj1:YNL064C
K00555	Trm1:YDR120C
K03132	Taf7:YMR227C
K00854	Xks1:YGR194C
K12198	Vps60:YDR486C
K10570	Rad28:YDR030C
K00877	Thi21:YPL258C
K02149	Vma8:YEL051W
K11274	Ctf4:YPR135W
K07203	Tor2:YKL203C
K11644	Sin3:YOL004W
K08850	Ipl1:YPL209C
K10872	Dmc1:YER179W
K02896	Rlp24:YLR009W
K09647	Imp1:YMR150C
K06699	Blm10:YFL007W
K11251	Hta1:YDR225W
K14676	Nte1:YML059C
K00927	Pgk1:YCR012W
K01695	Trp5:YGL026C
K02262	Cox3:Q0275
K11551	Chl4:YDR254W
K01170	Sen2:YLR105C
K01254	Lap2:YNL045W
K11270	Ctf8:YHR191C
K00766	Trp4:YDR354W
K12848	Snu23:YDL098C
K14401	Cft1:YDR301W
K02998	Rps0a:YGR214W
K15634	YOR283W:YOR283W
K01720	Pdh1:YPR002W
K01537	Pmc1:YGL006W
K03234	Eft1:YOR133W
K13507	Gpt2:YKR067W
K02960	Rps16a:YMR143W
K03010	Rpb2:YOR151C
K03386	Tsa1:YML028W
K12873	Bud31:YCR063W
K01528	Dnm1:YLL001W
K01886	Gln4:YOR168W
K02309	Dbf4:YDR052C
K12412	Mcm1:YMR043W
K12196	Vps4:YPR173C
K10632	Etp1:YHL010C
K14050	Bet4:YJL031C
K10643	Mot2:YER068W
K12818	Prp22:YER013W
K01834	Gpm2:YDL021W
K03671	Trx1:YLR043C
K09500	Cct8:YJL008C
K10878	Spo11:YHL022C
K03660	Ogg1:YML060W
K01463	Nta1:YJR062C
K00100	Gcy1:YOR120W
K00275	Pdx3:YBR035C
K00688	Gph1:YPR160W
K01078	Ltp1:YPR073C
K14219	Tr(Acg)k:tR_ACG_K
K14219	Tr(Acg)j:tR_ACG_J
K14219	Tr(Acg)l:tR_ACG_L
K14219	Tr(Acg)o:tR_ACG_O
K10418	Dyn2:YDR424C
K02918	Rpl35b:YDL136W
K14219	Tr(Acg)e:tR_ACG_E
K14219	Tr(Acg)d:tR_ACG_D
K01784	Gal10:YBR019C
K09051	Sko1:YNL167C
K00004	Bdh1:YAL060W
K05294	Bst1:YFL025C
K02993	Rps7a:YOR096W
sce_YIL144W	Tid3:YIL144W
K11849	Ubp2:YOR124C
K12609	Caf120:YNL278W
K00948	Prs4:YBL068W
K00943	Cdc8:YJR057W
K02730	Scl1:YGL011C
sce_YJL159W	Hsp150:YJL159W
K02872	Rpl16a:YIL133C
K00077	Pan5:YHR063C
K01681	Aco2:YJL200C
K14168	Ncs6:YGL211W
K14549	Utp15:YMR093W
K14227	Ti(Aau)i1:tI_AAU_I1
K14227	Ti(Aau)i2:tI_AAU_I2
K12193	Vps24:YKL041W
K03841	Fbp1:YLR377C
K11341	Yaf9:YNL107W
K03025	Rpc34:YNR003C
K14225	Tg(Gcc)o1:tG_GCC_O1
K11768	Arp9:YMR033W
K01868	Mst1:YKL194C
