K10246	SPAC1B2.03c:SPAC1B2.03c
K12761	Ssp2:SPCC74.03c
K13719	Otu1:SPAC24C9.14
K11108	SPAC12G12.06c:SPAC12G12.06c
K05289	Gaa1:SPAC1002.11
K00972	Uap1:SPBC1289.08
K11971	Itt1:SPAC1002.14
K01480	SPAC11D3.09:SPAC11D3.09
K06133	Lys7:SPAC17C9.02c
K02923	Rpl3801:SPBC577.02
K12847	Ubp10:SPBC577.07
K02932	Rpl501:SPAC3H5.12c
K14022	SPCC4G3.13c:SPCC4G3.13c
K15428	SPBC1198.08:SPBC1198.08
K10689	Ubc16:SPBC1198.09
K01488	Dea2:SPBC1198.02
K06670	Rad21:SPCC338.17c
K00924	Cdc7:SPBC21.06c
K00942	SPBC1198.05:SPBC1198.05
K00326	SPAC17H9.12c:SPAC17H9.12c
K02272	Cox8:SPAC24C9.16c
K12879	Tho2:SPAC1D4.14
K03245	SPAC3A12.13c:SPAC3A12.13c
K09184	Fep1:SPAC23E2.01
K00928	SPBC19F5.04:SPBC19F5.04
K00784	Trz2:SPAC1D4.10
K11271	Dcc1:SPAC31A2.15c
K14553	SPBC29A3.06:SPBC29A3.06
K02953	Rps13:SPAC6F6.07c
K03106	Srp54:SPCC188.06c
K03024	Rpc31:SPBC839.12
K00507	SPCC1281.06c:SPCC1281.06c
K00288	SPBC839.16:SPBC839.16
K11205	SPCC737.06c:SPCC737.06c
K00236	Sdh3:SPCC330.12c
K12669	SPAPB17E12.11:SPAPB17E12.11
K01755	Arg7:SPBC1773.14
K09467	Scr1:SPBC1D7.02c
K03434	Gpi12:SPAPB2B4.01c
K14655	SPCC4G3.16:SPCC4G3.16
K07208	Rhb1:SPBC428.16c
K12598	Mtr4:SPAC6F12.16c
K02995	Rps802:SPAC521.05
K03000	Rpa12:SPCC1259.03
K00728	Ogm1:SPAC22A12.07c
K14563	Fib1:SPBC2D10.10c
K01069	SPAC824.07:SPAC824.07
K12191	Did4:SPAC4F8.01
K01809	SPBC2G2.16:SPBC2G2.16
K13348	SPAC3G6.05:SPAC3G6.05
spo_SPAC4F8.13c	Rng2:SPAC4F8.13c
K01526	Gda1:SPAC824.08
K09680	SPBC4B4.01c:SPBC4B4.01c
K07977	Arf1:SPBC4F6.18c
K01230	Mns1:SPAC2E1P5.01c
K01641	Hcs1:SPAC4F8.14c
K11595	Chp1:SPAC18G6.02c
K01520	SPAC644.05c:SPAC644.05c
K00860	Met14:SPAC1782.11
K11672	Arp5:SPBC365.10
K12626	Lsm7:SPCC285.12
K08874	Tra2:SPAC1F5.11c
K12844	Prp31:SPBC119.13c
K12825	Sap114:SPAC22A12.09c
K03130	Taf73:SPBC15D4.14
K01101	Pho2:SPBC15D4.15
K01529	Rad8:SPAC13G6.01c
K11667	Ies6:SPAC222.04c
K14962	Swd2:SPBC18H10.06c
K03032	Rpn2:SPBC17D11.07c
K11553	Dad1:SPAC16A10.05c
K01078	Pho1:SPBP4G3.02
K01424	SPBPB8B6.05c:SPBPB8B6.05c
K11541	Ura1:SPAC22G7.06c
K00831	SPAC1F12.07:SPAC1F12.07
K02984	Rps102:SPAC22H12.04c
K11213	Mam2:SPAC11H11.04
K01599	Hem12:SPCC4B3.05c
K03847	Alg12:SPBC1734.12c
K01814	SPAC3F10.09:SPAC3F10.09
K01880	Grs1:SPAC3F10.03
K01920	Gsa1:SPAC3F10.04
K14301	Nup107:SPBC428.01c
K00380	SPCC584.01c:SPCC584.01c
K02259	Etp1:SPAC22E12.10c
K10971	Gma12:SPCC736.04c
K00817	His3:SPBC11B10.02c
K03019	Rpc11:SPAC22A12.05
K02951	Rps1202:SPBC1685.02c
K03259	Tif452:SPBC1709.18
K01456	SPBC1709.14:SPBC1709.14
K01930	SPBC1709.17:SPBC1709.17
K03687	Mge1:SPBC3B9.19
K11253	Hht3:SPBC1105.11c
K03104	Srp14:SPAC19B12.09
K02983	Rps3001:SPAC19B12.04
K08493	Vti1:SPBC3B9.10
K03360	Pof2:SPBC25B2.11
K10597	Ufd2:SPAC20H4.10
K01755	SPBC1539.03c:SPBC1539.03c
K03113	Sui1:SPBC23G7.05
K02929	Rpl42:SPAC15E1.03
K03231	Ef1A-b:SPAC23A1.10
K02872	Rpl1602:SPAC23A1.11
K16066	SPAC521.03:SPAC521.03
K03036	Rpn6:SPAC23G3.11
K01750	SPAP11E10.01:SPAP11E10.01
K11648	Snf5:SPAC2F7.08c
K02922	Rpl3702:SPCC1223.05c
K14293	Kap95:SPAC1B1.03c
K00276	Cao1:SPAC2E1P3.04
K00162	Pdb1:SPBC30D10.13c
K09291	Alm1:SPAC1486.04c
K11254	Hhf1:SPAC1834.03c
K02930	Rpl401:SPBC1711.06
K00295	SPBC1711.04:SPBC1711.04
K10841	Rhp26:SPCP25A2.02c
K03248	Tif35:SPBC18H10.03
K13989	SPAC1687.17c:SPAC1687.17c
K04409	Shk1:SPBC1604.14c
