K09353	Lbl:Dmel_CG6570
K07198	Snf1a:Dmel_CG3051
K12733	CypL:Dmel_CG13892
K13239	Dmel_CG13890:Dmel_CG13890
K00621	Dmel_CG1969:Dmel_CG1969
K10720	Phm:Dmel_CG6578
K09586	Wbl:Dmel_CG7225
K08498	Syx6:Dmel_CG7736
K00432	GstD8:Dmel_CG4421
K01587	Ade5:Dmel_CG3989
K05094	Htl:Dmel_CG7223
K03860	Gpi1:Dmel_CG32578
K07976	Rab6:Dmel_CG6601
K01183	Cht4:Dmel_CG3986
K09485	Hsc70cb:Dmel_CG6603
K12484	Rip11:Dmel_CG6606
K11429	Suv4-20:Dmel_CG13363
K00121	Fdh:Dmel_CG6598
K04715	Cerk:Dmel_CG16708
K06269	Pp1alpha-96A:Dmel_CG6593
K12198	Dmel_CG6259:Dmel_CG6259
K06546	Vsg:Dmel_CG16707
K10419	RobL:Dmel_CG10751
K00019	sro:Dmel_CG12068
K01689	Eno:Dmel_CG17654
K10611	Roc2:Dmel_CG8998
K11654	IswI:Dmel_CG8625
K01446	PgrP-le:Dmel_CG8995
K00011	Dmel_CG10863:Dmel_CG10863
K01599	UpdO:Dmel_CG1818
K11426	Bzd:Dmel_CG13761
K11996	Dmel_CG13090:Dmel_CG13090
K14559	Dmel_CG13097:Dmel_CG13097
K06689	Eff:Dmel_CG7425
K02929	Rpl36a:Dmel_CG7424
K08517	Sec22:Dmel_CG7359
K01104	Ptp10d:Dmel_CG1817
K00864	Mri:Dmel_CG1216
K03111	MtsSb:Dmel_CG4337
K00799	MgsTl:Dmel_CG1742
K01915	Gs2:Dmel_CG1743
K01312	ZetAtry:Dmel_CG12387
K06276	Pk61c:Dmel_CG1210
K04718	Sk1:Dmel_CG1747
K08866	Ald:Dmel_CG7643
K00106	Ry:Dmel_CG7642
K14568	Dmel_CG3527:Dmel_CG3527
K00665	v(2)k05816:Dmel_CG3524
K00894	Eas:Dmel_CG3525
K01251	Dmel_CG9977:Dmel_CG9977
K08471	Gr22a:Dmel_CG31662
K03113	Dmel_CG17737:Dmel_CG17737
K01283	AncE-4:Dmel_CG8196
K10870	Spn-d:Dmel_CG31069
K09880	Dmel_CG12173:Dmel_CG12173
K08471	Gr98d:Dmel_CG31061
K08471	Gr98c:Dmel_CG31060
K09385	Slp2:Dmel_CG2939
K08471	Gr59a:Dmel_CG30189
K02149	Vha36-2:Dmel_CG13167
K05692	Act87e:Dmel_CG18290
K08342	Atg4:Dmel_CG4428
K10593	Hyd:Dmel_CG9484
K00699	Ugt37b1:Dmel_CG9481
K09458	Dmel_CG12170:Dmel_CG12170
K13126	pAbp:Dmel_CG5119
K00799	GstD6:Dmel_CG4423
K03035	Rpn5:Dmel_CG1100
K12881	Aly:Dmel_CG1101
K08831	SrpK:Dmel_CG8174
K13943	Cbt:Dmel_CG4427
K01312	TheTatry:Dmel_CG12385
K01164	Rpp20:Dmel_CG33931
K01312	EtaTry:Dmel_CG12386
K00787	FppS:Dmel_CG12389
K07827	Ras85d:Dmel_CG9375
K10405	Ncd:Dmel_CG7831
K06669	Cap:Dmel_CG9802
K02906	mRpL3:Dmel_CG8288
K00699	Ugt36bc:Dmel_CG17932
K07976	Rab9db:Dmel_CG9807
K07298	Lkb1:Dmel_CG9374
K04567	AatS-lys:Dmel_CG12141
K02877	Rpl15:Dmel_CG17420
K06115	Kst:Dmel_CG12008
K03801	Dmel_CG9804:Dmel_CG9804
K09523	P58Ipk:Dmel_CG8286
K07976	Rab8:Dmel_CG8287
K04649	UbcD4:Dmel_CG8284
K04623	BosS:Dmel_CG8285
K08471	Or19a:Dmel_CG18859
K01446	PgrP-sc1b:Dmel_CG8577
K12663	Dmel_CG9577:Dmel_CG9577
K01047	GiiIspla2:Dmel_CG1583
K07976	Rab35:Dmel_CG9575
K11674	Rcd5:Dmel_CG1135
K01800	GstZ1:Dmel_CG9362
K07374	alphaTub85E:Dmel_CG9476
K01092	Dmel_CG9391:Dmel_CG9391
K01895	AccOas:Dmel_CG9390
K09584	CabP1:Dmel_CG5809
K13356	Dmel_CG5065:Dmel_CG5065
K03107	Srp68:Dmel_CG5064
K05719	Mys:Dmel_CG1560
K00275	Dmel_CG31472:Dmel_CG31472
K12590	Rrp46:Dmel_CG4043
K09396	CroC:Dmel_CG5069
K02960	Rps16:Dmel_CG4046
K02135	Dmel_CG31477:Dmel_CG31477
K00741	Dmel_CG11149:Dmel_CG11149
K03094	SkpD:Dmel_CG12700
K05677	Pmp70:Dmel_CG12703
K00517	Cyp313b1:Dmel_CG9716
K06129	Dmel_CG18858:Dmel_CG18858
K12183	Tsg101:Dmel_CG9712
K09373	Ap:Dmel_CG8376
K11488	L(3)73ah:Dmel_CG4195
K04500	SmoX:Dmel_CG2262
K01889	Dmel_CG2263:Dmel_CG2263
K02606	Orc4:Dmel_CG2917
K10349	Fem-1:Dmel_CG9025
K11491	Cap-d3:Dmel_CG31989
K04565	Sod3:Dmel_CG9027
K01887	AatS-arg:Dmel_CG9020
K09884	DriP:Dmel_CG9023
K12670	Ost48:Dmel_CG9022
K01137	Dmel_CG30059:Dmel_CG30059
K13719	Dmel_CG4603:Dmel_CG4603
K07508	Yip2:Dmel_CG4600
K01191	alpha-Man-IIb:Dmel_CG4606
K01137	Dmel_CG18278:Dmel_CG18278
K00166	Dmel_CG8199:Dmel_CG8199
K01679	Dmel_CG31874:Dmel_CG31874
K01858	InoS:Dmel_CG11143
K00129	AldH-iii:Dmel_CG11140
K04605	MglUra:Dmel_CG11144
K09881	Mulk:Dmel_CG31873
K09366	Acj6:Dmel_CG9151
K03691	O-fUt1:Dmel_CG12366
