K01369	LgmN
K10473	KbtBd5
K10473	KbtBd10
K10472	KbtBd4
K10470	KbtBd2
YMR006C	-
K11307	MysT2
K11304	Kat5
K11303	Hat1
K11300	HmgN2
K11301	HmgN3
K11308	MysT1
K11309	-
K00137	-
K00135	-
K00134	GapDh
K00133	-
K00131	-
K00130	-
K00139	AldH5a1
SPCC122302	-
K10652	TriM25
K10651	TriM21
K10654	TriM55
K00420	UqcR11
K00423	-
K00425	-
K00426	-
K14291	PhaX
K14376	PAPOLG
K14376	PAPOLA
K15979	SND1
K15978	AKAP8L
K14085	AldH7a1
SPAP8A3.08	-
K04705	StaM2
K04705	StaM
K04706	PiaS2
K04706	PiaS3
K04706	PiaS1
K04706	PiaS4
K04707	CblC
K04707	CblB
K04707	Cbl
K01556	KynU
K01557	FAHD1
K01555	Fah
K04708	KdsR
K04709	-
K05077	Il13ra2
B4DUI8	B4DUI8
K13356	Far1
K13356	Far2
K13355	NudT19
K13354	Slc25a17
K03959	NduFb3
K03954	NduFa10
K03955	NduFab1
K03956	NduFa11
K03957	NduFb1
K03950	NduFa6
K03951	NduFa7
K03952	NduFa8
K13358	Slc9a3r2
K13681	-
K13680	-
K02399	-
K02398	-
K02397	-
K02396	-
K02393	-
K13536	MarCksl1
K13535	-
K04257	Or8S1
K04257	Or2D2
K04257	Or11h1
K04257	Or11h6
K04257	Or11h4
K04257	Or2B2
K04257	Or1J4
K04257	Or1J2
K04257	Or1J1
K04257	Or4K5
K04257	Or4K1
K04257	Or4K2
K04257	Or52m1
K04257	Or13f1
K04257	Or4D10
K04257	Or4D11
K04257	Or1C1
K04257	Or52r1
K04257	Or8H1
K04257	Or8H2
K04257	Or8H3
K04257	Or51e1
K04257	Or5P3
K04257	Or5P2
K04257	Or56a5
K04257	Or56a4
K04257	Or56a3
K04257	Or56a1
K04257	Or1D5
K04257	Or2L2
K04257	Or2L3
K04257	Or1D2
K04257	Or2L8
K04257	Or10g7
K04257	Or10g4
K04257	Or10g3
K04257	Or10g2
K04257	Or10g9
K04257	Or10g8
K04257	Or51l1
K04257	Or3A1
K04257	Or52i2
K04257	Or52i1
K04257	Or7A17
K04257	Or10h2
K04257	Or10h3
K04257	Or10h1
K04257	Or10h4
K04257	Or10h5
K04257	Or9A2
K04257	Or9A4
K04257	Or2W3
K04257	Or2W1
K04257	Or10z1
K04257	Or5Au1
K04257	Or52w1
K04257	Or2A1
K04257	Or2A2
K04257	Or2A5
K04257	Or2A4
K04257	Or2A7
K04257	Or5B3
K04257	Or14i1
K04257	Or52n4
K04257	Or52n5
K04257	Or52n2
K04257	Or52n1
K04257	Or10q1
K04257	Or10j1
K04257	Or4A16
K04257	Or5K2
K04257	Or2H2
K04257	Or2H1
K04257	Or6Y1
K04257	Or4D9
K04257	Or4D1
K04257	Or4D2
K04257	Or4D5
K04257	Or4D6
K04257	Or10ad1
K04257	Or8K1
K04257	Or8K3
K04257	Or8K5
K04257	Or2T4
K04257	Or6K3
K04257	Or5B12
K04257	Or56b4
K04257	Or5B17
K04257	Or6K6
K04257	Or56b1
K04257	Or8D4
K04257	Or5T3
K04257	Or5T2
K04257	Or8D1
K04257	Or8D2
K04257	Or7E24
K04257	Or2Ag2
K04257	Or2Ag1
K04257	Or52e6
K04257	Or52e4
K04257	Or52e2
K04257	Or7A5
K04257	Or14c36
K04257	Or4A15
K04257	Or4C6
K04257	Or4C3
K04257	Or2S2
K04257	Or5M10
K04257	Or6B1
K04257	Or6B2
K04257	Or6B3
K04257	Or4Q3
K04257	Or10v1
K04257	Or5F1
K04257	Or1K1
K04257	Or11g2
K04257	Or52j3
K04257	Or51v1
K04257	Or2Z1
K04257	Or13a1
K04257	Or6T1
K04257	Or4K15
K04257	Or4K14
K04257	Or4K17
K04257	Or4K13
K04257	Or14a16
K04257	Or4X1
K04257	Or4X2
K04257	Or2L13
K04257	Or1L8
K04257	Or1L4
K04257	Or1L6
K04257	Or1L1
K04257	Or2D3
K04257	Or1L3
K04257	Or10c1
K04257	Or8G5
K04257	Or10t2
K04257	Or51d1
K04257	Or8G1
K04257	Or8G2
K04257	Or6K2
K04257	Or2T34
K04257	Or2T33
K04257	Or5H6
K04257	Or5Ap2
K04257	Or5H2
K04257	Or1E2
K04257	Or1E1
K04257	Or10ag1
K04257	Or52a1
K04257	Or2A12
K04257	Or2A14
K04257	Or52a5
K04257	Or13j1
K04257	Or6F1
K04257	Or5B21
K04257	Or9K2
K04257	Or2Y1
K04257	Or51q1
K04257	Or51e2
K04257	Or5K1
K04257	Or2V2
K04257	Or4N2
K04257	Or4N4
K04257	Or4N5
K04257	Or6A2
K04257	Or5C1
K04257	Or8U8
K04257	Or14j1
K04257	Or8U1
K04257	Or5T1
K04257	Or13d1
K04257	Or10r2
K04257	Or6S1
K04257	Or6C65
K04257	Or2K2
K04257	Or5L1
K04257	Or5L2
K04257	Or6C68
K04257	Or1A2
K04257	Or1A1
K04257	Or6X1
K04257	Or51g2
K04257	Or51g1
K04257	Or10k2
K04257	Or8J3
K04257	Or8J1
K04257	Or5D18
K04257	Or5As1
K04257	Or52b2
K04257	Or52b6
K04257	Or52b4
K04257	Or52e8
K04257	Or4B1
K04257	Or8A1
K04257	Or7G2
K04257	Or7G3
K04257	Or7G1
K04257	Or52k1
K04257	Or52k2
K04257	Or9G4
K04257	Or1S1
K04257	Or1S2
K04257	Or9G1
K04257	Or5D13
K04257	Or5D14
K04257	Or5D16
K04257	Or5M8
K04257	Or6C76
K04257	Or8B12
K04257	Or2Ak2
K04257	Or10x1
K04257	Or2G3
K04257	Or2G2
K04257	Or2G6
K04257	Or1M1
K04257	Or4P4
K04257	Or9Q2
K04257	Or9Q1
K04257	Or5R1
K04257	Or2T29
K04257	Or6N1
K04257	Or6N2
K04257	Or5I1
K04257	Or1F1
K04257	Or4F3
K04257	Or10a3
K04257	Or10a2
K04257	Or10a5
K04257	Or10a4
K04257	Or10a7
K04257	Or10a6
K04257	Or5M9
K04257	Or51b5
K04257	Or51b4
K04257	Or51b6
K04257	Or51b2
K04257	Or4F15
K04257	Or4F16
K04257	Or4F17
K04257	Or4C46
K04257	Or5M11
K04257	Or2Ae1
K04257	Or7C2
K04257	Or7C1
K04257	Or2B6
K04257	Or10j5
K04257	Or4M2
K04257	Or4M1
K04257	Or10j3
K04257	Or51i1
K04257	Or51i2
K04257	Or2A25
K04257	Or4S1
K04257	Or4S2
K04257	Or1I1
K04257	Or2C3
K04257	Or2C1
K04257	Or52l1
K04257	Or13g1
K04257	Or5Ak2
K04257	Or10s1
K04257	Or6C75
K04257	Or6C74
K04257	Or2J2
K04257	Or2J3
K04257	Or6C70
K04257	Or1B1
K04257	Or5M3
K04257	Or5M1
K04257	Or51f1
K04257	Or51f2
K04257	Or8I2
K04257	Or6M1
K04257	Or7A10
K04257	Or2M5
K04257	Or2M4
K04257	Or2M7
K04257	Or2M3
K04257	Or2M2
K04257	Or8B8
K04257	Or5Ar1
K04257	Or5V1
K04257	Or4A47
K04257	Or13h1
K04257	Or51m1
K04257	Or2T27
K04257	Or4A5
K04257	Or12d2
K04257	Or12d3
K04257	Or4C15
K04257	Or4C16
K04257	Or4C11
K04257	Or4C13
K04257	Or4C12
K04257	Or8B4
K04257	Or51s1
K04257	Or52h1
K04257	Or3A2
K04257	Or3A3
K04257	Or7D2
K04257	Or9I1
K04257	Or7D4
K04257	Or13c4
K04257	Or13c5
K04257	Or13c2
K04257	Or13c3
K04257	Or13c8
K04257	Or13c9
K04257	Or2T8
K04257	Or2T6
K04257	Or51t1
K04257	Or2T5
K04257	Or2T2
K04257	Or2T3
K04257	Or2T1
K04257	Or2At4
K04257	Or2F1
K04257	Or2F2
K04257	Or5A2
K04257	Or5A1
K04257	Or1N2
K04257	Or1N1
K04257	Or11l1
K04257	Or10p1
K04257	Or6Q1
K04257	Or5An1
K04257	Or2T10
K04257	Or2T11
K04257	Or2T12
K04257	Or5J2
K04257	Or2B11
K04257	Or6V1
K04257	Or1G1
K04257	Or4E2
K04257	Or4F6
K04257	Or51a2
K04257	Or51a4
K04257	Or51a7
K04257	Or4F4
K04257	Or4F5
K04257	Or2A42
K04257	Or1Q1
K04257	Or11a1
K04257	Or4L1
K04257	Or10k1
K04257	Or52d1
K04257	Or5Ac2
K04257	Or6C3
K04257	Or6C2
K04257	Or6C1
K04257	Or6C6
K04257	Or6C4
K01551	AsnA1
K02978	Rps27
K02978	Rps27l
AnxA2	AnxA2
AnxA5	AnxA5
K04703	SprEd1
K04703	SprEd2
K02603	Orc1
K05654	Tap2
K05657	AbcB10
K08818	Cdk11a
K08818	Cdk11b
K02607	Orc5
K02606	Orc4
K12330	ArhGef1
K12331	ArhGef11
K05653	Tap1
K12334	NppA
K12338	-
K12339	-
K11683	-
K11682	-
K11681	-
K11680	-
K11687	AdpRhl2
K11685	-
K11684	-
K08810	KalRn
K08810	TriO
K13823	Hbd
K13823	Hbb
K13822	Hba1
K13822	Hba2
K03043	-
K03040	-
K03046	-
K08812	CamKv
K06672	NipBl
K06670	Rad21
K03104	Srp14
K06676	NcaPh
K06677	NcaPd2
K06674	Smc2
K06675	Smc4
K06678	NcaPg
K06679	-
K10350	Zyg11b
K10350	Zyg11a
K10350	Zer1
K00699	Ugt2b7
K00699	Ugt2b4
K00699	Ugt1a10
K00699	Ugt2b28
K00699	Ugt2a3
K00699	Ugt2a2
K00699	Ugt2a1
K00699	Ugt2b15
K00699	Ugt2b17
K00699	Ugt2b10
K00699	Ugt2b11
K00699	Ugt1a9
K00699	Ugt1a5
K00699	Ugt1a4
K00699	Ugt1a8
K00699	Ugt1a6
K00699	Ugt1a7
K00699	Ugt1a1
K00699	Ugt1a3
K12488	AsaP1
K12488	AsaP2
K12488	AsaP3
K08816	Vrk1
K08816	Vrk3
K08816	Vrk2
K12484	Rab11fip2
K12484	Rab11fip1
K12484	Rab11fip5
K12486	SmaP1
K12486	SmaP2
K12487	Git2
K12480	RabEp1
K12481	ZfyVe20
K12482	RufY1
K12483	Ehd1
K11469	RybP
K11468	Yaf2
K11467	Phf1
K11465	ScmL2
K11463	Suz12
K11462	Eed
K11460	PcgF2
K00639	GcaT
K00341	-
K00637	SoaT2
K00637	SoaT1
K00630	-
K00631	-
K00632	-
NotMapped	-
MPN_EutD	-
K06497	Cd63
K06492	Cd58
K06490	IcaM1
K06491	NcaM1
K06491	NcaM2
Paa1	-
K07810	-
K07817	PtpRn2
K07817	PtpRn
K00090	-
K05387	-
K00094	-
K00099	-
K00040	-
K10226	FadS2
K10224	FadS1
K10225	FadS3
K01948	Cps1
K01945	-
K01940	Ass1
K01942	HlcS
K05821	-
K07722	-
K00898	Pdk3
K00898	Pdk2
K00898	Pdk4
K00899	-
K08504	Bet1
K08504	Bet1l
K00891	-
K00893	Dck
K00894	EtnK2
K00894	EtnK1
K00895	-
K04397	CasP7
K04396	CasP6
K04394	CasP4
K04393	Cdc42
K04392	Rac1
K04390	Fas
K03953	NduFa9
K04399	CasP9
K04398	CasP8
Q59GD5	Q59GD5
Q05DQ7	Q05DQ7
K14408	CSTF3
K14157	AasS
K08150	Slc2a13
K02948	-
K02949	Rps11
K02940	Rpl9
K02941	RplP0
K02942	RplP1
K05663	-
K05665	AbcC1
K02946	-
K02947	Rps10
K04660	Dcn
K01831	PtgIs
K09574	FkbP8
K01768	-
K09577	FkbP14
K09570	FkbP3
K09571	FkbP4
K09571	FkbP5
K09573	FkbP7
K01761	-
K01760	-
K01763	SclY
K01762	-
K09578	Pin1
K09579	Pin4
K02492	-
K08165	-
K02496	-
K05449	FigF
K05449	VegFc
K14416	HBS1L
K14411	MSI2
K14411	MSI1
K14411	DAZAP1
K11492	NcaPg2
K07209	IkbKb
K12817	PrpF18
K12816	Cdc40
K09419	-
K12814	-
K12813	Dhx16
K12812	Bat1
K12811	Ddx46
b4376	-
K09417	Hsf4
K12819	Slu7
K09414	Hsf1
K03545	-
K03544	ClpX
K03542	-
K03541	-
K03540	Rpp21
K11499	CenPf
K03723	-
K03721	-
K03720	-
Mtm1	-
YIL011W	-
K13144	IntS7
K06808	Cdh13
K12671	CxcL10
K12670	DdoSt
K06800	Cdh8
K08893	Hck
K08894	Ptk6
K08898	LmtK2
K07292	Hnf4a
K11096	SnrPd2
K11097	SnrPe
K11094	SnrPb2
K11095	SnrPc
K11092	SnrPa1
K11093	SnrNp70
K11090	Ssb
K11091	SnrPa
K11098	SnrPf
K11099	SnrPg
K08768	PliN1
K08769	Ucp1
K08762	Dbi
K08761	PltP
K08766	Cpt2
K08764	Scp2
K08765	Cpt1a
K08765	Cpt1c
K08765	Cpt1b
K10411	DnaL1
K10413	DynC1h1
K10415	DynC1i1
K10415	DynC1i2
K10414	DynC2h1
K10416	DynC1li1
K10416	DynC1li2
K10419	DynLrb2
K10419	DynLrb1
K10418	DynLl1
K10418	DynLl2
K11320	Ep400
K11321	Brd8
K11322	Epc2
K11322	Epc1
K11324	DmaP1
B4DVQ0	B4DVQ0
K00156	-
K09381	Pax7
K09381	Pax3
K14312	Nup155
K14313	Nup35
K14310	Nup205
K14311	Nup188
K14316	Pom121l2
K14316	Pom121c
K14316	Pom121
K14317	Nup214
K14314	Nup210
K14314	Nup210l
K14315	TmeM48
K14318	Nup88
K14319	RanGap1
K04095	-
K01348	PlaU
B4DXW1	B4DXW1
K07933	RabL3
K07931	RabL2a
K01578	MlyCd
Q8TDG2	ACTT1
K02008	-
K05058	LifR
K05057	OsmR
K02002	-
K13333	-
K13335	Pex16
K13337	Pex19
K13336	Pex3
K13339	Pex6
K13338	Pex1
K15405	-
K15404	-
K15406	-
K15401	-
K15400	-
K15403	-
YJR150C	-
K12318	GucY1a3
K12318	GucY1a2
K12319	GucY1b3
K12316	Gaa
K12317	GanC
K12310	CtbS
K12311	Man2b1
K12312	Man2b2
K12313	ActA2
K03064	PsmC6
K03065	PsmC3
K03066	PsmC5
K03060	-
K03061	PsmC2
K08957	CsnK1a1l
K08957	CsnK1a1
K03063	PsmC4
K08959	CsnK1d
K08958	CsnK1g2
K08958	CsnK1g3
K08958	CsnK1g1
K11667	Ino80c
K11666	Ino80b
K03068	Lrp6
K03068	Lrp5
K11660	Mta1
K11660	Mta2
K11660	Mta3
K11663	ZnhIt1
K11662	ActR6
K13809	CmpK2
K13806	DagLa
K13806	DAGLB
K13800	CmpK1
K06128	LypLa1
K06129	Pla2g15
K06126	Coq6
K06655	-
K09604	EraP1
K06125	Coq2
K09602	OtuB1
K01121	Cnp
K06652	-
K06653	-
K04440	MapK8
K04440	MapK9
K04440	MapK10
K04447	Jak2
K04446	NfaT5
K04446	NfaTc2
K04446	NfaTc3
K04446	NfaTc4
K04446	NfaTc1
K11409	HdaC9
K11408	HdaC7
K01125	NagPa
K11400	-
K11405	HdaC8
K11404	HdaC3
K11407	HdaC10
K11407	HdaC6
K04448	Jun
K04878	KcnA5
K00797	Srm
K02470	-
K07838	Rap2b
K07529	DpySl5
K07528	DpySl2
K07299	Slc2a1
K07525	NgeF
K07524	Rgs3
K07831	MraS
K07830	RraS2
K07293	PtpN11
K07836	Rap1b
K07835	RalB
K07834	RalA
K10756	Rfc5
K10756	Rfc3
K10757	-
K10206	-
K10755	Rfc4
K10755	Rfc2
K10752	RbbP4
K10753	Asf1a
K10753	Asf1b
K10750	ChaF1a
K10203	EloVl6
K10758	QsoX2
K10758	QsoX1
K01966	PccB
K01965	PccA
K06671	StaG2
K06671	StaG1
K01963	-
K01962	-
K01961	-
K01969	MccC2
K01968	MccC1
K07748	NsdHl
B4E3A4	B4E3A4
K12489	AcaP1
K12489	AcaP2
K12489	AcaP3
K01298	Cpa2
K03878	Nd1
K01291	Cpb1
K01293	-
K01294	Cpe
K01297	-
K02922	Rpl37
K02923	Rpl38
K02920	Rpl36
K02921	Rpl37a
K05606	MceE
K05607	Auh
K02924	Rpl39
K05605	HibCh
K05609	UchL3
K00214	BlvRa
K00215	-
K00213	DhcR7
K00211	-
K00218	-
K00219	-
K04515	CamK2d
K04515	CamK2g
K04515	CamK2a
K04515	CamK2b
K04514	RocK1
K04514	RocK2
K01740	-
K04511	PriCkle1
K04511	PriCkle2
K04510	VanGl1
K04510	VanGl2
K04513	RhoA
K01744	-
K01749	HmbS
K12666	Rpn1
K09594	FlcN
K09595	Hm13
K09592	EglN3
K09592	EglN2
K09592	EglN1
K09593	Gab1
K09590	-
K09591	-
K14432	-
K14431	-
K08184	Slc16a7
K12668	Dad1
K00261	GluD2
K00261	GluD1
K12669	TusC3
K12871	CcdC12
K12870	Isy1
K12873	Bud31
K12872	Rbm22
K12875	AciN1
K12874	Aqr
K12877	MagOhb
K12877	MagOh
K12876	Rbm8a
K12879	ThoC2
K12878	ThoC1
K03521	-
K03522	-
K03527	-
K03526	-
K03528	-
K02210	Mcm7
K02211	Cdk9
K02212	Mcm4
K02213	Cdc6
K02214	Cdc7
K02216	CheK1
K02217	-
K02218	-
K02219	Cks1b
K16174	MRPS18B
K16175	SCRIB
K12691	-
K07198	PrkAa2
K07198	PrkAa1
K07199	PrkAb2
K07199	PrkAb1
K07195	ExoC7
K07196	TriP10
K07190	PhkA2
K07190	PhkA1
K07190	PhkB
K07192	FloT1
K07192	FloT2
K07990	Sh2D1a
K08744	CrlS1
K08745	Slc27a4
K08745	Slc27a1
K08746	Slc27a2
K08740	Msh4
K08743	EnpP6
K06823	Col18a1
K06822	PlxNd1
K06821	PlxNb2
K06821	PlxNb3
K06821	PlxNb1
K06820	PlxNa3
K06820	PlxNa2
K06820	PlxNa1
K06827	CtgF
K06826	Nid2
K06826	Nid1
K09832	-
K10431	Map4
K06828	Mdk
K09839	-
K09838	-
K10435	Map1lc3a
K10435	Map1lc3c
K10435	Map1lc3b
K10434	Map9
K11348	BrpF1
K11349	Brd1
K11342	MorF4l2
K11343	C20Orf20
K11340	ActL6a
K11341	YeaTs4
K11347	Phf17
K11344	MeaF6
K11345	Ing5
K10696	Rnf20
K10696	Rnf40
K10695	Rnf2
K10695	RinG1
K10694	ZnrF1
K10694	ZnrF2
K10693	MycBp2
K10691	Ubr4
K10699	Uba6
K10698	Uba7
K04078	HspE1
K04079	Hsp90ab1
K04079	Hsp90aa1
K04077	HspD1
K04072	-
K01895	AcsS2
K01895	AcsS1
K04212	NtsR2
K05039	Slc6a6
K05034	Slc6a1
K14840	GLTSCR2
K13648	-
K13645	PloD2
K13644	CepT1
K13646	PloD3
K13643	-
K15428	-
K15422	-
K08283	Col4a3bp
A5GZ75	A5GZ75
YAR050W	-
K08711	-
K02021	-
K02020	-
K03885	-
K03883	Nd5
K03881	Nd4
YLR286C	-
K03088	-
K03086	-
K03087	-
K03083	Gsk3b
K06108	Rab3b
K12193	Vps24
K12190	Vps36
K12191	ChmP2a
K12196	Vps4a
K12196	Vps4b
K12197	ChmP1b
K12194	ChmP4a
K12194	ChmP4b
K12194	ChmP4c
K12195	ChmP6
K06100	SymPk
Q562S4	Q562S4
Q562S7	Q562S7
Q562S6	Q562S6
K06104	AmoTl1
Q562S0	Q562S0
K06106	HclS1
K06106	CttN
K06107	Epb41l1
K06107	Epb41l3
K06107	Epb41l2
K06107	Epb41
O94805	ACL6B
K04850	CacNa1c
K04858	CacNa2d1
K11647	SmaRca2
K11647	SmaRca4
K11644	Sin3a
K11643	Chd4
K11649	SmaRcc2
K11649	SmaRcc1
K11648	SmaRcb1
K10594	HerC1
K10595	HerC2
K10596	Ube4a
K10597	Ube4b
K10590	TriP12
K10591	NedD4
K10592	HuwE1
K10593	Ubr5
K10598	PpiL2
K10599	PrpF19
K12736	PpwD1
K12737	Cwc27
K12734	PpiL3
K12735	PpiL4
K12732	-
K12733	PpiL1
K07509	HadHb
K07508	AcaA2
K11423	SetD2
K11422	SetD1a
K11422	SetD1b
K11421	SetDb1
K11421	SetDb2
K11420	EhmT1
K11420	EhmT2
K11427	Dot1l
K11426	SmyD1
K11426	SmyD2
K11426	SmyD3
K11425	WhsC1l1
K11424	Nsd1
K11424	WhsC1
K10771	ApeX1
K10772	ApeX2
K10773	NthL1
K10775	-
K10776	Lig3
K10777	Lig4
K10779	AtrX
K00140	AldH6a1
K01900	SucLg2
K01900	SucLa2
K01903	-
K01902	-
K01904	-
K01907	AacS
K14537	GNL2
K00411	UqcRfs1
K07763	Mmp14
K14535	-
K07767	KatNa1
K07767	KatNal1
K07766	NudT4
K07766	NudT11
K07766	NudT3
K00413	Cyc1
K08064	NfyA
K05236	CopA
K04684	Sp1
K04681	Rbl1
K04681	Rbl2
K04680	Id4
K04680	Id2
K04680	Id3
K04680	Id1
K04683	TfdP1
K04682	E2f5
K04682	E2f4
K04688	Rps6kb1
K04688	Rps6kb2
K09028	JunB
K02908	Rpl30
K05629	MagI2
K02904	-
K02905	Rpl29
K02906	-
K05627	BaiAp2
K02900	Rpl27a
K02901	Rpl27
K02902	-
K02903	Rpl28
K00230	-
K00231	PpoX
K00232	AcoX3
K00232	AcoX1
K00234	SdhA
K00235	SdhB
K00236	SdhC
K00237	SdhD
K00239	-
K14686	SLC31A1
K04539	Gnb5
K04538	Gnb4
K04537	Gnb2
K04536	Gnb1
K01015	SulT2b1
K04534	GnaO1
K04533	Htt
K04532	Nae1
K01011	MpsT
K01011	Tst
K14455	-
K14454	-
K14459	HEXDC
K05481	Il1Rn
K05482	Il18
K13151	SnuPn
K13150	CoiL
K12859	TxnL4a
K12858	Ddx23
K12853	-
K12852	EftUd2
K12851	-
K12850	PrpF38b
K12857	SnrNp40
K12856	PrpF8
K12855	PrpF6
K12854	SnrNp200
K03509	PolH
K03500	-
K03506	PolE4
K03505	PolD4
K03504	PolD3
P62736	ACTA
K02272	Cox7c
K02270	Cox7a1
K02270	Cox7a2
K02270	Cox7a2l
K02271	Cox7b
K02271	Cox7b2
K11818	-
K11562	-
K13456	-
K13109	Ik
K13106	Bud13
K13459	-
K13104	Znf830
K13105	PrcC
K13102	Kin
K13103	TfiP11
K13100	Cwc22
K13101	GpkOw
K16241	-
K04994	McoLn3
K12501	-
K12500	-
K12502	-
Q8WVW5	Q8WVW5
K11564	C21Orf45
YDR130C	-
YDR055W	-
K06592	PvrL3
K06594	ItgAd
K07976	-
K07977	-
K07974	-
K07975	-
K07972	-
K07973	-
K10905	AtrIp
K10904	TipIn
K10903	Hus1
K10902	RecQl5
K10901	Blm
K10900	Wrn
K10908	PolRmt
K09812	-
K09810	-
K11364	-
K11365	-
K11366	Usp27x
K11366	Usp22
K11366	Usp51
K11367	Chd1
K11360	-
K11361	-
K11362	-
K11363	-
K11368	Eny2
K11369	-
K00128	AldH1b1
K00128	AldH3a2
K00128	AldH2
K10014	-
K10017	-
K10011	-
K10010	-
K10013	-
K10012	-
K04237	ParD3
B4DM97	B4DM97
K15628	-
K15627	ASPSCR1
K15620	GOLPH3
K15620	GOLPH3L
K15623	SS18
b1482	-
K13667	PogLut1
K07888	Rab5b
K11165	DhrS7
YNL126W	-
K01109	InpP4b
K01109	InpP4a
K01466	-
K01464	DpyS
K01465	-
K01462	Pdf
K01463	NtaN1
K01460	-
K01468	AmdHd1
K01469	OplAh
K01139	HDDC3
K09254	Rel
K09257	NfkBil2
K09250	CnbP
K09253	RelB
K01540	Atp1b4
K01540	Atp1b2
K01540	Atp1b3
K01540	Atp1b1
K09258	Bcl3
Q5JWF8	ACL10
K05545	Dus4l
K02040	-
K05546	GanAb
K02045	-
K02044	-
K05543	Dus2l
K05542	Dus1l
K02048	-
K05019	ClnS1a
K05662	AbcB7
K02943	RplP2
F5H3I4	F5H3I4
Q562Q6	Q562Q6
Q562Q5	Q562Q5
Q562Q4	Q562Q4
Q562Q3	Q562Q3
Q562Q2	Q562Q2
Q562Q1	Q562Q1
Q562Q0	Q562Q0
K09648	ImmP2l
Q562Q9	Q562Q9
Q562Q8	Q562Q8
K02016	-
K10349	Fem1b
K10348	PpiL5
K00682	GgcT
K09575	FkbP9
K09575	FkbP10
K04833	Scn1a
K11992	AcoT8
K11997	TriM3
K11997	TriM2
K11996	MocS3
K11999	TriM6
K11999	TriM22
K11999	TriM34
K11998	TriM4
K10578	Ube2j1
K10579	Ube2m
K10576	Ube2h
K10577	Ube2i
K10574	Ube2b
K10575	Ube2g1
K10572	IppK
K10573	Ube2a
K06788	CxaDr
K10571	Det1
K07562	Nmd3
K01764	HccS
K10712	Ado
K10717	-
K01929	-
K01928	-
K01923	-
K01922	PpcS
K01921	-
K01920	Gss
K01925	-
K01924	-
K11560	-
K01068	AcoT7
K01068	AcoT4
K01068	AcoT2
K01068	AcoT1
K12754	Myl7
YIL144W	-
K05838	-
K15296	NAPA
K15292	STXBP1
K15293	UNC13B
K15293	UNC13C
K15293	UNC13A
K00784	ElaC1
K00784	ElaC2
K00787	FdpS
K00036	G6pD
K00789	Mat2a
K00789	Mat1a
K00789	Mat2b
K00033	Pgd
K00030	Idh3a
K00030	Idh3b
K00030	Idh3g
K00031	Idh2
K00031	Idh1
K01259	-
K01258	-
K01255	-
K01254	Lta4h
K01257	LnpEp
K01256	-
K01251	AhcY
K01251	AhcYl1
K01251	AhcYl2
K01250	-
K01253	EphX1
K09001	-
K08238	-
K08230	Slc43a3
K08232	-
K08233	-
K08235	-
K08237	-
K00252	GcdH
K00253	Ivd
K00251	Akr1d1
K00257	AcaD9
K00254	DhoDh
K00255	AcaDl
K04559	Hip1
K01078	AcpT
K01078	Acp6
K01078	AcpP
K01078	Acp1
K01078	Acp2
K04550	Lrp1
K04553	Ube2l6
K04552	Ube2l3
K04555	Ube2g2
K04554	Ube2j2
K01077	AlpI
K01077	AlpP
K01077	AlpL
K01077	AlpPl2
K02929	Rpl36a
K02929	Rpl36al
K02784	-
K12815	Dhx38
K01787	RenBp
K01785	GalM
K01784	GalE
K01783	Rpe
K01782	-
b1836	-
K02527	-
K02256	Cox1
K02523	-
K02520	MtiF3
K02258	Cox11
K02259	Cox15
K05208	GriN1
K03781	Cat
K03783	Pnp
K03782	-
K03785	-
K03784	-
K03787	-
K01066	-
K03788	-
K13128	ZccHc8
K13129	Smn2
K13129	Smn1
K13120	Fam32a
K13430	-
K13431	SrpR
K13124	Wdr83
K13125	NosIp
K13126	PabPc1
K13126	PABPC1L
K13127	Rnf113a
K03125	Taf1
K03125	Taf1l
K03124	Gtf2b
K03127	Taf13
K03126	Taf12
K03121	Gtf2i
K03121	Gtf2ird1
K03120	TbpL2
K03120	TbpL1
K03120	Tbp
K03123	Gtf2a2
K08839	Stk25
K08836	Slk
K08837	Stk10
K08834	Myo3a
K08834	Myo3b
K08835	OxsR1
K03129	Taf4b
K03129	Taf4
K03128	Taf2
K08831	SrpK1
K08831	SrpK2
K00344	CryZ
K12525	-
K12524	-
K06578	BcaM
K16066	-
K07951	Arl6
K07952	ArfRp1
K07953	Sar1a
K07953	Sar1b
K07955	Arl8a
K07956	Arl8b
K08789	MasT1
K08789	MasT2
K08789	MasT3
K08789	MasT4
K08783	-
K08784	HtrA1
K10960	-
K10967	-
SPAC24B11.11c	-
K09873	-
K09872	-
K09875	-
K09874	-
K06316	Rft1
P61160	ARP2
P61163	ACTZ
K10387	Pkp1
K10386	Ppl
K10381	Dsp
K10380	Ank1
K10380	Ank2
K10380	Ank3
K10382	Dst
K10389	TubG1
K10389	TubG2
K10388	PleC
B7Z9W3	B7Z9W3
K04035	-
K10038	-
K10036	-
K13600	-
YJL158C	-
K13606	-
K05787	-
K05789	-
K05788	-
K01440	-
K01443	AmdHd2
K01444	Aga
YDR534C	-
K09278	RunX2
K09276	Ybx1
K09275	Ubp1
K09275	GrhL1
K09275	GrhL2
K09275	GrhL3
K09275	TfcP2l1
K09275	TfcP2
K09274	-
K09273	UbtF
K09272	SsrP1
K09270	Sox18
K09270	Sox10
K09270	Sox8
K09270	Sox9
K09270	Sox7
K08007	Ezr
K02067	-
K02065	-
K02064	-
K09329	PrrX1
