K01869	LeuS:sll1074
K03439	TrmB:sll1300
K05978	StpA:slr0746
K04564	SodB:slr1516
K03655	RecG:slr0020
K04773	SppA:slr0021
K02950	RpsL:sll1096
K02992	Rps7:sll1097
K10960	sll1091:sll1091
K08884	PknA:slr1443
K01448	AmiA:slr1910
K02355	Fus:sll1098
K00847	CscK:slr1448
K05585	sll1262:sll1262
K03090	RpoF:slr1564
K03676	GrxC:slr1562
K03797	CtpA:slr0008
K02502	HisZ:slr1560
K02110	AtpH:ssl2615
K02703	PsbA2:slr1311
K02358	Tuf:sll1099
K01585	SpeA:slr1312
K00759	Apt:sll1430
K02015	FecD:slr1317
K08903	Psb13:sll1398
K02036	PstB:slr1250
K02013	FecE:slr1318
K00067	RfbD:sll1395
K11957	NatA:slr0467
K00703	GlgA:sll1393
K02291	Pys:slr1255
K01430	UreA:slr1256
K00161	slr1934:slr1934
K02650	HofG:sll1695
K02469	GyrA:slr0417
K01580	Gad:sll1641
K02899	RpmA:ssr2799
K01778	DapF:slr1665
K03086	RpoDi:slr0653
K01814	HisA:slr0652
K03892	ArsA:sll1957
K00928	LysC:slr0657
K02301	CtaB:sll1899
K01497	RibA:sll1894
K01875	SerS:slr1703
K01414	PrlC:slr0659
K02230	CobN:sll1890
K00817	HisC:sll1958
K01437	AspA:slr1705
K03639	MoaA:slr0901
K01657	TrpE:slr0738
K00128	slr0091:slr0091
K00457	Ppd:slr0090
K05516	DnaJ:slr0093
K00053	IlvC:sll1363
K03695	ClpB:slr0156
K02016	FecB:slr1491
K02639	PetF:slr0150
K02038	PstA:slr1249
K00535	FtrC:sll0554
K01265	Map:sll0555
K02037	PstC:slr1248
K02023	MalK:slr1224
K03111	Ssb:slr0925
K02518	InfA:ssl3441
K02094	ApcC:ssr3383
K02691	PsaC:ssl0563
K00281	GcvP:slr0293
K02092	ApcA:slr2067
K02706	PsbD2:slr0927
K03179	UbiA:slr0926
K02221	Ycf19:ssr2142
K01056	Pth:slr0922
K14605	sll0147:sll0147
K03684	Rnd:sll0320
K00278	NadB:sll0631
K02639	PetF:slr1828
K01082	cysQ:sll0895
K00788	ThiE:sll0635
K10206	sll0480:sll0480
K00748	slr1677:slr1677
K00864	GlpK:slr1672
K01703	LeuC:sll1470
K04751	GlnB:ssl0707
K00954	CoaD:slr0847
K05577	NdhF:slr0844
K00975	GlgC:slr1176
K00432	slr1171:slr1171
K02888	RplU:slr1678
K02666	GspD:slr1277
K02871	RplM:sll1821
K06173	TruA:sll1820
K01939	PurA:sll1823
K02996	RpsI:sll1822
K02662	PilM:slr1274
K03474	PdxJ:slr1779
K03404	ChlD:slr1777
K01669	Phr:sll1629
K01442	slr1772:slr1772
K05575	NdhD3:sll1733
K05577	NdhF:sll1732
K03801	LipB:slr0994
K02720	PsbV:sll0258
K01872	AlaS:sll0362
K05576	NdhE:sll0522
K00700	GlgB:sll0158
K05580	NdhI:sll0520
K11780	CofG:sll1285
K00850	PfkA:sll0745
K02724	PsbZ:sll1281
K00794	RibH:sll1282
K05577	NdhF:sll0026
K05575	NdhD:sll0027
K02650	HofG:sll1694
K00611	ArgF:sll0902
K03696	ClpC:sll0020
K03555	MutS:sll1165
K11752	RibG:slr0066
K01783	CfxE:sll0807
K00721	Dpm1:slr1943
K00517	Cyp:slr0574
K03389	HdrB:slr0201
K02712	PsbK:sml0005
K11532	GlpX:slr2094
K03072	SecD:slr0774
K03074	SecF:slr0775
K02536	LpxD:slr0776
K01251	AhcY:sll1234
K04039	ChlB:slr0772
K02493	HemK:sll1237
K11354	Phy:slr0473
K11602	MntB:sll1600
K02020	ModA:sll0738
K11175	PurN:slr0477
K07636	SphS:sll0337
K01091	CbbZp:sll1349
K03798	FtsH:sll1463
K00799	Gst1:sll1545
K02710	PsbI:sml0001
K02294	Bhy:sll1468
K00150	Gap2:sll1342
K01256	Ape2:sll1343
K02719	PsbU:sll1194
K00850	PfkA:sll1196
K00554	TrmD:sll1198
K03110	FtsY:slr2102
K11955	sll0146:sll0146
K02096	ApcE:slr0335
K02945	Rps1:slr1356
K01929	MurF:slr1351
K05575	NdhD:slr0331
K03100	LepB:slr1377
K02232	CbiP:slr0618
K03856	CcmA:sll0934
K05575	NdhD2:slr1291
K13038	Dfp:sll0250
K00962	Pnp:sll1043
K00218	Pcr:slr0506
K05578	NdhG:sll0521
K03574	MutT:sll1045
K01693	HisB:slr0500
K02287	CpcD:ssl3093
K03403	ChlH:slr1055
K03572	MutL:slr1199
K00208	EnvM:slr1051
K02968	RpsT:ssl2233
K10697	slr0115:slr0115
K03429	sll1377:sll1377
K03147	ThiC:slr0118
K01698	HemB:sll1994
K03778	Ddh:slr1556
K00226	PyrD:slr1418
K02636	PetC:slr1185
K01673	IcfA:slr0051
K01658	TrpG:slr0055
K00901	DgkA:slr0054
K00014	AroE:slr1559
K04040	ChlG:slr0056
K08884	PknA:slr1225
K02954	RpsN:slr0628
K01923	PurC:slr1226
K02837	PrfC:slr1228
K01661	MenB:sll1127
K02707	PsbE:ssr3451
K01409	Gcp:slr0807
K07259	DacB:slr0804
K00645	FabD:slr2023
K01710	RfbB:slr0809
K00796	FolP:slr2026
K02836	PrfB:sll1865
K02703	PsbA3:sll1867
K01548	KdpC:slr1730
K02027	SrrA:slr1897
K09833	UbiA:slr1736
K17063	slr1735:slr1735
K00818	ArgD:slr1022
K09835	sll0033:sll0033
K00517	CbaB:sll1869
K01625	Eda:sll0107
K11755	HisI:slr0608
K00058	SerA:sll1908
K02687	PrmA:sll1909
K02038	PstA:sll0682
K02036	PstB:sll0683
K03553	RecA:sll0569
K02037	PstC:sll0681
K00384	slr0600:slr0600
K02036	PstB:sll0684
K02337	DnaE:slr0603
K00135	GabD:slr0370
K02965	RpsS:ssl3432
K01725	CynS:slr0899
K00366	NirA:slr0898
K02961	RpsQ:ssl3437
K02904	RpmC:ssl3436
K01448	AmiA:slr0891
K00514	CrtQ:slr0940
K13799	PanC:sll1249
K02711	PsbJ:smr0008
K02906	RplC:sll1799
K02528	KsgA:sll0708
K00097	PdxA:sll0660
K02718	PsbT:smr0001
K02706	PsbD:sll0849
K02643	PetM:smr0003
K02700	PsaM:smr0005
K02696	PsaI:smr0004
K02713	PsbL:smr0007
K02708	PsbF:smr0006
K02433	GatA:slr0877
K17218	slr0876:slr0876
K01834	GpmB:slr1124
K02288	CpcE:slr1878
K00942	Gmk:slr1123
K02012	SufA:slr1295
K03168	TopA:slr2058
K01921	Ddl:slr1874
K02520	InfC:slr0974
K00948	PrsA:sll0469
K02290	CpcG:slr2051
K01255	Lap:sll2001
K02990	Rps6:sll1767
K00872	ThrB:sll1760
K02642	PetL:sll1994a
K03685	Rnc:slr1646
K08902	PsbZ:slr1645
K02641	PetH:slr1643
K01495	FolE:slr0426
K03695	ClpB:slr1641
K02705	PsbC:sll0851
K13789	CrtE:slr0739
K04094	GidA:sll0204
K03495	GidA:sll0202
K02825	PyrR:sll0368
K03733	XerC:slr0733
K00121	sll0990:sll0990
K02692	PsaD:slr0737
K01845	HemL:sll0017
K08304	MltA:sll0016
K01465	PyrC:sll1018
K01069	HagH1:sll1019
K01514	Ppx:sll1546
K00059	FabG:slr1994
K00626	Thl:slr1993
K00432	slr1992:slr1992
K01768	CyaA:slr1991
K01624	CbbA:sll0018
K02007	CbiM:sll0383
K08139	GlcP:sll0771
K01787	slr1975:slr1975
K00943	slr0379:slr0379
K01990	KpsT:slr2108
K01956	CarA:sll1498
K00284	GltB:sll1499
K02040	PstS:sll0680
K01768	sll1161:sll1161
K00133	Asd:slr0549
K00799	Gst:sll0067
K01653	IlvH:sll0065
K01696	TrpB:slr0543
K01358	ClpP:slr0542
K00059	sll5079:sll5079
K01609	TrpC:slr0546
NotMapped	Other unmapped:OtherNotMapped
syn_sll1336	sll1336:sll1336
syn_sll1338	sll1338:sll1338
syn_ssl6023	ssl6023:ssl6023
syn_sll0318	sll0318:sll0318
syn_slr1908	slr1908:slr1908
syn_slr1909	slr1909:slr1909
syn_slr0013	slr0013:slr0013
