K11776	SWP82:YFL049W
K14858	SRD1:YCR018C
K08504	BET1:YIL004C
K05284	GPI14:YJR013W
K15113	MRS3:YJL133W
K03350	CDC27:YBL084C
K14962	SWD2:YKL018W
K01515	YSA1:YBR111C
K14227	tI(UAU)L:tI_UAU_L
K15901	CGI121:YML036W
K03115	Ckb1:YGL019W
K14227	tI(UAU)D:tI_UAU_D
K03348	APC1:YNL172W
K14304	NUP85:YJR042W
K03434	GPI12:YMR281W
K03255	CLU1:YMR012W
K01869	CDC60:YPL160W
K14231	tF(GAA)H1:tF_GAA_H1
K14231	tF(GAA)H2:tF_GAA_H2
K08141	MAL11:YGR289C
K12236	FAP1:YNL023C
K08286	SKS1:YPL026C
K14220	tN(GUU)Q:tN_GUU_Q
K08738	CYC1:YJR048W
K11786	STH1:YIL126W
K14220	tN(GUU)L:tN_GUU_L
K14220	tN(GUU)K:tN_GUU_K
K14223	tQ(UUG)B:tQ_UUG_B
K14234	tT(UGU)G1:tT_UGU_G1
K02141	ATP14:YLR295C
K03439	TRM8:YDL201W
K14220	tN(GUU)F:tN_GUU_F
K17677	IRC3:YDR332W
K14220	tN(GUU)C:tN_GUU_C
K11562	NNF1:YJR112W
K11379	YNG1:YOR064C
K17553	YPI1:YFR003C
K16368	DGK1:YOR311C
K02830	RAD17:YOR368W
K14547	Utp8:YGR128C
K10251	IFA38:YBR159W
K01530	NEO1:YIL048W
K02984	RPS1A:YLR441C
K01834	Gpm3:YOL056W
K14234	tT(UGU)Q1:tT_UGU_Q1
K08492	UFE1:YOR075W
K03031	RPN12:YFR052W
K17422	MRPL27:YBR282W
K14715	ATX2:YOR079C
K03015	RPB7:YDR404C
K08783	ECM14:YHR132C
K03781	CTT1:YGR088W
K06628	CDC45:YLR103C
K09419	HSF1:YGL073W
K14237	tV(AAC)K1:tV_AAC_K1
K17679	MSS116:YDR194C
K01920	GSH2:YOL049W
K17786	MIC26:YGR235C
K03847	ALG12:YNR030W
K00281	GCV2:YMR189W
K17402	RSM25:YIL093C
K01066	LDH1:YBR204C
K07952	ARL3:YPL051W
K14575	Afg2:YLR397C
K14764	SHQ1:YIL104C
K06679	MAD1:YGL086W
K11294	NSR1:YGR159C
sce_YAL044C	Gcv3:YAL044C
K02304	MET8:YBR213W
K11234	MF(ALPHA)2:YGL089C
K01880	GRS2:YPR081C
K12613	DCP2:YNL118C
K11775	SNF12:YNR023W
K00591	COQ3:YOL096C
K18693	DPP1:YDR284C
