Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
-Development	Environmental Information Processing	0	0	0	0	0	0	0	0	0.2618	0	0	0.08919	0	0	0.07178	0	0	0.11	0	0	0.01009	0	0.0192	0.07536	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0.2413	0	0	0.1987	0	0	0.101	0.5498	1.126	2.056	0	0.003584	0.1961	0	0	0
Human Diseases	Environmental Information Processing	4.397	9.314	20.58	0.3132	0.8868	1.388	2.065	23.36	90.03	3.04	15.83	108.4	4.169	7.998	16.96	6.96	9.442	24.23	4.879	9.859	15.13	3.41	4.929	9.242	0.06659	0.6446	0.8818
-Cancers	Environmental Information Processing	0	0	0	0	0.007673	0.1324	0	0.01874	0.2148	0	0.005744	1.032	0.004728	0.04194	0.1753	0	0.1576	0.3609	0.01154	0.1365	0.331	0.1768	0.2602	0.584	0	0	0.01419
-Immune System Diseases	Environmental Information Processing	0	0	0	0	7.716e-08	0.01463	0.04869	0.3824	2.409	0.2851	0.7957	8.313	0.1075	0.5102	1.167	0.643	1.286	2.252	0.6765	1.089	1.897	0.06245	0.2181	0.436	0	0	0
-Neurodegenerative Diseases	Environmental Information Processing	0	6.769	15.62	0	0.4579	0.5637	0.639	2.214	64.54	1.1	4.542	73.88	1.809	4.057	7.29	3.104	4.562	10.13	2.459	5.397	11.01	1.736	2.519	3.674	0	0.04818	0.05137
-Cardiovascular Diseases	Environmental Information Processing	0	0	0	0	0	0	0	0	0.01236	0	0	0.01538	0	0	0	0	0	0	0	0	0	0.1211	0.4676	0.7215	0	0	0
-Metabolic Diseases	Environmental Information Processing	0	0	4.02	0	0	0.3937	0	0.9082	20.54	0	1.168	16.65	0	0.8273	1.7	0	0.8541	1.243	0	0.04261	0.6665	0	0.03477	0.493	0	0	0.5669
-Infectious Diseases	Environmental Information Processing	0	1.905	8.787	0.01082	0.2339	0.8416	0.3621	2.065	9.537	0.4177	1.086	9.23	1.705	2.671	5.711	2.015	2.658	8.423	0.6361	1.252	3.925	0.865	1.78	3.984	0	0.3034	0.6816
Not Mapped	Environmental Information Processing	5.27	12.16	13.19	7.508	9.242	9.74	1.488	14.97	54	2.667	8.7	95.59	19.38	34.95	99.36	43.34	62.6	135.1	77.52	150.3	203.8	29.17	36.03	48.07	13.52	14.25	14.71
-Not Mapped	Environmental Information Processing	5.27	12.16	13.19	7.508	9.242	9.74	1.488	14.97	54	2.667	8.7	95.59	19.38	34.95	99.36	43.34	62.6	135.1	77.52	150.3	203.8	29.17	36.03	48.07	13.52	14.25	14.71
TOTAL	-Signal Transduction	355.3	782.6	848.5	72.56	89.44	94.29	36.17	364	6299	68.08	222.1	5811	118.3	424	806.6	230.7	443	1251	178.2	469.5	1059	132.1	223.2	273.1	50.56	53.29	55
MAPPED	-Signal Transduction	349.7	770.4	835.4	65.01	80.13	84.48	34.69	349	6040	65.41	213.4	5584	92.97	333.3	634.1	151.8	291.5	823.3	91.88	242	546.1	84.74	143.2	175.2	37.03	39.04	40.28
Genetic Information Processing	-Signal Transduction	186.4	414.5	448.4	25.46	32.15	33.71	13.45	135	2324	22.23	71.85	1983	34.04	124.9	232.6	44.45	87.28	239.8	34.48	95.26	212.3	39.44	69.06	84.78	9.643	9.968	10.55
-Transcription	-Signal Transduction	5.25	11.78	18.51	2.199	2.785	3.16	0.07061	1.046	15.81	0.0792	0.5338	7.285	0.4838	1.577	4.931	1.378	2.721	7.369	2.066	5.122	11.32	1.468	2.283	2.934	0.0147	0.01779	0.08687
-Translation	-Signal Transduction	142.8	313.7	340.6	17.03	20.83	22.19	12.75	126.1	2193	21.41	68.75	1900	28.21	103.2	193.8	30.81	58.52	166	25.89	71.75	157.8	30.32	50.83	62.55	7.712	8.161	8.389
-Folding, Sorting and Degradation	-Signal Transduction	29.01	66.84	73.41	4.434	5.419	6.242	0.5581	7.034	95.53	0.591	2.388	61.63	4.531	17.84	31.63	9.857	20.14	53	5.287	16.19	35.86	6.347	12.11	16.11	1.231	1.479	1.794
-DNA Maintenance	-Signal Transduction	6.387	10.37	20.06	1.801	2.525	2.787	0.07185	0.7538	15.76	0.1449	0.8819	13.46	0.8159	2.206	5.19	2.409	5.207	10.26	1.239	3.131	5.024	1.306	1.629	2.71	0.1034	0.1987	0.6382
-RNA Family	-Signal Transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signal Transduction	1	1	1	1.006	1.007	1.007	1	1	3.451	1	1	5.697	1.196	1.707	3.163	1.703	2.216	3.904	1.114	1.569	3.116	1.471	1.775	2.601	1	1	1
-Signal Transduction	-Signal Transduction	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	0	0	0	0.005656	0.007177	0.007443	0	0	2.451	0	0	4.697	0.1962	0.7066	2.163	0.7027	1.216	2.904	0.1141	0.5687	2.116	0.4711	0.7746	1.601	0	0	0
Cellular Processes	-Signal Transduction	3.107	6.812	8.327	0.9419	1.237	1.658	0.3073	5.957	208	0.3081	3.57	92.85	1.7	5.011	10.75	3.414	8.74	19.7	2.904	5.064	10.18	5.077	7.869	8.971	0.07975	0.1348	0.2256
-Hemoglobin	-Signal Transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Signal Transduction	0	0	0	0	0	0.04333	0.06265	0.4789	174.1	0.2186	0.6854	83.68	0.7192	1.999	4.372	1.487	2.79	9.838	1.849	4.022	9.443	2.066	2.766	4.594	0	0	0
-Cytoskeleton	-Signal Transduction	0.9404	2.072	2.246	0.2783	0.3431	0.3617	0	0	2.795	0	0.004515	1.668	0.4062	0.9434	3.318	0.8972	1.293	5.84	0.04718	0.3521	2.535	1.114	1.412	3.932	0.07136	0.07521	0.07762
-Cell Motility	-Signal Transduction	0.4441	0.9218	1.254	0.5566	0.7361	1.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006577	0.05713	0.1253
-Cell Growth and Death	-Signal Transduction	1.597	3.518	5.082	0.1016	0.1213	0.139	0.2258	2.016	22.11	0.07942	0.617	15.5	0.221	0.4839	1.204	0.3445	0.6809	2.51	0.1141	0.2932	0.6706	0.4153	0.781	1.511	0	0.001524	0.02632
-Cell Communication	-Signal Transduction	0	0	0	0	0	0	0	0.0007272	8.471	0	0.0213	19.26	0.008391	0.6944	3.769	0.02583	0.9428	4.054	0.004594	0.0322	1.618	0.2186	0.6883	3.57	0	0	0
Metabolism	-Signal Transduction	150.1	327.5	376.5	36.67	44.65	47.12	13.02	150.9	2780	27.86	106	2830	33.82	129.3	242.3	61.74	124.7	350	28.63	76.63	172.4	21.3	33.43	45.72	8.505	9.591	10.05
-Membrane Transport	-Signal Transduction	9.503	16.02	23.59	7.347	8.318	9.312	0	0.01065	0.3976	0	0	0.3595	0.03796	0.2969	1.162	0.193	0.4805	1.147	0.05491	0.2685	0.613	0.05944	0.1643	0.2293	0.5717	0.906	1.069
-Central Carbon Metabolism	-Signal Transduction	24.86	53.99	69.93	8.165	9.182	10.73	8.569	73.56	1443	14.27	40.18	995.5	9.511	24.47	62.29	17.03	32.29	84.67	7.671	24.1	38.81	3.999	8.145	9.873	0.9783	1.189	1.417
-Energy Metabolism	-Signal Transduction	5.091	13.64	23.45	1.878	2.451	3.214	0.2904	29.89	352	0.8926	18.33	216.1	1.679	9.986	21.38	4.934	9.063	25.38	6.022	12.47	26.64	1.676	2.207	4.079	1.205	1.716	2.136
-Biosynthesis	-Signal Transduction	69.37	127.3	152.8	8.187	9.458	10.79	2.088	20.16	194.3	7.315	23.98	534	12.11	44.5	86.95	18.74	37.03	92.28	5.119	21.02	42.79	3.706	7.039	10.83	2.124	2.266	2.487
-Other Enzymes	-Signal Transduction	36.14	98.66	119.5	10.17	14.23	16.13	2.071	41.12	1004	5.384	29.52	1001	10.48	41.3	77.02	20.84	46.31	106.5	9.763	23.77	62.29	9.457	14.2	20.76	2.553	3.289	3.772
Organismal Systems	-Signal Transduction	0	0	0	0	0.03672	0.07827	0.173	2.118	52.39	0.1374	0.9786	50.15	0.6753	3.055	8.377	2.74	4.767	13.94	2.053	5.551	11.03	2.954	4.266	5.524	0	0.01883	0.03749
-Immune System	-Signal Transduction	0	0	0	0	0	0	0	0.1681	4.885	0	0.4429	2.396	0.1246	1.095	2.318	0.2602	1.089	4.216	0.002245	0.481	0.8761	0.09762	0.9412	1.203	0	0	0
-Endocrine System	-Signal Transduction	0	0	0	0	0.03657	0.07827	0.0001514	0.05778	17.75	0.001522	0.02922	25.77	0.06984	0.3543	1.695	0.1507	0.6867	1.47	0.05735	0.4017	2.037	0.3348	0.5386	1.051	0	0	0.02129
-Circulatory System	-Signal Transduction	0	0	0	0	0	0	0	0	0	0	0	0.1335	0	0.1706	2.494	0	0.8398	3.965	0	0.06979	1.898	0.01453	0.315	1.249	0	0	0
-Digestive System	-Signal Transduction	0	0	0	0	0	0	0	0	24.13	0	0	24.84	0	0.03904	1.382	0	0.1853	1.155	0	0.0007048	0.09031	0.02725	0.3197	0.5739	0	0	0.01874
-Excretory System	-Signal Transduction	0	0	0	0	0	0	0	0.03726	1.069	0.0007863	0.01725	4.497	0.09581	0.3068	0.888	0.486	1.061	1.832	0.1413	0.4616	2.013	0.3399	0.6948	0.8516	0	0	0
-Nervous System	-Signal Transduction	0	0	0	0	0	6.942e-08	0	0.008074	5.497	0	0	6.536	0	0.004107	0.3982	0	0.03292	0.3279	0	0.01009	0.3765	0.08672	0.289	0.9408	0	0	0
-Sensory System	-Signal Transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002629	0	0	0.0105	0	0	0.01337	0.0001293	0.103	0.3287	0	0	0
-Development	-Signal Transduction	0	0	0	0	0	0	0	0	0.2618	0	0	0.08919	0	0	0.09512	0	0	0.1873	0	0	0.01583	0	0.04075	0.1204	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0	0	0	0	0	0	0	0	0	0.2466	0	0	0.615	0	0	0.4291	0.6125	1.758	3.933	0	0.005292	0.3994	0	0	0
Human Diseases	-Signal Transduction	4.397	9.314	20.58	0.3155	0.8918	1.397	2.544	25.46	122.7	3.575	18.29	210.5	6.678	14.99	37.88	14.71	24.18	67.63	6.713	19.98	32	6.704	10.79	18.19	0.06659	0.6446	0.8818
-Cancers	-Signal Transduction	0	0	0	0	0.007726	0.1333	0	0.01874	0.2148	0	0.005744	1.055	0.007842	0.1243	0.3975	0	0.3844	1.222	0.01286	0.178	0.5501	0.3009	0.4617	1.083	0	0	0.01419
-Immune System Diseases	-Signal Transduction	0	0	0	0	7.771e-08	0.01473	0.04869	0.3879	8.314	0.2851	0.9357	38.84	0.1402	0.8973	3.253	1.17	2.547	9.566	0.7537	2.237	5.913	0.1325	0.501	0.8882	0	0	0
-Neurodegenerative Diseases	-Signal Transduction	0	7.092	15.62	0	0.4605	0.5676	0.7872	9.203	64.54	1.294	10.3	178.5	2.896	7.153	14.73	6.389	11.57	23.41	4.862	13.17	23.29	2.554	6.096	8.88	0	0.04818	0.05137
-Cardiovascular Diseases	-Signal Transduction	0	0	0	0	0	0	0	0	0.01236	0	0	0.01647	0	0	0	0	0	0	0	0	0	0.2289	0.8865	1.549	0	0	0
-Metabolic Diseases	-Signal Transduction	0	0	4.02	0	0	0.3964	0	0.9082	42.46	0	1.168	24.36	0	1.408	4.121	0	2.066	4.045	0	0.06684	1.409	0	0.07082	0.8749	0	0	0.5669
-Infectious Diseases	-Signal Transduction	0	1.996	8.787	0.01088	0.2381	0.8478	0.3621	4.022	71	0.4177	2.403	41.77	2.225	5.538	9.686	3.991	6.347	18.66	0.8575	2.83	5.456	1.894	2.806	6.366	0	0.3034	0.6816
Not Mapped	-Signal Transduction	5.521	12.16	13.19	7.55	9.307	9.811	1.488	14.97	259.1	2.667	8.7	227.7	25.28	90.64	172.5	78.87	151.4	427.6	86.36	227.5	513.3	47.37	80.05	97.93	13.52	14.25	14.71
-Not Mapped	-Signal Transduction	5.521	12.16	13.19	7.55	9.307	9.811	1.488	14.97	259.1	2.667	8.7	227.7	25.28	90.64	172.5	78.87	151.4	427.6	86.36	227.5	513.3	47.37	80.05	97.93	13.52	14.25	14.71
TOTAL	-Signaling Molecules and Interaction	7443	Inf	Inf	4304	12830	12830	1461	Inf	Inf	1224	113300	Inf	225.6	391	1304	244.1	308.2	957.6	250.3	769.8	2446	119.2	249	323.5	Inf	Inf	Inf
MAPPED	-Signaling Molecules and Interaction	7327	Inf	Inf	3856	11490	11490	1400	Inf	Inf	1176	108900	Inf	177.3	307.4	1025	160.7	202.8	630.2	129	396.8	1261	76.45	159.7	207.5	Inf	Inf	Inf
Genetic Information Processing	-Signaling Molecules and Interaction	3906	Inf	Inf	1534	4572	4619	554.4	Inf	Inf	406.8	38410	Inf	65.84	112.7	384.3	48.22	60.33	194.7	48.27	151.7	493.4	37.47	76.39	100.1	Inf	Inf	Inf
-Transcription	-Signaling Molecules and Interaction	151.6	Inf	Inf	127.9	388.1	437.9	1.781	Inf	Inf	1.301	300.3	Inf	1.017	2.232	4.271	1.657	2.267	5.563	2.925	9.559	27.71	1.29	2.499	3.493	Inf	Inf	Inf
-Translation	-Signaling Molecules and Interaction	2992	Inf	Inf	1012	3003	3014	506	Inf	Inf	375.7	36550	Inf	52.55	92.56	317.9	32.09	41.03	131.2	36.16	116.2	368.4	27.17	57.38	75.96	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	607.8	Inf	Inf	265.2	798.3	838.7	28.26	Inf	Inf	12.53	1107	Inf	9.902	16.21	54.86	11.94	14.24	47.29	8.474	21.45	80.71	7.12	12.03	17.55	Inf	Inf	Inf
-DNA Maintenance	-Signaling Molecules and Interaction	153.8	Inf	Inf	129.8	344.4	385.4	2.947	Inf	Inf	1.409	452.9	Inf	1.225	2.444	7.189	2.106	3.679	8.435	0.7075	4.508	16.59	1.072	1.956	3.419	Inf	Inf	Inf
-RNA Family	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	NaN	NaN	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN
Environmental Information Processing	-Signaling Molecules and Interaction	21.95	Inf	Inf	56.9	138.9	157	1.113	Inf	Inf	1.201	46.44	Inf	1.365	1.71	4.348	1.308	1.783	2.22	1.22	1.949	9.609	1.442	1.964	3.098	Inf	Inf	Inf
-Signal Transduction	-Signaling Molecules and Interaction	20.95	Inf	Inf	55.9	137.9	156	0.1126	Inf	Inf	0.2011	45.44	Inf	0.3653	0.71	3.348	0.3079	0.7829	1.22	0.2201	0.9489	8.609	0.442	0.9643	2.098	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	NaN	NaN	1	1	1	1	NaN	NaN	1	1	NaN	1	1	1	1	1	1	1	1	1	1	1	1	NaN	NaN	NaN
Cellular Processes	-Signaling Molecules and Interaction	65.09	Inf	Inf	76.63	172.4	225.2	20.37	Inf	Inf	14.12	1975	Inf	3.102	5.966	12.51	2.653	5.77	12.48	3.261	7.696	25.57	3.881	9	13.64	Inf	Inf	Inf
-Hemoglobin	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	NaN	NaN	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN
-Vesicular Transport	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	6.758	0.3113	Inf	Inf	0.2799	1664	Inf	0.6243	1.936	6.507	1.218	2.169	6.47	1.974	5.804	18.5	1.753	3.433	5.653	NaN	NaN	NaN
-Cytoskeleton	-Signaling Molecules and Interaction	19.7	Inf	Inf	16.51	49.21	49.21	0	Inf	NaN	0	9.478	NaN	0.3749	1.408	2.767	0.5842	1.298	2.646	0.1103	0.7437	3.085	0.7632	2.25	3.708	Inf	Inf	Inf
-Cell Motility	-Signaling Molecules and Interaction	11.93	Inf	Inf	54.44	102.6	157.5	0	NaN	NaN	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf
-Cell Growth and Death	-Signaling Molecules and Interaction	33.46	Inf	Inf	5.682	17.13	18.92	1.445	Inf	Inf	0.5695	308.3	Inf	0.2464	0.6683	1.462	0.2697	0.641	0.9485	0.1561	0.2782	1.605	0.2241	0.7331	1.749	Inf	Inf	NaN
-Cell Communication	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	Inf	Inf	0	875.2	Inf	0.00388	0.3172	3.123	0.02008	0.2903	2.99	0.004748	0.2821	1.791	0.1949	0.8004	4.144	NaN	NaN	NaN
Metabolism	-Signaling Molecules and Interaction	3145	Inf	Inf	2144	6413	6508	520.1	Inf	Inf	503	56280	Inf	71.18	116.9	397.6	69.91	84.45	263.6	44.86	127.6	433.8	17.75	38.52	51.53	Inf	Inf	Inf
-Membrane Transport	-Signaling Molecules and Interaction	206.6	Inf	Inf	417.1	1242	1319	0	Inf	Inf	0	16.34	NaN	0.1245	0.3375	1.108	0.2353	0.3238	1.177	0.1586	0.3532	1.635	0.09763	0.1329	0.2727	Inf	Inf	Inf
-Central Carbon Metabolism	-Signaling Molecules and Interaction	520.9	Inf	Inf	501.9	1249	1539	213	Inf	Inf	155.3	24690	Inf	14.41	31.2	75.26	14.64	20.77	52.82	8.545	29.05	147.8	3.775	7.959	13.25	Inf	Inf	Inf
-Energy Metabolism	-Signaling Molecules and Interaction	206.5	Inf	Inf	116.4	336.9	433.3	55.75	Inf	Inf	37.53	3848	Inf	3.239	10.78	49.31	3.12	7.814	24.85	5.864	19.66	74.63	0.9753	2.733	4.678	Inf	Inf	Inf
-Biosynthesis	-Signaling Molecules and Interaction	1453	Inf	Inf	495.2	1338	1472	39.06	Inf	Inf	113.7	11120	Inf	23.2	41.54	136.9	20.4	26.01	84.95	10.18	24.97	77.9	4.722	6.772	12.52	Inf	Inf	Inf
-Other Enzymes	-Signaling Molecules and Interaction	757.1	Inf	Inf	613.7	1912	2256	124.4	Inf	Inf	101.1	19900	Inf	26.19	35.81	135	25.41	32.09	87.61	16.49	48.72	131.8	8.177	20.07	23.26	Inf	Inf	Inf
Organismal Systems	-Signaling Molecules and Interaction	0	NaN	NaN	0	5.064	11.53	8.176	Inf	Inf	5.25	1045	Inf	1.555	2.487	6.779	2.602	4.213	8.809	2.429	10.2	17.99	2.083	4.946	6.721	Inf	Inf	NaN
-Immune System	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	Inf	Inf	0.04039	47.64	Inf	0.1764	1.002	3.366	0.2037	0.9136	3.686	0.004614	0.4793	2.281	0.2048	0.6471	2.011	NaN	NaN	NaN
-Endocrine System	-Signaling Molecules and Interaction	0	NaN	NaN	0	5.064	11.53	0.06451	Inf	Inf	0.03432	512.5	Inf	0.107	0.4501	1.975	0.1838	0.6747	1.209	0.0485	1.254	2.136	0.2984	0.6329	1.458	Inf	Inf	NaN
-Circulatory System	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	NaN	NaN	0	2.604	NaN	0	0.5023	1.384	0	0.9945	2.582	0	0.03073	3.688	0.008591	0.6686	1.612	NaN	NaN	NaN
-Digestive System	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	NaN	NaN	0	5.288	NaN	0	0.05525	0.9812	0	0.1451	1.178	0	0.004948	0.3395	0.02429	0.4039	0.8026	Inf	Inf	NaN
-Excretory System	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	Inf	Inf	0.05889	204.4	Inf	0.1562	0.3244	0.8847	0.3413	0.9329	1.562	0.1341	0.951	3.275	0.3464	0.6709	1.234	NaN	NaN	NaN
-Nervous System	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	1.083e-05	0	Inf	Inf	0	297	NaN	0	0.01324	0.221	0	0.02559	0.1809	0	0.01952	0.3459	0.1356	0.2979	1.215	NaN	NaN	NaN
-Sensory System	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	NaN	NaN	0	0	NaN	0	0	0.008803	0	0	0.01156	0	0	0.02878	0.0001247	0.0455	0.5495	NaN	NaN	NaN
-Development	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	Inf	NaN	0	425.4	NaN	0	0	0.2926	0	0	0.2666	0	0	0.02784	0	0.03632	0.2014	NaN	NaN	NaN
-Environmental Adaptation	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	Inf	NaN	0	11.21	NaN	0	0	0.2713	0	0	0.1321	0.8658	3.292	8.461	0	0.0111	0.3851	NaN	NaN	NaN
Human Diseases	-Signaling Molecules and Interaction	190.4	Inf	Inf	41.3	134.9	211.5	10.97	Inf	Inf	18.28	9565	Inf	6.292	21.03	59.24	10.38	17.94	55.62	6.547	28.71	68.85	6.45	11.86	22.63	Inf	Inf	Inf
-Cancers	-Signaling Molecules and Interaction	0	NaN	NaN	0	1.108	18.58	0	Inf	Inf	0	47.95	Inf	0.007436	0.1194	0.4027	0	0.2119	0.8744	0.03904	0.2519	1.065	0.2979	0.6387	1.14	Inf	Inf	NaN
-Immune System Diseases	-Signaling Molecules and Interaction	0	NaN	NaN	0	1.083e-05	2.032	0.6025	Inf	Inf	5.317	546.3	Inf	0.4569	1.004	2.742	1.231	2.459	3.429	1.665	3.577	7.162	0.1181	0.4001	0.8565	NaN	NaN	NaN
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	148.6	Inf	NaN	0	27.31	81.41	1.036	Inf	Inf	2.071	8110	Inf	2.645	9.5	26.86	5.474	7.792	24.54	3.451	15.25	42.6	3.699	5.421	8.998	Inf	Inf	NaN
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	NaN	NaN	0	0	0	0	Inf	NaN	0	0.3212	NaN	0	0	0	0	0	0	0	0	0	0.229	1.021	1.928	NaN	NaN	NaN
-Metabolic Diseases	-Signaling Molecules and Interaction	0	Inf	NaN	0	0	56.87	0	Inf	Inf	0	591.9	NaN	0	1.998	4.62	0	1.245	2.758	0	0.1175	1.989	0	0.06829	1.212	Inf	Inf	NaN
-Infectious Diseases	-Signaling Molecules and Interaction	41.82	Inf	NaN	1.924	27.75	115.4	1.939	Inf	Inf	0.5854	1118	Inf	2.82	6.451	23.28	3.464	4.74	15.35	0.9658	2.539	20.86	1.458	2.891	8.227	Inf	Inf	Inf
Not Mapped	-Signaling Molecules and Interaction	115.7	Inf	Inf	447.8	1335	1335	60.08	Inf	Inf	47.94	4439	Inf	48.23	83.61	278.8	83.46	105.4	327.4	121.3	373	1185	42.74	89.3	116	Inf	Inf	Inf
-Not Mapped	-Signaling Molecules and Interaction	115.7	Inf	Inf	447.8	1335	1335	60.08	Inf	Inf	47.94	4439	Inf	48.23	83.61	278.8	83.46	105.4	327.4	121.3	373	1185	42.74	89.3	116	Inf	Inf	Inf
TOTAL	Cellular Processes	97.67	101.9	120.2	56.16	70.64	77.08	30.28	61.1	139.4	57.17	68.1	167.3	55.68	71.14	104.2	44.51	53.13	95.62	61.38	91.07	115.9	21.93	26.02	30.71	237	281.4	585.8
MAPPED	Cellular Processes	96.16	100.3	118.3	50.32	63.29	69.06	29.03	58.59	133.7	54.93	65.43	160.7	43.78	55.93	81.93	29.29	34.96	62.93	31.64	46.94	59.74	14.07	16.69	19.7	173.6	206.1	429.1
Genetic Information Processing	Cellular Processes	51.62	54.22	63.7	20.02	25.53	27.49	11.17	22.66	55.41	18.37	23.24	56.7	16.18	20.76	30.71	8.77	10.19	19.26	11.88	17.53	23.22	6.807	7.825	9.655	43.76	52.83	110.7
-Transcription	Cellular Processes	1.337	1.908	2.621	1.669	1.981	2.523	0.04282	0.1904	0.3032	0.06969	0.1495	0.257	0.2576	0.3356	0.46	0.2415	0.374	0.6879	0.7115	0.978	1.242	0.2478	0.2892	0.3428	0.07667	0.1141	0.9974
-Translation	Cellular Processes	39.37	41.01	48.05	13.2	16.56	17.99	10.54	21.17	52.46	17.58	22.29	54.14	13.01	16.57	25.41	5.88	7.087	12.62	8.917	13.37	17.27	4.935	5.965	7.001	36.28	43.02	90.04
-Folding, Sorting and Degradation	Cellular Processes	7.801	9.338	10.45	3.46	4.366	4.872	0.4592	1.181	3.098	0.5242	0.7221	2.027	2.413	2.942	4.384	2.05	2.468	4.562	1.821	2.735	3.924	1.142	1.403	1.853	6.457	8.717	17.37
-DNA Maintenance	Cellular Processes	1.416	2.034	2.589	1.516	1.964	2.116	0.07575	0.1527	0.3497	0.06482	0.2446	0.6642	0.2053	0.4043	0.7738	0.37	0.5011	1.374	0.217	0.4344	0.7934	0.1837	0.2506	0.3509	0.4835	1.329	5.51
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.1151	0.1461	0.2703	0.601	0.7915	0.8917	0.004807	0.1431	2.842	0.01058	0.2557	1.783	0.1198	0.3818	0.6948	0.08344	0.2497	0.5037	0.1541	0.3021	0.3837	0.1805	0.2347	0.2898	4.411	5.245	11.48
-Signal Transduction	Cellular Processes	0.1151	0.1461	0.2703	0.5965	0.7858	0.8856	0.002708	0.1431	2.802	0.01007	0.2557	1.783	0.0374	0.1606	0.5325	0.03766	0.114	0.2639	0.06752	0.1384	0.3136	0.0694	0.121	0.1538	4.411	5.245	11.48
-Signaling Molecules and Interaction	Cellular Processes	0	0	0	0.004432	0.005762	0.006013	0	0	0.04008	0	0	0.05504	0.01966	0.1623	0.3154	0.04578	0.1706	0.2398	0.03642	0.09608	0.2514	0.07236	0.1055	0.1713	0	0	0
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Hemoglobin	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Cellular Processes	0	0	0	0	0	0.03563	0.01528	0.1336	0.8368	0.01541	0.3608	0.8427	0.1755	0.423	0.6385	0.2629	0.4298	0.52	0.4571	0.6738	0.7942	0.3188	0.407	0.4596	0	0	0
-Cytoskeleton	Cellular Processes	0.2585	0.2697	0.3181	0.2154	0.271	0.2957	0	0	0.2378	0	0.001206	0.2556	0.06284	0.2206	0.3101	0.05559	0.2354	0.3338	0.009439	0.1213	0.2774	0.1308	0.1838	0.4171	0.3345	0.3971	0.8267
-Cell Motility	Cellular Processes	0.12	0.1416	0.1833	0.5824	0.6052	0.7055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06315	0.4289	0.6029
-Cell Growth and Death	Cellular Processes	0.514	0.5403	0.6102	0.07415	0.09872	0.1136	0.03474	0.3175	0.8196	0.006037	0.1728	0.3645	0.04944	0.112	0.1541	0.03462	0.09453	0.1564	0.02264	0.04293	0.06994	0.05493	0.09924	0.1685	0	0.0175	0.138
-Cell Communication	Cellular Processes	0	0	0	0	0	0	0	0.0002735	0.5044	0	0.01547	0.5257	0.001251	0.06565	0.4617	0.007567	0.05005	0.4391	0.0007394	0.01109	0.1886	0.02778	0.08448	0.419	0	0	0
