KO number	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
K10613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10264	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03349	NaN	NaN	NaN	503	121	NaN	0.481	11.074	NaN
K03350	NaN	NaN	2825	574	NaN	NaN	5.863	4.46	NaN
K03352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.206	NaN
K03355	NaN	NaN	NaN	NaN	891	NaN	0.213	6.465	NaN
K03359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08770	NaN	NaN	NaN	NaN	NaN	NaN	1034.391	447.73	NaN
K12158	NaN	NaN	NaN	NaN	NaN	NaN	NaN	497.472	NaN
K12159	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.082	NaN
K04532	NaN	NaN	NaN	NaN	1135	NaN	19.307	26.421	NaN
K13960	NaN	NaN	NaN	NaN	NaN	NaN	0.322	NaN	NaN
K10689	NaN	NaN	NaN	5310	NaN	NaN	22.353	NaN	NaN
K08343	NaN	NaN	NaN	3172	NaN	753	30.525	78.173	NaN
K10696	NaN	NaN	4944	2281	2429	4811	1.023	28.79	NaN
K11964	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.823	NaN
K11968	NaN	NaN	NaN	NaN	NaN	NaN	4.479	8.931	NaN
K11969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.65	NaN
K11971	NaN	NaN	NaN	NaN	NaN	NaN	4.865	NaN	NaN
K11997	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.569	NaN
K10649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.116	NaN
K10652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.457	NaN
K12035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.438	NaN
K10625	NaN	NaN	NaN	NaN	3034	808	NaN	NaN	NaN
K10691	NaN	NaN	NaN	NaN	NaN	NaN	4.816	36.181	NaN
K11979	NaN	NaN	NaN	NaN	3438	5583	NaN	NaN	NaN
K10632	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.694	NaN
K10693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.76	NaN
K01931	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.738	NaN
K10695	NaN	NaN	NaN	NaN	NaN	NaN	5.932	8.722	NaN
K11981	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.322	NaN
K11982	NaN	NaN	NaN	NaN	NaN	NaN	0.21	NaN	NaN
K12169	NaN	NaN	NaN	NaN	NaN	NaN	0.181	NaN	NaN
K10631	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.06	NaN
K10263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.053	NaN
K10272	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.511	NaN
K10290	NaN	NaN	NaN	NaN	NaN	NaN	0.982	NaN	NaN
K06084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.241	NaN
K10319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.745	NaN
K10348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.217	NaN
K10443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.315	NaN
K10455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.459	NaN
K10457	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.512	NaN
K11789	NaN	NaN	NaN	NaN	NaN	NaN	17.675	NaN	NaN
K11790	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.742	NaN
K11798	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.94	NaN
K11805	NaN	NaN	NaN	NaN	NaN	NaN	13.49	NaN	NaN
K11807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.456	NaN
K10683	NaN	NaN	NaN	NaN	NaN	NaN	0.079	NaN	NaN
K04482	NaN	NaN	NaN	NaN	2066	NaN	0.387	7.683	NaN
K05611	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05609	NaN	NaN	NaN	NaN	11537	5420	32.149	575.357	NaN
K05610	NaN	NaN	NaN	NaN	6596	NaN	51.555	248.401	NaN
K08601	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.976	NaN
K11835	NaN	NaN	NaN	NaN	9839	1621	14.168	NaN	NaN
K11836	NaN	NaN	2465	NaN	4332	1762	36.079	NaN	NaN
K11838	NaN	NaN	NaN	NaN	10233	8722	110.892	59.766	NaN
K11840	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.853	NaN
K11841	NaN	NaN	NaN	NaN	2828	4848	34.422	NaN	NaN
K11842	NaN	NaN	NaN	NaN	NaN	NaN	9.034	NaN	NaN
K11843	NaN	NaN	NaN	NaN	5485	4416	443.17	NaN	NaN
K11844	NaN	NaN	NaN	NaN	1451	650	19.803	NaN	NaN
K11366	NaN	NaN	NaN	NaN	865	NaN	0.103	1.242	NaN
K11849	NaN	NaN	283	3337	2679	1058	NaN	NaN	NaN
K11851	NaN	NaN	NaN	NaN	NaN	NaN	0.257	NaN	NaN
K11855	NaN	NaN	NaN	NaN	1549	NaN	0.148	NaN	NaN
K11857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.091	NaN
K11858	NaN	NaN	NaN	NaN	NaN	NaN	3.624	NaN	NaN
K11870	NaN	NaN	NaN	1824	302	NaN	NaN	NaN	NaN
K11871	NaN	NaN	NaN	1071	NaN	NaN	NaN	NaN	NaN
K11872	NaN	NaN	NaN	NaN	179	2108	NaN	NaN	NaN
K11862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.256	NaN
K08592	NaN	NaN	NaN	NaN	NaN	NaN	5.682	NaN	NaN
K08596	NaN	NaN	NaN	7769	NaN	1685	NaN	NaN	NaN
K12175	NaN	NaN	NaN	NaN	834	NaN	27.02	43.982	NaN
K12176	NaN	NaN	NaN	NaN	1548	NaN	29.636	85.05	NaN
K12177	NaN	NaN	NaN	NaN	NaN	NaN	57.885	46.915	NaN
K12178	NaN	NaN	NaN	NaN	NaN	NaN	88.773	93.284	NaN
K09613	NaN	NaN	NaN	NaN	3006	NaN	51.383	112.911	NaN
K12179	NaN	NaN	NaN	NaN	NaN	NaN	6.425	47.516	NaN
K12180	NaN	NaN	NaN	NaN	NaN	NaN	32.627	119.591	NaN
K12181	NaN	NaN	NaN	NaN	NaN	NaN	15.118	50.713	NaN
K11996	NaN	0.0017	NaN	NaN	2297	910	20.434	16.7	542.208
K12161	NaN	NaN	NaN	NaN	10108	10507	21.723	NaN	NaN
K14169	NaN	NaN	657	NaN	5534	4837	2.653	13.955	NaN
K14168	NaN	NaN	NaN	NaN	2460	4345	NaN	5.044	NaN
K00566	NaN	101	NaN	NaN	NaN	NaN	0.444	NaN	NaN
K04487	NaN	3055	1099	NaN	12228	3915	37.4	136.237	NaN
K14171	NaN	NaN	607575	673825	NaN	NaN	NaN	NaN	NaN
K07235	NaN	75	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03639	NaN	0.0017	NaN	NaN	NaN	NaN	4.337	1.463	NaN
K03636	NaN	280	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03637	NaN	202	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03831	NaN	141	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03151	458.23	0.0017	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03154	NaN	0.0017	NaN	NaN	NaN	NaN	NaN	NaN	117.181
K03148	NaN	267	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02728	NaN	NaN	NaN	1200	16566	11932	115.989	498.507	NaN
K02729	NaN	NaN	NaN	NaN	19282	16598	358.755	820.778	NaN
K02725	NaN	NaN	NaN	NaN	19244	17384	970.533	1014.648	NaN
K02726	NaN	NaN	NaN	NaN	28879	23282	237.114	382.054	NaN
K02727	NaN	NaN	NaN	NaN	18503	18432	154.801	841.786	NaN
K02730	NaN	NaN	13618	NaN	23585	26114	306.762	523.598	NaN
K02737	NaN	NaN	NaN	NaN	21136	17446	324.897	171.224	NaN
K02734	NaN	NaN	NaN	NaN	21108	9126	278.708	1035.25	NaN
K06699	NaN	NaN	NaN	173	NaN	NaN	2.855	NaN	NaN
K02739	NaN	NaN	9527	NaN	13568	8713	546.235	448.136	NaN
K11599	NaN	NaN	NaN	NaN	2406	2528	2.152	134.368	NaN
K10881	NaN	NaN	NaN	NaN	NaN	NaN	598.6	536.934	NaN
K03039	NaN	NaN	NaN	NaN	15381	5293	82.74	198.986	NaN
K03037	NaN	NaN	NaN	NaN	9667	8262	125.51	176.779	NaN
K03035	NaN	NaN	12702	NaN	24898	6423	194.366	249.62	NaN
K03033	NaN	NaN	NaN	NaN	15933	6235	285.902	NaN	NaN
K03032	NaN	NaN	NaN	NaN	12236	5231	94.364	253.423	NaN
K03030	NaN	NaN	NaN	NaN	21664	14247	129.48	568.851	NaN
K06700	NaN	NaN	NaN	NaN	NaN	NaN	159.586	108.397	NaN
K02736	NaN	NaN	NaN	NaN	15447	16928	186.889	590.369	NaN
K03064	NaN	NaN	NaN	NaN	19860	8292	158.098	23.426	NaN
K03066	NaN	NaN	NaN	NaN	20564	9361	160.516	381.245	NaN
K03061	NaN	NaN	NaN	NaN	14869	9724	198.347	474.345	NaN
K03062	NaN	NaN	NaN	NaN	15795	12683	116.499	291.097	NaN
K03036	NaN	NaN	NaN	NaN	19579	9061	78.907	282.57	NaN
K03038	NaN	NaN	5057	NaN	29123	18879	133.626	356.414	NaN
K03031	NaN	NaN	NaN	NaN	27428	12711	146.667	352.226	NaN
K03029	NaN	NaN	NaN	NaN	10766	7969	432.364	1197.795	NaN
K03028	NaN	NaN	1032	NaN	28765	10266	102.715	159.421	NaN
K03065	NaN	NaN	NaN	NaN	16900	10446	297.75	618.148	NaN
K03063	NaN	NaN	13046	28078	16516	10483	216.561	527.686	NaN
K06696	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06697	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	397.627	NaN
K02731	NaN	NaN	NaN	NaN	20169	25962	224.086	782.407	NaN
K02738	NaN	NaN	NaN	NaN	47839	20986	94.081	435.096	NaN
K02735	NaN	NaN	43380	NaN	11986	16687	110.886	484.628	NaN
K02732	NaN	NaN	NaN	NaN	24122	17772	176.64	554.807	NaN
K02733	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01358	5786.68	2557	NaN	NaN	NaN	NaN	186.42	NaN	1762.441
K01338	499.84	1019	NaN	NaN	NaN	NaN	12.211	NaN	NaN
K11540	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.971	NaN
K01380	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08565	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04505	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.358	NaN
K09595	NaN	NaN	NaN	NaN	NaN	NaN	19.357	22.807	NaN
K01355	208.81	371	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01366	NaN	NaN	NaN	NaN	NaN	NaN	80.418	NaN	NaN
K08568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.526	NaN
K08585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	151.798	NaN
K01369	NaN	NaN	NaN	NaN	NaN	NaN	4.715	NaN	NaN
K01370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04397	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.932	NaN
K07369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01307	NaN	NaN	NaN	NaN	NaN	NaN	52.329	NaN	NaN
K01948	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00764	3628.13	128	12244	10689	25306	10067	88.551	62.987	9.699
K02365	NaN	NaN	NaN	176	381	NaN	0.135	2.362	NaN
K05520	NaN	428	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03152	NaN	297	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13718	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.454	NaN
K12348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13721	NaN	NaN	NaN	5260	22307	23260	NaN	NaN	NaN
K08776	NaN	NaN	NaN	NaN	NaN	NaN	142.842	223.657	NaN
K01257	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.293	NaN
K09708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01405	NaN	NaN	2093	NaN	NaN	NaN	NaN	NaN	NaN
K01414	499.81	591	NaN	NaN	NaN	NaN	NaN	NaN	208.1
K01284	344.77	519	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01410	NaN	NaN	NaN	755	NaN	NaN	NaN	NaN	NaN
K01403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.171	NaN
K13046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.913	NaN
K06704	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.677	NaN
K06059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.904	NaN
K01389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.307	NaN
K08780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01298	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.875	NaN
K01294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01408	NaN	NaN	NaN	233	5247	1530	NaN	76.742	NaN
K01412	NaN	NaN	NaN	NaN	55647	35151	627.661	NaN	NaN
K07263	203.33	25	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07751	NaN	1367	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01268	NaN	NaN	NaN	4044	NaN	NaN	NaN	NaN	NaN
K01293	NaN	NaN	NaN	244582	NaN	NaN	NaN	NaN	NaN
K01258	NaN	422	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05604	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14262	NaN	NaN	4930	NaN	NaN	NaN	NaN	NaN	NaN
K01270	308.94	1724	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01409	NaN	0.0017	NaN	NaN	6478	5123	NaN	NaN	NaN
K01265	241.88	617	NaN	NaN	67515	23175	264.885	343.794	NaN
K01271	1320.43	1003	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.29	NaN
K01262	131.52	766	608	NaN	NaN	NaN	48.235	172.817	320.985
K14208	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01264	NaN	NaN	1986	1709	NaN	NaN	NaN	NaN	NaN
K14592	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08955	NaN	NaN	1468	3248	NaN	NaN	NaN	NaN	NaN
K07387	NaN	90	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01277	NaN	NaN	NaN	NaN	NaN	NaN	NaN	354.186	NaN
K01310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.916	NaN
K09614	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.365	NaN
K01352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01346	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01324	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01313	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01343	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01315	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04772	NaN	905	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08670	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14349	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09645	NaN	NaN	NaN	NaN	NaN	NaN	14.7	NaN	NaN
K09646	NaN	NaN	NaN	NaN	NaN	NaN	13.747	NaN	NaN
K09757	NaN	NaN	NaN	NaN	NaN	NaN	15.761	NaN	NaN
K09756	NaN	NaN	NaN	NaN	NaN	NaN	0.111	NaN	NaN
K07258	NaN	1731	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08675	NaN	NaN	NaN	NaN	7033	3193	67.52	NaN	NaN
K01356	NaN	90	NaN	NaN	NaN	NaN	NaN	NaN	9311.984
K01285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01259	NaN	NaN	NaN	NaN	NaN	NaN	41.809	NaN	NaN
K13700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03797	NaN	430	NaN	NaN	NaN	NaN	NaN	NaN	54.514
K04773	NaN	0.0017	NaN	NaN	NaN	NaN	7.731	NaN	160.57
K04774	NaN	45	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05995	NaN	310	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09650	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.66	NaN
K01297	NaN	58	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01419	NaN	536	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.548	NaN
K00681	330.36	311	2261	NaN	5227	7674	44.096	6.317	NaN
K08303	NaN	59	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08658	NaN	NaN	NaN	2038	NaN	NaN	0.181	5.123	NaN
K03592	290.78	614	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03568	155.34	208	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03679	NaN	NaN	NaN	NaN	6562	906	10.317	68.725	NaN
K03678	NaN	NaN	NaN	NaN	4377	2377	5.81	20.793	NaN
K14442	NaN	NaN	NaN	NaN	NaN	NaN	5.644	6.507	NaN
K14443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.46	NaN
K07573	NaN	NaN	NaN	NaN	6776	3329	2.337	10.551	NaN
K12617	NaN	NaN	NaN	NaN	9274	2764	30.159	43.074	NaN
K01072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.961	NaN
K08300	638.71	876	NaN	NaN	NaN	NaN	NaN	NaN	559.649
eco_b4255	NaN	4757	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13126	NaN	NaN	35595	16521	87661	27292	874.438	894.914	NaN
K12589	NaN	NaN	NaN	NaN	2644	4856	2.711	25.929	NaN
K03681	NaN	NaN	NaN	NaN	4196	4441	7.317	130.906	NaN
K12606	NaN	NaN	NaN	NaN	3584	NaN	6.386	26.708	NaN
K12607	NaN	NaN	NaN	NaN	NaN	NaN	69.685	24.781	NaN
K12604	NaN	NaN	NaN	536	3791	2916	21.606	45.492	NaN
K12605	NaN	NaN	NaN	NaN	3510	2692	1.735	39.266	NaN
K12602	NaN	NaN	NaN	NaN	NaN	NaN	23.455	68.11	NaN
K12603	NaN	NaN	460	NaN	4447	1862	34.666	27.768	NaN
K12600	NaN	NaN	NaN	538	3156	904	1.367	5.756	NaN
K12608	NaN	NaN	NaN	NaN	4834	250	13.616	NaN	NaN
K04077	11649.26	8928	63546	47192	90636	44876	1561.279	3982.268	10633.626
K12614	NaN	NaN	NaN	NaN	20830	11519	89.433	200.776	NaN
K12611	NaN	NaN	NaN	NaN	NaN	NaN	33.571	88.928	NaN
K12574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	266.789
K12572	NaN	NaN	NaN	NaN	1166	NaN	NaN	7.309	NaN
K12592	NaN	NaN	9038	NaN	2337	2467	1.667	15.086	NaN
K12593	NaN	NaN	NaN	NaN	NaN	2099	9.938	27.942	NaN
K12590	NaN	NaN	NaN	NaN	2598	4714	10.371	65.988	NaN
K12591	NaN	NaN	2158	NaN	3359	1163	11.527	23.4	NaN
K12598	NaN	NaN	NaN	NaN	6281	1403	27.836	71.231	NaN
K12599	NaN	NaN	NaN	198	1068	997	0.645	2.734	NaN
K12620	NaN	NaN	NaN	NaN	6151	5032	15.521	102.483	NaN
K12621	NaN	NaN	NaN	NaN	10006	6132	285.765	360.818	NaN
K12622	NaN	NaN	NaN	NaN	9105	8653	88.471	73.675	NaN
K12623	NaN	NaN	NaN	34385	5089	10545	27.494	184.291	NaN
K12624	NaN	NaN	NaN	NaN	4243	15784	165.167	94.567	NaN
K12625	NaN	NaN	2099	NaN	10018	3720	42.923	99.144	NaN
K12626	NaN	NaN	NaN	NaN	NaN	1608	360.801	232.344	NaN
K12627	NaN	NaN	NaN	NaN	5948	5597	52.981	37.002	NaN
K03514	NaN	NaN	3324	2091	704	398	5.661	5.193	NaN
K12585	NaN	NaN	NaN	NaN	6515	1626	18.771	43.568	NaN
K12584	NaN	NaN	NaN	4399	7232	2745	NaN	29.342	NaN
K12587	NaN	NaN	NaN	NaN	3620	2120	5.904	61.286	NaN
K12586	NaN	NaN	NaN	NaN	4825	4133	15.328	NaN	NaN
K12581	NaN	NaN	NaN	NaN	11290	1645	1.28	34.04	NaN
K12580	NaN	NaN	2193	NaN	2104	5123	79.686	118.311	NaN
K10643	NaN	NaN	NaN	NaN	5628	3654	0.734	17.93	NaN
K01148	NaN	NaN	NaN	NaN	NaN	NaN	2.394	NaN	NaN
K12616	NaN	NaN	NaN	NaN	NaN	NaN	83.637	39.949	NaN
K11600	NaN	NaN	NaN	NaN	NaN	1138	0.508	99.865	NaN
K12597	NaN	NaN	NaN	1419	483	NaN	NaN	NaN	NaN
K12601	NaN	NaN	NaN	NaN	4666	2111	NaN	NaN	NaN
K12609	NaN	NaN	3184	834	NaN	NaN	NaN	NaN	NaN
K12571	NaN	NaN	1388	NaN	2267	NaN	NaN	NaN	NaN
K12610	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12613	NaN	NaN	NaN	NaN	1865	1376	10.622	3.052	NaN
K12615	NaN	NaN	NaN	NaN	2380	1533	NaN	19.057	NaN
K03732	NaN	375	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12573	NaN	114	NaN	NaN	NaN	NaN	NaN	NaN	46.722
K03628	4608.22	1814	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00937	NaN	64	NaN	NaN	NaN	NaN	NaN	NaN	393.605
K02212	NaN	NaN	NaN	NaN	1463	383	64.398	158.1	NaN
K10745	NaN	NaN	NaN	NaN	3995	NaN	0.874	49.079	NaN
K10744	NaN	NaN	NaN	NaN	1708	NaN	NaN	62.497	NaN
K10747	NaN	NaN	1525	NaN	1096	NaN	10.874	41.047	NaN
K10740	NaN	NaN	NaN	NaN	NaN	NaN	10.69	559.025	NaN
K10743	NaN	NaN	NaN	NaN	199	NaN	NaN	38.806	NaN
K10742	NaN	NaN	17948	12455	97	NaN	NaN	8.061	NaN
K02209	NaN	NaN	NaN	NaN	NaN	NaN	26.638	157.41	NaN
K02685	NaN	NaN	NaN	NaN	1224	NaN	3.803	10.282	NaN
K02684	NaN	NaN	NaN	NaN	702	NaN	1.523	20.5	NaN
K02324	NaN	NaN	NaN	147	657	NaN	3.55	10.569	NaN
K02326	NaN	NaN	NaN	NaN	NaN	NaN	5.205	NaN	NaN
K02327	NaN	NaN	207	NaN	1186	1716	4.844	44.277	NaN
K02335	NaN	730	NaN	NaN	NaN	NaN	0.396	NaN	NaN
K03111	NaN	1739	NaN	NaN	NaN	NaN	11.166	NaN	524.238
K04799	NaN	NaN	NaN	1485	3579	1939	9.927	46.03	NaN
K04802	NaN	NaN	24662	13285	14754	16428	392.83	419.64	NaN
K07466	NaN	NaN	NaN	NaN	9744	6738	525.288	314.432	NaN
K02540	NaN	NaN	NaN	210	2207	NaN	81.648	129.513	NaN
K02541	NaN	NaN	3633	NaN	9538	1365	24.616	161.93	NaN
K02542	NaN	NaN	NaN	NaN	2059	1293	20.454	116.036	NaN
K02320	NaN	NaN	146	NaN	667	NaN	3.217	21.216	NaN
K02321	NaN	NaN	NaN	NaN	1681	1308	19.305	26.213	NaN
K02328	NaN	NaN	NaN	NaN	479	739	1.249	11.052	NaN
K10756	NaN	NaN	858	NaN	8155	4773	16.266	201.643	NaN
K10755	NaN	NaN	NaN	NaN	6879	6545	28.75	333.019	NaN
K03763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02343	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02338	582.61	346	NaN	NaN	NaN	NaN	NaN	NaN	389.716
K02314	NaN	0.0017	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03469	NaN	0.0017	NaN	NaN	NaN	NaN	NaN	3.078	NaN
