Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Immune System Diseases	MAPPED	0	0	0	0	0	0	0	4.771e-05	0.0001316	0	0.001176	0.001666	0	0.0005056	0.001242	0	0.001418	0.00319	0	0.005295	0.01011	0	0.0002946	0.0003329	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0	0	0	1.429e-05	0.0001001	0.000149	9.686e-05	0.0007514	0.001508	0.0001438	0.00117	0.00302	0.0002036	0.000814	0.001759	0.0003023	0.0007937	0.001944	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0	0.0009622	0	0.0001043	0.0005462	0	0	0	0.005729	0.006552	0.00816	0.005255	0.006525	0.01128	1.334e-05	0.0005384	0.0008515	0.000102	0.0008037	0.001337	0	0	0
Not Mapped	MAPPED	0.01918	0.01918	0.01918	0.1353	0.1353	0.1353	0.04329	0.04329	0.04329	0.03992	0.03992	0.03992	0.2551	0.2551	0.2551	0.4945	0.4945	0.4945	0.9148	0.9148	0.9148	0.5456	0.5456	0.5456	0.5033	0.5033	0.5033
-Not Mapped	MAPPED	0.01918	0.01918	0.01918	0.1353	0.1353	0.1353	0.04329	0.04329	0.04329	0.03992	0.03992	0.03992	0.2551	0.2551	0.2551	0.4945	0.4945	0.4945	0.9148	0.9148	0.9148	0.5456	0.5456	0.5456	0.5033	0.5033	0.5033
TOTAL	Genetic Information Processing	2.922	2.999	3.046	5.308	5.421	5.503	3.155	3.16	3.175	4.064	4.082	4.089	3.492	3.518	3.535	5.107	5.147	5.181	4.425	4.492	4.538	3.263	3.287	3.307	6.65	6.975	7.031
MAPPED	Genetic Information Processing	2.867	2.943	2.988	4.675	4.775	4.847	3.024	3.029	3.043	3.908	3.926	3.932	2.782	2.803	2.817	3.417	3.444	3.467	2.311	2.346	2.37	2.111	2.127	2.14	4.424	4.64	4.677
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
