!!SBtab TableType='Proteomaps' Organism='spo' Condition='Quiescent'
!ProteinIdentifier	!Abundance
SPAC25H1.07	5085
SPBC17G9.07	21878
SPBC1685.02c	18844
SPBC13G1.11	15742
SPAC1834.01	12109
SPCP1E11.06	3957
SPCC1739.09c	34269
SPAC3F10.19	32972
SPBC646.11	8431
SPAC6G9.09c	28274
SPBC8D2.03c	65483
SPAC1B2.04	36932
SPCC1840.02c	3090
SPBC17D11.07c	5231
SPAC20H4.11c	6109
SPAC6C3.08	18294
SPBC16C6.07c	9724
SPAC222.09	9876
SPAC3A11.11c	5833
SPBC17G9.10	42729
SPAC6F6.07c	42491
SPCC5E4.07	15749
SPBC16C6.06	3051
SPAC821.11	8392
SPBPB21E7.09	33927
SPAC6F6.12	5610
SPAC4H3.01	6331
SPBC29B5.03c	23256
SPAC31G5.05c	24023
SPBC4.03c	4493
SPAC30C2.08	7213
SPBC14C8.04	14165
SPCC364.03	17459
SPAC23D3.11	20121
SPAPB1E7.09	6493
SPCC18.14c	60501
SPBC18H10.03	11834
SPBC23G7.05	29730
SPBC11C11.02	4958
SPAC25B8.13c	15578
SPBC23G7.15c	39843
SPBC11C11.06c	27035
SPAC4G9.11c	19650
SPAC23A1.11	5137
SPBC1347.06c	6887
SPBC17G9.08c	4762
SPCC126.06	15912
SPBC17D1.06	6639
SPCC965.14c	26255
SPBC4C3.07	14789
SPAC26A3.16	12003
SPAC23A1.03	21857
SPAC1782.07	39141
SPCC338.07c	4298
SPBC1347.04	5477
SPCC16C4.09	6111
SPBP8B7.16c	5908
SPAP8A3.04c	82268
SPAC1805.16c	21781
SPAPB1A10.09	4236
SPAC15A10.04c	5963
SPCP31B10.08c	16290
SPCC1682.10	18879
SPCC757.09c	14160
SPBC18E5.02c	7133
SPBC800.11	38166
SPAC869.03c	20189
SPAC1782.06c	10800
SPBC725.08	6479
SPAC323.02c	16598
SPCC1183.08c	10939
SPCC4B3.07	4405
SPAC4A8.13c	17446
SPAC13A11.02c	10513
SPBC11C11.07	19703
SPAC1093.02	14189
SPCC663.01c	6325
SPAC3H5.10	2785
SPBC16H5.12c	8499
SPAC806.04c	9491
SPBC428.10	2758
SPBC36B7.08c	8488
SPBC776.11	20936
SPBC428.16c	22802
SPCC1840.06	28742
SPAPB8E5.07c	1130
SPCC663.15c	4205
SPAC16E8.17c	13102
SPBC577.06c	1725
SPCC1450.07c	12215
SPBC2F12.04	15041
SPBC1685.13	37817
SPCC1672.05c	10815
SPAC644.05c	20820
SPAC31G5.04	11329
SPBC1539.06	43217
SPCP1E11.11	3805
SPBC1271.02	5393
SPAC25G10.06	44642
SPCC320.10	3399
SPBC9B6.10	7371
SPBC21C3.12c	18900
SPAC15A10.05c	12106
SPBC23E6.04c	2338
SPBC15D4.09c	7515
SPAC56F8.05c	11909
SPAC4F10.13c	3013
SPAC22H12.02	17554
SPBC3H7.15	7399
SPBC3F6.02c	12178
SPAC20G8.06	2916
SPAC15E1.04	8555
SPAC57A10.12c	6506
SPBC3B9.18c	22271
SPAC23H4.09	10052
SPBC776.04	4938
SPBC30D10.18c	4386
SPCC1223.14	12268
SPAC8C9.03	8212
SPBC409.10	14777
SPAC23G3.10c	5659
SPAC890.08	41453
SPCC63.12c	16687
SPBC29A10.13	25968
SPAC140.01	21695
SPBC16A3.01	8984
SPBC354.15	10909
SPAC22H12.01c	10344
SPCC613.05c	36204
SPBC1685.10	58669
SPBC660.13c	6738
SPBC21C3.19	20775
SPAC31G5.13	14247
SPAC167.05	4746
SPBC557.03c	12434
SPCC1442.05c	12514
SPAC17A5.14	2776
SPBC19G7.10c	2764
SPAC9.03c	2090
SPCC70.02c	22388
SPCPJ732.01	5195
SPCC1682.09c	24532
SPCC285.08	11854
SPAC16.03c	7727
SPAC1751.03	5583
SPBC21C3.13	19960
SPBC21D10.09c	1722
SPBC106.15	7161
SPCC830.10	15758
SPBC839.17c	59169
SPAC1805.17	5961
SPAC11D3.04c	15520
SPBC365.03c	27599
SPCP1E11.02	10368
SPAC22A12.07c	5959
SPAC922.03	10454
SPCC16C4.08c	5189
SPAC7D4.04	1563
SPAPB17E12.13	16694
SPAC959.08	11280
SPCC1259.09c	6544
SPBC29A10.08	15136
SPAC13C5.01c	11932
SPCC970.05	3160
SPBC4F6.04	6921
SPAC24C9.03	12795
SPCC965.03	11353
SPBC405.07	2585
SPAC23D3.08	11417
SPAC21E11.08	4512
SPBC1778.08c	27846
SPBC2D10.05	12474
SPBC26H8.06	11776
SPCC18B5.07c	5867
SPAC22F3.06c	3193
SPBC21D10.11c	3915
SPBC83.01	7715
SPAC9E9.04	15842
SPAC1006.01	30480
SPAC144.14	3264
SPAC1002.03c	2906
SPCC736.12c	5917
SPCC1442.14c	22354
SPCC1682.01	43591
SPBC106.18	10486
SPAC3G9.05	3494
SPAC22F3.13	2810
SPBC31E1.02c	3766
SPBC800.04c	16052
SPAC17G6.05c	1904
SPAC16C9.01c	9104
SPAP11E10.01	8413
SPAPB17E12.14c	7857
SPBC4F6.13c	7691
SPBC1683.05	8061
SPCC1795.05c	10241
SPAC1565.01	15976
SPCC1442.09	7110
SPAC1F3.05	8516
SPAC1F8.04c	4484
SPAC1A6.03c	11949
SPBC3D6.06c	6408
SPAC22E12.07	4836
SPAC23C11.17	7249
SPBP8B7.20c	6265
SPBC409.18	16536
SPAC19G12.15c	4243
SPBC405.04c	14434
SPAC56E4.06c	7674
SPBPB21E7.07	11483
SPBC21C3.15c	4099
SPBC29A10.16c	27305
SPAC23H4.01c	6348
SPAC890.04c	7402
SPBC800.09	5807
SPCC576.09	38287
SPAC694.04c	7413
SPBC23G7.08c	5701
SPBC4C3.05c	2441
SPBC646.04	3823
SPAC3C7.02c	9609
SPCC1450.12	3987
SPAC1782.10c	21059
SPAC26F1.12c	3175
SPBC31F10.16	3837
SPBC11C11.08	12312
SPCP1E11.09c	18980
SPBC36.05c	4175
SPBC3B9.01	10708
SPCC70.05c	4297
SPCC188.06c	5345
SPAC23A1.14c	13580
SPCC1682.05c	2848
SPAC17H9.09c	7003
SPBC646.09c	8320
SPAC19A8.05c	5157
SPAC10F6.03c	8012
SPBC29A10.17	11007
SPAC1527.03	5988
SPAC11E3.04c	19703
SPBPJ4664.06	1738
SPBC1709.15c	4467
SPBC337.14	7633
SPCC1919.09	21869
SPCC1753.04	7521
SPBC83.02c	18186
SPCC1739.01	7290
SPBC31E1.04	7408
SPBC337.13c	8461
SPAC926.08c	5892
SPBC1604.03c	9033
SPCC18.15	6344
SPCC16A11.02	4167
SPBC8D2.17	10880
SPBC1703.02	2189
SPBC16E9.11c	868
SPAC589.06c	23608
SPAC3F10.17	5720
SPAC922.06	7924
SPCC663.03	2053
SPCC1795.04c	18432
SPBC21H7.07c	13356
SPBC12C2.11	3435
SPAC630.14c	5672
SPAC21E11.06	3691
SPAC17G6.09	6974
SPBC3B9.19	12954
SPAC3A12.13c	4652
SPBC83.17	15127
SPAC8F11.04	5187
SPAC22E12.17c	3939
SPAC2F3.05c	14005
SPAC139.02c	7591
SPAC823.14	11349
SPAPB8E5.04c	70828
SPAC8C9.15c	4216
SPAC14C4.04	11332
SPBC3E7.07c	9594
SPAC1952.09c	3570
SPCC790.02	4065
SPAC9E9.10c	6661
SPBC19F5.05c	4055
SPBC1289.04c	5070
SPBC337.07c	11080
SPAC23C11.06c	7775
SPCC594.02c	9279
SPAC2G11.14	2964
SPAC26H5.07c	7523
SPAC227.07c	4958
SPAC323.07c	8448
SPAC2G11.03c	4583
SPCC965.07c	12226
SPBC23E6.06c	12400
SPAC6B12.09	4615
SPBC1921.01c	8522
SPBC947.01	2881
SPBP16F5.03c	776
SPAC3G6.03c	9860
SPAC1805.05	6021
SPCC1672.06c	3716
SPAC11E3.15	41304
SPAC343.04c	2940
SPBC23E6.09	2186
SPAC9G1.06c	4040
SPAC57A10.09c	20192
SPBC19G7.15	5959
SPAC22H10.03c	2357
SPCC1672.07	2684
SPAC607.05	5293
SPBC16G5.08	8545
SPAPYUG7.05	7680
SPAC2E1P3.01	8282
SPCC16A11.10c	50856
SPBC2D10.11c	10978
SPBC28F2.12	2294
SPBC651.02	8087
SPCC737.08	1926
SPAC17G6.12	5886
SPAC23D3.09	8335
SPBC3E7.10	9224
SPBC14F5.11c	8150
SPCC1223.05c	25886
SPAC1D4.14	1387
SPCC5E4.03c	2382
SPAC13G6.04	22458
SPCC162.07	7686
SPAC27D7.14c	3139
SPCC1281.06c	7332
SPCC1322.16	6649
SPAC664.01c	3469
SPBP19A11.01	20309
SPBP35G2.12	15281
SPAC23C4.05c	6240
SPBC3E7.02c	14144
SPAC9E9.13	19903
SPAC4G9.13c	6993
SPBC1773.14	3891
SPCC825.02	3476
SPAC4A8.14	6333
SPBC582.09	16300
SPAC343.09	5934
SPAC23G3.12c	3376
SPBC2D10.12	11429
SPAC19D5.04	1132
SPBC651.01c	5628
SPAC823.05c	5104
SPCC285.14	4326
SPBC3B9.03	3716
SPAC17G6.15c	6671
SPCC31H12.08c	1862
SPBC25H2.09	5875
SPBC11G11.03	11095
SPCC338.12	61268
SPBC725.04	5615
SPCC777.13	2847
SPAC18G6.12c	3589
SPBP8B7.26	16504
SPBC725.03	12458
SPAC1250.05	13649
SPAC644.12	4298
SPBC1347.09	6191
SPAC29A4.18	8004
SPAC19B12.02c	20925
SPBC19G7.16	2657
SPAC821.05	8058
SPAC2F7.11	3132
SPAC31A2.14	3985
SPCC825.03c	5684
SPBC16H5.06	28538
SPBC12C2.08	4643
SPAC26A3.12c	4427
SPAC24B11.06c	8730
SPBC215.07c	6152
SPCC553.02	4410
SPBC12C2.10c	4971
SPBC1773.02c	12168
SPAC1805.11c	14697
SPAC3F10.09	12441
SPBC947.02	6049
SPAC27D7.02c	2612
SPCC576.11	14370
SPAC1786.01c	4035
SPCC550.06c	29675
SPCC63.03	2408
SPBC336.02	3625
SPCC290.03c	880
SPCC737.06c	7534
SPAC630.09c	6558
SPBC30D10.08	5311
SPBC409.07c	7211
SPAC18G6.07c	5613
SPBC29A3.06	4272
SPCC74.03c	3716
SPAC5H10.06c	6319
SPAC30.01c	929
SPBP4H10.17c	4638
SPAC22E12.04	5248
SPAP8A3.08	19695
SPCC61.03	6502
SPAC644.13c	9787
SPBC11C11.10	5683
SPBC119.02	33684
SPAC13G7.06	8183
SPCC1259.02c	5682
SPBC1773.05c	15550
SPCC132.04c	3039
SPBPB2B2.01	8586
SPAC12B10.16c	4233
SPBC215.02	7129
SPAC10F6.16	7281
SPAC4F10.10c	4245
SPAC1B3.20	25757
SPBC13E7.09	16749
SPAC20H4.03c	3554
SPBC1773.07c	15238
SPAC2F7.13c	5671
SPBC776.07	18202
SPBC16H5.11c	6599
SPCC417.10	10946
SPBC3B9.10	7271
SPBC2D10.09	3556
SPAC806.03c	20321
SPBC1734.03	6993
