!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b0368	0	0	0	0	0
b0369	917	1407	1543	1245	2659
b0375	0	0	0	0	0
b0376	0	0	0	0	0
b0377	0	0	0	0	0
b0378	0	0	0	0	0
b0379	0	0	0	0	0
b0380	0	0	0	0	0
b0381	373	17	32	1369	64
b0382	1664	1828	2190	2056	0
b0383	0	0	0	0	0
b0384	200	0	0	0	0
b0385	0	0	0	0	0
b0386	902	882	875	928	1030
b0387	0	0	0	0	0
b0388	183	277	399	399	403
b0389	959	0	0	0	1150
b0390	319	306	0	239	0
b0391	943	0	0	0	0
b0392	0	0	0	0	0
b0393	286	359	461	463	632
b0394	340	330	347	308	255
b0396	0	0	0	0	0
b0397	0	0	0	0	0
b0398	0	0	0	0	0
b0399	73	0	0	0	0
b0400	0	0	0	0	0
b0401	0	0	0	0	0
b0402	0	0	0	0	0
b0403	0	0	0	0	0
b0404	0	0	0	0	0
b0405	0	0	0	0	0
b0406	60	91	144	212	263
b0407	2154	3359	4299	4463	3330
b0408	127	162	228	243	257
b0409	88	34	247	46	43
b0410	384	541	533	569	478
b0411	202	222	290	329	273
b0412	0	0	0	0	0
b0413	186	229	257	170	332
b0414	38	38	59	47	64
b0415	3562	5481	8965	10125	11177
b0416	1097	1472	2241	2543	3052
b0417	140	160	204	234	234
b0418	0	0	0	0	0
b0419	825	748	733	632	589
b0420	80	98	123	115	117
b0421	134	170	216	211	225
b0422	358	423	466	428	533
b0423	0	0	0	0	0
b0424	297	379	509	604	788
b0425	0	0	0	0	0
b0426	3917	4227	4731	5366	6977
b0427	0	0	0	0	0
b0428	0	0	0	0	0
b0429	0	0	0	0	0
b0430	0	0	0	0	0
b0431	551	1063	1545	2216	3239
b0432	629	1152	1868	2074	3152
b0433	0	0	0	0	0
b0434	805	1155	1446	1562	1655
b0435	392	650	1636	1079	2351
b0436	4616	6282	9717	11369	15336
b0437	2558	3594	4817	4653	6506
b0438	580	873	1497	1776	2314
b0439	1019	1221	1773	2090	2319
b0440	18125	22005	24351	20484	18370
b0441	613	820	1052	1075	1123
b0442	0	0	0	0	0
b0443	423	382	246	111	60
b0444	223	276	411	440	549
b0445	0	0	0	0	0
b0446	0	0	0	0	0
b0447	0	0	0	0	0
b0448	0	0	0	0	0
b0449	0	0	0	0	0
b0450	0	0	0	0	0
b0451	0	0	0	0	0
b0452	174	179	197	217	266
b0453	1897	1690	2724	3097	2881
b0454	0	0	0	0	0
b0455	0	0	0	0	0
b0456	328	0	0	0	0
b0457	0	0	0	0	0
b0458	0	0	0	0	0
b0459	0	0	0	0	0
b0460	0	0	0	0	0
b0461	0	0	0	0	0
b0462	164	236	308	353	293
b0463	928	1108	1437	1461	1434
b0464	0	0	0	0	0
b0465	0	0	0	0	0
b0466	0	0	0	0	0
b0467	0	0	0	0	0
b0468	0	0	0	0	0
b0469	510	709	1014	1346	1930
b0470	30	38	46	44	49
b0471	1697	0	0	2968	4209
b0472	0	0	0	0	0
b0473	1004	1230	1630	1937	2138
b0474	2436	3988	4441	4971	6721
b0475	0	0	0	0	0
b0476	0	0	0	0	0
b0477	0	0	0	0	0
b0478	0	0	0	0	0
b0479	0	0	0	0	0
b0480	451	461	639	663	684
b0481	189	332	435	392	794
b0482	0	0	0	0	0
b0483	0	0	0	0	0
b0484	231	328	460	472	477
b0485	0	0	0	0	0
b0486	0	0	0	0	0
b0487	0	0	0	0	0
b0488	0	0	0	0	0
b0489	0	0	0	0	0
b0490	0	0	0	0	0
b0491	0	0	0	0	0
b0492	1133	1445	2093	2406	2780
b0493	0	0	0	0	0
b0494	149	184	238	230	251
b0495	0	0	0	0	0
b0496	0	0	0	0	0
b0497	0	0	0	0	0
b0498	0	0	0	0	0
b0499	0	0	0	0	0
b0502	0	0	0	0	0
b0503	0	0	0	0	0
b0504	0	0	0	0	0
b0505	0	0	0	0	0
b0506	41	57	82	100	133
b0507	0	0	0	0	0
b0508	0	0	0	0	0
b0509	0	0	0	0	0
b0511	0	0	0	0	0
b0512	0	0	0	0	0
b0513	0	0	0	0	0
b0514	0	0	0	0	0
b0515	106	0	0	0	0
b0516	0	0	0	0	0
b0517	0	0	0	0	0
b0518	0	0	0	0	0
b0520	0	0	0	0	0
b0521	0	0	0	0	0
b0522	190	0	0	635	0
b0523	853	1694	2568	3535	5340
b0524	0	0	0	0	0
b0525	2877	4103	4471	5363	7384
b0526	284	347	538	609	877
b0527	0	0	0	0	0
b0528	570	789	1004	1450	1935
