!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b3067	953	1049	1330	1359	1674
b3068	92	97	180	193	228
b3069	0	0	0	0	0
b3070	0	0	0	0	0
b3071	0	0	0	0	0
b3072	294	0	0	0	0
b3073	0	0	0	0	0
b3074	0	0	0	0	0
b3075	0	0	0	0	0
b3076	0	0	0	0	0
b3077	0	0	0	0	0
b3078	0	0	0	0	0
b3079	0	0	0	0	0
b3080	0	0	0	0	0
b3081	97	107	89	52	25
b3082	0	0	0	0	0
b3083	0	0	0	0	0
b3084	0	0	0	0	0
b3085	0	0	0	0	0
b3086	0	0	0	0	0
b3087	519	461	347	230	179
b3088	0	0	0	0	0
b3089	154	259	324	276	173
b3090	0	0	0	0	0
b3091	0	0	0	0	0
b3092	90	165	196	0	0
b3093	0	0	0	0	0
b3094	87	102	114	119	138
b3095	0	0	0	0	0
b3096	0	0	0	0	0
b3097	201	0	0	0	0
b3098	6977	6439	7570	8732	10030
b3099	122	0	0	0	0
b3100	0	0	0	0	0
b3101	0	0	0	0	0
b3102	559	395	404	426	413
b3103	0	0	0	0	0
b3104	0	0	0	0	0
b3105	0	0	0	0	0
b3106	0	0	0	0	0
b3107	0	0	0	0	0
b3110	0	0	0	0	0
b3113	767	0	0	0	0
b3114	0	0	0	0	0
b3115	0	0	0	0	0
b3116	0	0	0	0	0
b3117	0	0	0	0	0
b3118	0	0	0	0	0
b3119	0	0	0	0	0
b3120	0	0	0	0	0
b3121	0	0	0	0	0
b3123	0	0	0	0	0
b3124	0	0	0	0	0
b3125	74	79	26	79	59
b3126	0	0	0	0	0
b3127	0	0	0	0	0
b3128	0	0	0	0	0
b3129	79	0	102	103	0
b3130	0	0	0	0	0
b3131	0	0	0	0	0
b3132	0	0	0	0	0
b3133	0	0	0	0	0
b3134	0	0	0	0	0
b3135	0	0	0	0	0
b3136	0	0	0	0	0
b3137	0	0	0	0	0
b3138	0	0	0	0	0
b3139	0	0	0	0	0
b3140	0	0	0	0	0
b3141	0	0	0	0	0
b3142	0	0	0	0	0
b3143	0	0	0	0	0
b3144	0	0	0	0	0
b3145	0	0	0	0	0
b3146	75	92	115	130	162
b3147	115	129	156	171	185
b3148	0	0	0	0	0
b3149	0	0	0	0	0
b3150	231	315	370	366	418
b3151	0	0	0	0	0
b3152	0	0	0	0	0
b3153	429	328	325	340	372
b3154	0	0	0	0	0
b3155	0	0	0	0	0
b3156	922	1011	903	770	990
b3157	0	0	0	0	0
b3158	0	0	0	0	0
b3159	0	0	0	0	0
b3160	0	0	0	0	0
b3161	0	0	0	0	0
b3162	16	42	0	0	0
b3163	52	62	73	64	86
b3164	2517	3447	4557	4669	5096
b3165	7787	9589	15457	19215	25705
b3166	0	0	0	0	0
b3167	857	1033	1428	1504	2007
b3168	1095	1547	2367	2856	3147
b3169	1742	2360	3256	3794	4736
b3170	166	293	430	515	659
b3171	0	0	0	0	0
b3172	1222	1968	4021	6705	10470
b3173	0	0	0	0	0
b3174	0	0	0	0	0
b3175	368	488	716	840	925
b3176	699	901	1207	1322	1481
b3177	0	0	0	0	0
b3178	746	876	1497	1569	1695
b3179	0	0	0	0	0
b3180	1217	1548	1879	2264	2942
b3181	1582	1941	2583	2806	3100
b3182	0	0	0	0	0
b3183	629	693	866	1030	1201
b3184	0	0	0	0	0
b3185	3084	4375	6892	9602	12223
b3186	5355	7134	11528	14373	17857
b3187	180	223	362	388	536
b3188	0	0	0	0	0
b3189	267	377	529	598	762
b3190	745	1009	1178	1434	1874
b3191	179	243	230	0	397
b3192	1700	1952	2395	2715	3190
b3193	74	107	148	188	287
b3194	0	0	0	0	0
b3195	52	63	77	75	112
b3196	0	0	0	0	0
b3197	64	86	112	128	163
b3198	221	338	481	553	461
b3199	0	0	0	0	0
b3200	1077	1331	1625	1893	1386
b3201	672	807	938	1080	1121
b3202	113	125	147	147	154
b3203	4033	4056	4460	4186	4151
b3204	689	801	979	1048	1065
b3205	80	91	107	96	101
b3206	0	0	0	0	0
b3207	0	0	0	0	0
b3208	0	0	0	0	0
b3209	933	1358	1637	1853	1516
b3210	88	113	134	126	120
b3211	0	0	0	0	0
b3212	436	929	1905	2577	4493
b3213	475	1019	1895	2464	3650
b3214	0	0	0	0	0
b3215	0	0	0	0	0
b3216	0	0	0	0	0
b3219	0	0	0	0	0
b3220	0	0	0	0	0
b3221	272	0	0	0	0
b3222	0	0	0	0	0
b3223	0	0	0	0	0
b3224	0	0	0	0	0
b3225	0	0	0	0	0
b3226	0	0	0	0	0
b3227	0	0	0	0	0
b3228	369	447	609	674	801
b3229	2515	3144	3862	4660	4891
b3230	6082	7982	12311	15565	22146
b3231	8705	12864	19143	24629	29760
b3232	0	0	0	0	0
b3233	854	1171	1783	1942	2011
b3234	905	984	1267	1342	1176
b3235	0	0	0	0	0
b3236	19723	29416	37946	41331	31413
b3237	0	0	0	0	0
b3238	0	0	0	0	0
b3239	0	0	0	0	0
b3240	0	0	0	0	0
b3241	0	0	0	0	0
b3242	0	0	0	0	0
b3243	21	0	0	0	0
b3244	208	222	304	326	480
b3247	0	0	0	0	0
b3248	0	0	0	0	0
b3249	0	0	0	0	0
b3250	0	0	0	0	0
b3251	1790	2193	2554	3071	3713
b3252	0	0	0	0	0
b3253	1003	1035	1061	1012	850
b3255	1819	2518	2750	11012	4055
b3256	945	1255	1748	2029	2472
b3257	0	0	0	0	0
b3258	0	0	0	0	0
b3259	97	118	166	0	297
b3260	0	0	0	0	0
b3261	0	0	0	0	0
b3262	0	0	0	0	0
b3263	0	0	0	0	0
b3264	0	0	0	0	0
b3265	0	0	0	0	0
b3266	0	0	0	0	0
b3267	0	0	0	0	0
b3268	0	0	0	0	0
b3269	0	0	0	0	0
b3270	0	0	0	0	0
b3271	0	0	0	0	0
b3273	0	0	0	0	0
b3275	0	0	0	0	0
b3276	0	0	0	0	0
b3277	0	0	0	0	0
b3278	0	0	0	0	0
b3279	157	185	255	298	400
b3280	0	0	0	0	0
b3281	79	93	133	167	229
b3282	96	124	151	195	303
b3283	0	0	0	0	0
b3284	0	0	0	0	0
b3287	621	717	926	1094	1501
b3288	295	306	435	472	520
b3289	61	98	86	119	152
b3290	94	52	100	100	98
b3291	343	427	674	629	561
b3292	0	0	0	0	0
b3293	0	0	0	0	0
b3294	5943	7948	12671	16289	21651
b3295	3718	5631	7835	8503	10200
b3296	7860	10099	17929	19608	28043
b3297	4689	5798	9024	12424	15481
b3298	9555	12109	20235	26921	34588
b3299	0	0	0	0	0
b3300	337	495	643	787	726
b3301	5748	7771	12587	16371	20028
b3302	9535	13388	19332	27824	31932
b3303	9261	10902	17346	22919	30631
b3304	4847	6579	10076	13492	17087
b3305	8431	10508	16523	22088	29408
b3306	4649	5802	9505	11863	16410
b3307	4418	6018	10022	12345	15721
b3308	8400	10768	18281	21990	30494
b3309	8220	10474	16058	21264	24258
b3310	4987	6515	10410	14428	18301
b3311	4496	5670	9107	13848	15169
b3312	10211	13296	18802	29825	38735
b3313	8962	10873	18188	23846	30209
b3314	8441	11608	19622	23216	27759
b3315	10215	13912	21282	28683	32379
b3316	7063	9167	15136	20413	25282
b3317	6203	9469	15920	19973	24731
b3318	4119	5480	8642	11199	15000
b3319	7478	9492	14276	18515	24946
b3320	6372	9015	15671	17981	23765
b3321	9338	12767	20149	24484	33850
b3322	0	0	0	0	0
b3323	0	0	0	0	0
b3324	0	0	0	0	0
b3325	0	0	0	0	0
b3326	0	0	0	0	0
b3327	0	0	0	0	0
b3328	0	0	0	0	0
b3329	0	0	0	0	0
b3330	0	0	0	0	0
b3331	0	0	0	0	0
b3332	0	0	0	0	0
b3333	0	0	0	0	0
b3334	0	0	0	0	0
b3335	0	0	0	0	0
b3336	5037	5601	5840	6897	9045
b3337	0	0	0	0	0
b3338	0	0	0	0	0
b3339	39226	55561	71351	79163	87481
b3340	8037	10267	15264	18213	19212
b3341	9558	12699	19484	26412	22294
b3342	2697	3637	5504	8316	9098
b3343	0	0	0	0	0
b3344	0	0	0	0	0
b3345	75	84	0	89	112
b3346	257	317	365	435	451
b3347	1327	1770	2415	2951	3532
b3348	338	385	414	474	557
b3349	2515	3243	4295	5136	5772
b3350	0	0	0	0	0
b3351	0	0	0	0	0
b3352	0	0	0	0	0
b3353	0	0	0	0	0
b3354	0	0	0	0	0
b3355	121	0	0	0	0
b3356	151	220	285	337	490
b3357	3431	4240	4450	4481	4633
b3358	0	0	0	0	0
b3359	1057	1287	1944	3442	3833
b3360	0	0	0	0	0
b3361	204	152	143	142	154
b3362	486	0	0	0	0
b3363	1230	1177	2127	1788	2971
b3364	0	0	0	0	0
b3365	0	0	0	0	0
b3366	0	0	0	0	0
b3367	0	0	0	0	0
b3368	0	0	0	0	0
b3369	0	0	0	0	0
b3370	0	0	0	0	0
b3371	0	0	0	0	0
b3374	0	0	0	0	0
b3375	0	0	0	0	0
b3376	0	0	0	0	0
b3377	0	0	0	0	0
b3378	0	0	0	0	0
b3379	0	0	0	0	0
b3380	0	0	0	0	0
b3381	0	0	0	0	0
b3382	0	0	0	0	0
b3383	0	0	0	0	0
b3384	922	1196	1652	1975	2477
b3385	175	278	0	0	0
b3386	1236	1894	2259	3000	3066
b3387	0	0	0	0	0
b3388	174	234	290	295	315
b3389	340	447	557	522	581
b3390	372	496	723	897	1298
b3391	0	0	0	0	0
b3392	0	0	0	0	0
b3393	0	0	0	0	0
b3394	0	0	0	0	0
b3395	0	0	0	0	0
b3396	0	0	0	0	0
b3397	0	0	0	0	0
b3398	0	0	0	0	0
b3399	0	0	0	0	0
b3400	0	0	0	0	0
b3401	636	641	823	895	1123
b3402	0	0	0	0	0
b3403	4264	6225	6480	4270	2139
b3404	0	0	0	0	0
b3405	1407	1473	1354	1590	1426
b3406	0	0	0	0	0
b3407	79	107	155	186	272
b3408	0	0	0	0	0
b3409	0	0	0	0	0
b3410	0	0	0	0	0
b3411	0	0	0	0	0
b3412	0	0	0	0	0
b3413	0	0	0	0	0
b3414	2376	2908	3805	4372	5523
b3415	0	0	0	0	0
b3416	0	0	0	0	0
b3417	404	591	962	1092	827
b3418	187	305	321	235	102
b3421	0	0	0	0	0
b3422	0	0	0	0	0
b3423	193	210	275	315	455
b3424	0	0	0	0	0
b3425	0	0	0	0	0
b3426	0	0	0	0	0
b3427	0	0	0	0	0
b3428	392	452	565	578	583
b3429	563	681	908	937	884
b3430	613	855	1155	1108	1033
b3431	0	0	0	0	0
b3432	227	289	307	368	406
b3433	3951	6705	9950	13762	19307
b3434	0	0	0	0	0
b3437	0	0	0	0	0
b3438	238	220	298	320	331
b3439	816	643	548	669	640
b3440	193	278	374	398	464
b3441	0	0	0	0	0
b3442	0	0	0	0	0
b3443	0	0	0	0	0
b3446	0	0	0	0	0
b3447	311	279	402	439	369
b3448	536	0	0	0	0
b3449	195	205	191	181	204
b3450	160	142	134	103	0
b3451	0	0	0	0	0
b3452	0	0	0	0	0
b3453	1696	1319	874	589	467
b3454	319	371	536	571	622
b3455	196	260	354	409	444
b3456	0	0	0	0	0
b3457	0	0	0	0	0
b3458	1053	1462	2874	3704	4547
b3459	0	0	0	0	0
b3460	17618	24501	28860	27504	27125
b3461	0	0	0	0	0
b3462	0	0	0	0	0
b3463	222	261	312	341	383
b3464	571	654	806	912	1064
b3465	0	0	0	0	0
b3466	0	0	0	0	0
b3467	0	0	0	0	0
b3468	0	0	0	0	0
b3469	0	0	0	0	0
b3470	0	0	0	0	0
b3471	0	0	0	0	0
b3472	692	1056	1627	1479	1846
b3473	0	0	0	0	0
b3474	0	0	0	0	0
b3475	0	0	0	0	0
b3476	0	0	0	0	0
b3477	0	0	0	0	0
b3478	0	0	0	0	0
b3479	0	0	0	0	0
b3480	0	0	0	0	0
b3481	248	483	490	469	624
b3482	0	0	0	0	0
b3483	0	0	0	0	0
b3484	0	0	0	0	0
b3485	0	0	0	0	0
b3486	0	0	0	0	0
b3487	20	36	61	60	59
b3488	0	0	0	0	0
b3491	0	0	0	0	0
b3492	0	0	0	0	0
b3493	0	0	0	0	0
b3494	0	0	0	0	0
b3495	16768	20036	18586	17030	18909
b3496	0	0	0	0	0
b3497	0	0	0	0	0
b3498	591	590	939	1110	1322
b3499	0	0	0	0	0
b3500	488	544	643	657	842
b3501	0	0	0	0	0
b3502	0	0	0	0	0
b3503	0	0	0	0	0
b3504	0	0	0	0	0
b3506	412	320	445	544	832
b3507	0	0	0	0	0
b3508	0	0	0	0	0
b3509	6825	3718	4029	6143	5469
b3510	16146	7328	0	0	5157
b3511	0	0	0	0	0
b3512	0	0	0	0	0
b3513	0	0	0	0	0
b3514	0	0	0	0	0
b3515	0	0	0	0	0
b3516	0	0	0	0	0
b3517	4000	2799	1284	1730	2399
b3518	0	0	0	0	0
b3519	0	0	0	0	0
b3520	0	0	0	0	0
b3521	0	0	0	0	0
b3522	0	0	0	0	0
b3523	0	0	0	0	0
b3524	140	102	94	87	71
b3525	0	0	0	0	0
b3526	91	118	141	156	168
b3527	230	177	178	710	212
b3528	368	0	0	0	0
b3529	0	0	0	0	0
b3530	0	0	0	0	0
b3531	0	0	0	0	0
b3532	0	0	0	0	0
b3533	0	0	0	0	0
b3534	0	0	0	0	0
b3535	0	0	0	0	0
b3536	0	0	0	0	0
b3537	0	0	0	0	0
b3538	0	0	0	0	0
b3539	0	0	0	0	0
b3540	96	141	216	222	239
b3541	318	492	792	799	720
b3542	0	0	0	0	0
b3543	0	0	0	0	0
b3544	11445	14293	17188	15100	10470
b3545	0	0	0	0	0
b3546	50	0	0	0	0
b3547	0	0	0	0	0
b3548	0	0	0	0	0
b3549	0	0	0	0	0
b3550	0	0	0	0	0
b3551	0	0	0	0	0
b3552	124	0	0	489	0
b3553	489	898	1737	1914	2763
b3554	469	524	593	646	862
b3555	0	0	0	0	0
b3556	130	0	0	643	0
b3557	0	0	0	0	0
b3558	0	0	0	0	0
b3559	1377	1751	2490	2871	3464
b3560	1048	1315	1725	2313	2874
b3561	0	0	0	0	0
b3562	0	0	0	0	0
b3563	0	0	0	0	0
b3564	0	0	0	0	0
b3565	0	0	0	0	0
b3566	866	1129	605	168	0
b3567	0	0	0	0	0
b3568	0	0	0	0	0
b3569	0	0	0	0	0
b3570	0	0	0	0	0
b3571	0	0	0	0	0
b3572	0	0	0	0	0
b3573	0	0	0	0	0
b3574	0	0	0	0	0
b3575	0	0	0	0	0
b3576	0	0	0	0	0
b3577	0	0	0	0	0
b3578	0	0	0	0	0
b3579	0	0	0	0	0
b3580	0	0	0	0	0
b3581	0	0	0	0	0
b3582	0	0	0	0	0
b3583	0	0	0	0	0
b3584	0	0	0	0	0
b3585	0	0	0	0	0
b3586	0	0	0	0	0
b3587	0	0	0	0	0
b3588	4048	2476	830	384	123
b3589	0	0	0	0	0
b3590	15	20	26	30	36
b3591	0	0	0	0	0
b3592	615	570	713	743	865
b3593	0	0	0	0	0
b3594	0	0	0	0	0
b3595	0	0	0	0	0
b3596	0	0	0	0	0
b3597	0	0	0	0	0
b3598	0	0	0	0	0
b3599	526	612	603	530	337
b3600	951	894	828	770	703
b3601	0	0	0	0	0
b3602	538	686	906	1123	1706
b3603	0	0	0	0	0
b3604	0	0	0	0	0
b3605	64	77	99	86	90
b3606	0	0	0	0	0
b3607	331	407	441	418	426
b3608	270	258	281	292	323
b3609	4878	6645	9606	10994	12269
b3610	2319	2509	2875	3292	3498
b3611	639	821	1102	1245	1201
b3612	484	1018	2280	2278	4822
b3613	0	0	0	0	0
b3614	0	0	0	0	0
b3615	0	0	0	0	0
b3616	172	229	190	0	181
b3617	20	0	34	26	26
b3618	0	0	0	0	0
b3619	2030	2376	2679	3110	3988
b3620	0	0	0	0	0
b3621	0	0	0	0	0
b3622	0	0	0	0	0
b3623	14	0	0	32	26
b3624	0	0	0	0	0
b3625	0	0	0	0	0
b3626	0	0	0	0	0
b3627	0	0	0	0	0
b3628	0	0	0	0	0
b3629	0	0	0	0	0
b3630	0	0	0	0	0
b3631	0	0	0	0	0
b3632	0	0	0	0	0
b3633	0	0	0	0	0
b3634	0	0	0	0	0
b3635	0	0	0	0	0
b3636	4765	6447	9904	12632	18207
b3637	6490	8580	14366	18466	22925
b3638	0	0	0	0	0
b3639	379	0	0	559	0
b3640	404	477	1106	1245	813
b3641	0	0	0	0	0
b3642	0	0	0	0	0
b3643	0	0	0	0	0
b3644	580	624	716	733	802
b3645	0	0	0	0	0
b3646	0	0	0	0	0
b3647	0	0	0	0	0
b3648	116	128	180	232	360
b3649	2568	3378	4698	5365	6266
b3650	0	0	0	0	0
b3651	0	0	0	0	0
b3652	0	0	0	0	0
b3653	0	0	0	0	0
b3654	0	0	0	0	0
b3655	35	39	53	56	62
b3656	0	0	0	0	0
b3657	0	0	0	0	0
b3658	0	0	0	0	0
b3659	0	0	0	0	0
b3660	0	0	0	0	0
b3661	597	998	1785	2039	2421
b3662	0	0	0	0	0
b3663	0	0	0	0	0
b3664	0	0	0	0	0
b3665	0	0	0	0	0
b3666	0	0	0	0	0
b3667	0	0	0	0	0
b3668	0	0	0	0	0
b3669	0	0	0	0	0
b3670	493	0	0	1414	0
b3671	1068	2036	2165	3658	2945
b3672	0	0	0	0	0
b3673	0	0	0	0	0
b3674	0	0	0	0	0
b3675	0	0	0	0	0
b3676	0	0	0	0	0
b3677	0	0	0	0	0
b3678	0	0	0	0	0
b3679	0	0	0	0	0
b3680	0	0	0	0	0
b3683	0	0	0	0	0
b3684	0	0	0	0	0
b3685	23	0	0	0	0
b3686	0	0	0	0	0
b3687	0	0	0	0	0
b3688	0	0	0	0	0
b3689	0	0	0	0	0
b3690	0	0	0	0	0
b3691	0	0	0	0	0
b3693	0	0	0	0	0
b3696	0	0	0	0	0
b3697	704	0	0	2519	0
b3698	460	0	0	0	449
b3699	422	549	788	888	1100
b3700	0	0	0	0	0
b3701	346	425	534	567	609
b3702	31	40	53	52	53
b3703	10643	13704	16333	30249	32410
b3704	0	0	0	0	0
b3705	376	524	777	840	906
b3706	78	80	97	106	130
b3707	0	0	0	0	0
b3708	2739	0	0	0	0
b3709	0	0	0	0	0
b3710	0	0	0	0	0
b3711	0	0	0	0	0
b3712	0	0	0	0	0
b3713	1573	1458	1415	1476	1646
b3714	0	0	0	0	0
b3715	0	0	0	0	0
b3716	0	0	0	0	0
b3717	0	0	0	0	0
b3718	0	0	0	0	0
b3719	0	0	0	0	0
b3720	0	0	0	0	0
b3721	0	0	0	0	0
b3722	0	0	0	0	0
b3723	0	0	0	0	0
b3724	150	178	248	274	260
b3725	0	0	0	0	0
b3726	0	0	0	0	0
b3727	0	0	0	0	0
b3728	776	922	1443	1477	1308
b3729	804	1119	1651	1802	2951
b3730	135	192	305	384	532
b3731	3365	4656	6709	7316	7815
b3732	8399	12319	18159	18755	19426
b3733	2159	2978	4344	4382	4254
b3734	6228	8327	11962	12714	12155
b3735	2347	3766	4612	4904	5104
b3736	1604	2639	3874	4072	3623
b3737	0	0	0	0	0
b3738	470	0	0	0	0
b3739	0	0	0	0	0
b3740	0	0	0	0	0
b3741	0	0	0	0	0
b3742	396	608	731	878	985
b3743	0	0	0	0	0
b3744	0	0	0	0	0
b3745	0	0	0	0	0
b3746	0	0	0	0	0
b3747	0	0	0	0	0
b3748	420	543	549	433	265
b3749	0	0	0	0	0
b3750	0	0	0	0	0
b3751	7924	9752	9633	10242	5558
b3752	90	133	168	163	141
b3753	0	0	0	0	0
b3754	0	0	0	0	0
b3755	0	0	0	0	0
b3756	0	0	0	0	0
b3758	0	0	0	0	0
b3760	0	0	0	0	0
b3761	0	0	0	0	0
b3764	2032	2559	3930	4868	6092
b3765	0	0	0	0	0
b3766	0	0	0	0	0
b3769	0	0	0	0	0
b3770	558	1189	1920	3168	3324
b3771	19	31	76	67	133
b3772	0	0	0	0	0
b3773	0	0	0	0	0
b3774	6257	9488	14520	18008	24648
b3775	1089	1362	1911	2323	2798
b3777	0	0	0	0	0
b3778	0	0	0	0	0
b3779	0	0	0	0	0
b3780	375	445	649	735	930
b3781	6774	8367	11021	11849	13926
b3783	1814	2557	3520	4064	4602
b3784	0	0	0	0	0
b3785	0	0	0	0	0
b3786	0	0	0	0	0
b3787	0	0	0	0	0
b3788	0	0	0	0	0
b3789	0	0	0	0	0
b3790	0	0	0	0	0
b3791	56	60	82	103	134
b3792	0	0	0	0	0
b3793	0	0	0	0	0
b3794	0	0	0	0	0
b3795	0	0	0	0	0
b3796	0	0	0	0	0
b3797	0	0	0	0	0
b3799	0	0	0	0	0
b3800	0	0	0	0	0
b3801	0	0	0	0	0
b3802	103	123	158	149	152
b3803	289	351	436	430	408
b3804	31	35	33	26	25
b3805	0	0	0	0	0
b3806	0	0	0	0	0
b3807	260	277	327	378	487
b3809	185	246	316	333	365
b3810	0	0	0	0	0
b3811	0	0	0	0	0
b3812	0	0	0	0	0
b3813	27	36	42	40	47
b3816	308	290	230	189	231
b3817	0	0	0	0	0
b3818	0	0	0	0	0
b3819	0	0	0	0	0
b3820	140	199	261	254	350
b3821	0	0	0	0	0
b3822	0	0	0	0	0
b3823	0	0	0	0	0
b3824	0	0	0	0	0
b3825	0	0	0	0	0
b3826	0	0	0	0	0
b3827	0	0	0	0	0
b3828	0	0	0	0	0
b3829	4563	9867	22956	41912	39859
b3830	499	622	859	899	759
b3831	5124	5817	4630	4893	4397
b3832	0	0	0	0	0
b3833	485	672	828	961	1128
b3834	59	0	0	101	128
b3835	77	96	137	143	160
b3836	260	324	489	487	498
b3838	69	172	114	133	116
b3839	0	0	0	0	0
b3842	0	0	0	0	0
b3843	152	195	259	235	197
b3844	158	232	313	327	378
b3845	1103	1277	963	433	196
b3846	1380	1689	1289	566	253
b3847	1003	1337	1646	1765	1608
b3848	0	0	0	0	0
b3849	0	0	0	0	0
b3850	43	56	71	80	105
b3851	0	0	0	0	0
b3854	0	0	0	0	0
b3856	0	0	0	0	0
b3857	58	0	79	101	95
b3858	1649	2237	2756	3104	3979
b3859	0	0	0	0	0
b3860	1429	1704	2563	2914	3896
b3861	0	0	0	0	0
b3862	0	0	0	0	0
b3863	730	821	1022	1074	1279
b3864	0	0	0	0	0
b3865	342	414	558	692	832
b3866	462	335	485	520	547
b3867	0	0	0	0	0
b3868	0	0	0	0	0
b3869	0	0	0	0	0
b3870	2238	4380	7555	11219	8098
b3871	734	1071	1766	2490	3796
b3872	0	0	0	0	0
b3873	0	0	0	0	0
b3874	0	0	0	0	0
b3875	0	0	0	0	0
b3876	0	0	0	0	0
b3877	0	0	0	0	0
b3878	0	0	0	0	0
b3879	0	0	0	0	0
b3880	0	0	0	0	0
b3881	0	0	0	0	0
b3882	0	0	0	0	0
b3883	0	0	0	0	0
b3884	0	0	0	0	0
b3885	0	0	0	0	0
b3886	0	0	0	0	0
b3887	180	231	292	273	346
b3888	151	178	213	171	177
b3889	0	0	0	0	0
b3890	0	0	0	0	0
b3891	168	187	228	207	251
b3892	0	0	0	0	0
b3893	0	0	0	0	0
b3894	0	0	0	0	0
b3895	0	0	0	0	0
b3896	0	0	0	0	0
b3897	0	0	0	0	0
b3898	0	0	0	0	0
b3899	0	0	0	0	0
b3900	0	0	0	0	0
b3901	0	0	0	0	0
b3902	0	0	0	0	0
b3903	0	0	0	0	0
b3904	0	0	0	0	0
b3905	0	0	0	0	0
b3906	0	0	0	0	0
b3907	0	0	0	0	0
b3908	26458	30878	35377	35540	36847
b3909	0	0	0	0	0
b3910	446	515	575	667	618
b3911	0	0	0	0	0
b3912	1888	2134	2282	2096	2074
b3915	0	0	0	0	0
b3916	1265	1548	2333	2649	3203
b3917	0	0	0	0	0
b3918	0	0	0	0	0
b3919	4784	5429	6101	6942	7978
b3920	0	0	0	0	0
b3921	0	0	0	0	0
b3922	294	257	266	0	362
b3923	286	248	356	389	462
b3924	206	254	305	364	343
b3925	0	0	0	0	0
b3926	1015	1130	911	444	243
b3927	0	0	0	0	0
b3928	2390	3341	4351	5417	6888
b3929	1346	1328	1375	1403	1491
b3930	0	0	0	0	0
b3931	513	572	864	1053	1323
b3932	536	644	1249	1018	1283
b3933	12	13	15	16	15
b3934	0	0	0	0	0
b3935	0	0	0	0	0
b3936	3012	4075	5862	8274	12491
b3937	0	0	0	0	0
b3938	982	1118	1675	1945	2467
b3939	363	695	1136	1479	1256
b3940	43	92	171	177	281
b3941	506	927	1830	2774	3170
b3942	3225	3812	3897	4092	5057
b3943	0	0	0	0	0
b3944	0	0	0	0	0
b3945	48	0	0	0	0
b3946	0	0	0	0	0
b3947	19	0	0	0	0
b3949	0	0	0	0	0
b3950	0	0	0	0	0
b3951	0	0	0	0	0
b3952	0	0	0	0	0
b3953	0	0	0	0	0
b3954	0	0	0	0	0
b3955	0	0	0	0	0
b3956	1684	2793	4535	5516	8085
b3957	279	359	530	756	1005
b3958	129	144	253	826	556
b3959	444	618	907	1138	1613
b3960	170	344	622	886	1663
b3961	109	153	197	199	243
b3962	674	1052	1455	1413	894
b3963	63	69	86	88	115
b3964	0	0	0	0	0
b3965	21	0	0	0	0
b3966	0	0	0	0	0
b3967	0	0	0	0	0
b3968	0	0	0	0	0
b3969	0	0	0	0	0
b3970	0	0	0	0	0
b3972	26	35	43	51	51
b3973	0	0	0	0	0
b3974	65	95	110	102	124
b3976	0	0	0	0	0
b3978	0	0	0	0	0
b3979	0	0	0	0	0
b3980	0	0	0	0	0
b3981	0	0	0	0	0
b3982	2161	2522	3499	4025	4967
b3983	6090	8094	12616	16608	22136
b3984	7826	10017	16906	20573	29077
b3985	7047	9129	14600	18917	27813
b3986	13955	16464	28321	36405	48969
b3987	2577	3458	4871	5416	6576
b3988	2230	2821	4331	4740	5559
b3989	0	0	0	0	0
b3990	0	0	0	0	0
b3991	294	586	1254	1434	1635
b3992	267	371	681	828	918
b3993	535	793	1218	1423	1725
b3994	306	605	1109	1530	1976
b3995	733	881	816	641	696
b3996	0	0	0	0	0
b3997	284	350	442	524	649
b3998	0	0	0	0	0
b3999	80	88	129	171	222
b4000	22805	28984	38115	42273	48510
b4001	0	0	0	0	0
b4002	0	0	0	0	0
b4003	0	0	0	0	0
b4004	0	0	0	0	0
b4005	342	509	848	1402	1912
b4006	354	571	1094	1698	2421
b4009	0	0	0	0	0
b4011	0	0	0	0	0
b4012	0	0	0	0	0
b4013	397	620	850	978	1264
b4014	6202	7992	8284	7252	6674
b4015	32244	46553	37785	23737	14040
b4016	57	69	53	0	35
b4017	0	0	0	0	0
b4018	0	0	0	0	0
b4019	190	257	412	449	585
b4020	0	0	0	0	0
b4021	310	440	403	522	254
b4022	0	0	0	0	0
b4023	122	0	0	0	0
b4024	345	491	679	1144	1573
b4025	2919	3275	4552	5151	5760
b4026	0	0	0	0	0
b4027	0	0	0	0	0
b4028	0	0	0	0	0
b4029	0	0	0	0	0
b4030	0	0	0	0	0
b4031	0	0	0	0	0
b4032	0	0	0	0	0
b4033	0	0	0	0	0
b4034	8403	12610	14410	9493	3822
b4035	705	1157	1389	885	327
b4036	206	332	404	251	66
b4037	3114	5620	6523	5431	2570
b4038	0	0	0	0	0
b4039	0	0	0	0	0
b4040	0	0	0	0	0
b4041	333	389	377	349	402
b4042	0	0	0	0	0
b4043	90	99	125	132	157
b4044	0	0	0	0	0
b4045	2770	1610	961	576	429
b4046	121	107	146	112	145
b4047	0	0	0	0	0
b4048	0	0	0	0	0
b4049	58	75	95	111	130
b4050	0	0	0	0	0
b4051	1361	1140	1119	969	851
b4052	0	0	0	0	0
b4053	0	0	0	0	0
b4054	795	1137	1839	1921	2400
b4055	283	484	613	0	0
b4056	0	0	0	0	0
b4057	681	697	702	565	562
b4058	152	154	175	180	194
b4059	1740	2148	2411	2475	2551
b4060	0	0	0	0	0
b4061	0	0	0	0	0
b4062	0	0	0	0	0
b4063	0	0	0	0	0
